family,hierarchy,model_a,method_a,model_b,method_b,seed,bootstrap_rng_seed,fold,horizon,mae_a_report,mae_b_report,unit,n_paired,block_length,n_boot,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,abs_ci_low,abs_ci_high,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,0,2,16,1.1549701444181844,1.4696981211174147,weighted_mean_pct,3798,32,5000,-0.3147279766992304,-0.08121886189454686,1.4696981211174147,1.1549701444181844,-0.21414464111850537,-0.401114953614217,-0.23408448852292224,-0.25206508744040385,-0.1731362795066006,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,0,2,16,1.1549701444181844,1.4696981211174147,weighted_mean_pct,3798,32,5000,-0.3147279766992304,-0.08121886189454686,1.4696981211174147,1.1549701444181844,-0.21414464111850537,-0.401114953614217,-0.23408448852292224,-0.25206508744040385,-0.1731362795066006,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,0,2,16,1.1549701444181844,1.4696981211174147,weighted_mean_pct,3798,32,5000,-0.3147279766992304,-0.08121886189454686,1.4696981211174147,1.1549701444181844,-0.21414464111850537,-0.401114953614217,-0.23408448852292224,-0.25206508744040385,-0.1731362795066006,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,0,0,1,1.1094787687062335,1.4204331179186942,weighted_mean_pct,4847,32,5000,-0.310954349212461,-0.1251991023077932,1.4204331179186942,1.1094787687062335,-0.21891516417759282,-0.3737132046908602,-0.2556769433394215,-0.2523960863177465,-0.18860162536226757,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,0,0,1,1.1094787687062335,1.4204331179186942,weighted_mean_pct,4847,32,5000,-0.310954349212461,-0.1251991023077932,1.4204331179186942,1.1094787687062335,-0.21891516417759282,-0.3737132046908602,-0.2556769433394215,-0.2523960863177465,-0.18860162536226757,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,0,0,1,1.1094787687062335,1.4204331179186942,weighted_mean_pct,4847,32,5000,-0.310954349212461,-0.1251991023077932,1.4204331179186942,1.1094787687062335,-0.21891516417759282,-0.3737132046908602,-0.2556769433394215,-0.2523960863177465,-0.18860162536226757,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,0,0,8,1.08977444725631,1.3906675083299915,weighted_mean_pct,4295,32,5000,-0.30089306107368136,-0.11506417763507004,1.3906675083299915,1.08977444725631,-0.21636592447249614,-0.363869945308194,-0.23724677225871352,-0.25193775069026203,-0.17850625588932928,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,0,0,8,1.08977444725631,1.3906675083299915,weighted_mean_pct,4295,32,5000,-0.30089306107368136,-0.11506417763507004,1.3906675083299915,1.08977444725631,-0.21636592447249614,-0.363869945308194,-0.23724677225871352,-0.25193775069026203,-0.17850625588932928,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,0,0,8,1.08977444725631,1.3906675083299915,weighted_mean_pct,4295,32,5000,-0.30089306107368136,-0.11506417763507004,1.3906675083299915,1.08977444725631,-0.21636592447249614,-0.363869945308194,-0.23724677225871352,-0.25193775069026203,-0.17850625588932928,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,0,0,16,1.117143297745833,1.4060271584162536,weighted_mean_pct,3707,32,5000,-0.2888838606704206,-0.12131889986834699,1.4060271584162536,1.117143297745833,-0.20546108155963277,-0.3621968945633963,-0.2231938784353352,-0.247328327283249,-0.16567714258558763,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,0,0,16,1.117143297745833,1.4060271584162536,weighted_mean_pct,3707,32,5000,-0.2888838606704206,-0.12131889986834699,1.4060271584162536,1.117143297745833,-0.20546108155963277,-0.3621968945633963,-0.2231938784353352,-0.247328327283249,-0.16567714258558763,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,0,0,16,1.117143297745833,1.4060271584162536,weighted_mean_pct,3707,32,5000,-0.2888838606704206,-0.12131889986834699,1.4060271584162536,1.117143297745833,-0.20546108155963277,-0.3621968945633963,-0.2231938784353352,-0.247328327283249,-0.16567714258558763,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,0,1,1,0.8458250834966149,1.0957052557717806,weighted_mean_pct,5261,32,5000,-0.24988017227516557,-0.12790312418107863,1.0957052557717806,0.8458250834966149,-0.22805418789303677,-0.30193763987330613,-0.20137496101835303,-0.2721814729199273,-0.18721534316603097,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,0,1,1,0.8458250834966149,1.0957052557717806,weighted_mean_pct,5261,32,5000,-0.24988017227516557,-0.12790312418107863,1.0957052557717806,0.8458250834966149,-0.22805418789303677,-0.30193763987330613,-0.20137496101835303,-0.2721814729199273,-0.18721534316603097,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,0,1,1,0.8458250834966149,1.0957052557717806,weighted_mean_pct,5261,32,5000,-0.24988017227516557,-0.12790312418107863,1.0957052557717806,0.8458250834966149,-0.22805418789303677,-0.30193763987330613,-0.20137496101835303,-0.2721814729199273,-0.18721534316603097,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,0,1,8,0.8619293246865776,1.1125931579402315,weighted_mean_pct,4778,32,5000,-0.25066383325365416,-0.1277631018443004,1.1125931579402315,0.8619293246865776,-0.22529693937513842,-0.30451808074442804,-0.19771875698262503,-0.2729855459483248,-0.18021810819852743,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,0,1,8,0.8619293246865776,1.1125931579402315,weighted_mean_pct,4778,32,5000,-0.25066383325365416,-0.1277631018443004,1.1125931579402315,0.8619293246865776,-0.22529693937513842,-0.30451808074442804,-0.19771875698262503,-0.2729855459483248,-0.18021810819852743,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,0,1,8,0.8619293246865776,1.1125931579402315,weighted_mean_pct,4778,32,5000,-0.25066383325365416,-0.1277631018443004,1.1125931579402315,0.8619293246865776,-0.22529693937513842,-0.30451808074442804,-0.19771875698262503,-0.2729855459483248,-0.18021810819852743,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,0,1,16,0.8648501103571508,1.1116127835890854,weighted_mean_pct,4317,32,5000,-0.24676267323193457,-0.12565187631918118,1.1116127835890854,0.8648501103571508,-0.2219861779883524,-0.3099514057047597,-0.19033116531987676,-0.27518614002510544,-0.1756392551275922,1.0,0.0,False,False
