target,model,horizon,context,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mase_mean,mase_std,r2_mean,r2_std,train_time_mean,infer_time_mean
machine01_UM,persistence,8,32,2,555491113.1400849,0.0,2091246687.7643535,0.0,1.667473570586588,0.0,-0.6126423204163853,0.0,4.264599965608795e-05,3.389550010979292e-05
machine01_UM,ridge,1,32,2,306134549.4139191,0.0,1265366814.9611273,0.0,0.9189548817541788,0.0,0.4088261540929374,0.0,0.0015163960001700499,8.78124997143459e-05
machine01_UM,ridge,8,32,2,475551868.0466984,0.0,1603572707.5218744,0.0,1.4275118947060046,0.0,0.051789341814608,0.0,0.0100787294995825,0.00065679149975035
machine01_UM,xgboost,1,32,2,298739842.63544613,0.0,1207578429.993601,0.0,0.8967574463251234,0.0,0.4615901148532527,0.0,0.4710929375000887,0.00331758350012015
machine01_UM,xgboost,8,32,2,517708473.3632504,0.0,1583962315.7809973,0.0,1.5540576188916468,0.0,0.0748392264005607,0.0,3.671791458500138,0.026445187500030352
machine04_CU,dlinear,1,32,2,4.830810088309628,0.17053211763211157,13.7655459593682,0.06818967450613199,,,0.45321934861409363,0.0054170517175253004,0.19425160400032832,0.00091477100022525
machine04_CU,dlinear,8,32,2,6.493113372205508,0.16456916246044392,16.952826541441887,0.015991543049294336,,,0.1637097241691916,0.001577738787688965,0.21093364599983028,0.0009530205002192501
machine04_CU,ewma,1,32,2,6.036473749169365,0.0,16.401467203235317,0.0,,,0.2237773203446187,0.0,5.420006345957518e-07,0.0002233539994449
machine04_CU,ewma,8,32,2,8.077213075903213,0.0,20.80410682454723,0.0,,,-0.25942052599634,0.0,6.039995241735596e-07,0.00022795800032325
machine04_CU,lightgbm,1,32,2,3.720173289116228,0.0,10.604721672482643,0.0,,,0.6754964311974316,0.0,0.3473742709998078,0.0022788334999859
machine04_CU,lightgbm,8,32,2,7.217181962026013,0.0,15.270476531206157,0.0,,,0.3214563405139342,0.0,2.6982414584999788,0.0215658540000731
machine04_CU,lstm,1,32,2,7.103886667132899,0.06563504458598383,18.783871264036428,0.012450855444261135,,,-0.01810185731215125,0.001349693690930912,10.819458687500173,0.09795120849958035
machine04_CU,lstm,8,32,2,7.078483506270379,0.007942983972252156,18.7018357396802,0.001263678874136726,,,-0.01774996084098775,0.00013753827588239731,11.413325666499986,0.0974115624999285
machine04_CU,persistence,1,32,2,4.102909698124361,0.0,14.877623447555107,0.0,,,0.3613130343957155,0.0,1.627100027690176e-05,4.169996827840805e-07
machine04_CU,persistence,8,32,2,8.054799748124388,0.0,23.542061472158405,0.0,,,-0.6127297434157519,0.0,4.1812500057858415e-05,3.266649991928716e-05
machine04_CU,ridge,1,32,2,4.42509199949556,0.0,12.958762574025284,0.0,,,0.5154395165463036,0.0,0.0025890624997372998,0.00011435399983375001
machine04_CU,ridge,8,32,2,6.704161229357862,0.0,16.69091420265516,0.0,,,0.1893509719337497,0.0,0.0219163539995861,0.0008123544998852
machine04_CU,xgboost,1,32,2,3.880647246232995,0.0,10.35367937192398,0.0,,,0.6906783260993081,0.0,0.8990224169992871,0.00308087500025065
machine04_CU,xgboost,8,32,2,7.70269252312326,0.0,15.71882155977626,0.0,,,0.2810269946184177,0.0,7.265528749999703,0.02438393750026075
machine06_CU,dlinear,1,32,2,0.0748435482519616,0.0006814444589069531,0.1631747820831228,0.0001942448044842827,,,0.19152013899274334,0.0019248427882694265,0.20324295799991882,0.0009419375001016
machine06_CU,dlinear,8,32,2,0.08481887445573395,0.00018587673263110262,0.17656370823023998,0.00040464891830943275,,,0.04618486120366935,0.004371897877006194,0.2062144579999767,0.00093239550005815
machine06_CU,ewma,1,32,2,0.072268441501342,0.0,0.160500279384229,0.0,,,0.2178061424005678,0.0,6.665004548267461e-07,0.00022210400038599997
machine06_CU,ewma,8,32,2,0.0838620075108256,0.0,0.1787676310952574,0.0,,,0.0222271852579168,0.0,5.420001798484009e-07,0.0002443330004098
machine06_CU,lightgbm,1,32,2,0.0614721914531758,0.0,0.1530585191112116,0.0,,,0.2886590183356755,0.0,0.29580879149989414,0.0047001250004540494
machine06_CU,lightgbm,8,32,2,0.0712762549996551,0.0,0.16450736942404,0.0,,,0.1719989196672761,0.0,2.411339875000067,0.0409757710003759
machine06_CU,lstm,1,32,2,0.07012786499706569,0.00028410376931869237,0.1604377628035426,0.00023756961042207294,,,0.21841451265589829,0.002314676456828516,13.700920729000245,0.1212858545000017
machine06_CU,lstm,8,32,2,0.0804591812712072,0.006103765641293507,0.17056614078031812,8.241117687940042e-05,,,0.10988548096184156,0.0008601399571273537,6.079930125499686,0.10734995850043555
machine06_CU,persistence,1,32,2,0.0845101226192806,0.0,0.1930052691446586,0.0,,,-0.1311003767340155,0.0,1.7978999949264107e-05,4.369999260234181e-07
machine06_CU,persistence,8,32,2,0.0974001947393045,0.0,0.2176979828597459,0.0,,,-0.4500033240913743,0.0,4.022900020572706e-05,3.154200021526776e-05
machine06_CU,ridge,1,32,2,0.0728808201650958,0.0,0.1660101949324263,0.0,,,0.1631794536733911,0.0,0.0017749789999470002,9.306300034950254e-05
machine06_CU,ridge,8,32,2,0.083983079985768,0.0,0.1786341009841388,0.0,,,0.0236873304783025,0.0,0.0098342710002725,0.00061964599990455
machine06_CU,xgboost,1,32,2,0.0623025361597315,0.0,0.1586117561242264,0.0,,,0.236105183734873,0.0,0.4030832085004476,0.0029344794997996
