run_id,experiment_stage,eligible_for_final_claims,evaluation_role,scope,target,model,horizon,context,seed,mae,rmse,mse,smape,mape,mape_fraction_excluded,mase,r2,nrmse,medae,maxae,peak_recall,peak_precision,training_time_sec,inference_time_sec,n_parameters,runtime_sec,n_test_windows
local__cluster_UM__h1__c32__persistence__seed1,pilot,False,development_benchmark,local,cluster_UM,persistence,1,32,1,1119681361.1303997,3812663627.801737,1.45364039387623e+19,0.8622508515817227,0.8542603348120683,0.0,1.1159175511751211,0.3317353867803545,0.0608376617846453,228306944.0,59590508544.0,0.6818181818181818,0.6818181818181818,1.5749999874969944e-05,3.750001269509085e-07,0,1.6953803749993313,4954
local__cluster_UM__h1__c32__lightgbm__seed1,pilot,False,development_benchmark,local,cluster_UM,lightgbm,1,32,1,1142465869.956946,3369293839.8315964,1.1352140979127144e+19,0.9028354749774494,0.8896188687026996,0.0,1.1386254698536804,0.4781216776453161,0.0537629277301204,319773180.54021454,59437835158.8611,0.6174242424242424,0.7581395348837209,0.3472295000001395,0.003293499999927,-100,2.059203583999988,4954
local__cluster_UM__h1__c32__xgboost__seed0,pilot,False,development_benchmark,local,cluster_UM,xgboost,1,32,0,1151696627.2878482,3399633334.6104217,1.1557506809794374e+19,0.9101301697645412,0.8982260022576892,0.0,1.147825197985077,0.4686806413355441,0.0542470469974515,329807872.0,59335770112.0,0.6212121212121212,0.7288888888888889,0.4426410830001259,0.003223374999834,600,2.077850292000221,4954
local__cluster_UM__h1__c32__xgboost__seed1,pilot,False,development_benchmark,local,cluster_UM,xgboost,1,32,1,1151696627.2878482,3399633334.6104217,1.1557506809794374e+19,0.9101301697645412,0.8982260022576892,0.0,1.147825197985077,0.4686806413355441,0.0542470469974515,329807872.0,59335770112.0,0.6212121212121212,0.7288888888888889,0.4480882909992942,0.0080438329996468,600,2.1401088330003404,4954
local__cluster_UM__h1__c32__ridge__seed0,pilot,False,development_benchmark,local,cluster_UM,ridge,1,32,0,1158239587.6283376,3427370793.8396645,1.174687055846513e+19,0.9144575286501126,0.8955097874865724,0.0,1.154346164158189,0.4599752494933536,0.0546896462739912,338892152.6856613,58883571258.11369,0.5416666666666666,0.7606382978723404,0.0017519169996376,8.162500034814002e-05,33,1.682147375000568,4954
local__cluster_UM__h1__c32__ridge__seed1,pilot,False,development_benchmark,local,cluster_UM,ridge,1,32,1,1158239587.6283376,3427370793.8396645,1.174687055846513e+19,0.9144575286501126,0.8955097874865724,0.0,1.154346164158189,0.4599752494933536,0.0546896462739912,338892152.6856613,58883571258.11369,0.5416666666666666,0.7606382978723404,0.0017875840003398,9.670800045569194e-05,33,1.7758827090001432,4954
local__cluster_UM__h1__c32__drift__seed0,pilot,False,development_benchmark,local,cluster_UM,drift,1,32,0,1163200625.0858088,3879219444.1695743,1.5048343496023302e+19,0.8959653035537024,0.8893169123018976,0.0,1.1592905250835508,0.3082006052989045,0.0618996752852494,251074031.48387143,59594391816.25807,0.6856060606060606,0.6605839416058394,4.169996827840805e-07,2.8374999601510353e-05,0,1.7536158330003673,4954
local__cluster_UM__h1__c32__lightgbm__seed0,pilot,False,development_benchmark,local,cluster_UM,lightgbm,1,32,0,1181319617.7216284,3399323677.81252,1.1555401466536835e+19,0.934723903617818,0.9223597183051148,0.0,1.1773486107084743,0.4687774277487189,0.0542421058860976,346241255.8018875,59514245188.01613,0.6060606060606061,0.7407407407407407,0.1790303339994352,0.0017583329999979,-50,1.8568398329998672,4954
local__cluster_UM__h1__c32__ewma__seed0,pilot,False,development_benchmark,local,cluster_UM,ewma,1,32,0,1313275096.6023583,3709788040.461573,1.3762527305151715e+19,1.034178609639148,1.0163591628693414,0.0,1.308860521122044,0.3673118864028278,0.05919610333641,340700813.58781433,58843172638.2193,0.5416666666666666,0.5860655737704918,5.840001904289238e-07,0.0006109159994593,1,1.7335187910002787,4954
local__cluster_UM__h1__c32__ewma__seed1,pilot,False,development_benchmark,local,cluster_UM,ewma,1,32,1,1313275096.6023583,3709788040.461573,1.3762527305151715e+19,1.034178609639148,1.0163591628693414,0.0,1.308860521122044,0.3673118864028278,0.05919610333641,340700813.58781433,58843172638.2193,0.5416666666666666,0.5860655737704918,5.000001692678779e-07,0.0002727499995671,1,1.5992348330000823,4954
local__cluster_UM__h1__c32__moving_average__seed0,pilot,False,development_benchmark,local,cluster_UM,moving_average,1,32,0,1648527355.8659668,4188888741.8522496,1.7546788891616524e+19,1.2990066320851503,1.2799223017253507,0.0,1.6429858295988031,0.1933425803726469,0.0668409860948708,404540672.0,59081768448.0,0.3636363636363636,0.4465116279069767,1.1250003808527254e-06,0.0001431250002497,1,1.7069251249995432,4954
local__cluster_UM__h1__c32__historical_mean__seed0,pilot,False,development_benchmark,local,cluster_UM,historical_mean,1,32,0,2014533781.9890983,4845686042.5540905,2.348067322300352e+19,1.6137907189933725,1.5533504806336382,0.0,2.0077619247740777,-0.0794487464444639,0.0773213263351677,860784465.1019287,60511502510.89807,0.0,0.0,1.566700029798085e-05,1.3749995559919626e-06,1,1.694391416000144,4954
local__cluster_UM__h1__c32__dlinear__seed1,pilot,False,development_benchmark,local,cluster_UM,dlinear,1,32,1,103645440170.11546,103725932674.2018,1.0759069109133043e+22,150.3519945836274,85.8131078117688,0.0,103.29703592487763,-493.6137426496427,1.6551271830839145,102627619840.0,162551062528.0,0.0,0.0,0.2043375000002925,0.0011472500000309,66,1.8268151669999495,4954
local__cluster_UM__h1__c32__lstm__seed0,pilot,False,development_benchmark,local,cluster_UM,lstm,1,32,0,120793359539.5327,120883366001.4292,1.461278817583549e+22,199.99999999627133,99.99999999906784,0.0,120.38731254710314,-670.7761338721281,1.9289037938090248,119612966910.87544,179990249470.87546,0.0,0.0,5.2320781669995995,0.1173837920005098,17217,7.095726124999601,4954
local__cluster_UM__h1__c32__lstm__seed1,pilot,False,development_benchmark,local,cluster_UM,lstm,1,32,1,120793359539.97128,120883366001.86745,1.4612788175941442e+22,199.9999999977255,99.99999999943138,0.0,120.38731254754023,-670.776133876999,1.9289037938160176,119612966911.314,179990249471.31403,0.0,0.0,5.234817542000201,0.1174298329997327,17217,7.097934667000118,4954
local__cluster_UM__h1__c32__dlinear__seed0,pilot,False,development_benchmark,local,cluster_UM,dlinear,1,32,0,143252638779.32336,143334686048.12494,2.0544832224514544e+22,200.0,118.62219272610317,0.0,142.77109489847032,-943.4828595858838,2.2871535501367894,141924023296.0,202393767936.0,0.0,0.0,0.1755071669995231,0.0010226670001429,66,1.95930404200044,4954
