target,horizon,model,mae,rmse,r2
machine04_CU,8,persistence,8.054799748124388,23.542061472158405,-0.6127297434157519
machine04_CU,8,ridge,6.704161229357862,16.69091420265516,0.1893509719337497
machine06_CU,1,dlinear,0.0748435482519616,0.1631747820831228,0.19152013899274334
machine06_CU,1,lightgbm,0.0614721914531758,0.1530585191112116,0.2886590183356755
machine06_CU,1,persistence,0.0845101226192806,0.1930052691446586,-0.1311003767340155
machine06_CU,1,ridge,0.0728808201650958,0.1660101949324263,0.1631794536733911
machine06_CU,8,dlinear,0.08481887445573395,0.17656370823023998,0.04618486120366935
machine06_CU,8,lightgbm,0.0712762549996551,0.16450736942404,0.1719989196672761
machine06_CU,8,persistence,0.0974001947393045,0.2176979828597459,-0.4500033240913743
machine06_CU,8,ridge,0.083983079985768,0.1786341009841388,0.0236873304783025
rx_bond0_acamas,1,dlinear,19.344577865821748,72.04039978463615,0.0402542549694549
rx_bond0_acamas,1,lightgbm,19.851111171370544,71.01019548120398,0.0675075253817836
rx_bond0_acamas,1,persistence,25.854918050620785,102.08141143626209,-0.9270689403756592
rx_bond0_acamas,1,ridge,20.025741960742163,71.91739082542087,0.0435290927560841
rx_bond0_acamas,8,dlinear,19.50590188518398,72.16550086822838,0.0409513131243506
rx_bond0_acamas,8,lightgbm,19.819048598178252,71.3569373178389,0.062321848491591
rx_bond0_acamas,8,persistence,25.663014167228688,100.86208652380216,-0.8734292208061658
rx_bond0_acamas,8,ridge,20.035128550627384,72.04208757857914,0.0442287303446482
tx_bond0_acamas,1,dlinear,58.95920669477512,157.48896348931441,0.11228585296817445
tx_bond0_acamas,1,lightgbm,59.166780848265866,157.79262235316918,0.10888064536137185
tx_bond0_acamas,1,persistence,62.32244713439509,204.10100517087722,-0.4908433861321754
tx_bond0_acamas,1,ridge,60.24811988222169,156.85760615063876,0.119430651237561
tx_bond0_acamas,4,dlinear,59.33275575764842,162.0701444566388,0.0844506488733367
tx_bond0_acamas,4,lightgbm,61.77864744532451,162.60140803312729,0.0784384962071319
tx_bond0_acamas,4,persistence,70.36971115639061,221.502916995082,-0.7101516370986061
tx_bond0_acamas,4,ridge,62.25187702909911,161.80496284366538,0.0874442690585629
tx_bond0_acamas,8,dlinear,58.199966133530374,158.89261662917488,0.07753431662475516
tx_bond0_acamas,8,lightgbm,60.67944284354407,158.99021197558105,0.0764008243477673
tx_bond0_acamas,8,persistence,69.30148721956833,214.65225950536865,-0.6835022014329548
tx_bond0_acamas,8,ridge,62.213498706941024,158.846758041131,0.0780667654209931
