base_model,horizon,reconciliation_method,nonnegative,mean_mae,std_mae,mean_rmse,mean_r2,mean_mase,mase_valid,coh_before_mean,coh_after_mean,coh_before_wsum,coh_after_wsum,rel_vs_ind,rel_vs_pers,macro_mae,core_w_mae,worst_mae,best_mae,improved,degraded,adj_mag,wall_train,pct_gt100_top,pct_neg_top
lightgbm,8,ols,False,0.9956209723800091,0.13936596276267302,2.444474390239748,0.6455168876204797,0.8439034145547099,True,0.6702625542207826,0.0,158.18196279610467,0.0,0.9687072370340895,0.7562399327215568,1.5776418451310288,1.59206668356226,2.7536540141845536,0.5818519774069452,0.0,7.0,0.5631485470749092,64.65056687500116,0.0,0.0
lightgbm,8,ols,True,0.9852251795895547,0.13266869891887742,2.351603405070732,0.6720449901805873,0.8354418936187461,True,0.6702625542207826,0.0,158.18196279610467,0.0,0.9591065274343654,0.7487299454501667,1.5075482317111595,1.5312178182036487,2.7368625582372927,0.4164112255011873,0.0,7.0,0.5113884155147239,64.65056687500116,0.0,0.0
lightgbm,8,wls,False,0.9284787745431414,0.1228369344178411,2.2292147697484257,0.7058049350224441,0.7873095153659389,True,0.6702625542207826,0.0,158.18196279610467,0.0,0.9040839323324664,0.7057680321066905,1.2942259342432818,1.3555849006767264,2.847150380715378,0.09048778856499373,0.6666666666666666,6.333333333333333,0.2585306944695173,64.65056687500116,0.0,0.0
lightgbm,8,wls,True,0.9318436991086161,0.12277357286915483,2.229781777576521,0.7056593456503246,0.7902364316603259,True,0.6702625542207826,0.0,158.18196279610467,0.0,0.9074151407703918,0.708367356028162,1.2848865584925453,1.3456093108795144,2.8070093507693095,0.09048778856499373,1.0,6.0,0.25350634656215254,64.65056687500116,0.0,0.0
lightgbm,16,bottom_up,False,0.9522354458629669,0.1323805597624808,2.262700195399573,0.701377029851051,0.8084568273526543,True,0.6881192406720711,0.0,162.3961407986088,0.0,0.911933708957822,0.7175297830575813,1.2716788379215835,1.330444526893037,2.780933528033301,0.09001897189408686,0.0,0.0,0.08601490508400889,166.791535707666,0.0,0.0
lightgbm,16,independent,False,1.045654517507056,0.15771934826112785,2.572429547348847,0.6123992376677129,0.8869461763179415,True,0.6881192406720711,0.6881192406720711,162.3961407986088,162.3961407986088,1.0,0.7868417112393588,1.2716788379215835,1.330444526893037,2.780933528033301,0.09001897189408686,0.0,0.0,0.0,166.791535707666,0.0,0.0
lightgbm,16,mint,False,0.940144392127082,0.1298831664531582,2.251494437431154,0.7032428833267735,0.7980389697581041,True,0.6881192406720711,0.0,162.3961407986088,0.0,0.9004006975466486,0.7084427238153924,1.3018495429309493,1.3632212714258125,2.9124709465691763,0.10243791694707645,2.3333333333333335,4.666666666666667,0.22737334425457414,166.791535707666,0.0,0.0
lightgbm,16,wls,False,0.9427537715405695,0.1329263194838692,2.257558816777627,0.701973881542413,0.8002703144508985,True,0.6881192406720711,0.0,162.3961407986088,0.0,0.9026204445903274,0.7102051788129895,1.3117873908608533,1.3746065187192487,2.947757149705687,0.09374684258898196,1.0,6.0,0.26572600352793274,166.791535707666,0.0,0.0
persistence,1,bottom_up,False,1.3203317692824537,0.19491519599271806,3.2480193378054416,0.3813823742381097,1.1201279984259347,True,0.0,0.0,0.0,0.0,1.0,1.0,1.6601191991330664,1.7355249079148554,3.2369200652081926,0.07462523019546481,0.0,0.0,0.0,0.00018643033308756666,0.0,0.0
persistence,1,independent,False,1.3203317692824537,0.19491519599271806,3.2480193378054416,0.3813823742381097,1.1201279984259347,True,0.0,0.0,0.0,0.0,1.0,1.0,1.6601191991330664,1.7355249079148554,3.2369200652081926,0.07462523019546481,0.0,0.0,0.0,0.00018643033308756666,0.0,0.0
