base_model,horizon,reconciliation_method,nonnegative,fold,mae_machine01_CU,mae_machine02_CU,mae_machine03_CU,mae_machine04_CU,mae_machine05_CU,mae_machine06_CU,mae_machine07_CU,macro_machine_mae,core_weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae_weighted_mean
lightgbm,8,independent,True,2,1.9139258602044997,1.1792702753625186,2.0697316228126135,2.962809553075492,0.4857546171270291,0.06253753585506916,1.1704984278155572,1.4063611274646828,1.4692211543119964,2.962809553075492,0.06253753585506916,2,0,1.0210978662068397
lightgbm,8,bottom_up,False,2,1.9140568868995123,1.1792702753625186,2.0697316228126135,2.9643739478587205,0.4857546171270291,0.06253753585506916,1.1704984278155572,1.4066033305330028,1.4694797779273212,2.9643739478587205,0.06253753585506916,0,0,1.0210557754991707
lightgbm,8,bottom_up,True,2,1.9139258602044997,1.1792702753625186,2.0697316228126135,2.962809553075492,0.4857546171270291,0.06253753585506916,1.1704984278155572,1.4063611274646828,1.4692211543119964,2.962809553075492,0.06253753585506916,2,0,1.0210978662068397
lightgbm,8,wls,False,2,1.9493075736537786,1.211318846756831,2.092469959370448,3.0362060214358495,0.48507049697159077,0.073063457334236,1.1728719204113034,1.4314726108477198,1.4975903944840094,3.0362060214358495,0.073063457334236,1,6,1.0116825627701151
lightgbm,8,wls,True,2,1.9475208742577972,1.211318846756831,2.0885997846671347,3.0186503109121348,0.48507049697159077,0.073063457334236,1.1728719204113034,1.4281565273301469,1.4940494917449063,3.0186503109121348,0.073063457334236,1,6,1.0132152073026675
lightgbm,8,mint,False,2,1.9141964921486267,1.1842466581139042,2.064399314664896,3.0210474539558403,0.48567026899788013,0.10486463047225009,1.1699297354866105,1.420622079120001,1.4847366216347533,3.0210474539558403,0.10486463047225009,3,4,1.0098630269075288
lightgbm,8,mint,True,2,1.9140633208061995,1.1842466581139042,2.064399314664896,3.006931902923557,0.48567026899788013,0.10269287204619951,1.1699297354866105,1.418276296148464,1.4822318025295524,3.006931902923557,0.10269287204619951,3,4,1.011175799370483
lightgbm,8,ols,False,2,2.058417271254247,1.361941313430669,2.203201820048594,3.035098943580336,1.272379744917084,0.6035725678421686,1.6795549623866532,1.7448809462085362,1.7607650794000251,3.035098943580336,0.6035725678421686,0,7,1.097344921952486
lightgbm,8,ols,True,2,2.035556888060514,1.3452669829175852,2.1656364472460834,3.0178042810644206,1.0594590899327834,0.4025505556677168,1.57551602839116,1.657398610468609,1.6862293044639067,3.0178042810644206,0.4025505556677168,0,7,1.0743960060766302
persistence,8,independent,False,2,2.510402494199214,1.794881075460261,2.3072064700635972,3.7000608397882333,0.6653005866517833,0.0810152511625348,1.8341584597117853,1.841860739576773,1.919630374474152,3.7000608397882333,0.0810152511625348,0,0,1.4445949212341347
persistence,8,independent,True,2,2.510402494199214,1.794881075460261,2.3072064700635972,3.7000608397882333,0.6653005866517833,0.0810152511625348,1.8341584597117853,1.841860739576773,1.919630374474152,3.7000608397882333,0.0810152511625348,0,0,1.4445949212341347
persistence,8,bottom_up,False,2,2.510402494199214,1.794881075460261,2.3072064700635972,3.7000608397882333,0.6653005866517833,0.0810152511625348,1.8341584597117853,1.841860739576773,1.919630374474152,3.7000608397882333,0.0810152511625348,0,0,1.4445949212341347
persistence,8,bottom_up,True,2,2.510402494199214,1.794881075460261,2.3072064700635972,3.7000608397882333,0.6653005866517833,0.0810152511625348,1.8341584597117853,1.841860739576773,1.919630374474152,3.7000608397882333,0.0810152511625348,0,0,1.4445949212341347
persistence,8,wls,False,2,2.510402494199214,1.7948810754602582,2.307206470063596,3.700060839788235,0.665300586651783,0.08101525116253484,1.834158459711785,1.8418607395767723,1.9196303744741519,3.700060839788235,0.08101525116253484,0,0,1.444594921234134
persistence,8,wls,True,2,2.510402494199214,1.7948810754602582,2.307206470063596,3.700060839788235,0.665300586651783,0.08101525116253484,1.834158459711785,1.8418607395767723,1.9196303744741519,3.700060839788235,0.08101525116253484,0,0,1.444594921234134
persistence,8,mint,False,2,2.510402494199215,1.7948810754602629,2.3072064700635995,3.700060839788234,0.6653005866517832,0.0810152511625348,1.8341584597117855,1.8418607395767737,1.9196303744741532,3.700060839788234,0.0810152511625348,0,0,1.4445949212341358
persistence,8,mint,True,2,2.510402494199215,1.7948810754602629,2.3072064700635995,3.700060839788234,0.6653005866517832,0.0810152511625348,1.8341584597117855,1.8418607395767737,1.9196303744741532,3.700060839788234,0.0810152511625348,0,0,1.4445949212341358
persistence,8,ols,False,2,2.5104024941992122,1.7948810754602618,2.307206470063598,3.7000608397882346,0.6653005866517837,0.08101525116253482,1.8341584597117857,1.841860739576773,1.9196303744741525,3.7000608397882346,0.08101525116253482,0,0,1.4445949212341351
persistence,8,ols,True,2,2.5104024941992122,1.7948810754602618,2.307206470063598,3.7000608397882346,0.6653005866517837,0.08101525116253482,1.8341584597117857,1.841860739576773,1.9196303744741525,3.7000608397882346,0.08101525116253482,0,0,1.4445949212341351
ridge,8,independent,False,2,2.953902756497522,1.273717509707104,2.2228604587136886,4.090241647321048,0.49654056453354656,0.06881169492524976,1.232732845636379,1.7626867824763626,1.8506111700015058,4.090241647321048,0.06881169492524976,0,0,1.382419569308397
ridge,8,independent,True,2,2.8944386765447367,1.273717509707104,2.1864251072747334,3.9362962097458385,0.49654056453354656,0.06881169492524976,1.232732845636379,1.7269946583382267,1.8124992408370557,3.9362962097458385,0.06881169492524976,3,0,1.2783073381477819
ridge,8,bottom_up,False,2,2.953902756497522,1.273717509707104,2.2228604587136886,4.090241647321048,0.49654056453354656,0.06881169492524976,1.232732845636379,1.7626867824763626,1.8506111700015058,4.090241647321048,0.06881169492524976,0,0,1.2911774931730304
ridge,8,bottom_up,True,2,2.8944386765447367,1.273717509707104,2.1864251072747334,3.9362962097458385,0.49654056453354656,0.06881169492524976,1.232732845636379,1.7269946583382267,1.8124992408370557,3.9362962097458385,0.06881169492524976,3,0,1.2783073381477819
ridge,8,wls,False,2,2.9985285089476887,1.2819019579805453,2.2326140327117874,4.187871567828481,0.4967990157251879,0.06896505413683492,1.2334514679742885,1.785733086472116,1.875582031438328,4.187871567828481,0.06896505413683492,0,7,1.2933003147141477
