base_model,horizon,reconciliation_method,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,core_weighted_bottom_mae,worst_machine_mae,unit
dlinear,16,mint,1.1617250190324049,2.864148367787109,0.9843439776089307,0.5240404026732969,-0.12718152332580396,-0.06845837585216875,114.65649143487195,0.0,55.00056478166882,59.75715484956179,130.20198885551767,cpu_weighted_mean_pct
dlinear,16,wls,1.1660814235609485,2.8609796187904624,0.9881733416413004,0.5249841753130192,-0.12395150852191794,-0.0649997828732083,114.65649143487195,0.0,55.355468105006146,60.1398805369839,131.7846176532671,cpu_weighted_mean_pct
lightgbm,1,bottom_up,0.9356848042908728,2.2417014131905044,0.7938633035012707,0.7049434050463373,-0.29103112853279733,-0.09414810693894397,157.03696349193052,0.0,43.99556175213467,47.82691981374837,96.28718724708604,cpu_weighted_mean_pct
lightgbm,1,independent,1.0348402390577973,2.552428595548313,0.8775164537475172,0.6153035768976297,-0.21719493804198278,0.0,157.03696349193052,157.03696349193052,43.99556175213467,47.82691981374837,96.28718724708604,cpu_weighted_mean_pct
lightgbm,1,mint,0.9273484322256736,2.2349568500216503,0.7868084428615642,0.7060974176921423,-0.29738171263609886,-0.10226337390817984,157.03696349193052,0.0,45.114197113985746,49.04815424261236,100.59890299079092,cpu_weighted_mean_pct
lightgbm,1,wls,0.9299214185956997,2.239824371008514,0.7889301302493248,0.7048660241474064,-0.29557188315824934,-0.09997308212784617,157.03696349193052,0.0,45.44268513476187,49.43787264112032,101.10349311120434,cpu_weighted_mean_pct
lightgbm,8,bottom_up,0.9372385460468027,2.231254316737377,0.7947560164245785,0.7057505153626863,-0.28761459713447096,-0.08744220284360547,158.18196279610467,0.0,44.34722920528586,48.22441508522658,97.39887428914251,cpu_weighted_mean_pct
lightgbm,8,independent,1.0279394020858876,2.532885862610086,0.871363003248605,0.6192487548686574,-0.21932432475473193,0.0,158.18196279610467,158.18196279610467,44.34722920528586,48.22441508522658,97.39887428914251,cpu_weighted_mean_pct
lightgbm,8,mint,0.9259295504667829,2.2224224132971844,0.7850683859464113,0.7073762122744696,-0.29602510968582707,-0.09820252663678591,158.18196279610467,0.0,45.40057588395107,49.37531699268183,102.17317427346283,cpu_weighted_mean_pct
lightgbm,8,ols,0.9956209723800091,2.444474390239748,0.8439034145547099,0.6455168876204797,-0.24376006727844332,-0.03129276296591068,158.18196279610467,0.0,53.67539104581335,57.03849160642971,99.13154451064393,cpu_weighted_mean_pct
lightgbm,8,wls,0.9284787745431416,2.2292147697484257,0.7873095153659389,0.7058049350224441,-0.29423196789330947,-0.09591606766753348,158.18196279610467,0.0,45.70257665138677,49.738819404741925,102.4974137057536,cpu_weighted_mean_pct
lightgbm,16,bottom_up,0.9522354458629669,2.262700195399573,0.8084568273526543,0.701377029851051,-0.28247021694241875,-0.08806629104217818,162.3961407986088,0.0,44.85498690667953,48.78363601735438,100.11360700919884,cpu_weighted_mean_pct
lightgbm,16,independent,1.045654517507056,2.572429547348847,0.8869461763179415,0.6123992376677129,-0.21315828876064133,0.0,162.3961407986088,162.3961407986088,44.85498690667953,48.78363601735438,100.11360700919884,cpu_weighted_mean_pct
lightgbm,16,mint,0.940144392127082,2.251494437431154,0.7980389697581041,0.7032428833267735,-0.29155727618460753,-0.09959930245335137,162.3961407986088,0.0,45.96003143664168,49.99051075721141,104.84895407649036,cpu_weighted_mean_pct
lightgbm,16,wls,0.9427537715405695,2.257558816777627,0.8002703144508985,0.701973881542413,-0.28979482118701055,-0.09737955540967265,162.3961407986088,0.0,46.34387691682037,50.442569382533996,106.11925738940472,cpu_weighted_mean_pct
persistence,1,bottom_up,1.3203317692824537,3.2480193378054416,1.1201279984259347,0.3813823742381097,0.0,0.0,0.0,0.0,58.511982609700844,64.18905746846728,120.62469127847794,cpu_weighted_mean_pct
persistence,1,independent,1.3203317692824537,3.2480193378054416,1.1201279984259347,0.3813823742381097,0.0,0.0,0.0,0.0,58.511982609700844,64.18905746846728,120.62469127847794,cpu_weighted_mean_pct
persistence,1,mint,1.3203317692824488,3.248019337805447,1.1201279984259291,0.38138237423810617,2.2928154006105843e-15,2.2928154006105843e-15,0.0,0.0,58.51198260970097,64.18905746846742,120.62469127847739,cpu_weighted_mean_pct
persistence,1,wls,1.3203317692824657,3.248019337805443,1.1201279984259456,0.3813823742381093,7.895981345637608e-15,7.895981345637608e-15,0.0,0.0,58.51198260970086,64.18905746846728,120.62469127847812,cpu_weighted_mean_pct
persistence,8,bottom_up,1.3159518625014526,3.2246153625388714,1.1155259607602044,0.3869966687414746,0.0,0.0,0.0,0.0,58.297583655053735,63.96041552294502,117.44347670178195,cpu_weighted_mean_pct
persistence,8,independent,1.3159518625014526,3.2246153625388714,1.1155259607602044,0.3869966687414746,0.0,0.0,0.0,0.0,58.297583655053735,63.96041552294502,117.44347670178195,cpu_weighted_mean_pct
persistence,8,mint,1.3159518625014635,3.2246153625388785,1.1155259607602142,0.38699666874147204,7.148675449750567e-15,7.148675449750567e-15,0.0,0.0,58.29758365505379,63.96041552294508,117.44347670178225,cpu_weighted_mean_pct
persistence,8,ols,1.3159518625014532,3.2246153625388723,1.1155259607602048,0.38699666874147415,5.641844890170173e-16,5.641844890170173e-16,0.0,0.0,58.29758365505376,63.96041552294503,117.44347670178195,cpu_weighted_mean_pct
persistence,8,wls,1.3159518625014848,3.2246153625388794,1.1155259607602337,0.38699666874147237,2.1774378771016694e-14,2.1774378771016694e-14,0.0,0.0,58.29758365505385,63.96041552294512,117.4434767017832,cpu_weighted_mean_pct
persistence,16,bottom_up,1.3277964819268033,3.2520672198275236,1.1260819921823182,0.38331140710627815,0.0,0.0,0.0,0.0,58.681452242001505,64.39305577971693,119.25103475232665,cpu_weighted_mean_pct
persistence,16,independent,1.3277964819268033,3.2520672198275236,1.1260819921823182,0.38331140710627815,0.0,0.0,0.0,0.0,58.681452242001505,64.39305577971693,119.25103475232665,cpu_weighted_mean_pct
persistence,16,mint,1.3277964819267905,3.2520672198275093,1.126081992182308,0.38331140710628514,-1.4861017666639583e-14,-1.4861017666639583e-14,0.0,0.0,58.68145224200148,64.39305577971687,119.25103475232754,cpu_weighted_mean_pct
persistence,16,wls,1.327796481926846,3.252067219827536,1.1260819921823568,0.3833114071062742,2.950067163070962e-14,2.950067163070962e-14,0.0,0.0,58.681452242001775,64.39305577971723,119.25103475232851,cpu_weighted_mean_pct
ridge,1,bottom_up,1.1409492424941503,2.8225106300579346,0.9663123495146589,0.5347279417379288,-0.13823586126950826,-0.09221097914395915,121.90340099508767,0.0,54.028935724421814,58.71348978194405,127.2912340505879,cpu_weighted_mean_pct
ridge,1,independent,1.2533890446263949,2.8697342477458023,1.0628653128695549,0.5175256116866831,-0.0508598342626565,0.0,121.90340099508767,121.90340099508767,54.028935724421814,58.71348978194405,127.2912340505879,cpu_weighted_mean_pct
ridge,1,mint,1.1462067100514843,2.817589266348024,0.9710389177878896,0.5359849746695088,-0.13338776712280306,-0.08706728224732656,121.90340099508767,0.0,54.57477325131828,59.302656957156294,129.30331818729974,cpu_weighted_mean_pct
ridge,1,wls,1.1531481517017197,2.817717731479,0.977130102057204,0.5359230214546155,-0.12831682074342263,-0.08170130913978296,121.90340099508767,0.0,55.07358399783311,59.839171182262,132.10085292934752,cpu_weighted_mean_pct
ridge,8,bottom_up,1.1302619356093533,2.7927246690988032,0.9566775126700646,0.5414421264230516,-0.14314080575937202,-0.09549774583257686,121.02390566609495,0.0,53.70591122240157,58.36955475247182,124.22288430904526,cpu_weighted_mean_pct
ridge,8,independent,1.246767116474408,2.8465516442939496,1.056396017588918,0.5224834240565014,-0.05281639628346113,0.0,121.02390566609495,121.02390566609495,53.70591122240157,58.36955475247182,124.22288430904526,cpu_weighted_mean_pct
ridge,8,mint,1.137111266381804,2.789454947189249,0.9626931939163,0.5422141444623599,-0.13719784464691978,-0.0891920251511384,121.02390566609495,0.0,54.29245837302758,59.00239177186267,126.50480805585242,cpu_weighted_mean_pct
ridge,8,ols,1.2189345024158469,2.8294692965953305,1.0327037290556653,0.528371819111917,-0.07421239890301161,-0.022604368645591552,121.02390566609495,0.0,59.059791658421034,63.42713201305662,126.4748238526668,cpu_weighted_mean_pct
ridge,8,wls,1.1459098755998183,2.7912072802554984,0.9703956678304858,0.5416396768072139,-0.1307253713971329,-0.08232944185667496,121.02390566609495,0.0,54.87791569487129,59.6317615551935,129.91871919847938,cpu_weighted_mean_pct
ridge,16,bottom_up,1.1407408068996978,2.8216065033687143,0.9660398668010161,0.5373733975622873,-0.143311136708224,-0.09558844970598594,120.91612680330746,0.0,54.13062849751236,58.83506238296142,126.87678871618606,cpu_weighted_mean_pct
ridge,16,independent,1.2581797013849287,2.878736167110325,1.0668559069100905,0.5175802984307034,-0.052879216447149824,0.0,120.91612680330746,120.91612680330746,54.13062849751236,58.83506238296142,126.87678871618606,cpu_weighted_mean_pct
ridge,16,mint,1.1475028875561262,2.8189658537658406,0.9720237933286651,0.5380067020150148,-0.13744128356067925,-0.08935714491454853,120.91612680330746,0.0,54.729841139444865,59.48062743631039,129.07726543522674,cpu_weighted_mean_pct
ridge,16,wls,1.1567901147181276,2.8217838871040946,0.9801960181104744,0.5371272534141837,-0.13066989182032374,-0.08220471800743985,120.91612680330746,0.0,55.336255145707774,60.132783860188674,132.1665525953464,cpu_weighted_mean_pct
