family,family_size,model_a,method_a,model_b,method_b,fold,horizon,p_value_raw,p_value_holm,holm_rank,reject_holm_0.05,relative_mae_diff_mean,n_seeds
memory_lightgbm_reconciliation,54,lightgbm,mint,ewma,independent,2,8,0.0,0.0,3,True,0.1203872713827832,3
memory_lightgbm_reconciliation,54,lightgbm,mint,ewma,independent,2,16,0.002,0.024,43,True,0.0885582873639785,3
memory_lightgbm_reconciliation,54,lightgbm,mint,lightgbm,independent,0,1,0.754,1.0,54,False,-0.0085185597408977,3
memory_lightgbm_reconciliation,54,lightgbm,mint,lightgbm,independent,0,8,0.0,0.0,5,True,0.1521621490281456,3
memory_lightgbm_reconciliation,54,lightgbm,mint,lightgbm,independent,0,16,0.0032,0.0352,44,True,0.09269248258504,3
memory_lightgbm_reconciliation,54,lightgbm,mint,lightgbm,independent,1,1,0.0,0.0,6,True,-0.0977191061277892,3
memory_lightgbm_reconciliation,54,lightgbm,mint,lightgbm,independent,1,8,0.038,0.2352,49,False,-0.0241209323632441,3
memory_lightgbm_reconciliation,54,lightgbm,mint,lightgbm,independent,1,16,0.6751999999999999,1.0,51,False,0.0051448635920066,3
memory_lightgbm_reconciliation,54,lightgbm,mint,lightgbm,independent,2,1,0.0,0.0,7,True,-0.0766966887122207,3
memory_lightgbm_reconciliation,54,lightgbm,mint,lightgbm,independent,2,8,0.0,0.0,8,True,-0.0808300664302438,3
memory_lightgbm_reconciliation,54,lightgbm,mint,lightgbm,independent,2,16,0.0,0.0,9,True,-0.1091526852241447,3
memory_lightgbm_reconciliation,54,lightgbm,wls,ewma,independent,0,1,0.0,0.0,11,True,0.4523459406473946,3
memory_lightgbm_reconciliation,54,lightgbm,wls,ewma,independent,0,8,0.0,0.0,20,True,0.2584602163916247,3
memory_lightgbm_reconciliation,54,lightgbm,wls,ewma,independent,0,16,0.0,0.0,12,True,0.440574891761939,3
memory_lightgbm_reconciliation,54,lightgbm,wls,ewma,independent,1,1,0.0,0.0,13,True,0.4641340962236177,3
memory_lightgbm_reconciliation,54,lightgbm,wls,ewma,independent,1,8,0.0,0.0,14,True,0.5760758552973535,3
memory_lightgbm_reconciliation,54,lightgbm,wls,ewma,independent,1,16,0.0,0.0,15,True,0.6216475428866141,3
memory_lightgbm_reconciliation,54,lightgbm,wls,ewma,independent,2,1,0.0,0.0,16,True,0.1284286158109099,3
