base_model,horizon,reconciliation_method,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,core_weighted_bottom_mae,worst_machine_mae,unit,note
persistence,1,top_down,1549522849.3455029,4989637964.148261,1.1733823146893072,0.991484326874167,0.0,0.0,0.0,2.4583194880779764e-08,246208487.35392702,246208487.35392702,874235344.9469161,disk_level,
persistence,1,wls,1549522849.3582022,4989637964.148835,1.1733823146986626,0.9914843268741653,2.1414065118804242e-12,2.1414065118804242e-12,0.0,0.0,246208487.37097278,246208487.37097278,874235345.0308176,disk_level,
persistence,8,bottom_up,1550783002.8322742,4991748690.090743,1.1746993810949877,0.9914729263573102,0.0,0.0,0.0,0.0,246404372.25200734,246404372.25200737,874960962.8771363,disk_level,
persistence,8,independent,1550783002.8322742,4991748690.090743,1.1746993810949877,0.9914729263573102,0.0,0.0,0.0,0.0,246404372.25200734,246404372.25200737,874960962.8771363,disk_level,
persistence,8,mint,1550783002.865372,4991748690.089885,1.1746993811214304,0.9914729263573122,3.175114523531823e-11,3.175114523531823e-11,0.0,0.0,246404372.2647471,246404372.2647471,874960962.8484932,disk_level,
persistence,8,top_down,1550783002.8322742,4991748690.090743,1.1746993810949877,0.9914729263573102,0.0,0.0,0.0,2.4604005421856734e-08,246404372.2520074,246404372.2520074,874960962.8771366,disk_level,
persistence,8,wls,1550783002.824249,4991748690.090844,1.1746993810882975,0.9914729263573099,-4.563178652364013e-12,-4.563178652364013e-12,0.0,0.0,246404372.25616148,246404372.25616148,874960962.8840598,disk_level,
ridge,1,bottom_up,2012543448.9063501,5076398838.861408,1.5374937276367426,0.9914448545464856,0.31033837906780065,0.1599667562144432,945603562.8409365,0.0,381007280.44358516,381007280.44358516,1342170829.862117,disk_level,
ridge,1,independent,1753483059.538901,4727579842.05463,1.3328684184716542,0.9923284636392363,0.12790308703684208,0.0,945603562.8409365,945603562.8409365,381007280.44358516,381007280.44358516,1342170829.862117,disk_level,
ridge,1,mint,1779308310.6313276,4742410019.557439,1.3545296289045587,0.9923568909629233,0.14771043325405783,0.01706575932812818,945603562.8409365,0.0,391038876.06072545,391038876.06072545,1278651099.6353722,disk_level,
ridge,1,top_down,1753483059.538901,4727579842.05463,1.3328684184716542,0.9923284636392363,0.12790308703684208,0.0,945603562.8409365,8.129681847806653e-05,458737665.7052776,458737665.7052776,1309091358.9176962,disk_level,
ridge,1,wls,1811080473.228279,4783874283.049735,1.3795188335541753,0.9922667921994323,0.1714463657134052,0.03795928340953881,945603562.8409365,0.0,383448446.6936633,383448446.6936633,1271939205.7815847,disk_level,
ridge,8,bottom_up,1983094736.5554597,5077238845.113705,1.5157625409611537,0.9914355578412569,0.28340758515141723,0.13668643312152665,914334943.6199989,0.0,376422094.4616975,376422094.4616976,1309679305.5382528,disk_level,
ridge,8,independent,1753682978.3988,4729467488.144282,1.3333373066346208,0.9923196285714916,0.1271084888751705,0.0,914334943.6199989,914334943.6199989,376422094.4616975,376422094.4616976,1309679305.5382528,disk_level,
ridge,8,mint,1777454796.8365314,4745026609.103122,1.3539639847532057,0.9923437941651296,0.14301485477694972,0.013411134972663002,914334943.6199989,0.0,385868761.4709349,385868761.4709349,1263090093.7329147,disk_level,
ridge,8,top_down,1753682978.3988,4729467488.144282,1.3333373066346208,0.9923196285714916,0.1271084888751705,0.0,914334943.6199989,7.409388263087512e-05,450900986.14438677,450900986.14438677,1278815739.3126209,disk_level,
ridge,8,wls,1800387326.7885163,4787063485.737194,1.3720627315162874,0.9922520871744585,0.16005536462791245,0.02841372381230123,914334943.6199989,0.0,377517784.8503632,377517784.8503632,1246684716.06685,disk_level,
