hierarchy,base_model,horizon,method_b,relative_mae_diff,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,p_value_holm,effect_class,tradeoff_class,fold,correction_family,reject_holm_0.05,fold_consistency
memory_um,dlinear,1,mint,-0.0522352277418811,-0.0640914209680558,-0.0411082528871014,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_dlinear,True,strongly_consistent
memory_um,dlinear,1,bottom_up,0.0372716288002139,0.0158999655913403,0.0586810121214407,0.0002,0.0004,0.004,modest_degradation,accuracy_costly_coherence,2,memory_dlinear,True,mixed
memory_um,dlinear,1,wls,-0.0035353047955737,-0.0180539095405167,0.0104417790069545,0.7128,0.5744,1.0,accuracy_neutral,coherence_only,2,memory_dlinear,False,strongly_consistent
memory_um,dlinear,1,mint,-0.0043763673896841,-0.0186584939309386,0.0094033390603999,0.7544,0.4912,1.0,accuracy_neutral,coherence_only,2,memory_dlinear,False,strongly_consistent
memory_um,dlinear,8,bottom_up,-0.0746748541921336,-0.0924961549142144,-0.0596222308611886,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_dlinear,True,mixed
memory_um,dlinear,8,wls,-0.057975623895966,-0.0691552853408673,-0.0485625070124677,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_dlinear,True,directionally_consistent
memory_um,dlinear,8,mint,-0.0629671044133801,-0.0755997717230397,-0.0523684428534897,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_dlinear,True,directionally_consistent
memory_um,dlinear,8,bottom_up,-0.0449329172806766,-0.0607328717786086,-0.0291295520992021,1.0,0.0,0.0,modest_improvement,pareto_improvement,1,memory_dlinear,True,mixed
memory_um,dlinear,8,wls,-0.0500623260177254,-0.0615215945596341,-0.0391065816835214,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_dlinear,True,directionally_consistent
memory_um,dlinear,8,mint,-0.0498723946311061,-0.0611708773162349,-0.0390553745316488,1.0,0.0,0.0,modest_improvement,pareto_improvement,1,memory_dlinear,True,directionally_consistent
memory_um,dlinear,8,bottom_up,0.053409011696849,0.0338274502857811,0.0727872697150738,0.0,0.0,0.0,substantial_degradation,accuracy_costly_coherence,2,memory_dlinear,True,mixed
memory_um,dlinear,8,wls,0.0100122789381296,-0.0034148206018324,0.0229264654152364,0.0682,0.1364,0.9548,accuracy_neutral,coherence_only,2,memory_dlinear,False,directionally_consistent
memory_um,dlinear,8,mint,0.0084640652303884,-0.0046256552711941,0.0210444916461894,0.0964,0.1928,1.0,accuracy_neutral,coherence_only,2,memory_dlinear,False,directionally_consistent
memory_um,dlinear,16,bottom_up,-0.0776700563064764,-0.0958323722520203,-0.060943306769578,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_dlinear,True,mixed
memory_um,dlinear,16,wls,-0.0601635627079821,-0.071452386535121,-0.0498047463967283,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_dlinear,True,directionally_consistent
memory_um,dlinear,16,mint,-0.06468378856975,-0.0772608623479455,-0.0531189719255318,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_dlinear,True,directionally_consistent
memory_um,dlinear,16,bottom_up,-0.0482237274223929,-0.0663073923148127,-0.0318920316223034,1.0,0.0,0.0,modest_improvement,pareto_improvement,1,memory_dlinear,True,mixed
memory_um,dlinear,16,wls,-0.0540295909737867,-0.0676328480177145,-0.0423768647874978,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_dlinear,True,directionally_consistent
memory_um,dlinear,16,mint,-0.0537485334009948,-0.067206996354761,-0.0422884335529843,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_dlinear,True,directionally_consistent
memory_um,dlinear,16,bottom_up,0.0549255367177263,0.0340979738745372,0.0747131584752613,0.0,0.0,0.0,substantial_degradation,accuracy_costly_coherence,2,memory_dlinear,True,mixed
memory_um,dlinear,16,wls,0.0085910806990151,-0.0052717018245827,0.0215691533535125,0.1086,0.2172,1.0,accuracy_neutral,coherence_only,2,memory_dlinear,False,directionally_consistent
memory_um,dlinear,16,mint,0.0071825967911129,-0.0063359186997314,0.0198379873526651,0.149,0.298,1.0,accuracy_neutral,coherence_only,2,memory_dlinear,False,directionally_consistent
cpu_core_weighted,persistence,1,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,0,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,1,wls,3.0207220853050574e-14,2.5392792771379115e-14,3.5700250927505564e-14,0.0,0.0,,accuracy_neutral,coherence_only,0,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,1,mint,-6.789021462121037e-14,-8.01847708387471e-14,-5.751658430270586e-14,1.0,0.0,,accuracy_neutral,coherence_only,0,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,1,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,1,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,1,wls,-6.424592459938953e-15,-8.297086754601769e-15,-4.876656624461715e-15,1.0,0.0,,accuracy_neutral,coherence_only,1,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,1,mint,7.515215843573207e-14,6.395999941201735e-14,8.958442181689028e-14,0.0,0.0,,accuracy_neutral,coherence_only,1,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,1,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,2,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,1,wls,-1.8969194946905939e-16,-4.086864946248478e-16,9.945317045839909e-18,0.9664,0.0672,,accuracy_neutral,coherence_only,2,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,1,mint,-4.0478595996236084e-16,-6.7364826207771e-16,-1.6439423871643286e-16,1.0,0.0,,accuracy_neutral,coherence_only,2,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,8,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,0,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,8,wls,8.805743069521101e-14,7.546514890785764e-14,1.0475291012863131e-13,0.0,0.0,,accuracy_neutral,coherence_only,0,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,8,mint,3.0605963941428746e-14,2.5959028072010734e-14,3.657351634933701e-14,0.0,0.0,,accuracy_neutral,coherence_only,0,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,8,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,1,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,8,wls,-2.2615595730165183e-14,-2.7101379918834452e-14,-1.9170152749732735e-14,1.0,0.0,,accuracy_neutral,coherence_only,1,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,8,mint,-9.927989226359416e-15,-1.3296767342753871e-14,-7.590583036882079e-15,1.0,0.0,,accuracy_neutral,coherence_only,1,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,8,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,2,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,8,wls,-4.3654820672152247e-16,-6.14339867061575e-16,-2.6207303524509083e-16,1.0,0.0,,accuracy_neutral,coherence_only,2,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,8,mint,7.023578739985497e-16,4.147307230069736e-16,9.832603032075056e-16,0.0,0.0,,accuracy_neutral,coherence_only,2,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,16,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,0,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,16,wls,9.826461548663655e-14,8.333799883626899e-14,1.1822426595532341e-13,0.0,0.0,,accuracy_neutral,coherence_only,0,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,16,mint,3.6166889416928757e-14,2.930493661856882e-14,4.4746065742091356e-14,0.0,0.0,,accuracy_neutral,coherence_only,0,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,16,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,1,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,16,wls,-9.947149896156512e-15,-1.2611004691775964e-14,-7.80746483141356e-15,1.0,0.0,,accuracy_neutral,coherence_only,1,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,16,mint,-7.996161488312642e-14,-9.550588848755269e-14,-6.784023500559813e-14,1.0,0.0,,accuracy_neutral,coherence_only,1,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,persistence,16,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,2,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,16,wls,3.6061349789149334e-16,-1.7072334743911038e-17,7.470861760662342e-16,0.0306,0.0612,,accuracy_neutral,coherence_only,2,cpu_persistence_descriptive,False,mixed
cpu_core_weighted,persistence,16,mint,-4.756460526884258e-16,-6.144413437810315e-16,-3.3804830432904747e-16,1.0,0.0,,accuracy_neutral,coherence_only,2,cpu_persistence_descriptive,False,directionally_consistent
cpu_core_weighted,ridge,1,bottom_up,-0.1016320551448976,-0.1239834798056071,-0.0808261094333471,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,1,wls,-0.0861078601433608,-0.1021968361223216,-0.0721095152031203,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,0,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,1,mint,-0.0968932719375758,-0.1161657290892993,-0.079772380966954,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,1,bottom_up,-0.1180861419290179,-0.1436964551240965,-0.0972115920652999,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,1,wls,-0.0998326504954527,-0.1180836908826441,-0.085593598140774,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,1,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,1,mint,-0.1025766055163394,-0.121555918016311,-0.0877356867488779,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,1,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,1,bottom_up,-0.0569147403579616,-0.0744573759620417,-0.0385993252128469,1.0,0.0,0.0,substantial_improvement,pareto_improvement,2,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,1,wls,-0.0591634167805351,-0.0713103069231957,-0.0471904260325691,1.0,0.0,0.0,substantial_improvement,pareto_improvement,2,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,1,mint,-0.061731969288064,-0.0757499952047544,-0.047809532712166,1.0,0.0,0.0,substantial_improvement,pareto_improvement,2,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,8,bottom_up,-0.1036504194909226,-0.1291084891454615,-0.0814518409244521,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,8,wls,-0.0844394502612562,-0.1015517573247701,-0.0701773282333742,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,0,cpu_ridge,True,strongly_consistent
cpu_core_weighted,ridge,8,mint,-0.0983184707010131,-0.1200166506022386,-0.0796783453760919,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,cpu_ridge,True,strongly_consistent
