base_model,horizon,reconciliation_method,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,core_weighted_bottom_mae,worst_machine_mae,unit
dlinear,16,mint,1042465539.1172558,3352223081.831408,1.0940322831063123,0.4955581182579744,-0.016868200045891128,-0.03708324172654399,385324950.22665375,0.0,223110798.14171755,223110798.14171755,490586021.69716144,memory_bytes
dlinear,16,wls,1044916143.4172401,3352802070.2638087,1.0967597588953968,0.49538194821286,-0.014904583812738915,-0.03520069099425121,385324950.22665375,0.0,223938956.99174738,223938956.99174738,492349577.92394,memory_bytes
lightgbm,1,bottom_up,1481679445.3028095,3277847990.175156,1.5762092797155463,0.5232978538411038,0.38232823302538216,-0.021352159612311777,995930585.9808592,0.0,325984565.6064082,325984565.6064082,840881289.8489653,memory_bytes
lightgbm,1,independent,1488193766.9964402,3510058846.6710534,1.570992121892015,0.45352690038989474,0.41441928453045646,0.0,995930585.9808592,995930585.9808592,325984565.6064082,325984565.6064082,840881289.8489653,memory_bytes
lightgbm,1,mint,1406588259.4474704,3281227127.809999,1.4891816595053775,0.5224398301959211,0.32716998773390477,-0.06097811819363597,995930585.9808592,0.0,339309902.73459786,339309902.73459786,844765518.8105545,memory_bytes
lightgbm,1,wls,1419508285.605177,3273905932.2401175,1.5039108154068643,0.5242028836326393,0.33743794778504554,-0.053780557209614575,995930585.9808592,0.0,336503093.0746227,336503093.0746227,848777759.6446091,memory_bytes
lightgbm,8,bottom_up,1505647309.952616,3299766965.599831,1.5973101086160832,0.5158195656349899,0.42073364870299024,0.07821262514348318,1119933885.527624,0.0,331543839.57434577,331543839.5743458,862604650.1596025,memory_bytes
lightgbm,8,independent,1379283139.5443852,3449229034.940361,1.4450779115219257,0.47013974938423325,0.3299137393286267,0.0,1119933885.527624,1119933885.527624,331543839.57434577,331543839.5743458,862604650.1596025,memory_bytes
lightgbm,8,mint,1411840711.6741111,3261386867.554997,1.4908399926932379,0.5261741615950216,0.3443989233794464,0.015737050078219173,1119933885.527624,0.0,342068731.4863618,342068731.4863618,860017443.9986801,memory_bytes
lightgbm,8,ols,1334869751.805214,3386144684.408877,1.3967442137096981,0.48901333885051307,0.291262199133475,-0.03097949268221258,1119933885.527624,0.0,379744312.2106975,379744312.2106975,833234832.8505095,memory_bytes
lightgbm,8,wls,1364959093.3925555,3255084130.8472333,1.4367479911342647,0.5277465432289229,0.30816679912887773,-0.014889287059624003,1119933885.527624,0.0,345651930.6389504,345651930.6389504,860295691.0402538,memory_bytes
lightgbm,16,bottom_up,1546926332.6273165,3323145732.7996955,1.6450829715660111,0.5087567921871107,0.4603289254355167,0.049018918189384954,1030054598.2062894,0.0,328978081.7706476,328978081.7706476,885975103.6571912,memory_bytes
lightgbm,16,independent,1449913003.3757193,3494810298.0061646,1.5264132735377955,0.45679156980040175,0.3862280453392617,0.0,1030054598.2062894,1030054598.2062894,328978081.7706476,328978081.7706476,885975103.6571912,memory_bytes
lightgbm,16,mint,1459765802.3652656,3296511850.7129593,1.546795099107215,0.5163557633838982,0.38652992603297337,-0.0037717796823659305,1030054598.2062894,0.0,339498585.1226536,339498585.1226536,884106814.599706,memory_bytes
lightgbm,16,wls,1443892562.7683022,3300264064.3827224,1.5280745954702901,0.515314515568417,0.374590003673364,-0.012428758353478805,1030054598.2062894,0.0,341661917.51053625,341661917.51053625,885711120.1058382,memory_bytes
persistence,1,bottom_up,1060130265.5337278,3793024865.9364967,1.114499118139063,0.3562438709169021,0.0,0.0,0.0,0.0,192241533.99799538,192241533.99799538,383844238.92720366,memory_bytes
persistence,1,independent,1060130265.5337278,3793024865.9364967,1.114499118139063,0.3562438709169021,0.0,0.0,0.0,0.0,192241533.99799538,192241533.99799538,383844238.92720366,memory_bytes
persistence,1,mint,1060130265.5355285,3793024865.936477,1.1144991181408994,0.35624387091690674,1.5617126336779047e-12,1.5617126336779047e-12,0.0,0.0,192241533.99402347,192241533.99402347,383844238.9205658,memory_bytes
persistence,1,wls,1060130265.5332527,3793024865.936504,1.1144991181385877,0.3562438709169002,-4.138700828109607e-13,-4.138700828109607e-13,0.0,0.0,192241533.99862027,192241533.99862027,383844238.92640513,memory_bytes
persistence,8,bottom_up,1059679844.4118851,3793753633.86451,1.1133630070860703,0.3556739479038386,0.0,0.0,0.0,0.0,192197141.4006243,192197141.4006243,383805441.91339016,memory_bytes
persistence,8,independent,1059679844.4118851,3793753633.86451,1.1133630070860703,0.3556739479038386,0.0,0.0,0.0,0.0,192197141.4006243,192197141.4006243,383805441.91339016,memory_bytes
persistence,8,mint,1059679844.4119927,3793753633.8645043,1.113363007086155,0.35567394790384066,1.316276376226632e-13,1.316276376226632e-13,0.0,0.0,192197141.4010903,192197141.40109026,383805441.9221292,memory_bytes
persistence,8,ols,1059679844.4118867,3793753633.864512,1.113363007086072,0.3556739479038378,1.4424376352812645e-15,1.4424376352812645e-15,0.0,0.0,192197141.40062347,192197141.40062347,383805441.9133895,memory_bytes
persistence,8,wls,1059679844.4117748,3793753633.864511,1.1133630070859464,0.35567394790383844,-6.08589611895252e-14,-6.08589611895252e-14,0.0,0.0,192197141.40166172,192197141.40166172,383805441.91688126,memory_bytes
persistence,16,bottom_up,1058049629.858864,3788234009.2125077,1.1115011364248557,0.3560648171365098,0.0,0.0,0.0,0.0,191973124.7246809,191973124.7246809,383603348.95737815,memory_bytes
persistence,16,independent,1058049629.858864,3788234009.2125077,1.1115011364248557,0.3560648171365098,0.0,0.0,0.0,0.0,191973124.7246809,191973124.7246809,383603348.95737815,memory_bytes
persistence,16,mint,1058049629.8586489,3788234009.2125125,1.1115011364246576,0.35606481713650795,-1.9416413916453704e-13,-1.9416413916453704e-13,0.0,0.0,191973124.726351,191973124.726351,383603348.96571016,memory_bytes
persistence,16,wls,1058049629.8588299,3788234009.2124915,1.1115011364248277,0.3560648171365159,-1.680087401508008e-14,-1.680087401508008e-14,0.0,0.0,191973124.72616807,191973124.72616807,383603348.96868277,memory_bytes
ridge,1,bottom_up,1053284282.2430868,3369079514.399451,1.1045890806548408,0.4916235659144816,-0.008552579658917961,-0.027279734451361958,398158437.06104183,0.0,221326800.50993642,221326800.50993642,502290266.02808875,memory_bytes
ridge,1,independent,1085329875.9505737,3372382751.921577,1.1425301133409644,0.4914965241405333,0.019445825979093858,0.0,398158437.06104183,398158437.06104183,221326800.50993642,221326800.50993642,502290266.02808875,memory_bytes
ridge,1,mint,1039897838.0820197,3353820321.529358,1.092186177418063,0.4966039534750868,-0.02213241103413002,-0.04069904061081465,398158437.06104183,0.0,220404924.00665197,220404924.00665197,491009721.54827833,memory_bytes
ridge,1,wls,1041037884.1961557,3353933732.2113304,1.093469481141733,0.49656112377661515,-0.02124656573520135,-0.03985532894416283,398158437.06104183,0.0,220834192.33862007,220834192.33862007,492172819.7239998,memory_bytes
ridge,8,bottom_up,1053212512.2921486,3370061167.884895,1.103868216051857,0.4910820688935602,-0.008231620451311478,-0.02730614891231246,398385331.9792436,0.0,221301976.27120617,221301976.27120617,501919150.81843513,memory_bytes
ridge,8,independent,1085300768.7920954,3373358553.6612496,1.1418449142157423,0.4909563664721887,0.01981983176569713,0.0,398385331.9792436,398385331.9792436,221301976.27120617,221301976.27120617,501919150.81843513,memory_bytes
ridge,8,mint,1041630324.0657748,3354804624.698256,1.0935544782811617,0.4960662818437284,-0.020421324202856944,-0.03940466945912235,398385331.9792436,0.0,221879283.4163036,221879283.4163036,494352052.0434242,memory_bytes
ridge,8,ols,1070917205.6423079,3364978812.9534035,1.1263517446211722,0.49341751960999974,0.006372075614151533,-0.013186272502076572,398385331.9792436,0.0,236855731.3821493,236855731.3821493,493753280.8972206,memory_bytes
ridge,8,wls,1043191906.8191162,3355188146.9781,1.0953208572342665,0.4959552142360503,-0.019204896111927234,-0.03824657027671772,398385331.9792436,0.0,222733445.57544604,222733445.57544604,496027077.5731066,memory_bytes
ridge,16,bottom_up,1052323521.1740385,3364895955.0858574,1.1027984707792104,0.491458714605385,-0.00770851279715955,-0.027642249894397248,398505628.0601147,0.0,221150633.24914607,221150633.249146,501554221.1463488,memory_bytes
ridge,16,independent,1084685745.6566374,3368640818.7129884,1.1410775162600608,0.49120740388209333,0.020728706077872267,0.0,398505628.0601147,398505628.0601147,221150633.24914607,221150633.249146,501554221.1463488,memory_bytes
ridge,16,mint,1041021866.8551687,3349786461.2551064,1.092794818493668,0.4964045963927779,-0.01962378644395684,-0.0394722440542018,398505628.0601147,0.0,221785549.19382766,221785549.19382766,493864314.91403884,memory_bytes
ridge,16,wls,1042459906.5165892,3350170700.76621,1.0944188019055716,0.4962935529211136,-0.018501098848108546,-0.03840589913245749,398505628.0601147,0.0,222587122.56193623,222587122.56193623,495552621.43879676,memory_bytes
