hierarchy,fold,horizon,seed,reconciliation_method,base_model,source,top_mae_native,top_mae_report,top_rmse_report,top_r2,mase,mase_valid,coherence_error_before,coherence_error_after,is_coherent_after,bottom_mae_mean_native,bottom_mae_weighted_native,worst_machine_mae_native,neg_pred_rate,prediction_hash,model_config_hash,cpu_core_total,report_unit,rel_mae_vs_independent,pct_vs_independent,persistence_mae_native,ewma_mae_native,ridge_mae_native,strongest_det_mae_native,strongest_det_name,rel_mae_vs_persistence,rel_mae_vs_ewma,rel_mae_vs_ridge,rel_mae_vs_strongest_det
cpu_core_weighted,1,1,2,bottom_up,lightgbm,robustness_extension,184.2086048769985,0.7805449359194851,1.8930558797082382,0.6891013543734275,0.6652568674291109,True,127.44703509795418,0.0,True,36.358867073253336,39.72936029891445,71.11039077317638,0.0,d071f40c016ca7bf,9c347608ec61ce96,236.0,weighted_mean_pct,0.9228207476334661,-7.7179252366533895,258.5864403621402,256.62658002027604,245.11569310811487,245.11569310811487,ridge,0.712367611461071,0.7178079716545503,0.7515169777226313,0.7515169777226313
cpu_core_weighted,1,1,2,wls,lightgbm,robustness_extension,182.51413291746803,0.7733649699892713,1.9103525960443182,0.6833940820476816,0.6591373970140539,True,127.44703509795418,0.0,True,37.64921956318953,41.10655059351855,75.283508048343,0.0,d071f40c016ca7bf,9c347608ec61ce96,236.0,weighted_mean_pct,0.9143320351676073,-8.56679648323927,258.5864403621402,256.62658002027604,245.11569310811487,245.11569310811487,ridge,0.7058147854228711,0.7112051016034567,0.7446040300527199,0.7446040300527199
cpu_core_weighted,1,1,2,mint,lightgbm,robustness_extension,182.4483517490206,0.7730862362246635,1.907810600638097,0.6842360997287757,0.6588998327912187,True,127.44703509795418,0.0,True,37.609470211005124,41.06388278964179,75.8418802431684,0.0,d071f40c016ca7bf,9c347608ec61ce96,236.0,weighted_mean_pct,0.9140024944977378,-8.599750550226215,258.5864403621402,256.62658002027604,245.11569310811487,245.11569310811487,ridge,0.7055603978828465,0.7109487713026662,0.744335662215421,0.744335662215421
cpu_core_weighted,1,8,0,independent,lightgbm,experiment-freeze-v2:cpu_classical,203.41532062603233,0.8619293246865777,2.249970018893037,0.5791503092392865,0.734471753703455,True,132.7397281498307,132.7397281498307,False,37.06789243844397,40.52554304987271,74.94490068696513,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7747030606248618,0.780260739846751,0.8192393082528031,0.8192393082528031
cpu_core_weighted,1,8,0,bottom_up,lightgbm,experiment-freeze-v2:cpu_classical,187.40980051017198,0.794109324195644,1.9388705578793837,0.6874847736731224,0.6766806178526609,True,132.7397281498307,0.0,True,37.06789243844397,40.52554304987271,74.94490068696513,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,0.9213160539402753,-7.8683946059724725,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7137463667903514,0.7188667458801283,0.7547783267122333,0.7547783267122333
cpu_core_weighted,1,8,0,wls,lightgbm,experiment-freeze-v2:cpu_classical,185.82508342537633,0.7873944212939675,1.9529414288426397,0.6829323111228862,0.6709586794420653,True,132.7397281498307,0.0,True,38.482206354752705,42.03656857217919,79.7016803272947,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,0.91352550463495,-8.647449536505004,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7077110043995671,0.7127880861153427,0.7483960024884294,0.7483960024884294
cpu_core_weighted,1,8,0,mint,lightgbm,experiment-freeze-v2:cpu_classical,185.9183338845139,0.7877895503581098,1.9553754720650365,0.6821414656975948,0.6712953789003246,True,132.7397281498307,0.0,True,38.619719431439236,42.18222904698643,81.24147314697036,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,0.9139839286064119,-8.601607139358814,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7080661468533225,0.713145776342479,0.7487715614256963,0.7487715614256963
cpu_core_weighted,1,8,1,independent,lightgbm,robustness_extension,203.41532062603233,0.8619293246865777,2.249970018893037,0.5791503092392865,0.734471753703455,True,132.7397281498307,132.7397281498307,False,37.06789243844397,40.52554304987271,74.94490068696513,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7747030606248618,0.780260739846751,0.8192393082528031,0.8192393082528031
cpu_core_weighted,1,8,1,bottom_up,lightgbm,robustness_extension,187.40980051017198,0.794109324195644,1.9388705578793837,0.6874847736731224,0.6766806178526609,True,132.7397281498307,0.0,True,37.06789243844397,40.52554304987271,74.94490068696513,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,0.9213160539402753,-7.8683946059724725,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7137463667903514,0.7188667458801283,0.7547783267122333,0.7547783267122333
cpu_core_weighted,1,8,1,wls,lightgbm,robustness_extension,185.82508342537633,0.7873944212939675,1.9529414288426397,0.6829323111228862,0.6709586794420653,True,132.7397281498307,0.0,True,38.482206354752705,42.03656857217919,79.7016803272947,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,0.91352550463495,-8.647449536505004,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7077110043995671,0.7127880861153427,0.7483960024884294,0.7483960024884294
cpu_core_weighted,1,8,1,mint,lightgbm,robustness_extension,185.9183338845139,0.7877895503581098,1.9553754720650365,0.6821414656975948,0.6712953789003246,True,132.7397281498307,0.0,True,38.619719431439236,42.18222904698643,81.24147314697036,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,0.9139839286064119,-8.601607139358814,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7080661468533225,0.713145776342479,0.7487715614256963,0.7487715614256963
cpu_core_weighted,1,8,2,independent,lightgbm,robustness_extension,203.41532062603233,0.8619293246865777,2.249970018893037,0.5791503092392865,0.734471753703455,True,132.7397281498307,132.7397281498307,False,37.06789243844397,40.52554304987271,74.94490068696513,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7747030606248618,0.780260739846751,0.8192393082528031,0.8192393082528031
cpu_core_weighted,1,8,2,bottom_up,lightgbm,robustness_extension,187.40980051017198,0.794109324195644,1.9388705578793837,0.6874847736731224,0.6766806178526609,True,132.7397281498307,0.0,True,37.06789243844397,40.52554304987271,74.94490068696513,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,0.9213160539402753,-7.8683946059724725,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7137463667903514,0.7188667458801283,0.7547783267122333,0.7547783267122333
cpu_core_weighted,1,8,2,wls,lightgbm,robustness_extension,185.82508342537633,0.7873944212939675,1.9529414288426397,0.6829323111228862,0.6709586794420653,True,132.7397281498307,0.0,True,38.482206354752705,42.03656857217919,79.7016803272947,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,0.91352550463495,-8.647449536505004,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7077110043995671,0.7127880861153427,0.7483960024884294,0.7483960024884294
cpu_core_weighted,1,8,2,mint,lightgbm,robustness_extension,185.9183338845139,0.7877895503581098,1.9553754720650365,0.6821414656975948,0.6712953789003246,True,132.7397281498307,0.0,True,38.619719431439236,42.18222904698643,81.24147314697036,0.0,6039048a21d593fb,9c347608ec61ce96,236.0,weighted_mean_pct,0.9139839286064119,-8.601607139358814,262.57198527389465,260.7017247413789,248.29780331202304,248.29780331202304,ridge,0.7080661468533225,0.713145776342479,0.7487715614256963,0.7487715614256963
cpu_core_weighted,1,16,0,independent,lightgbm,experiment-freeze-v2:cpu_classical,204.10462604428758,0.8648501103571508,2.2412463840790693,0.5832662560647157,0.7391141000369573,True,131.29275142248974,131.29275142248974,False,37.279213009793736,40.75235088587013,78.79765919135743,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.7780138220116474,0.7820501487732457,0.8257584112359773,0.8257584112359773
cpu_core_weighted,1,16,0,bottom_up,lightgbm,experiment-freeze-v2:cpu_classical,188.65694801071996,0.7993938475030506,1.927379827117031,0.6918131653824777,0.683174179082086,True,131.29275142248974,0.0,True,37.279213009793736,40.75235088587013,78.79765919135743,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,0.9243149048948273,-7.5685095105172735,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.719129771899557,0.7228606088863281,0.763260807347686,0.763260807347686
cpu_core_weighted,1,16,0,wls,lightgbm,experiment-freeze-v2:cpu_classical,186.26845760643627,0.7892731254510011,1.9513353391452983,0.6841046133143234,0.6745248555962675,True,131.29275142248974,0.0,True,38.623700186827136,42.18933316541929,82.42674560724379,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,0.9126126203823468,-8.73873796176532,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.7100252327997343,0.7137088355423559,0.7535975474808287,0.7535975474808287
cpu_core_weighted,1,16,0,mint,lightgbm,experiment-freeze-v2:cpu_classical,186.48444704527293,0.7901883349375972,1.9579000720008366,0.6819755511325507,0.6753070075876124,True,131.29275142248974,0.0,True,38.85430956611954,42.434177774513365,84.42462165074811,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,0.9136708494045042,-8.632915059549584,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.7108485496058267,0.7145364237065703,0.7544713889968893,0.7544713889968893
cpu_core_weighted,1,16,1,independent,lightgbm,robustness_extension,204.10462604428758,0.8648501103571508,2.2412463840790693,0.5832662560647157,0.7391141000369573,True,131.29275142248974,131.29275142248974,False,37.279213009793736,40.75235088587013,78.79765919135743,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.7780138220116474,0.7820501487732457,0.8257584112359773,0.8257584112359773
cpu_core_weighted,1,16,1,bottom_up,lightgbm,robustness_extension,188.65694801071996,0.7993938475030506,1.927379827117031,0.6918131653824777,0.683174179082086,True,131.29275142248974,0.0,True,37.279213009793736,40.75235088587013,78.79765919135743,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,0.9243149048948273,-7.5685095105172735,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.719129771899557,0.7228606088863281,0.763260807347686,0.763260807347686
cpu_core_weighted,1,16,1,wls,lightgbm,robustness_extension,186.26845760643627,0.7892731254510011,1.9513353391452983,0.6841046133143234,0.6745248555962675,True,131.29275142248974,0.0,True,38.623700186827136,42.18933316541929,82.42674560724379,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,0.9126126203823468,-8.73873796176532,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.7100252327997343,0.7137088355423559,0.7535975474808287,0.7535975474808287
cpu_core_weighted,1,16,1,mint,lightgbm,robustness_extension,186.48444704527293,0.7901883349375972,1.9579000720008366,0.6819755511325507,0.6753070075876124,True,131.29275142248974,0.0,True,38.85430956611954,42.434177774513365,84.42462165074811,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,0.9136708494045042,-8.632915059549584,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.7108485496058267,0.7145364237065703,0.7544713889968893,0.7544713889968893
cpu_core_weighted,1,16,2,independent,lightgbm,robustness_extension,204.10462604428758,0.8648501103571508,2.2412463840790693,0.5832662560647157,0.7391141000369573,True,131.29275142248974,131.29275142248974,False,37.279213009793736,40.75235088587013,78.79765919135743,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.7780138220116474,0.7820501487732457,0.8257584112359773,0.8257584112359773
cpu_core_weighted,1,16,2,bottom_up,lightgbm,robustness_extension,188.65694801071996,0.7993938475030506,1.927379827117031,0.6918131653824777,0.683174179082086,True,131.29275142248974,0.0,True,37.279213009793736,40.75235088587013,78.79765919135743,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,0.9243149048948273,-7.5685095105172735,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.719129771899557,0.7228606088863281,0.763260807347686,0.763260807347686
cpu_core_weighted,1,16,2,wls,lightgbm,robustness_extension,186.26845760643627,0.7892731254510011,1.9513353391452983,0.6841046133143234,0.6745248555962675,True,131.29275142248974,0.0,True,38.623700186827136,42.18933316541929,82.42674560724379,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,0.9126126203823468,-8.73873796176532,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.7100252327997343,0.7137088355423559,0.7535975474808287,0.7535975474808287
cpu_core_weighted,1,16,2,mint,lightgbm,robustness_extension,186.48444704527293,0.7901883349375972,1.9579000720008366,0.6819755511325507,0.6753070075876124,True,131.29275142248974,0.0,True,38.85430956611954,42.434177774513365,84.42462165074811,0.0,5b5c6fb927b79727,9c347608ec61ce96,236.0,weighted_mean_pct,0.9136708494045042,-8.632915059549584,262.3406169270242,260.986621336821,247.1723245770978,247.1723245770978,ridge,0.7108485496058267,0.7145364237065703,0.7544713889968893,0.7544713889968893
cpu_core_weighted,2,1,0,independent,lightgbm,experiment-freeze-v2:cpu_classical,271.2151801330483,1.1492168649705437,2.6708442304410247,0.630757544083306,0.9088161838962237,True,171.5725267317513,171.5725267317513,False,49.01390804078175,53.10746064417921,105.84451488511195,0.0,ccf8016708743f12,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,340.98623646102516,341.92643847281437,326.8086251064241,326.8086251064241,ridge,0.7953845379446812,0.7931974530674143,0.8298899089481743,0.8298899089481743
cpu_core_weighted,2,1,0,bottom_up,lightgbm,experiment-freeze-v2:cpu_classical,240.85099284413184,1.0205550544242874,2.323442234373631,0.7205666287462977,0.8070686902438183,True,171.5725267317513,0.0,True,49.01390804078175,53.10746064417921,105.84451488511195,0.0,ccf8016708743f12,9c347608ec61ce96,236.0,weighted_mean_pct,0.8880439241121353,-11.195607588786471,340.98623646102516,341.92643847281437,326.8086251064241,326.8086251064241,ridge,0.7063364062545122,0.7043941788177378,0.7369786913233993,0.7369786913233993
