hierarchy,base_model,horizon,fold,method_b,relative_mae_diff,rel_ci_low,rel_ci_high,rel_ci_crosses_zero,prob_improvement,p_value_raw,n_boot,block_length,n_paired
memory_um,dlinear,8,0,mint,-0.06296710441338019,-0.07559977172303975,-0.05236844285348976,False,1.0,0.0,5000,32,8269
memory_um,dlinear,8,1,bottom_up,-0.04493291728067666,-0.0607328717786086,-0.029129552099202177,False,1.0,0.0,5000,32,8269
memory_um,dlinear,8,1,wls,-0.050062326017725436,-0.0615215945596341,-0.039106581683521456,False,1.0,0.0,5000,32,8269
memory_um,dlinear,8,1,mint,-0.04987239463110615,-0.061170877316234946,-0.0390553745316488,False,1.0,0.0,5000,32,8269
memory_um,dlinear,8,2,bottom_up,0.053409011696849015,0.03382745028578118,0.07278726971507388,False,0.0,0.0,5000,32,8272
memory_um,dlinear,8,2,wls,0.010012278938129636,-0.003414820601832415,0.022926465415236415,True,0.0682,0.1364,5000,32,8272
memory_um,dlinear,8,2,mint,0.008464065230388465,-0.004625655271194149,0.02104449164618948,True,0.0964,0.1928,5000,32,8272
memory_um,dlinear,16,0,bottom_up,-0.07767005630647647,-0.09583237225202033,-0.060943306769578084,False,1.0,0.0,5000,32,8261
memory_um,dlinear,16,0,wls,-0.06016356270798215,-0.07145238653512102,-0.04980474639672836,False,1.0,0.0,5000,32,8261
memory_um,dlinear,16,0,mint,-0.06468378856975,-0.07726086234794557,-0.05311897192553187,False,1.0,0.0,5000,32,8261
memory_um,dlinear,16,1,bottom_up,-0.04822372742239296,-0.06630739231481272,-0.03189203162230347,False,1.0,0.0,5000,32,8261
memory_um,dlinear,16,1,wls,-0.05402959097378673,-0.06763284801771452,-0.04237686478749781,False,1.0,0.0,5000,32,8261
memory_um,dlinear,16,1,mint,-0.05374853340099483,-0.067206996354761,-0.04228843355298437,False,1.0,0.0,5000,32,8261
memory_um,dlinear,16,2,bottom_up,0.05492553671772631,0.034097973874537224,0.07471315847526137,False,0.0,0.0,5000,32,8264
memory_um,dlinear,16,2,wls,0.008591080699015178,-0.005271701824582712,0.02156915335351254,True,0.1086,0.2172,5000,32,8264
memory_um,dlinear,16,2,mint,0.007182596791112924,-0.00633591869973144,0.019837987352665194,True,0.149,0.298,5000,32,8264
cpu_core_weighted,persistence,1,0,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,4847
cpu_core_weighted,persistence,1,0,wls,3.0207220853050574e-14,2.5392792771379115e-14,3.570025092750556e-14,False,0.0,0.0,5000,32,4847
cpu_core_weighted,persistence,1,0,mint,-6.789021462121036e-14,-8.018477083874709e-14,-5.751658430270586e-14,False,1.0,0.0,5000,32,4847
cpu_core_weighted,persistence,1,1,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,5261
cpu_core_weighted,persistence,1,1,wls,-6.4245924599389525e-15,-8.297086754601769e-15,-4.876656624461715e-15,False,1.0,0.0,5000,32,5261
cpu_core_weighted,persistence,1,1,mint,7.515215843573206e-14,6.395999941201734e-14,8.958442181689027e-14,False,0.0,0.0,5000,32,5261
cpu_core_weighted,persistence,1,2,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,4852
cpu_core_weighted,persistence,1,2,wls,-1.8969194946905939e-16,-4.086864946248478e-16,9.94531704583991e-18,True,0.9664,0.0672,5000,32,4852
cpu_core_weighted,persistence,1,2,mint,-4.047859599623608e-16,-6.736482620777099e-16,-1.6439423871643286e-16,False,1.0,0.0,5000,32,4852
cpu_core_weighted,persistence,8,0,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,4295
cpu_core_weighted,persistence,8,0,wls,8.805743069521101e-14,7.546514890785763e-14,1.047529101286313e-13,False,0.0,0.0,5000,32,4295
cpu_core_weighted,persistence,8,0,mint,3.0605963941428746e-14,2.5959028072010734e-14,3.657351634933701e-14,False,0.0,0.0,5000,32,4295
cpu_core_weighted,persistence,8,1,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,4778
cpu_core_weighted,persistence,8,1,wls,-2.2615595730165186e-14,-2.7101379918834452e-14,-1.9170152749732738e-14,False,1.0,0.0,5000,32,4778
cpu_core_weighted,persistence,8,1,mint,-9.927989226359417e-15,-1.3296767342753873e-14,-7.590583036882079e-15,False,1.0,0.0,5000,32,4778
cpu_core_weighted,persistence,8,2,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,4341
cpu_core_weighted,persistence,8,2,wls,-4.3654820672152247e-16,-6.14339867061575e-16,-2.6207303524509083e-16,False,1.0,0.0,5000,32,4341
cpu_core_weighted,persistence,8,2,mint,7.023578739985497e-16,4.147307230069736e-16,9.832603032075056e-16,False,0.0,0.0,5000,32,4341
cpu_core_weighted,persistence,16,0,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,3707
cpu_core_weighted,persistence,16,0,wls,9.826461548663654e-14,8.3337998836269e-14,1.1822426595532341e-13,False,0.0,0.0,5000,32,3707
cpu_core_weighted,persistence,16,0,mint,3.6166889416928757e-14,2.930493661856882e-14,4.474606574209135e-14,False,0.0,0.0,5000,32,3707
cpu_core_weighted,persistence,16,1,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,4317
cpu_core_weighted,persistence,16,1,wls,-9.947149896156513e-15,-1.2611004691775964e-14,-7.80746483141356e-15,False,1.0,0.0,5000,32,4317
cpu_core_weighted,persistence,16,1,mint,-7.996161488312641e-14,-9.550588848755268e-14,-6.784023500559812e-14,False,1.0,0.0,5000,32,4317
cpu_core_weighted,persistence,16,2,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,3798
cpu_core_weighted,persistence,16,2,wls,3.6061349789149334e-16,-1.707233474391104e-17,7.470861760662342e-16,True,0.0306,0.0612,5000,32,3798
