claim,atomic_id,hierarchy,base_model,horizon,fold,method,relative_mae_diff,rel_ci_low,rel_ci_high,p_value_raw,reject_holm,verdict,effect_class,p_value_holm
B,B_cpu_core_weighted_dlinear_h16_f1_mint,cpu_core_weighted,dlinear,16,1,mint,-0.08905768026467402,-0.10828967231106634,-0.07406743964381753,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_dlinear_h16_f2_bottom_up,cpu_core_weighted,dlinear,16,2,bottom_up,-0.04375297062949198,-0.06544714803953725,-0.022937789541190884,0.0,True,support,modest_improvement,0.0
B,B_cpu_core_weighted_dlinear_h16_f2_wls,cpu_core_weighted,dlinear,16,2,wls,-0.04761580781188045,-0.06264717338491355,-0.03416168934740075,0.0,True,support,modest_improvement,0.0
B,B_cpu_core_weighted_dlinear_h16_f2_mint,cpu_core_weighted,dlinear,16,2,mint,-0.04887821871863851,-0.06563066519917289,-0.033654356737889024,0.0,True,support,modest_improvement,0.0
C,C_memory_um_ridge_h1_f0_wls,memory_um,ridge,1,0,wls,-0.06345114148983035,-0.07779920294958971,-0.0512902020780322,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h1_f0_mint,memory_um,ridge,1,0,mint,-0.06570805721242289,-0.08115852751106595,-0.05256035857556106,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h1_f1_wls,memory_um,ridge,1,1,wls,-0.056807395824663806,-0.06971376785954513,-0.04509533222982934,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h1_f1_mint,memory_um,ridge,1,1,mint,-0.05653504350154827,-0.06925375734652692,-0.04499112642735704,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h1_f2_wls,memory_um,ridge,1,2,wls,0.0006925504820053889,-0.013132892151374908,0.014061743955587508,0.964,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_ridge_h1_f2_mint,memory_um,ridge,1,2,mint,0.00014597888152715572,-0.013494459158671484,0.013352413119402683,0.9756,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_ridge_h8_f0_wls,memory_um,ridge,8,0,wls,-0.05877175806730305,-0.07090180767952813,-0.04799665068758144,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h8_f0_mint,memory_um,ridge,8,0,mint,-0.06194580425954888,-0.07528138745855534,-0.050155425751278584,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h8_f1_wls,memory_um,ridge,8,1,wls,-0.05670884939712578,-0.06943150023972333,-0.04499596273836362,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h8_f1_mint,memory_um,ridge,8,1,mint,-0.056456675113268164,-0.06900599768777399,-0.044913403180233916,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h8_f2_wls,memory_um,ridge,8,2,wls,0.0007408966342760469,-0.012724704147882897,0.014287696700088677,0.9472,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_ridge_h8_f2_mint,memory_um,ridge,8,2,mint,0.0001884709954504877,-0.01313478271427994,0.013599455195806189,0.9876,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_ridge_h16_f0_wls,memory_um,ridge,16,0,wls,-0.05905926091040697,-0.07054215776332795,-0.048035885530187804,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h16_f0_mint,memory_um,ridge,16,0,mint,-0.061987242172350736,-0.07447291422907508,-0.049958780719513124,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h16_f1_wls,memory_um,ridge,16,1,wls,-0.05692954711877026,-0.06990256474869416,-0.04525302586731098,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h16_f1_mint,memory_um,ridge,16,1,mint,-0.05665670761069279,-0.06945306493523189,-0.045109003174170145,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_ridge_h16_f2_wls,memory_um,ridge,16,2,wls,0.0007711106318048585,-0.012882308581941474,0.01382796321973831,0.93,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_ridge_h16_f2_mint,memory_um,ridge,16,2,mint,0.00022721762043815999,-0.013310158855201848,0.013094928455363959,0.9952,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_dlinear_h1_f0_wls,memory_um,dlinear,1,0,wls,-0.012683567029134124,-0.022723948303110347,-0.003355782640816403,0.008,False,support,accuracy_neutral,0.07200000000000001
C,C_memory_um_dlinear_h1_f0_mint,memory_um,dlinear,1,0,mint,-0.011108914925960452,-0.021835360748585653,-0.001130758425204871,0.0292,False,support,accuracy_neutral,0.2336
C,C_memory_um_dlinear_h1_f1_wls,memory_um,dlinear,1,1,wls,-0.05235886234589315,-0.06432744168944385,-0.04110319914226692,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_dlinear_h1_f1_mint,memory_um,dlinear,1,1,mint,-0.05223522774188119,-0.06409142096805585,-0.04110825288710149,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_dlinear_h1_f2_wls,memory_um,dlinear,1,2,wls,-0.0035353047955737713,-0.018053909540516784,0.01044177900695451,0.5744,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_dlinear_h1_f2_mint,memory_um,dlinear,1,2,mint,-0.004376367389684143,-0.018658493930938637,0.009403339060399928,0.4912,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_dlinear_h8_f0_wls,memory_um,dlinear,8,0,wls,-0.05797562389596603,-0.06915528534086737,-0.04856250701246773,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_dlinear_h8_f0_mint,memory_um,dlinear,8,0,mint,-0.06296710441338019,-0.07559977172303975,-0.05236844285348976,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_dlinear_h8_f1_wls,memory_um,dlinear,8,1,wls,-0.050062326017725436,-0.0615215945596341,-0.039106581683521456,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_dlinear_h8_f1_mint,memory_um,dlinear,8,1,mint,-0.04987239463110615,-0.061170877316234946,-0.0390553745316488,0.0,True,support,modest_improvement,0.0
C,C_memory_um_dlinear_h8_f2_wls,memory_um,dlinear,8,2,wls,0.010012278938129636,-0.003414820601832415,0.022926465415236415,0.1364,False,uncertain,accuracy_neutral,0.9548
C,C_memory_um_dlinear_h8_f2_mint,memory_um,dlinear,8,2,mint,0.008464065230388465,-0.004625655271194149,0.02104449164618948,0.1928,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_dlinear_h16_f0_wls,memory_um,dlinear,16,0,wls,-0.06016356270798215,-0.07145238653512102,-0.04980474639672836,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_dlinear_h16_f0_mint,memory_um,dlinear,16,0,mint,-0.06468378856975,-0.07726086234794557,-0.05311897192553187,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_dlinear_h16_f1_wls,memory_um,dlinear,16,1,wls,-0.05402959097378673,-0.06763284801771452,-0.04237686478749781,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_dlinear_h16_f1_mint,memory_um,dlinear,16,1,mint,-0.05374853340099483,-0.067206996354761,-0.04228843355298437,0.0,True,support,substantial_improvement,0.0
C,C_memory_um_dlinear_h16_f2_wls,memory_um,dlinear,16,2,wls,0.008591080699015178,-0.005271701824582712,0.02156915335351254,0.2172,False,uncertain,accuracy_neutral,1.0
C,C_memory_um_dlinear_h16_f2_mint,memory_um,dlinear,16,2,mint,0.007182596791112924,-0.00633591869973144,0.019837987352665194,0.298,False,uncertain,accuracy_neutral,1.0
D,D_disk_ud_ridge_h1_f0_bottom_up,disk_ud,ridge,1,0,bottom_up,0.17027145682184158,0.12248819348970802,0.23153702586928962,0.0,True,support,substantial_degradation,0.0
D,D_disk_ud_ridge_h1_f1_bottom_up,disk_ud,ridge,1,1,bottom_up,0.2949651260001284,0.22110267252621627,0.4066951669746431,0.0,True,support,substantial_degradation,0.0
D,D_disk_ud_ridge_h1_f2_bottom_up,disk_ud,ridge,1,2,bottom_up,0.01466368582135976,-0.0010248314602404759,0.02917510328384162,0.0648,False,uncertain,accuracy_neutral,0.5184
D,D_disk_ud_ridge_h8_f0_bottom_up,disk_ud,ridge,8,0,bottom_up,0.17078817491784803,0.12327178146052471,0.23163162438614618,0.0,True,support,substantial_degradation,0.0
D,D_disk_ud_ridge_h8_f1_bottom_up,disk_ud,ridge,8,1,bottom_up,0.22446024755887206,0.159545387408595,0.3252884250476784,0.0,True,support,substantial_degradation,0.0
D,D_disk_ud_ridge_h8_f2_bottom_up,disk_ud,ridge,8,2,bottom_up,0.014810876887859993,-0.0012438959483522117,0.029374683668158492,0.0676,False,uncertain,accuracy_neutral,0.5184
D,D_disk_ridge_h1_f0_top_down,disk_ud,ridge,1,0,top_down,0.0,0.0,0.0,1.0,False,support,accuracy_neutral,1.0
D,D_disk_ridge_h1_f1_top_down,disk_ud,ridge,1,1,top_down,0.0,0.0,0.0,1.0,False,support,accuracy_neutral,1.0
D,D_disk_ridge_h1_f2_top_down,disk_ud,ridge,1,2,top_down,0.0,0.0,0.0,1.0,False,support,accuracy_neutral,1.0
D,D_disk_ridge_h8_f0_top_down,disk_ud,ridge,8,0,top_down,0.0,0.0,0.0,1.0,False,support,accuracy_neutral,1.0
D,D_disk_ridge_h8_f1_top_down,disk_ud,ridge,8,1,top_down,0.0,0.0,0.0,1.0,False,support,accuracy_neutral,1.0
D,D_disk_ridge_h8_f2_top_down,disk_ud,ridge,8,2,top_down,0.0,0.0,0.0,1.0,False,support,accuracy_neutral,1.0
