hierarchy,unit,base_model,horizon,fold,method_a,method_b,npz_path,correction_family,in_holm_family,effect_class,tradeoff_class,coherence_before,coherence_after,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,ci_low,ci_high,p_value_holm,holm_rank,family_size,alpha,reject_holm_0.05
memory_um,memory_level,persistence,16,0,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,1.773573327419501e-05,0.003387451171875,1285438902.927975,1285438902.9279926,1.3797414434709053e-14,-3.817921382921359e-14,6.048620608664808e-14,0.2788,0.5576,True,True,227277894.74342436,227277894.74294963,-2.088725759491546e-12,1590945263.2039704,1590945263.2006474,-2.0887444919539863e-12,426683283.0427309,426683283.0425949,-3.187793025484424e-13,6,1,-4.6057770953832387e-05,7.913065597373475e-05,,,0,0.05,False
memory_um,memory_level,persistence,16,1,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,0.0,0.0,844976853.3901465,844976853.3901465,0.0,0.0,0.0,0.0,1.0,True,True,157471415.92404935,157471415.92404935,0.0,1102299911.4683452,1102299911.4683452,0.0,271934026.06367266,271934026.06367266,0.0,0,0,0.0,0.0,,,0,0.05,False
memory_um,memory_level,persistence,16,1,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,0.00020047732580517644,0.1517791748046875,844976853.3901465,844976853.390347,2.3725777221096394e-13,-2.6566018842106376e-12,3.105665821354889e-12,0.4362,0.8724,True,True,157471415.92404935,157471415.92866796,2.932986208913434e-11,1102299911.4683452,1102299911.5006757,2.933005134457613e-11,271934026.06367266,271934026.09566814,1.1765896219516917e-10,5,2,-0.0022518222607043593,0.0025166588536100765,,,0,0.05,False
memory_um,memory_level,persistence,16,1,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8261,32,5000,0,0.0001726361773317395,0.0750732421875,844976853.3901465,844976853.3903192,2.043087649550433e-13,-1.2130656232854237e-12,1.6205425729807919e-12,0.3864,0.7728,True,True,157471415.92404935,157471415.92744452,2.1560547693372814e-11,1102299911.4683452,1102299911.4921117,2.1560845094781322e-11,271934026.06367266,271934026.0800938,6.038648225808978e-11,3,4,-0.0010221024861766933,0.0013072565326014164,,,0,0.05,False
memory_um,memory_level,persistence,16,2,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8264,32,5000,0,0.0,0.0,1043733133.2584704,1043733133.2584704,0.0,0.0,0.0,0.0,1.0,True,True,191170063.50656894,191170063.50656894,0.0,1338190444.5459826,1338190444.5459826,0.0,452192737.76573086,452192737.76573086,0.0,0,0,0.0,0.0,,,0,0.05,False
memory_um,memory_level,persistence,16,2,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8264,32,5000,0,-0.0002895809443160848,-0.0132598876953125,1043733133.2584704,1043733133.258181,-2.7744730438137093e-13,-4.822005566822702e-13,-7.926286721261432e-14,0.9972,0.0056,False,False,191170063.50656894,191170063.5071428,3.0019005558249532e-12,1338190444.5459826,1338190444.55,3.0020787207341958e-12,452192737.76573086,452192737.767811,4.600123629349449e-12,1,6,-0.0005157361764529322,-8.014173960062576e-05,,,0,0.05,False
memory_um,memory_level,persistence,16,2,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8264,32,5000,0,-0.0008356864316188816,-0.04150390625,1043733133.2584704,1043733133.2576348,-8.006705976746375e-13,-1.4268111037197372e-12,-1.8966639279305647e-13,0.9962,0.0076,False,False,191170063.50656894,191170063.50865775,1.0926475283403363e-11,1338190444.5459826,1338190444.5606046,1.092667571892626e-11,452192737.76573086,452192737.7744467,1.9274674863821633e-11,1,6,-0.001533598913689435,-0.0001893118297949881,,,0,0.05,False
memory_um,memory_level,ridge,1,0,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,465104157.5826315,0.0,8276,32,5000,0,-95293358.03805548,-114708280.18115234,1358694507.6124406,1263401149.574385,-0.07013597059835715,-0.09063244521566931,-0.05229922488134277,1.0,0.0,False,False,261733944.41832018,261733944.41832018,0.0,1832137610.928241,1832137610.928241,0.0,559235518.7529912,559235518.7529912,0.0,0,0,-116743464.64935353,-74331113.77435558,0.0,1.0,27,0.05,True
memory_um,memory_level,ridge,1,0,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,465104157.5826315,0.0,8276,32,5000,0,-86210717.44397233,-90491829.18976593,1358694507.6124406,1272483790.1684682,-0.06345114148983035,-0.07779920294958971,-0.0512902020780322,1.0,0.0,False,False,261733944.41832018,262021246.00642988,0.0010976856240339917,1832137610.928241,1834148722.0450087,0.0010976856240338454,559235518.7529912,545227534.6865388,-0.025048452032674935,3,4,-100411744.3516566,-72430106.38855357,0.0,18.0,27,0.05,True
memory_um,memory_level,ridge,1,0,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,465104157.5826315,0.0,8276,32,5000,0,-89277176.44040298,-94759401.04060364,1358694507.6124406,1269417331.1720374,-0.06570805721242289,-0.08115852751106595,-0.05256035857556106,1.0,0.0,False,False,261733944.41832018,261697154.5817311,-0.0001405619613872791,1832137610.928241,1831880082.0721178,-0.00014056196138713273,559235518.7529912,545639721.5498854,-0.024311397876555365,3,4,-104781445.33232363,-74461853.80764301,0.0,17.0,27,0.05,True
