hierarchy,base_model,horizon,method_b,top_rel,macro_rel,weighted_rel,worst_rel,machines_improved,machines_degraded,coherence_before,coherence_after,tradeoff_class
memory_um,dlinear,8,mint,-0.034791811271365956,0.00028408551077008237,0.0002840855107700934,-0.008216816335392025,3.6666666666666665,3.3333333333333335,373885678.2245867,0.0,pareto_improvement
memory_um,dlinear,8,wls,-0.03267522365852061,0.0034020480292032145,0.0034020480292032405,-0.00544037734834442,3.3333333333333335,3.6666666666666665,373885678.2245867,0.0,pareto_improvement
memory_um,dlinear,16,bottom_up,-0.023656082337047708,0.0,0.0,0.0,0.0,0.0,385324950.22665375,0.0,pareto_improvement
memory_um,dlinear,16,mint,-0.037083241726543974,-0.0007070969027462437,-0.0007070969027463576,-0.0105014182095459,4.0,3.0,385324950.22665375,0.0,pareto_improvement
memory_um,dlinear,16,wls,-0.03520069099425124,0.002632127477474495,0.002632127477474369,-0.007238754478431533,3.0,4.0,385324950.22665375,0.0,pareto_improvement
memory_um,lightgbm,1,bottom_up,-0.021352159612311686,0.0,0.0,0.0,0.0,0.0,995930585.9808592,0.0,pareto_improvement
memory_um,lightgbm,1,mint,-0.06097811819363589,0.03431713792307125,0.03431713792307125,0.006009582486569652,3.3333333333333335,3.6666666666666665,995930585.9808592,0.0,aggregate_focused_improvement
memory_um,lightgbm,1,wls,-0.05378055720961463,0.032456301013026594,0.032456301013026594,0.012772049131186148,3.6666666666666665,3.3333333333333335,995930585.9808592,0.0,aggregate_focused_improvement
memory_um,lightgbm,8,bottom_up,0.078212625143483,0.0,0.0,0.0,0.0,0.0,1119933885.527624,0.0,accuracy_costly_coherence
memory_um,lightgbm,8,mint,0.015737050078219215,0.027382203057846815,0.02738220305784689,-0.0002329568410896187,4.0,3.0,1119933885.527624,0.0,coherence_only
memory_um,lightgbm,8,wls,-0.014889287059624038,0.037334493441583586,0.03733449344158357,0.00260675597996299,4.0,3.0,1119933885.527624,0.0,coherence_only
memory_um,lightgbm,16,bottom_up,0.04901891818938491,0.0,0.0,0.0,0.0,0.0,1030054598.2062894,0.0,accuracy_costly_coherence
memory_um,lightgbm,16,mint,-0.003771779682365986,0.027939932577209687,0.027939932577209666,0.0004917140542504457,3.3333333333333335,3.6666666666666665,1030054598.2062894,0.0,coherence_only
memory_um,lightgbm,16,wls,-0.012428758353478791,0.03560295850270533,0.03560295850270539,0.005299441532799016,3.3333333333333335,3.6666666666666665,1030054598.2062894,0.0,coherence_only
memory_um,persistence,1,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
memory_um,persistence,1,mint,1.561619853106262e-12,-2.127122444804338e-11,-2.127122726006752e-11,-1.8421069003204562e-11,3.3333333333333335,3.6666666666666665,0.0,0.0,coherence_only
memory_um,persistence,1,wls,-4.138770007770686e-13,3.0238133979959403e-12,3.0239196604669045e-12,-3.330255811804913e-12,3.0,4.0,0.0,0.0,coherence_only
memory_um,persistence,8,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
memory_um,persistence,8,mint,1.3163403991691504e-13,2.8664796226149018e-12,2.8665098912484824e-12,3.2421723772361094e-11,4.0,3.0,0.0,0.0,coherence_only
memory_um,persistence,8,wls,-6.092492708928784e-14,6.026671062772563e-12,6.026492250937954e-12,1.3577523872914666e-11,2.6666666666666665,4.333333333333333,0.0,0.0,coherence_only
memory_um,persistence,16,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
memory_um,persistence,16,mint,-1.9418813942829504e-13,1.0132765739094876e-11,1.0132925440584533e-11,2.644745927312099e-11,3.3333333333333335,3.6666666666666665,0.0,0.0,coherence_only
memory_um,persistence,16,wls,-1.6867657790341752e-14,9.708436105524721e-12,9.708577311437505e-12,4.063401021826434e-11,4.0,3.0,0.0,0.0,coherence_only
memory_um,ridge,1,bottom_up,-0.02727973445136203,0.0,0.0,0.0,0.0,0.0,398158437.0610418,0.0,pareto_improvement
memory_um,ridge,1,mint,-0.04069904061081466,-0.004360200404111298,-0.004360200404111165,-0.014244581440787017,3.3333333333333335,3.6666666666666665,398158437.0610418,0.0,pareto_improvement
memory_um,ridge,1,wls,-0.03985532894416292,-0.002472515009051717,-0.002472515009051856,-0.011939005139004014,3.0,4.0,398158437.0610418,0.0,pareto_improvement
memory_um,ridge,8,bottom_up,-0.027306148912312433,0.0,0.0,0.0,0.0,0.0,398385331.9792436,0.0,pareto_improvement
memory_um,ridge,8,mint,-0.03940466945912219,0.001370660790629668,0.00137066079062996,-0.007595282887849489,3.0,4.0,398385331.9792436,0.0,pareto_improvement
memory_um,ridge,8,wls,-0.038246570276717594,0.004885201537286072,0.004885201537286371,-0.004365449352496138,2.6666666666666665,4.333333333333333,398385331.9792436,0.0,pareto_improvement
memory_um,ridge,16,bottom_up,-0.02764224989439723,0.0,0.0,0.0,0.0,0.0,398505628.0601147,0.0,pareto_improvement
memory_um,ridge,16,mint,-0.03947224405420179,0.0015999136700987331,0.001599913670098603,-0.007904794313719736,3.0,4.0,398505628.0601147,0.0,pareto_improvement
memory_um,ridge,16,wls,-0.038405899132457455,0.004909628229764389,0.004909628229764346,-0.0046670417670044775,2.6666666666666665,4.333333333333333,398505628.0601147,0.0,pareto_improvement
