hierarchy,fold,horizon,seed,method,reconstructed_mae,source_mae,abs_diff,status
cpu_core_weighted,1,16,2,mint,224.17907091692118,224.1790709169212,2.842170943040401e-14,ok
cpu_core_weighted,2,1,0,independent,329.0184063337407,329.0184063337407,0.0,ok
cpu_core_weighted,2,1,0,bottom_up,312.1534485082829,312.1534485082829,0.0,ok
cpu_core_weighted,2,1,0,wls,311.83111921336285,311.83111921336285,0.0,ok
cpu_core_weighted,2,1,0,mint,311.1125036776254,311.1125036776254,0.0,ok
cpu_core_weighted,2,1,1,independent,326.85567001475346,326.85567001475346,0.0,ok
cpu_core_weighted,2,1,1,bottom_up,311.99732426541755,311.99732426541755,0.0,ok
cpu_core_weighted,2,1,1,wls,308.4639514056124,308.4639514056124,0.0,ok
cpu_core_weighted,2,1,1,mint,308.43680513029324,308.43680513029324,0.0,ok
cpu_core_weighted,2,1,2,independent,325.6234470883823,325.6234470883823,0.0,ok
cpu_core_weighted,2,1,2,bottom_up,305.7996988190685,305.7996988190685,0.0,ok
cpu_core_weighted,2,1,2,wls,306.1219514536669,306.1219514536669,0.0,ok
cpu_core_weighted,2,1,2,mint,305.12483377103933,305.12483377103933,0.0,ok
cpu_core_weighted,2,8,0,independent,327.23829376050975,327.23829376050975,0.0,ok
cpu_core_weighted,2,8,0,bottom_up,315.15683504459827,315.15683504459827,0.0,ok
cpu_core_weighted,2,8,0,wls,313.78038668989336,313.78038668989336,0.0,ok
cpu_core_weighted,2,8,0,mint,313.4448853759923,313.4448853759923,0.0,ok
cpu_core_weighted,2,8,1,independent,329.78646386123035,329.78646386123035,0.0,ok
cpu_core_weighted,2,8,1,bottom_up,313.02440084791345,313.02440084791345,0.0,ok
cpu_core_weighted,2,8,1,wls,310.8598129827943,310.8598129827943,0.0,ok
cpu_core_weighted,2,8,1,mint,310.4282960146528,310.4282960146528,0.0,ok
cpu_core_weighted,2,8,2,independent,329.80475328707877,329.80475328707877,0.0,ok
cpu_core_weighted,2,8,2,bottom_up,315.5663775584014,315.5663775584014,0.0,ok
cpu_core_weighted,2,8,2,wls,315.21910144372407,315.21910144372407,0.0,ok
cpu_core_weighted,2,8,2,mint,314.6742794864079,314.6742794864079,0.0,ok
cpu_core_weighted,2,16,0,independent,327.1450308233799,327.1450308233799,0.0,ok
cpu_core_weighted,2,16,0,bottom_up,312.83146389818035,312.83146389818035,0.0,ok
cpu_core_weighted,2,16,0,wls,311.56775590908217,311.56775590908217,0.0,ok
cpu_core_weighted,2,16,0,mint,311.154764454079,311.154764454079,0.0,ok
cpu_core_weighted,2,16,1,independent,330.3116968803403,330.3116968803403,0.0,ok
cpu_core_weighted,2,16,1,bottom_up,316.47468519709884,316.47468519709884,0.0,ok
cpu_core_weighted,2,16,1,wls,314.3840483570088,314.3840483570088,0.0,ok
cpu_core_weighted,2,16,1,mint,314.0470589650479,314.0470589650479,0.0,ok
cpu_core_weighted,2,16,2,independent,331.6666429645258,331.6666429645258,0.0,ok
cpu_core_weighted,2,16,2,bottom_up,314.3859586957628,314.3859586957628,0.0,ok
cpu_core_weighted,2,16,2,wls,314.2215864981278,314.2215864981278,0.0,ok
cpu_core_weighted,2,16,2,mint,313.5000402228909,313.5000402228909,0.0,ok
memory_um,0,1,0,independent,1288970217.5265772,1288970217.5265772,0.0,ok
memory_um,0,1,0,bottom_up,1294588434.3318505,1294588434.3318503,2.384185791015625e-07,ok
memory_um,0,1,0,wls,1272621477.3740215,1272621477.3740215,0.0,ok
memory_um,0,1,0,mint,1274651157.037978,1274651157.037978,0.0,ok
memory_um,0,1,1,independent,1341642528.9338136,1341642528.9338136,0.0,ok
memory_um,0,1,1,bottom_up,1282500335.0896914,1282500335.0896914,0.0,ok
memory_um,0,1,1,wls,1280308331.775755,1280308331.775755,0.0,ok
memory_um,0,1,1,mint,1279143676.6099043,1279143676.6099043,0.0,ok
memory_um,0,1,2,independent,1342112238.0998075,1342112238.0998075,0.0,ok
memory_um,0,1,2,bottom_up,1337857115.53044,1337857115.53044,0.0,ok
memory_um,0,1,2,wls,1316841627.8783777,1316841627.8783777,0.0,ok
memory_um,0,1,2,mint,1317886610.2539024,1317886610.2539024,0.0,ok
memory_um,0,8,0,independent,1351523873.7521622,1351523873.7521622,0.0,ok
memory_um,0,8,0,bottom_up,1250599025.5425317,1250599025.5425315,2.384185791015625e-07,ok
memory_um,0,8,0,wls,1273168433.9610877,1273168433.9610877,0.0,ok
memory_um,0,8,0,mint,1266422328.8764336,1266422328.8764336,0.0,ok
memory_um,0,8,1,independent,1368538216.7719264,1368538216.7719264,0.0,ok
memory_um,0,8,1,bottom_up,1254704821.655651,1254704821.655651,0.0,ok
memory_um,0,8,1,wls,1278375137.7857482,1278375137.7857482,0.0,ok
memory_um,0,8,1,mint,1271154575.830348,1271154575.830348,0.0,ok
memory_um,0,8,2,independent,1600707736.3900595,1600707736.3900597,2.384185791015625e-07,ok
memory_um,0,8,2,bottom_up,1380891951.8403738,1380891951.8403738,0.0,ok
memory_um,0,8,2,wls,1438352225.063982,1438352225.063982,0.0,ok
memory_um,0,8,2,mint,1416321050.0157015,1416321050.0157015,0.0,ok
memory_um,0,16,0,independent,1349931371.2096462,1349931371.2096462,0.0,ok
memory_um,0,16,0,bottom_up,1245082125.597914,1245082125.597914,0.0,ok
memory_um,0,16,0,wls,1268714690.5064023,1268714690.5064025,2.384185791015625e-07,ok
memory_um,0,16,0,mint,1262612695.8106487,1262612695.810649,2.384185791015625e-07,ok
memory_um,0,16,1,independent,1351460849.0060005,1351460849.0060005,0.0,ok
memory_um,0,16,1,bottom_up,1291864173.4255064,1291864173.4255064,0.0,ok
memory_um,0,16,1,wls,1296714082.035089,1296714082.035089,0.0,ok
memory_um,0,16,1,mint,1293806896.8056438,1293806896.8056438,0.0,ok
memory_um,0,16,2,independent,1393497020.5925777,1393497020.5925777,0.0,ok
memory_um,0,16,2,bottom_up,1400298306.5383697,1400298306.5383697,0.0,ok
memory_um,0,16,2,wls,1367547069.698006,1367547069.698006,0.0,ok
