hierarchy,seed,fold,horizon,method,threshold_name,threshold_value,n_peak,peak_mae,signed_bias,max_underpred,pred_to_target_range_ratio
cpu_core_weighted,0,1,8,independent,q90,1105.9466666535784,421,1122.3872786190955,-731.8406738497222,-6321.407760559087,0.9530782434474624
cpu_core_weighted,0,1,8,independent,q95,1684.9866666241232,230,1748.4732692576179,-1286.8697976180345,-6321.407760559087,0.9530782434474624
cpu_core_weighted,0,1,8,bottom_up,q90,1105.9466666535784,421,1110.1773326789464,-682.7657435006797,-6273.80679627947,0.8978976500970371
cpu_core_weighted,0,1,8,bottom_up,q95,1684.9866666241232,230,1712.3064253301593,-1263.5274363546348,-6273.80679627947,0.8978976500970371
cpu_core_weighted,0,1,8,wls,q90,1105.9466666535784,421,1109.3413853887305,-701.4336332085536,-6291.913995715921,0.918888107410944
cpu_core_weighted,0,1,8,wls,q95,1684.9866666241232,230,1721.415687820202,-1272.4067688873533,-6291.913995715921,0.918888107410944
cpu_core_weighted,0,1,8,mint,q90,1105.9466666535784,421,1109.14801709169,-700.5601067834518,-6291.0667056665325,0.9179059010970109
cpu_core_weighted,0,1,8,mint,q95,1684.9866666241232,230,1720.8031860821304,-1271.9912783457983,-6291.0667056665325,0.9179059010970109
cpu_core_weighted,0,1,16,independent,q90,1103.5466666898378,387,1092.7931980486642,-661.5211344322423,-6313.117826375605,1.0280059435649778
cpu_core_weighted,0,1,16,independent,q95,1678.6133333214827,207,1704.5617360231581,-1205.5438511010516,-6313.117826375605,1.0280059435649778
cpu_core_weighted,0,1,16,bottom_up,q90,1103.5466666898378,387,1079.0992835290986,-670.8879596689852,-6224.10235432392,0.9982947121787081
cpu_core_weighted,0,1,16,bottom_up,q95,1678.6133333214827,207,1675.2024044621216,-1232.382560121475,-6224.10235432392,0.9982947121787081
cpu_core_weighted,0,1,16,wls,q90,1103.5466666898378,387,1077.5786656874784,-667.3343725706795,-6257.873053045525,1.009566562124142
cpu_core_weighted,0,1,16,wls,q95,1678.6133333214827,207,1679.4650170788261,-1222.20048799966,-6257.873053045525,1.009566562124142
cpu_core_weighted,0,1,16,mint,q90,1103.5466666898378,387,1077.4195397906637,-667.6133520508388,-6255.2218356359335,1.008681649287201
cpu_core_weighted,0,1,16,mint,q95,1678.6133333214827,207,1678.891348027512,-1222.9998462566193,-6255.2218356359335,1.008681649287201
cpu_core_weighted,0,2,1,independent,q90,1174.872469176665,620,1244.9126134783248,-882.7466145812207,-6988.416515881941,0.872952467596608
cpu_core_weighted,0,2,1,independent,q95,1930.676666647816,337,1905.6196944139783,-1626.295532178875,-6988.416515881941,0.872952467596608
cpu_core_weighted,0,2,1,bottom_up,q90,1174.872469176665,620,1216.4540051955275,-873.7205180788446,-6858.068205667912,0.843995647069364
cpu_core_weighted,0,2,1,bottom_up,q95,1930.676666647816,337,1846.5176086039648,-1591.618537786121,-6858.068205667912,0.843995647069364
cpu_core_weighted,0,2,1,wls,q90,1174.872469176665,620,1217.8257027160962,-877.2411633839063,-6902.953149283097,0.8552903074147427
cpu_core_weighted,0,2,1,wls,q95,1930.676666647816,337,1858.8213965088855,-1605.1443623184107,-6902.953149283097,0.8552903074147427
cpu_core_weighted,0,2,1,mint,q90,1174.872469176665,620,1215.333331075539,-876.2314459433221,-6887.278893224103,0.8520510104824617
cpu_core_weighted,0,2,1,mint,q95,1930.676666647816,337,1852.6146509986688,-1601.2651697996405,-6887.278893224103,0.8520510104824617
cpu_core_weighted,0,2,8,independent,q90,1175.0487831049757,556,1258.8919485455995,-915.3872198957563,-6894.3915613749205,0.8170275515464102
cpu_core_weighted,0,2,8,independent,q95,1930.886666651816,307,1918.8808766081124,-1625.843915808964,-6894.3915613749205,0.8170275515464102
cpu_core_weighted,0,2,8,bottom_up,q90,1175.0487831049757,556,1278.021578883318,-969.5876212126857,-6849.634717637816,0.7598394232530946
cpu_core_weighted,0,2,8,bottom_up,q95,1930.886666651816,307,1953.2960858378246,-1718.9457979523713,-6849.634717637816,0.7598394232530946
cpu_core_weighted,0,2,8,wls,q90,1175.0487831049757,556,1264.8603511043812,-948.6772634504285,-6866.901778252001,0.781902437424794
cpu_core_weighted,0,2,8,wls,q95,1930.886666651816,307,1935.3826058148004,-1683.0273616187612,-6866.901778252001,0.781902437424794
cpu_core_weighted,0,2,8,mint,q90,1175.0487831049757,556,1267.0683229777048,-953.6105103613802,-6862.8280711253865,0.7766972516624882
cpu_core_weighted,0,2,8,mint,q95,1930.886666651816,307,1938.8040453771878,-1691.5013684771632,-6862.8280711253865,0.7766972516624882
cpu_core_weighted,0,2,16,independent,q90,1175.319999997194,490,1257.4535014538303,-879.3390756064977,-6912.2043823394615,0.8696495741438551
cpu_core_weighted,0,2,16,independent,q95,1931.1733333257325,273,1882.6003375020327,-1556.0035114109585,-6912.2043823394615,0.8696495741438551
cpu_core_weighted,0,2,16,bottom_up,q90,1175.319999997194,490,1263.3191027840937,-917.7023481008332,-6859.738626788707,0.8132902623254288
cpu_core_weighted,0,2,16,bottom_up,q95,1931.1733333257325,273,1889.9677918326736,-1628.1692094092023,-6859.738626788707,0.8132902623254288
cpu_core_weighted,0,2,16,wls,q90,1175.319999997194,490,1254.3120988349174,-903.0248526925448,-6879.811624635866,0.8341462664165986
cpu_core_weighted,0,2,16,wls,q95,1931.1733333257325,273,1880.3809353096626,-1600.559163859475,-6879.811624635866,0.8341462664165986
cpu_core_weighted,0,2,16,mint,q90,1175.319999997194,490,1255.347557205949,-906.4251757149788,-6875.161330099206,0.8293145734816332
cpu_core_weighted,0,2,16,mint,q95,1931.1733333257325,273,1881.3967511906426,-1606.9555599012815,-6875.161330099206,0.8293145734816332
cpu_core_weighted,1,0,1,independent,q90,1040.8933333239218,769,1074.449305326176,-607.1316976633216,-6839.4325940779145,0.9149199689735801
cpu_core_weighted,1,0,1,independent,q95,1465.1299999848277,399,1761.5868553989399,-1165.7637018285798,-6839.4325940779145,0.9149199689735801
cpu_core_weighted,1,0,1,bottom_up,q90,1040.8933333239218,769,1078.4300893929635,-684.0262890167099,-6604.835021257537,0.8524893636654336
cpu_core_weighted,1,0,1,bottom_up,q95,1465.1299999848277,399,1762.3248694273454,-1275.0885278437468,-6604.835021257537,0.8524893636654336
cpu_core_weighted,1,0,1,wls,q90,1040.8933333239218,769,1069.367062977068,-654.327145081051,-6695.444086986439,0.8685061028752934
cpu_core_weighted,1,0,1,wls,q95,1465.1299999848277,399,1756.8419935455981,-1232.863792834202,-6695.444086986439,0.8685061028752934
cpu_core_weighted,1,0,1,mint,q90,1040.8933333239218,769,1071.958380924643,-665.3397953323649,-6661.845611803981,0.8591630630143785
cpu_core_weighted,1,0,1,mint,q95,1465.1299999848277,399,1758.3939003803036,-1248.5210198445525,-6661.845611803981,0.8591630630143785
cpu_core_weighted,1,0,8,independent,q90,1042.9466666635133,662,1062.138478041517,-669.4108491461661,-6832.82296315796,0.7686164718681119
cpu_core_weighted,1,0,8,independent,q95,1467.2066666604928,338,1749.0673814830532,-1288.7146752993708,-6832.82296315796,0.7686164718681119
cpu_core_weighted,1,0,8,bottom_up,q90,1042.9466666635133,662,1071.3106421899772,-677.2111714438956,-6665.751032730884,0.7937405127407462
cpu_core_weighted,1,0,8,bottom_up,q95,1467.2066666604928,338,1755.4862144239682,-1301.781671971124,-6665.751032730884,0.7937405127407462
cpu_core_weighted,1,0,8,wls,q90,1042.9466666635133,662,1062.0184826759944,-674.1089963729105,-6732.195258729054,0.7617108745142571
cpu_core_weighted,1,0,8,wls,q95,1467.2066666604928,338,1748.6525810218113,-1296.5849493512314,-6732.195258729054,0.7617108745142571
cpu_core_weighted,1,0,8,mint,q90,1042.9466666635133,662,1065.6552813284468,-675.5999929051981,-6700.260210483661,0.777105260206575
