run_id,model,family,target,fold_maes,fold_mase,fold_mase_valid,fold_persistence_maes,mean_mae,std_mae,mean_valid_mase,n_valid_mase_folds,mean_persistence_mae,rel_mae_vs_persistence,alpha,n_estimators,learning_rate,num_leaves,enabled,eligibility_reason,fold0_mae,fold1_mae,fold2_mae
lgbm_cpu_trial0,lightgbm,cpu,cluster_mean_CU,"[0.4188772662518116, 1.1521897189060846, 0.6337384798900875]","[0.4090823824859154, 1.0591670625895304, 0.5395864337631324]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.7349351550159945,0.3078066098454895,0.669278626279526,3.0,0.9669952574062425,0.7600193996683091,,100.0,0.05,15.0,,,,,
lgbm_cpu_trial1,lightgbm,cpu,cluster_mean_CU,"[0.3962731115379581, 1.1592166872278598, 0.6297453062290259]","[0.38700679565073837, 1.0656267048464936, 0.5361865102875328]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.7284117016649478,0.31918857343046336,0.6629400035949216,3.0,0.9669952574062425,0.7532732927964467,,200.0,0.05,31.0,,,,,
lgbm_cpu_trial2,lightgbm,cpu,cluster_mean_CU,"[0.3913729923412396, 1.1576496785382187, 0.6269438912069032]","[0.3822212591774997, 1.0641862094457577, 0.5338012905332584]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.7253221873621204,0.320472262781101,0.6600695863855052,3.0,0.9669952574062425,0.7500783295542128,,300.0,0.03,31.0,,,,,
lgbm_cpu_trial3,lightgbm,cpu,cluster_mean_CU,"[0.39855725745455645, 1.1983097874790347, 0.6306266520878179]","[0.3892375298747958, 1.101563602634357, 0.5369369180408066]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.7424978990071364,0.335943853677566,0.675912683516653,3.0,0.9669952574062425,0.767840269453573,,200.0,0.1,63.0,,,,,
lgbm_cpu_trial4,lightgbm,cpu,cluster_mean_CU,"[0.38970573613271803, 1.1649952902686063, 0.6300096109877148]","[0.38059298952204784, 1.0709387692644519, 0.5364115483224527]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.7282368791296797,0.32404209638361414,0.6626477690363175,3.0,0.9669952574062425,0.7530925033521044,,400.0,0.05,31.0,,,,,
lgbm_cpu_trial5,lightgbm,cpu,cluster_mean_CU,"[0.42775205456562, 1.1537743663199407, 0.6400783104697325]","[0.41774964576319334, 1.0606237726426, 0.544984380521433]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.7405349104517643,0.3047903603585416,0.6744525996424088,3.0,0.9669952574062425,0.76581028167407,,200.0,0.02,15.0,,,,,
lgbm_cpu_trial6,lightgbm,cpu,cluster_mean_CU,"[0.3925137117888256, 1.1570175890645094, 0.6348410560053475]","[0.38333530442885017, 1.0636051520554886, 0.5405252044593488]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.7281241189528941,0.3190014022613332,0.6624885536478958,3.0,0.9669952574062425,0.7529758945312006,,150.0,0.08,31.0,,,,,
lgbm_cpu_trial7,lightgbm,cpu,cluster_mean_CU,"[0.3883621139856352, 1.1685920771008687, 0.6240781530719276]","[0.37928078617903077, 1.0742451675783553, 0.5313613038993102]","[True, True, True]","[0.6064549343455634, 1.4789591833108944, 0.8155716545622695]",0.7270107813861438,0.3267374514952886,0.6616290858855655,3.0,0.9669952574062425,0.7518245573780729,,250.0,0.05,47.0,,,,,
lgbm_memory_trial0,lightgbm,memory,cluster_UM,"[318930394.59925073, 1385756797.1176171, 1078536961.4269047]","[0.3673658508018126, 1.4201030601894844, 1.0222967592803627]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",927741384.3812575,448392776.3467851,0.93658855675722,3.0,765091181.0867893,1.212589306105226,,100.0,0.05,15.0,,,,,
lgbm_memory_trial1,lightgbm,memory,cluster_UM,"[354375480.5848005, 1451805038.5530102, 1143279952.9541287]","[0.4081939261133134, 1.4877883206750404, 1.0836637339798967]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",983153490.6973132,462109851.01794255,0.99321532692275,3.0,765091181.0867893,1.285014799544249,,200.0,0.05,31.0,,,,,
lgbm_memory_trial2,lightgbm,memory,cluster_UM,"[352548800.7268746, 1475546374.5081725, 1115781944.7463055]","[0.4060898312653053, 1.512118090453576, 1.057599606664008]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",981292373.3271176,468221081.1821399,0.9919358427942965,3.0,765091181.0867893,1.2825822563177647,,300.0,0.03,31.0,,,,,
lgbm_memory_trial3,lightgbm,memory,cluster_UM,"[403844306.55402267, 1713892361.6806374, 799848087.9574927]","[0.46517550468999763, 1.7563715312243757, 0.7581400892870149]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",972528252.064051,548586247.2405212,0.993229041733796,3.0,765091181.0867893,1.2711272539863858,,200.0,0.1,63.0,,,,,
lgbm_memory_trial4,lightgbm,memory,cluster_UM,"[377662988.55372745, 1529207875.2231338, 1117064458.7140038]","[0.4350180712024279, 1.5671096023394882, 1.0588152440689378]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",1007978440.8302883,476402299.16665226,1.0203143058702846,3.0,765091181.0867893,1.3174618473558732,,400.0,0.05,31.0,,,,,
lgbm_memory_trial5,lightgbm,memory,cluster_UM,"[323308700.6871539, 1373401698.7099068, 1134142921.8427877]","[0.37240908333245415, 1.4074417381636959, 1.0750031524433956]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",943617773.746616,449368965.08096355,0.9516179913131818,3.0,765091181.0867893,1.233340282927108,,200.0,0.02,15.0,,,,,
lgbm_memory_trial6,lightgbm,memory,cluster_UM,"[369935697.426718, 1540679120.1574814, 1152833841.9510326]","[0.4261172485547962, 1.5788651644044436, 1.092719436389147]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",1021149553.1784106,486939835.02345157,1.032567283116129,3.0,765091181.0867893,1.3346769357972446,,150.0,0.08,31.0,,,,,
lgbm_memory_trial7,lightgbm,memory,cluster_UM,"[373843504.6556026, 1560707270.8959553, 988364536.3598087]","[0.43061852830648795, 1.5993897169181335, 0.9368263663134072]","[True, True, True]","[370774950.5897858, 1376387423.3235772, 548111169.3470049]",974305103.9704555,484637081.14622,0.9889448705126762,3.0,765091181.0867893,1.273449659407241,,250.0,0.05,47.0,,,,,
dlinear_cpu_validate,dlinear,cpu,cluster_mean_CU,,,,,0.9062630874008186,0.36540894989912004,,,,,,,,,True,passed_persistence_eligibility_gate,0.5375158654620592,1.404172447103739,0.7771009496366575
dlinear_memory_validate,dlinear,memory,cluster_UM,,,,,756773060.7276903,420487165.0385938,,,,,,,,,True,passed_persistence_eligibility_gate,371940372.17301714,1341798670.4434867,556580139.5665673
