hierarchy,fold,horizon,method,ewma_alpha,ewma_top_mae,comparator,comparator_top_mae,rel_mae_vs_comparator,pct_change_vs_comparator
memory_um,2,8,wls,0.9,1035591176.3934743,lightgbm,1162557010.7609544,0.8907874339131341,-10.92125660868659
memory_um,2,8,mint,0.9,1035591176.388534,persistence,1043003720.7896672,0.9928930796186218,-0.7106920381378168
memory_um,2,8,mint,0.9,1035591176.388534,ridge,1063940225.901815,0.9733546595728609,-2.6645340427139064
memory_um,2,8,mint,0.9,1035591176.388534,lightgbm,1160263172.3851843,0.8925485191946938,-10.745148080530619
memory_um,2,16,independent,0.9,1036338955.8872705,persistence,1043733133.2584704,0.9929156437257906,-0.7084356274209447
memory_um,2,16,independent,0.9,1036338955.8872705,ridge,1065098498.0995754,0.9729982323103264,-2.700176768967355
memory_um,2,16,independent,0.9,1036338955.8872705,lightgbm,1266339742.2184117,0.8183735543763169,-18.162644562368314
memory_um,2,16,bottom_up,0.9,1036338955.88727,persistence,1043733133.2584704,0.9929156437257901,-0.7084356274209891
memory_um,2,16,bottom_up,0.9,1036338955.88727,ridge,1106800962.842381,0.9363372373889546,-6.366276261104542
memory_um,2,16,bottom_up,0.9,1036338955.88727,lightgbm,1130609376.3134103,0.916619813703006,-8.338018629699395
memory_um,2,16,wls,0.9,1036338955.8863147,persistence,1043733133.258181,0.9929156437251502,-0.7084356274849823
memory_um,2,16,wls,0.9,1036338955.8863147,ridge,1065919806.8753792,0.9722485211380232,-2.775147886197682
memory_um,2,16,wls,0.9,1036338955.8863147,lightgbm,1135057345.1545937,0.9130278397918005,-8.697216020819953
memory_um,2,16,mint,0.9,1036338955.8843336,persistence,1043733133.2576348,0.9929156437237717,-0.7084356276228276
memory_um,2,16,mint,0.9,1036338955.8843336,ridge,1065340507.2458456,0.9727772001869264,-2.722279981307363
memory_um,2,16,mint,0.9,1036338955.8843336,lightgbm,1128115358.949221,0.918646260476081,-8.1353739523919
cpu_core_weighted,0,1,independent,0.9,335.52793643057095,persistence,335.22221582881184,1.0009119938575766,0.09119938575765651
cpu_core_weighted,0,1,independent,0.9,335.52793643057095,ridge,315.4751253809486,1.0635638420791744,6.356384207917443
cpu_core_weighted,0,1,independent,0.9,335.52793643057095,lightgbm,261.83698941467105,1.281438261189276,28.143826118927606
cpu_core_weighted,0,1,bottom_up,0.9,335.52793643057095,persistence,335.22221582881184,1.0009119938575766,0.09119938575765651
cpu_core_weighted,0,1,bottom_up,0.9,335.52793643057095,ridge,283.41274004138853,1.183884451988897,18.38844519888969
cpu_core_weighted,0,1,bottom_up,0.9,335.52793643057095,lightgbm,237.4052437168076,1.4133130809478263,41.33130809478263
cpu_core_weighted,0,1,wls,0.9,335.52793643058476,persistence,335.222215828822,1.0009119938575874,0.09119938575874453
cpu_core_weighted,0,1,wls,0.9,335.52793643058476,ridge,288.3102374059366,1.1637739243999383,16.377392439993834
cpu_core_weighted,0,1,wls,0.9,335.52793643058476,lightgbm,235.9759663566457,1.4218733441840419,42.18733441840419
cpu_core_weighted,0,1,mint,0.9,335.527936430555,persistence,335.2222158287891,1.0009119938575968,0.09119938575967712
cpu_core_weighted,0,1,mint,0.9,335.527936430555,ridge,284.9077082678715,1.1776723714161152,17.767237141611524
cpu_core_weighted,0,1,mint,0.9,335.527936430555,lightgbm,235.46737748408017,1.42494446583472,42.49444658347199
cpu_core_weighted,0,8,independent,0.9,328.45678663782206,persistence,328.197531965878,1.0007899348614573,0.07899348614572865
cpu_core_weighted,0,8,independent,0.9,328.45678663782206,ridge,308.1622967950762,1.065856498519809,6.58564985198089
cpu_core_weighted,0,8,independent,0.9,328.45678663782206,lightgbm,257.1867695524892,1.2771138546875656,27.711385468756554
cpu_core_weighted,0,8,bottom_up,0.9,328.456786637822,persistence,328.197531965878,1.000789934861457,0.07899348614570645
cpu_core_weighted,0,8,bottom_up,0.9,328.456786637822,ridge,276.2211454609803,1.1891080463433261,18.910804634332614
cpu_core_weighted,0,8,bottom_up,0.9,328.456786637822,lightgbm,235.18592707315997,1.39658350618763,39.658350618762995
cpu_core_weighted,0,8,wls,0.9,328.45678663782144,persistence,328.19753196590693,1.0007899348613671,0.07899348613671364
cpu_core_weighted,0,8,wls,0.9,328.45678663782144,ridge,282.14124186245385,1.164157301036999,16.4157301036999
cpu_core_weighted,0,8,wls,0.9,328.45678663782144,lightgbm,232.7808041374207,1.4110131969641235,41.101319696412354
cpu_core_weighted,0,8,mint,0.9,328.45678663780444,persistence,328.19753196588806,1.000789934861373,0.07899348613729096
cpu_core_weighted,0,8,mint,0.9,328.45678663780444,ridge,277.8642510464726,1.1820764470448928,18.20764470448928
cpu_core_weighted,0,8,mint,0.9,328.45678663780444,lightgbm,231.3121134957916,1.419972268956767,41.99722689567671
cpu_core_weighted,0,16,independent,0.9,331.5725613145136,persistence,331.82240938623585,0.9992470428016469,-0.07529571983531103
cpu_core_weighted,0,16,independent,0.9,331.5725613145136,ridge,314.0604074649231,1.0557604633801108,5.576046338011076
cpu_core_weighted,0,16,independent,0.9,331.5725613145136,lightgbm,263.6458182680166,1.257643923551422,25.764392355142206
cpu_core_weighted,0,16,bottom_up,0.9,331.5725613145136,persistence,331.82240938623585,0.9992470428016469,-0.07529571983531103
cpu_core_weighted,0,16,bottom_up,0.9,331.5725613145136,ridge,280.3724532895044,1.1826146164656963,18.261461646569632
cpu_core_weighted,0,16,bottom_up,0.9,331.5725613145136,lightgbm,243.2463549015158,1.3631142034944732,36.31142034944732
cpu_core_weighted,0,16,wls,0.9,331.5725613145124,persistence,331.8224093862685,0.9992470428015451,-0.07529571984549177
cpu_core_weighted,0,16,wls,0.9,331.5725613145124,ridge,286.9971771863407,1.1553164549044674,15.531645490446744
cpu_core_weighted,0,16,wls,0.9,331.5725613145124,lightgbm,240.2525668494717,1.380099974216952,38.009997421695196
cpu_core_weighted,0,16,mint,0.9,331.57256131449054,persistence,331.8224093862479,0.9992470428015411,-0.07529571984589145
cpu_core_weighted,0,16,mint,0.9,331.57256131449054,ridge,282.2034618886695,1.1749415088511472,17.494150885114724
cpu_core_weighted,0,16,mint,0.9,331.57256131449054,lightgbm,239.06700345427703,1.3869440638967383,38.69440638967383
cpu_core_weighted,1,1,independent,0.9,256.62658002027604,persistence,258.5864403621402,0.9924208696360124,-0.7579130363987607
cpu_core_weighted,1,1,independent,0.9,256.62658002027604,ridge,245.11569310811487,1.0469610360976929,4.6961036097692865
cpu_core_weighted,1,1,independent,0.9,256.62658002027604,lightgbm,199.6147197052011,1.2856095001374261,28.560950013742612
cpu_core_weighted,1,1,bottom_up,0.9,256.62658002027604,persistence,258.5864403621402,0.9924208696360124,-0.7579130363987607
cpu_core_weighted,1,1,bottom_up,0.9,256.62658002027604,ridge,216.17092658272037,1.1871465977274924,18.714659772749243
cpu_core_weighted,1,1,bottom_up,0.9,256.62658002027604,lightgbm,184.2086048769985,1.3931302513888162,39.31302513888162
cpu_core_weighted,1,1,wls,0.9,256.6265800202774,persistence,258.58644036213855,0.992420869636024,-0.757913036397595
