hierarchy,unit,base_model,horizon,fold,method_a,method_b,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,ci_low,ci_high,prob_reconciliation_improves,p_value_raw,ci_crosses_zero,effect_class,outcome,correction_family,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,coherence_before,coherence_after,tradeoff_class,npz_path,p_value_holm,reject_holm_0.05,family_size,alpha,ci_low_rel,ci_high_rel
memory_um,memory_level,persistence,16,0,independent,mint,8261,32,1000,0,1.773573327419501e-05,0.003387451171875,1285438902.927975,1285438902.9279926,1.3725253540505448e-14,-4.321902849645075e-05,8.779709772918778e-05,0.29,0.58,True,accuracy_neutral,tie,memory_persistence,227277894.74342436,227277894.74295175,-2.0792845984215857e-12,186907252.11715588,186907252.1166774,-2.5599664032005197e-12,426683283.0427309,426683283.0425937,-3.2157316146648313e-13,6,1,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__persistence__s0.npz,1.0,False,27.0,0.05,-3.3622001324221926e-14,6.830126078275941e-14
memory_um,memory_level,persistence,16,1,independent,bottom_up,8261,32,1000,0,0.0,0.0,844976853.3901465,844976853.3901465,0.0,0.0,0.0,0.0,1.0,True,accuracy_neutral,tie,memory_persistence,157471415.92404935,157471415.92404935,0.0,132840004.7300878,132840004.7300878,0.0,271934026.06367266,271934026.06367266,0.0,0,0,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,1.0,False,27.0,0.05,0.0,0.0
memory_um,memory_level,persistence,16,1,independent,wls,8261,32,1000,0,0.0002004773258051,0.1517791748046875,844976853.3901465,844976853.390347,2.372964705718793e-13,-0.0022839194679791,0.0023770619904846,0.434,0.868,True,accuracy_neutral,tie,memory_persistence,157471415.92404935,157471415.9286682,2.933137613266855e-11,132840004.7300878,132840004.73506305,3.745301962428907e-11,271934026.06367266,271934026.0956686,1.1766071569827102e-10,5,2,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,1.0,False,27.0,0.05,-2.7029373157569306e-12,2.813168172533422e-12
memory_um,memory_level,persistence,16,1,independent,mint,8261,32,1000,0,0.0001726361773317,0.0750732421875,844976853.3901465,844976853.3903192,2.0442484295996027e-13,-0.0010367549687981,0.001243716587297,0.393,0.786,True,accuracy_neutral,tie,memory_persistence,157471415.92404935,157471415.92744425,2.1558844394396836e-11,132840004.7300878,132840004.73359711,2.6417815006640237e-11,271934026.06367266,271934026.080095,6.039086601584442e-11,3,4,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,1.0,False,27.0,0.05,-1.2269625666531778e-12,1.4718942682359437e-12
memory_um,memory_level,persistence,16,2,independent,bottom_up,8264,32,1000,0,0.0,0.0,1043733133.2584704,1043733133.2584704,0.0,0.0,0.0,0.0,1.0,True,accuracy_neutral,tie,memory_persistence,191170063.50656897,191170063.50656897,0.0,160625852.16243568,160625852.16243568,0.0,452192737.76573086,452192737.76573086,0.0,0,0,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,1.0,False,27.0,0.05,0.0,0.0
memory_um,memory_level,persistence,16,2,independent,wls,8264,32,1000,0,-0.000289580944316,-0.0132598876953125,1043733133.2584704,1043733133.258181,-2.773124142621425e-13,-0.0005158070788609,-8.049131247565685e-05,0.995,0.01,False,accuracy_neutral,tie,memory_persistence,191170063.50656897,191170063.5071413,2.993794052454425e-12,160625852.16243568,160625852.1630111,3.5823824926993344e-12,452192737.76573086,452192737.7677998,4.575342883702935e-12,1,6,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,0.22,False,27.0,0.05,-4.941944089200101e-13,-7.711867134500937e-14
memory_um,memory_level,persistence,16,2,independent,mint,8264,32,1000,0,-0.0008356864316188,-0.04150390625,1043733133.2584704,1043733133.2576348,-8.00642513994077e-13,-0.0015348338896168,-0.0001970513630928,0.994,0.012,False,accuracy_neutral,tie,memory_persistence,191170063.50656897,191170063.50865695,1.0922266137422511e-11,160625852.16243568,160625852.16447347,1.2686584198430828e-11,452192737.76573086,452192737.77444184,1.9263866240720495e-11,2,5,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,0.252,False,27.0,0.05,-1.4705232982545483e-12,-1.8879477599567795e-13
memory_um,memory_level,ridge,1,0,independent,bottom_up,8276,32,1000,0,-95293358.03805548,-114708280.18115234,1358694507.6124406,1263401149.574385,-0.0701359705983572,-116936798.93021588,-73560026.25384,1.0,0.0,False,substantial_improvement,win,memory_ridge,261733944.41832024,261733944.41832024,0.0,218129331.6554483,218129331.6554483,0.0,559235518.7529912,559235518.7529912,0.0,0,0,465104157.5826315,0.0,pareto_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,0.0,True,27.0,0.05,-0.08606555651402648,-0.0541402249304025
memory_um,memory_level,ridge,1,0,independent,wls,8276,32,1000,0,-86210717.44397233,-90491829.18976592,1358694507.6124406,1272483790.1684682,-0.0634511414898303,-100560140.81792584,-72274333.18524277,1.0,0.0,False,substantial_improvement,win,memory_ridge,261733944.41832024,262021246.0064301,0.0010976856240345,218129331.6554483,219006625.46121135,0.0040218974637892,559235518.7529912,545227534.6865411,-0.0250484520326708,3,4,465104157.5826315,0.0,pareto_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,0.0,True,27.0,0.05,-0.07401232598977284,-0.053193954034778945
memory_um,memory_level,ridge,1,0,independent,mint,8276,32,1000,0,-89277176.44040298,-94759401.04060364,1358694507.6124406,1269417331.1720374,-0.065708057212423,-104902284.14561293,-73935455.37175222,1.0,0.0,False,substantial_improvement,win,memory_ridge,261733944.41832024,261697154.58173132,-0.0001405619613867,218129331.6554483,218580714.1197467,0.002069334100429,559235518.7529912,545639721.5498856,-0.0243113978765549,3,4,465104157.5826315,0.0,pareto_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,0.0,True,27.0,0.05,-0.07720814617110064,-0.05441654099395378
