run_id,fold,horizon,base_model,reconciliation_method,nonnegative,top_mae_weighted_mean,top_rmse_weighted_mean,top_r2,top_mase,mase_valid,coherence_before_wsum,coherence_after_wsum,coherence_before_mean,coherence_after_mean,is_coherent_after,macro_machine_mae,core_weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,adj_magnitude_mean_units,ind_top_mae,wall_train_sec_sum,pct_pred_gt100_top,pct_pred_neg_top,pct_pred_gt100_machines,pct_pred_neg_machines,mae_machine01_CU,mae_machine02_CU,mae_machine03_CU,mae_machine04_CU,mae_machine05_CU,mae_machine06_CU,mae_machine07_CU,pers_ind_mae,same_ind_mae,rel_vs_ind,rel_vs_pers
base__cpu_core_weighted__f0__h16__ridge__s0__wls__nn0,0,16,ridge,wls,False,1.2160897338404266,3.062600356624451,0.5475902525784342,1.0977967478094424,True,122.31013155674466,0.0,0.5182632693082401,0.0,True,1.5907748556210015,1.6723293257951006,4.0663247690535185,0.05865962374173836,1,6,0.21108974178290593,1.3307644384106914,0.0662069989994051,0.0,0.16185594820609656,0.015414852210104437,0.7360591930324868,4.0663247690535185,1.2347037604113895,0.8214676768477633,3.4029557652894558,0.601559781436917,0.05865962374173836,0.9497526125662284,1.4060271584162536,1.3307644384106914,0.9138279463589974,0.8649119802281969
base__cpu_core_weighted__f0__h16__ridge__s0__mint__nn0,0,16,ridge,mint,False,1.1957773808841927,3.052895017281627,0.5504530700752217,1.0794602431953535,True,122.31013155674466,0.0,0.5182632693082401,0.0,True,1.5578373062454796,1.6371588150317709,3.8479908086675514,0.05866519241033957,1,6,0.13528507529047967,1.3307644384106914,0.0662069989994051,0.0,0.21580793094146208,0.015414852210104437,0.7129369147173301,3.8479908086675514,1.2331795595867419,0.8214363772121841,3.3936806287771386,0.6011931541577717,0.05866519241033957,0.9487154229066309,1.4060271584162536,1.3307644384106914,0.8985642735631625,0.850465351061294
base__cpu_core_weighted__f0__h1__lightgbm__s0__independent__nn0,0,1,lightgbm,independent,False,1.1094787687062335,2.776661579957436,0.6387864277289619,1.0028381724007487,True,172.09132864608608,172.09132864608608,0.7292005451105342,0.7292005451105342,False,1.3184866520292988,1.3826159787990782,3.1085182245269385,0.05574781672175449,0,0,0.0,1.1094787687062335,6.654239291001431,0.0,0.0,0.02947331191606001,0.40673170444162815,3.1085182245269385,1.0840345279839911,0.9982457008958884,2.5902440376851916,0.564571143478202,0.05574781672175449,0.828045112913126,1.4204331179186942,1.1094787687062335,1.0,0.7810848358224074
base__cpu_core_weighted__f0__h1__lightgbm__s0__bottom_up__nn0,0,1,lightgbm,bottom_up,False,1.0059544225288457,2.5086061254896443,0.7051622320192865,0.9092643528308828,True,172.09132864608608,0.0,0.7292005451105342,0.0,True,1.3184866520292988,1.3826159787990782,3.1085182245269385,0.05574781672175449,0,0,0.09115006813881678,1.1094787687062335,6.654239291001431,0.0,0.0,0.02947331191606001,0.40673170444162815,3.1085182245269385,1.0840345279839911,0.9982457008958884,2.5902440376851916,0.564571143478202,0.05574781672175449,0.828045112913126,1.4204331179186942,1.1094787687062335,0.9066910074375665,0.7082025966860248
base__cpu_core_weighted__f0__h1__lightgbm__s0__wls__nn0,0,1,lightgbm,wls,False,0.9998981625281598,2.5049671390277455,0.7060169955093667,0.903790206878767,True,172.09132864608608,0.0,0.7292005451105342,0.0,True,1.3651382597125195,1.434547650665902,3.3213001007855527,0.055742455409696905,1,6,0.3071049533677773,1.1094787687062335,6.654239291001431,0.0,0.0,0.02947331191606001,0.8282000648412863,3.3213001007855527,1.133302391075866,1.0236109824011457,2.6224682525953416,0.5666752386680112,0.055742455409696905,0.8328683970520205,1.4204331179186942,1.1094787687062335,0.901232354084742,0.7039389253281224
base__cpu_core_weighted__f0__h1__lightgbm__s0__mint__nn0,0,1,lightgbm,mint,False,0.9977431249325432,2.499442309079211,0.7073123537985095,0.901842306635157,True,172.09132864608608,0.0,0.7292005451105342,0.0,True,1.3627605607406963,1.4311768255278439,3.2940333546789757,0.055748694290508036,1,6,0.2950317074749524,1.1094787687062335,6.654239291001431,0.0,0.0,0.02947331191606001,0.8370420584161042,3.2940333546789757,1.1089552751456666,1.0725497337155965,2.6157878112370203,0.5646012776067556,0.055748694290508036,0.8276477785103514,1.4204331179186942,1.1094787687062335,0.8992899666714799,0.7024217559743311
base__cpu_core_weighted__f0__h1__persistence__s0__independent__nn0,0,1,persistence,independent,False,1.4204331179186942,3.6011587539241328,0.39242108698936284,1.2839042910682759,True,0.0,0.0,0.0,0.0,True,1.747626173256086,1.8353525047354895,3.6004420577882987,0.07162600285713791,0,0,0.0,1.4204331179186942,0.0001773749982021,0.0,0.0,0.0,0.0,3.6004420577882987,2.0770225356035286,1.1387554974463725,2.9568346860830106,0.879611443507371,0.07162600285713791,1.5090909895068816,1.4204331179186942,1.4204331179186942,1.0,1.0
base__cpu_core_weighted__f0__h1__persistence__s0__bottom_up__nn0,0,1,persistence,bottom_up,False,1.4204331179186942,3.6011587539241328,0.39242108698936284,1.2839042910682759,True,0.0,0.0,0.0,0.0,True,1.747626173256086,1.8353525047354895,3.6004420577882987,0.07162600285713791,0,0,0.0,1.4204331179186942,0.0001773749982021,0.0,0.0,0.0,0.0,3.6004420577882987,2.0770225356035286,1.1387554974463725,2.9568346860830106,0.879611443507371,0.07162600285713791,1.5090909895068816,1.4204331179186942,1.4204331179186942,1.0,1.0
base__cpu_core_weighted__f0__h1__persistence__s0__wls__nn0,0,1,persistence,wls,False,1.4204331179187373,3.601158753924139,0.39242108698936073,1.2839042910683147,True,0.0,0.0,0.0,0.0,True,1.747626173256093,1.835352504735495,3.6004420577883245,0.07162600285713791,0,0,2.9580687668956663e-13,1.4204331179186942,0.0001773749982021,0.0,0.0,0.0,0.0,3.6004420577883245,2.0770225356035272,1.1387554974463725,2.95683468608301,0.8796114435073944,0.07162600285713791,1.5090909895068823,1.4204331179186942,1.4204331179186942,1.0000000000000304,1.0000000000000304
base__cpu_core_weighted__f0__h1__persistence__s0__mint__nn0,0,1,persistence,mint,False,1.420433117918598,3.601158753924109,0.39242108698937095,1.283904291068189,True,0.0,0.0,0.0,0.0,True,1.7476261732560805,1.8353525047354835,3.600442057788252,0.07162600285713784,0,0,4.210751492228793e-13,1.4204331179186942,0.0001773749982021,0.0,0.0,0.0,0.0,3.600442057788252,2.0770225356035312,1.138755497446374,2.956834686083016,0.8796114435073707,0.07162600285713784,1.5090909895068811,1.4204331179186942,1.4204331179186942,0.9999999999999323,0.9999999999999323
