run_id,fold,horizon,base_model,reconciliation_method,nonnegative,coherence_before_wsum,coherence_after_wsum,coherence_before_mean,coherence_after_mean,is_coherent_after,adj_magnitude_mean_units
base__cpu_core_weighted__f1__h8__lightgbm__s0__ols__nn1,1,8,lightgbm,ols,True,132.7397281498307,0.0,0.5624564752111471,0.0,True,0.4304308311709048
base__cpu_core_weighted__f1__h8__persistence__s0__independent__nn0,1,8,persistence,independent,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f1__h8__persistence__s0__independent__nn1,1,8,persistence,independent,True,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f1__h8__persistence__s0__bottom_up__nn0,1,8,persistence,bottom_up,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f1__h8__persistence__s0__bottom_up__nn1,1,8,persistence,bottom_up,True,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f1__h8__persistence__s0__wls__nn0,1,8,persistence,wls,False,0.0,0.0,0.0,0.0,True,1.3994832338246986e-13
base__cpu_core_weighted__f1__h8__persistence__s0__wls__nn1,1,8,persistence,wls,True,0.0,0.0,0.0,0.0,True,1.3994832338246986e-13
base__cpu_core_weighted__f1__h8__persistence__s0__mint__nn0,1,8,persistence,mint,False,0.0,0.0,0.0,0.0,True,1.343851835541276e-13
base__cpu_core_weighted__f1__h8__persistence__s0__mint__nn1,1,8,persistence,mint,True,0.0,0.0,0.0,0.0,True,1.343851835541276e-13
base__cpu_core_weighted__f1__h8__persistence__s0__ols__nn0,1,8,persistence,ols,False,0.0,0.0,0.0,0.0,True,3.4369744388327757e-15
base__cpu_core_weighted__f1__h8__persistence__s0__ols__nn1,1,8,persistence,ols,True,0.0,0.0,0.0,0.0,True,3.4369744388327757e-15
base__cpu_core_weighted__f1__h8__ridge__s0__independent__nn0,1,8,ridge,independent,False,111.16586994739626,111.16586994739626,0.4710418218110011,0.4710418218110011,False,0.0
base__cpu_core_weighted__f1__h8__ridge__s0__independent__nn1,1,8,ridge,independent,True,111.16586994739626,0.0,0.4710418218110011,0.0,True,0.07896251868154361
base__cpu_core_weighted__f1__h8__ridge__s0__bottom_up__nn0,1,8,ridge,bottom_up,False,111.16586994739626,0.0,0.4710418218110011,0.0,True,0.05888022772637514
base__cpu_core_weighted__f1__h8__ridge__s0__bottom_up__nn1,1,8,ridge,bottom_up,True,111.16586994739626,0.0,0.4710418218110011,0.0,True,0.07896251868154361
base__cpu_core_weighted__f1__h8__ridge__s0__wls__nn0,1,8,ridge,wls,False,111.16586994739626,0.0,0.4710418218110011,0.0,True,0.1829285197516123
base__cpu_core_weighted__f1__h8__ridge__s0__wls__nn1,1,8,ridge,wls,True,111.16586994739626,0.0,0.4710418218110011,0.0,True,0.19958566655079726
base__cpu_core_weighted__f1__h8__ridge__s0__mint__nn0,1,8,ridge,mint,False,111.16586994739626,0.0,0.4710418218110011,0.0,True,0.17146624456692564
base__cpu_core_weighted__f1__h8__ridge__s0__mint__nn1,1,8,ridge,mint,True,111.16586994739626,0.0,0.4710418218110011,0.0,True,0.18821817567733867
base__cpu_core_weighted__f1__h8__ridge__s0__ols__nn0,1,8,ridge,ols,False,111.16586994739626,0.0,0.4710418218110011,0.0,True,0.3957650862247116
base__cpu_core_weighted__f1__h8__ridge__s0__ols__nn1,1,8,ridge,ols,True,111.16586994739626,0.0,0.4710418218110011,0.0,True,0.4127997197646788
base__cpu_core_weighted__f2__h16__lightgbm__s0__independent__nn0,2,16,lightgbm,independent,False,172.7779307352326,172.7779307352326,0.7321098759967483,0.7321098759967483,False,0.0
base__cpu_core_weighted__f2__h16__lightgbm__s0__bottom_up__nn0,2,16,lightgbm,bottom_up,False,172.7779307352326,0.0,0.7321098759967483,0.0,True,0.09151373449959353
base__cpu_core_weighted__f2__h16__lightgbm__s0__wls__nn0,2,16,lightgbm,wls,False,172.7779307352326,0.0,0.7321098759967483,0.0,True,0.2403955956078946
base__cpu_core_weighted__f2__h16__lightgbm__s0__mint__nn0,2,16,lightgbm,mint,False,172.7779307352326,0.0,0.7321098759967483,0.0,True,0.17466309972229407
base__cpu_core_weighted__f2__h16__persistence__s0__independent__nn0,2,16,persistence,independent,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f2__h16__persistence__s0__bottom_up__nn0,2,16,persistence,bottom_up,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f2__h16__persistence__s0__wls__nn0,2,16,persistence,wls,False,0.0,0.0,0.0,0.0,True,1.7835193564252314e-14
base__cpu_core_weighted__f2__h16__persistence__s0__mint__nn0,2,16,persistence,mint,False,0.0,0.0,0.0,0.0,True,1.1601457902131097e-14
base__cpu_core_weighted__f2__h16__ridge__s0__independent__nn0,2,16,ridge,independent,False,129.7838402201766,129.7838402201766,0.5499315263566804,0.5499315263566804,False,0.0
base__cpu_core_weighted__f2__h16__ridge__s0__bottom_up__nn0,2,16,ridge,bottom_up,False,129.7838402201766,0.0,0.5499315263566804,0.0,True,0.06874144079458507
base__cpu_core_weighted__f2__h16__ridge__s0__wls__nn0,2,16,ridge,wls,False,129.7838402201766,0.0,0.5499315263566804,0.0,True,0.20999541771541116
base__cpu_core_weighted__f2__h16__ridge__s0__mint__nn0,2,16,ridge,mint,False,129.7838402201766,0.0,0.5499315263566804,0.0,True,0.1687338504973779
base__cpu_core_weighted__f2__h1__lightgbm__s0__independent__nn0,2,1,lightgbm,independent,False,171.5725267317513,171.5725267317513,0.7270022319142004,0.7270022319142004,False,0.0
base__cpu_core_weighted__f2__h1__lightgbm__s0__bottom_up__nn0,2,1,lightgbm,bottom_up,False,171.5725267317513,0.0,0.7270022319142004,0.0,True,0.09087527898927507
