claim,hierarchy,base_model,horizon,fold,method,threshold,effect,verdict,best_model,lgbm_high_load_mae,best_high_load_mae,aspect
P1,cpu_core_weighted,ridge,8,1,mint,q95,-0.01139851702496002,uncertain,,,,
P1,cpu_core_weighted,ridge,8,2,bottom_up,q90,-0.007826199265091895,uncertain,,,,
P1,cpu_core_weighted,ridge,8,2,wls,q90,-0.011237540615096828,uncertain,,,,
P1,cpu_core_weighted,ridge,8,2,mint,q90,-0.010948962034367255,uncertain,,,,
P1,cpu_core_weighted,ridge,8,2,bottom_up,q95,-0.00042071948148570315,uncertain,,,,
P1,cpu_core_weighted,ridge,8,2,wls,q95,-0.004534735997486081,uncertain,,,,
P1,cpu_core_weighted,ridge,8,2,mint,q95,-0.003733491489868756,uncertain,,,,
P1,cpu_core_weighted,ridge,16,0,bottom_up,q90,-0.031625112910369346,support,,,,
P1,cpu_core_weighted,ridge,16,0,wls,q90,-0.027064246143585716,support,,,,
P1,cpu_core_weighted,ridge,16,0,mint,q90,-0.030867572685289047,support,,,,
P1,cpu_core_weighted,ridge,16,0,bottom_up,q95,-0.03081429607471731,support,,,,
P1,cpu_core_weighted,ridge,16,0,wls,q95,-0.020332509441887664,support,,,,
P1,cpu_core_weighted,ridge,16,0,mint,q95,-0.02619701759854265,support,,,,
P1,cpu_core_weighted,ridge,16,1,bottom_up,q90,-0.013247494491936842,uncertain,,,,
P1,cpu_core_weighted,ridge,16,1,wls,q90,-0.015565901317433602,uncertain,,,,
P1,cpu_core_weighted,ridge,16,1,mint,q90,-0.015521970557532993,uncertain,,,,
P1,cpu_core_weighted,ridge,16,1,bottom_up,q95,-0.015327978423869787,uncertain,,,,
P1,cpu_core_weighted,ridge,16,1,wls,q95,-0.014967208279380044,uncertain,,,,
P1,cpu_core_weighted,ridge,16,1,mint,q95,-0.01515506442369768,uncertain,,,,
P1,cpu_core_weighted,ridge,16,2,bottom_up,q90,-0.007081443573519354,uncertain,,,,
P1,cpu_core_weighted,ridge,16,2,wls,q90,-0.01113380077706391,uncertain,,,,
P1,cpu_core_weighted,ridge,16,2,mint,q90,-0.010796641848781704,uncertain,,,,
P1,cpu_core_weighted,ridge,16,2,bottom_up,q95,-0.004333117219967854,uncertain,,,,
P1,cpu_core_weighted,ridge,16,2,wls,q95,-0.007187931236804606,uncertain,,,,
P1,cpu_core_weighted,ridge,16,2,mint,q95,-0.006917120760618822,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,0,bottom_up,q90,-0.03901170351105332,contradict,,,,
P2,cpu_core_weighted,dlinear,1,0,wls,q90,-0.006501950585175553,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,0,mint,q90,-0.016905071521456483,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,0,bottom_up,q95,0.005012531328320802,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,0,wls,q95,-0.0025062656641604564,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,0,mint,q95,0.0,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,1,bottom_up,q90,-0.02941176470588236,contradict,,,,
P2,cpu_core_weighted,dlinear,1,1,wls,q90,-0.022624434389140302,contradict,,,,
P2,cpu_core_weighted,dlinear,1,1,mint,q90,-0.022624434389140302,contradict,,,,
P2,cpu_core_weighted,dlinear,1,1,bottom_up,q95,-0.029166666666666674,contradict,,,,
P2,cpu_core_weighted,dlinear,1,1,wls,q95,-0.029166666666666674,contradict,,,,
P2,cpu_core_weighted,dlinear,1,1,mint,q95,-0.029166666666666674,contradict,,,,
P2,cpu_core_weighted,dlinear,1,2,bottom_up,q90,-0.011290322580645107,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,2,wls,q90,-0.009677419354838679,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,2,mint,q90,-0.008064516129032251,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,2,bottom_up,q95,-0.0029673590504450953,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,2,wls,q95,0.005934718100890191,uncertain,,,,
P2,cpu_core_weighted,dlinear,1,2,mint,q95,0.008902077151335286,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,0,bottom_up,q90,-0.013554216867469826,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,0,wls,q90,-0.004518072289156572,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,0,mint,q90,0.003012048192771122,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,0,bottom_up,q95,-0.017699115044247815,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,0,wls,q95,-0.017699115044247815,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,0,mint,q95,-0.02359882005899705,contradict,,,,
P2,cpu_core_weighted,dlinear,8,1,bottom_up,q90,0.021428571428571463,support,,,,
P2,cpu_core_weighted,dlinear,8,1,wls,q90,0.01666666666666672,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,1,mint,q90,0.01904761904761909,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,1,bottom_up,q95,0.047826086956521685,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,1,wls,q95,0.017391304347826098,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,1,mint,q95,0.01304347826086949,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,2,bottom_up,q90,-0.01258992805755399,uncertain,,,,
