hierarchy,base_model,horizon,fold,method,npz_path,summing_matrix_hash,top_mae_recon,bottom_mae_mean_recon,coherence_before_recon,coherence_after_recon,adjustment_magnitude,nonnegative,match_ok,diff_top_mae,ok_top_mae,diff_bottom_mae_mean,ok_bottom_mae_mean,diff_coherence_before,ok_coherence_before,diff_coherence_after,ok_coherence_after
memory_um,persistence,16,1,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,abe0cd1cb9555ccb,844976853.3901465,157471415.92404935,0.0,0.0,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,16,1,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,abe0cd1cb9555ccb,844976853.390347,157471415.9286682,0.0,0.0,0.15476300413073762,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,16,1,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__persistence__s0.npz,abe0cd1cb9555ccb,844976853.3903192,157471415.92744425,0.0,0.0,0.07585605999529037,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,persistence,16,2,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,abe0cd1cb9555ccb,1043733133.2584704,191170063.50656894,0.0,0.0,0.0,False,True,0.0,True,-2.9802322387695312e-08,True,0.0,True,0.0,True
memory_um,persistence,16,2,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,abe0cd1cb9555ccb,1043733133.2584704,191170063.50656894,0.0,0.0,0.0,False,True,0.0,True,-2.9802322387695312e-08,True,0.0,True,0.0,True
memory_um,persistence,16,2,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,abe0cd1cb9555ccb,1043733133.258181,191170063.50714126,0.0,0.0,0.013558231734121642,False,True,0.0,True,-2.9802322387695312e-08,True,0.0,True,0.0,True
memory_um,persistence,16,2,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,abe0cd1cb9555ccb,1043733133.2576348,191170063.50865695,0.0,0.0,0.04187264123936937,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,1,0,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,abe0cd1cb9555ccb,1358694507.6124406,261733944.41832024,465104157.5826315,465104157.5826315,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,1,0,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,abe0cd1cb9555ccb,1263401149.574385,261733944.41832024,465104157.5826315,0.0,465104157.5826315,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,1,0,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,abe0cd1cb9555ccb,1272483790.1684682,262021246.0064301,465104157.5826315,0.0,313166206.63936704,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,1,0,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,abe0cd1cb9555ccb,1269417331.1720374,261697154.58173132,465104157.5826315,0.0,337642402.7782122,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,1,1,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,abe0cd1cb9555ccb,834422178.6472346,178183129.56075722,301581705.2888302,301581705.2888302,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,1,1,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,abe0cd1cb9555ccb,792068860.7184273,178183129.56075722,301581705.2888302,0.0,301581705.2888302,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,1,1,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,abe0cd1cb9555ccb,787020827.6599429,177628446.42540455,301581705.2888302,0.0,199161259.07421833,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,1,1,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,abe0cd1cb9555ccb,787248084.4787565,177520776.7147126,301581705.2888302,0.0,195838045.64487037,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,1,2,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,abe0cd1cb9555ccb,1062872941.5920458,224063327.55073184,427789448.31166357,427789448.31166357,0.0,False,True,0.0,True,0.0,True,-5.960464477539063e-08,True,-5.960464477539063e-08,True
memory_um,ridge,1,2,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,abe0cd1cb9555ccb,1104382836.436448,224063327.55073184,427789448.31166357,0.0,427789448.31166357,False,True,0.0,True,0.0,True,-5.960464477539063e-08,True,0.0,True
memory_um,ridge,1,2,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,abe0cd1cb9555ccb,1063609034.760056,222852884.5840256,427789448.31166357,0.0,284193674.57305455,False,True,0.0,True,0.0,True,-5.960464477539063e-08,True,0.0,True
memory_um,ridge,1,2,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,abe0cd1cb9555ccb,1063028098.595265,221996840.72351202,427789448.31166357,0.0,281017583.0642245,False,True,0.0,True,2.9802322387695312e-08,True,-5.960464477539063e-08,True,0.0,True
memory_um,ridge,8,0,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,abe0cd1cb9555ccb,1357156730.2391167,261400373.5963501,464923296.3696819,464923296.3696819,0.0,False,True,-2.384185791015625e-07,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,8,0,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,abe0cd1cb9555ccb,1261466683.1458573,261400373.5963501,464923296.3696819,0.0,464923296.3696819,False,True,2.384185791015625e-07,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,8,0,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,abe0cd1cb9555ccb,1277394243.2300913,267470159.40056887,464923296.3696819,0.0,269682103.25155973,False,True,2.384185791015625e-07,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,8,0,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,abe0cd1cb9555ccb,1273086565.0781949,265875886.39355138,464923296.3696819,0.0,296033647.31712943,False,True,0.0,True,2.9802322387695312e-08,True,0.0,True,0.0,True
memory_um,ridge,8,1,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__ridge__s0.npz,abe0cd1cb9555ccb,835005834.3233938,178261117.22330353,301967643.2167778,301967643.2167778,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,8,1,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__ridge__s0.npz,abe0cd1cb9555ccb,792793346.5996116,178261117.22330353,301967643.2167778,0.0,301967643.2167778,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,8,1,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__ridge__s0.npz,abe0cd1cb9555ccb,787653614.2190269,177698230.19479868,301967643.2167778,0.0,199561387.98763365,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,8,1,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__ridge__s0.npz,abe0cd1cb9555ccb,787864181.2173144,177587842.28029156,301967643.2167778,0.0,196379053.1337304,False,True,0.0,True,0.0,True,0.0,True,0.0,True
