hierarchy,unit,base_model,horizon,fold,method,threshold,threshold_value,n_paired,eval_days,y_min,y_max,yhat_min,yhat_max,coherence_error,false_alarms_per_day,npz_path,tp,fp,fn,tn,n_actual_peaks,n_predicted_peaks,precision,precision_valid,recall,recall_valid,f1,f1_valid,specificity,false_positive_rate,high_load_mae,low_load_mae,peak_magnitude_mae,signed_peak_bias,max_underprediction,max_overprediction,predicted_actual_peak_ratio,invalid_reason
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,1,bottom_up,q95,7.138686440503589,4778,2.3384088327314814,1.7536723164125938,32.57853107326954,1.9938052102634805,32.16351715461797,0.0,41.908839304856194,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h8__lightgbm__s0.npz,182,98,48,4450,230,280,0.65,True,0.7913043478260869,True,0.7137254901960784,True,0.9784520668425681,0.021547933157431837,5.089486015862208,0.5768849092696743,5.089486015862208,-3.0903515993730046,-19.02404928817354,14.362869415598722,0.8925975039914437,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,1,wls,q90,4.692372881319361,4778,2.3384088327314814,1.7536723164125938,32.57853107326954,2.1974152983568285,31.409423451894572,0.0,98.7851212185896,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h8__lightgbm__s0.npz,335,231,85,4127,420,566,0.5918727915194346,True,0.7976190476190477,True,0.6795131845841785,True,0.9469940339605324,0.053005966039467646,3.694737596757159,0.5072007237963675,3.694737596757159,-1.8483204442377876,-19.520212659823756,13.913179853410593,0.9480160427541278,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,1,wls,q95,7.138686440503589,4778,2.3384088327314814,1.7536723164125938,32.57853107326954,2.1974152983568285,31.409423451894572,0.0,37.63242713089128,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h8__lightgbm__s0.npz,177,88,53,4460,230,265,0.6679245283018868,True,0.7695652173913043,True,0.7151515151515152,True,0.980650835532102,0.019349164467897976,5.291966220989887,0.5595906583366101,5.291966220989887,-3.631654708523864,-19.520212659823756,13.913179853410593,0.8508535335426608,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,1,mint,q90,4.692372881319361,4778,2.3384088327314814,1.7536723164125938,32.57853107326954,2.1943836983925937,31.387826150995526,0.0,98.35748000119311,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h8__lightgbm__s0.npz,335,230,85,4128,420,565,0.5929203539823009,True,0.7976190476190477,True,0.6802030456852792,True,0.9472234970169803,0.05277650298301973,3.6972017643357074,0.5073964503419118,3.6972017643357074,-1.8583199514019129,-19.594366086408165,14.053934071851334,0.9470782498432968,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,1,mint,q95,7.138686440503589,4778,2.3384088327314814,1.7536723164125938,32.57853107326954,2.1943836983925937,31.387826150995526,0.0,37.63242713089128,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h8__lightgbm__s0.npz,177,88,53,4460,230,265,0.6679245283018868,True,0.7695652173913043,True,0.7151515151515152,True,0.980650835532102,0.019349164467897976,5.30029818022474,0.5595844085662619,5.30029818022474,-3.64715767066735,-19.594366086408165,14.053934071851334,0.8496579830596758,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,2,independent,q90,4.978273174477393,4341,2.1245359445138887,1.8000000000057879,34.34491525427833,1.9649907510351972,33.54881055174498,170.36132440790686,137.91247013570336,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h8__lightgbm__s0.npz,405,293,151,3492,556,698,0.5802292263610315,True,0.7284172661870504,True,0.645933014354067,True,0.9225891677675033,0.0774108322324967,4.268427504464971,0.6714037164802947,4.268427504464971,-3.0617730970939814,-26.418789049291227,16.058562202327458,0.8175404413521636,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,2,independent,q95,8.180833333253458,4341,2.1245359445138887,1.8000000000057879,34.34491525427833,1.9649907510351972,33.54881055174498,170.36132440790686,40.00873707008459,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h8__lightgbm__s0.npz,196,85,111,3949,307,281,0.697508896797153,True,0.6384364820846905,True,0.6666666666666667,True,0.9789291026276649,0.02107089737233515,6.428545452469313,0.7290394906922063,6.428545452469313,-5.196110644409785,-26.418789049291227,16.058562202327458,0.7247158458875486,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,2,bottom_up,q90,4.978273174477393,4341,2.1245359445138887,1.8000000000057879,34.34491525427833,2.1091039942947574,32.15844433761652,0.0,115.78999199106835,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h8__lightgbm__s0.npz,417,246,139,3539,556,663,0.6289592760180995,True,0.75,True,0.6841673502871206,True,0.935006605019815,0.06499339498018494,3.624568889452622,0.6386110485881752,3.624568889452622,-1.961938994420831,-18.88783894032656,14.399996969329294,0.9124331310700119,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,2,bottom_up,q95,8.180833333253458,4341,2.1245359445138887,1.8000000000057879,34.34491525427833,2.1091039942947574,32.15844433761652,0.0,44.24495628927002,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h8__lightgbm__s0.npz,236,94,71,3940,307,330,0.7151515151515152,True,0.7687296416938111,True,0.7409733124018839,True,0.9766980664353,0.02330193356470005,5.096506077128975,0.7109012780771703,5.096506077128975,-3.657690869207515,-18.88783894032656,13.16537259628338,0.8266463056254699,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,2,wls,q90,4.978273174477393,4341,2.1245359445138887,1.8000000000057879,34.34491525427833,2.232848966913591,31.785444966215767,0.0,116.26068301542229,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h8__lightgbm__s0.npz,429,247,127,3538,556,676,0.6346153846153846,True,0.7715827338129496,True,0.6964285714285714,True,0.9347424042272127,0.06525759577278732,3.6003637920364384,0.6314165750628297,3.6003637920364384,-2.2973452710649873,-18.94451121152799,14.047681983699455,0.8834945814636165,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,2,wls,q95,8.180833333253458,4341,2.1245359445138887,1.8000000000057879,34.34491525427833,2.232848966913591,31.785444966215767,0.0,41.89150116750034,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h8__lightgbm__s0.npz,236,89,71,3945,307,325,0.7261538461538461,True,0.7687296416938111,True,0.7468354430379747,True,0.9779375309866137,0.022062469013386217,5.2203416477446805,0.691390460864515,5.2203416477446805,-4.126848578958657,-18.94451121152799,14.047681983699455,0.7955615121150403,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,2,mint,q90,4.978273174477393,4341,2.1245359445138887,1.8000000000057879,34.34491525427833,2.2135995299774733,31.695688548593928,0.0,114.37791891800654,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h8__lightgbm__s0.npz,423,243,133,3542,556,666,0.6351351351351351,True,0.7607913669064749,True,0.6923076923076924,True,0.9357992073976222,0.06420079260237781,3.580459849575766,0.6322535596939118,3.580459849575766,-2.142293580061421,-18.91831274091285,13.65841428015964,0.8968723008568127,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,8,2,mint,q95,8.180833333253458,4341,2.1245359445138887,1.8000000000057879,34.34491525427833,2.2135995299774733,31.695688548593928,0.0,43.30357424056215,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h8__lightgbm__s0.npz,237,92,70,3942,307,329,0.7203647416413373,True,0.7719869706840391,True,0.7452830188679245,True,0.9771938522558254,0.022806147744174516,5.121877432866051,0.6969258869399366,5.121877432866051,-3.9099662445787,-18.91831274091285,13.63980779638269,0.8099313976357047,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,0,independent,q90,4.4105649717115325,3707,1.814248962523148,1.7963276836116098,33.59895103311185,1.0234432213974414,35.577846030039545,183.11774023810403,148.8219123049685,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f0__h16__lightgbm__s0.npz,408,270,157,2872,565,678,0.6017699115044248,True,0.7221238938053097,True,0.6564762670957361,True,0.9140674729471674,0.0859325270528326,3.89054109850068,0.6184259974827876,3.89054109850068,-1.9858038688346116,-28.480791694405735,24.035606206222344,0.923858410172755,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,0,independent,q95,6.208177966037405,3707,1.814248962523148,1.7963276836116098,33.59895103311185,1.0234432213974414,35.577846030039545,183.11774023810403,77.16691749146514,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f0__h16__lightgbm__s0.npz,211,140,88,3268,299,351,0.6011396011396012,True,0.705685618729097,True,0.6492307692307692,True,0.9589201877934272,0.04107981220657277,5.9850643984406195,0.690057496951308,5.9850643984406195,-3.7656293768333784,-28.480791694405735,24.035606206222344,0.8489981280159181,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,0,bottom_up,q90,4.4105649717115325,3707,1.814248962523148,1.7963276836116098,33.59895103311185,1.6568813784993823,32.23508304420365,0.0,151.5778736439494,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f0__h16__lightgbm__s0.npz,449,275,116,2867,565,724,0.6201657458563536,True,0.7946902654867256,True,0.6966640806826998,True,0.9124761298535964,0.08752387014640356,3.5971330797676333,0.5692052357395467,3.5971330797676333,-1.6161577904594981,-22.443097547392803,18.090678210244285,0.9824264242654831,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,0,bottom_up,q95,6.208177966037405,3707,1.814248962523148,1.7963276836116098,33.59895103311185,1.6568813784993823,32.23508304420365,0.0,102.52176181008942,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f0__h16__lightgbm__s0.npz,248,186,51,3222,299,434,0.5714285714285714,True,0.8294314381270903,True,0.6766712141882674,True,0.9454225352112676,0.05457746478873239,5.2125674237333035,0.6638102643973328,5.2125674237333035,-3.4552996678726324,-22.443097547392803,18.090678210244285,0.883336226023909,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,0,wls,q90,4.4105649717115325,3707,1.814248962523148,1.7963276836116098,33.59895103311185,1.8982520037618724,33.76941400133322,0.0,160.39694992868826,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f0__h16__lightgbm__s0.npz,455,291,110,2851,565,746,0.6099195710455764,True,0.8053097345132744,True,0.6941266209000763,True,0.9073838319541693,0.09261616804583069,3.51693069255105,0.5686606916222993,3.51693069255105,-1.7858256441579037,-25.214404121829887,20.819405045136218,0.9555436576737778,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,0,wls,q95,6.208177966037405,3707,1.814248962523148,1.7963276836116098,33.59895103311185,1.8982520037618724,33.76941400133322,0.0,85.43480150840784,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f0__h16__lightgbm__s0.npz,236,155,63,3253,299,391,0.6035805626598465,True,0.7892976588628763,True,0.6840579710144926,True,0.954518779342723,0.04548122065727699,5.360801202747478,0.6370065066746218,5.360801202747478,-3.597741259271694,-25.214404121829887,20.819405045136218,0.8675750108239156,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,0,mint,q90,4.4105649717115325,3707,1.814248962523148,1.7963276836116098,33.59895103311185,1.862837991624673,33.36822666130722,0.0,159.84575766089208,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f0__h16__lightgbm__s0.npz,456,290,109,2852,565,746,0.6112600536193029,True,0.8070796460176991,True,0.6956521739130435,True,0.9077021005728835,0.09229789942711648,3.505198176217583,0.5648435318486451,3.505198176217583,-1.741461946354139,-24.489780071309124,20.10591448075634,0.9625727967075255,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,0,mint,q95,6.208177966037405,3707,1.814248962523148,1.7963276836116098,33.59895103311185,1.862837991624673,33.36822666130722,0.0,92.049108721962,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f0__h16__lightgbm__s0.npz,240,167,59,3241,299,407,0.5896805896805897,True,0.802675585284281,True,0.6798866855524079,True,0.9509976525821596,0.049002347417840375,5.284156168810836,0.6382666232854863,5.284156168810836,-3.56049651562834,-24.489780071309124,20.10591448075634,0.8716961555953685,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,1,independent,q90,4.692372881319361,4317,2.112790065069444,1.7536723164125938,32.57853107326954,1.8082127627398754,31.910626952870942,131.29275142248974,98.9213284629538,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h16__lightgbm__s0.npz,270,209,114,3724,384,479,0.5636743215031316,True,0.703125,True,0.6257242178447278,True,0.9468599033816425,0.05314009661835749,4.116427641149148,0.5473810608213951,4.116427641149148,-2.308007868058077,-24.449108749239535,22.258658182171278,0.8960221562633793,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,1,independent,q95,7.138686440503589,4317,2.112790065069444,1.7536723164125938,32.57853107326954,1.8082127627398754,31.910626952870942,131.29275142248974,40.704470085234576,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h16__lightgbm__s0.npz,130,86,77,4024,207,216,0.6018518518518519,True,0.6280193236714976,True,0.6146572104018914,True,0.9790754257907542,0.020924574209245744,6.062081766723417,0.6030917276642512,6.062081766723417,-4.344016859122212,-24.449108749239535,22.258658182171278,0.7902559186316369,
