hierarchy,base_model,horizon,fold,threshold,method,delta_high_load_mae,rel_delta_high_load_mae,delta_precision,delta_recall,delta_f1,delta_false_alarms_per_day,rel_delta_false_alarms_per_day,delta_signed_peak_bias,delta_peak_magnitude_mae,coherence_independent,coherence_method,coherence_improved,operational_class
cpu_core_weighted,dlinear,1,1,q95,wls,-0.04170698249575988,-0.005695738318043688,0.043333333333333335,-0.029166666666666674,0.0026392961876833265,-6.9908487475704035,-0.21428571428571436,-0.3004737786114706,-0.04170698249575988,110.22891972876208,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,1,q95,mint,-0.04205662010685263,-0.005743486781724384,0.043333333333333335,-0.029166666666666674,0.0026392961876833265,-6.9908487475704035,-0.21428571428571436,-0.30916060197675765,-0.04205662010685263,110.22891972876208,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,1,2,q90,bottom_up,-0.12058732323219257,-0.022859924443438002,0.022761561946850084,-0.011290322580645107,0.01058647613321917,-18.10812009047379,-0.1021377672209026,0.03824617162023847,-0.12058732323219257,124.60568283901921,0.0,True,operational_improvement
cpu_core_weighted,dlinear,1,2,q90,wls,-0.1147750456026646,-0.02175808202838203,0.020732063643849385,-0.009677419354838679,0.009916541297800507,-16.42364380298787,-0.09263657957244661,0.023328183039467376,-0.1147750456026646,124.60568283901921,0.0,True,operational_improvement
cpu_core_weighted,dlinear,1,2,q90,mint,-0.1253359423846856,-0.023760127484081277,0.02002399350763906,-0.008064516129032251,0.010078636356668724,-15.581405659244894,-0.08788598574821854,0.02760664677075564,-0.1253359423846856,124.60568283901921,0.0,True,operational_improvement
cpu_core_weighted,dlinear,1,2,q95,bottom_up,-0.25043256699158256,-0.031014627936131158,0.009592034968431307,-0.0029673590504450953,0.0023268535854350514,-2.105595359357416,-0.04545454545454542,0.14693641691844928,-0.25043256699158256,124.60568283901921,0.0,True,operational_improvement
cpu_core_weighted,dlinear,1,2,q95,wls,-0.1982978724792055,-0.024558046939939952,0.01790683605565635,0.005934718100890191,0.011046323789596801,-2.9478335031003837,-0.06363636363636362,0.08962360110366241,-0.1982978724792055,124.60568283901921,0.0,True,operational_improvement
cpu_core_weighted,dlinear,1,2,q95,mint,-0.22459764159029216,-0.02781512154323595,0.02367654201068481,0.008902077151335286,0.015209301250491358,-3.7900716468433515,-0.08181818181818182,0.10606085753912886,-0.22459764159029216,124.60568283901921,0.0,True,operational_improvement
cpu_core_weighted,dlinear,8,0,q90,bottom_up,-0.013636729371802936,-0.0030127875328761888,0.022289326758054284,-0.013554216867469826,0.006397944902546526,-15.22342993598464,-0.10810810810810814,-0.09420428269155501,-0.013636729371802936,96.52036216500535,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,8,0,q90,wls,-0.028472782111374606,-0.006290543768421807,0.019228033234691466,-0.004518072289156572,0.008823529411764675,-11.893304637488,-0.08445945945945948,-0.056489438482229204,-0.028472782111374606,96.52036216500535,0.0,True,coherence_only
