hierarchy,fold,horizon,seed,reconciliation_method,base_model,source,top_mae_native,top_mae_report,top_rmse_report,top_r2,mase,mase_valid,coherence_error_before,coherence_error_after,is_coherent_after,recon_adjustment_l2,bottom_mae_mean_native,bottom_mae_weighted_native,worst_machine_mae_native,improved_machine_count,degraded_machine_count,neg_pred_rate,prediction_hash,model_config_hash,report_unit,rel_mae_vs_independent,pct_vs_independent,persistence_mae_native,ewma_mae_native,ridge_mae_native,lightgbm_mae_native,rel_mae_vs_persistence,rel_mae_vs_ewma,rel_mae_vs_ridge,rel_mae_vs_lightgbm
memory_um,0,8,2,independent,dlinear,robustness_extension,1600707736.3900595,1600707736.3900595,4191939356.7167835,0.43965935240098053,1.8423767861034592,True,584748972.1732961,584748972.1732961,False,0.0,285563403.2984485,285563403.2984485,626750212.5034381,0,0,0.0,d2b9f64e7a003169,177793534259287c,native,1.0,0.0,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,1.2393499984208047,1.2464097885395578,1.1794568016532854,1.0487337784866364
memory_um,0,8,2,bottom_up,dlinear,robustness_extension,1380891951.8403738,1380891951.8403738,4078558934.114704,0.46956077788664163,1.58937401147654,True,584748972.1732961,0.0,True,858007105.9030308,285563403.2984485,285563403.2984485,626750212.5034381,0,0,0.0,d2b9f64e7a003169,177793534259287c,native,0.8626758779554489,-13.732412204455112,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,1.0691573479817518,1.0752476586206283,1.0174889318767737,0.9047173330974942
memory_um,0,8,2,wls,dlinear,robustness_extension,1438352225.063982,1438352225.063982,4102310753.940538,0.463364676574023,1.6555094283947356,True,584748972.1732961,0.0,True,519267688.28656834,294643206.0164741,294643206.0164741,624935716.3642815,2,5,0.0,d2b9f64e7a003169,177793534259287c,native,0.8985726703038094,-10.142732969619061,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,1.1136460375220045,1.1199897719807967,1.0598276477695832,0.9423635117725406
memory_um,0,8,2,mint,dlinear,robustness_extension,1416321050.0157015,1416321050.0157015,4092355883.703772,0.4659659681799736,1.6301520664249158,True,584748972.1732961,0.0,True,619745379.1904249,290380603.96926105,290380603.96926105,624035576.6673926,2,5,0.0,d2b9f64e7a003169,177793534259287c,native,0.8848092739339227,-11.519072606607727,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,1.0965883722527205,1.1028349400218203,1.0435943163072703,0.9279293730927402
memory_um,0,16,0,independent,dlinear,experiment-freeze-v2:memory_dlinear,1349931371.2096462,1349931371.2096462,3957551839.5357695,0.4972247603641614,1.5524130203372697,True,414229236.4238867,414229236.4238867,False,0.0,261870716.21953335,261870716.21953332,545422081.7846897,0,0,0.0,fd5b86672d7fe581,177793534259287c,native,1.0,0.0,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1.050171554738829,1.0559597410521366,0.9974226060573386,0.7779355481019914
memory_um,0,16,0,bottom_up,dlinear,experiment-freeze-v2:memory_dlinear,1245082125.597914,1245082125.597914,3932820697.6173573,0.503488913053463,1.4318370136367666,True,414229236.4238867,0.0,True,662983192.2200584,261870716.21953335,261870716.21953332,545422081.7846897,0,0,0.0,fd5b86672d7fe581,177793534259287c,native,0.9223299436935235,-7.76700563064765,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,0.9686046709508043,0.9739432885072448,0.9199527360835126,0.7175132502781001
memory_um,0,16,0,wls,dlinear,experiment-freeze-v2:memory_dlinear,1268714690.5064023,1268714690.5064023,3929480350.8487263,0.5043319796458814,1.4590143222395202,True,414229236.4238867,0.0,True,390835025.37512696,267048263.310882,267048263.31088197,544432314.8144474,2,5,0.0,fd5b86672d7fe581,177793534259287c,native,0.9398364372920178,-6.016356270798218,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,0.9869894925511603,0.9924294409542417,0.9374141085514489,0.7311321739709887
memory_um,0,16,0,mint,dlinear,experiment-freeze-v2:memory_dlinear,1262612695.8106487,1262612695.8106487,3928712513.076,0.5045256721497464,1.4519970647568465,True,414229236.4238867,0.0,True,437681507.1536475,265480675.08017918,265480675.08017915,543836456.1874857,3,4,0.0,fd5b86672d7fe581,177793534259287c,native,0.9353162114302499,-6.46837885697501,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,0.9822424799301369,0.9876562644237521,0.9329055330924366,0.7276157295876695
memory_um,0,16,1,independent,dlinear,robustness_extension,1351460849.0060005,1351460849.0060005,3957517474.433183,0.49723349194791433,1.5541719106749685,True,402989375.0767776,402989375.0767776,False,0.0,269502207.8212699,269502207.8212699,545271805.048463,0,0,0.0,674c8f849199b397,177793534259287c,native,1.0,0.0,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1.0513614034300975,1.0571561477823068,0.9985526899727747,0.7788169522779315
memory_um,0,16,1,bottom_up,dlinear,robustness_extension,1291864173.4255064,1291864173.4255064,3953143816.3405585,0.498344144646546,1.4856360894375737,True,402989375.0767776,0.0,True,720123187.918702,269502207.8212699,269502207.8212699,545271805.048463,0,0,0.0,674c8f849199b397,177793534259287c,native,0.9559020332521453,-4.409796674785471,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1.004998503221659,1.0105377111301124,0.9545185466543743,0.7444727082137137
