experiment_stage,eligible_for_final_claims,target,model,method,threshold_mode,threshold,outer_fold,mae,peak_precision,peak_recall,peak_f1,peak_magnitude_mae,peak_timing_mae_steps,high_load_mae,false_alarms_per_day,n_true_peaks,n_pred_peaks
development,False,cluster_UM,lightgbm,point,mad,117830686688.4608,outer_0,2548658026.0004625,0.9768142824020404,0.9059489218534944,0.9400479507917086,3185800781.7690167,0.3777852802160702,3083446141.7419744,-397.7429275315555,6539,4313
development,False,cluster_UM,ridge,c1_bottom_up,q90,117325735526.4,outer_0,1263401149.574385,0.9972916039723142,0.9977463942307693,0.9975189472643889,1502607837.7904856,0.009185363650052703,1500521922.6253865,1.2344597378384714,6656,6646
development,False,cluster_UM,ridge,c1_bottom_up,q95,124176743423.99985,outer_0,1263401149.574385,0.9723889555822329,0.9963811821471653,0.9842388793922686,7070797775.457133,0.23728813559322035,7057023297.723967,1.72824363297386,829,833
development,False,cluster_mean_CU,persistence,point,q90,4.626388888940077,outer_1,1.0552762254921197,1.0,1.0,1.0,5.184045881964525,0.3679890560875513,5.184045881964525,0.0,731,731
development,False,cluster_mean_CU,persistence,point,q95,6.924550264438262,outer_1,1.0552762254921197,1.0,1.0,1.0,7.688403810430975,0.36246786632390743,7.688403810430975,0.0,389,389
development,False,cluster_mean_CU,persistence,point,mad,4.125117087505307,outer_1,1.0552762254921197,1.0,1.0,1.0,4.2746029460727275,0.35794871794871796,4.2746029460727275,0.0,975,975
development,False,cluster_mean_CU,ridge,point,q90,4.626388888940077,outer_1,1.0040855203986057,0.8968512486427795,0.9849521203830369,0.9388393639407511,4.629445690223484,0.2902777777777778,4.5804533549559725,49.625281461106546,731,921
development,False,cluster_mean_CU,ridge,point,q95,6.924550264438262,outer_1,1.0040855203986057,0.9567723342939481,0.9820051413881749,0.9692245378331079,7.1691937560620085,0.43717277486910994,7.078513783178044,-8.641218164869299,389,347
development,False,cluster_mean_CU,ridge,point,mad,4.125117087505307,outer_1,1.0040855203986057,0.9031719532554258,0.9774358974358974,0.9388376086430028,3.8206243008001204,0.2759706190975866,3.764139043029698,60.4885271540851,975,1198
development,False,cluster_mean_CU,lightgbm,point,q90,4.626388888940077,outer_1,0.8198032867351922,0.9077936333699231,0.9699042407660738,0.9378216877952971,4.017955440918165,0.307475317348378,3.93091703026281,49.87217340867424,731,911
development,False,cluster_mean_CU,lightgbm,point,q95,6.924550264438262,outer_1,0.8198032867351922,0.8404761904761905,0.9665809768637532,0.8991284967670041,5.85665909634499,0.38563829787234044,5.76981835560408,10.863245692978548,389,420
development,False,cluster_mean_CU,lightgbm,point,mad,4.125117087505307,outer_1,0.8198032867351922,0.9209650582362728,0.9528205128205128,0.9366220048151557,3.3362045976174266,0.2303552206673843,3.237747268135165,67.40150168598053,975,1202
development,False,machine01_DWT,persistence,point,q90,9112576.0,outer_1,5235345.267122638,1.0,1.0,1.0,81440375.77375223,0.40896358543417366,81440375.77375223,0.0,357,357
development,False,machine01_DWT,persistence,point,q95,66507332.266666666,outer_1,5235345.267122638,0.9912280701754386,1.0,0.9955947136563876,163250489.750447,0.7345132743362832,163250489.750447,0.2697040335361982,113,114
development,False,machine01_DWT,persistence,point,mad,363317.7668266663,outer_1,5235345.267122638,1.0,1.0,1.0,40340165.01520193,0.3575418994413408,40340165.01520193,0.2697040335361982,895,896
development,False,machine01_DWT,ridge,point,q90,9112576.0,outer_1,6899310.548662293,0.6732394366197183,0.9355742296918768,0.7830185440402565,66135819.67168043,0.23353293413173654,62615001.15139923,101.40871660961054,357,710
