experiment_stage,eligible_for_final_claims,family,method,base_model,horizon,outer_fold,machine,mae,mase,mase_valid,nmae_train_range,n_parameters,train_seconds,infer_seconds,n_test
development,False,CU,global_onehot,ridge,8,outer_0,machine01,3.879332047968882,1.4845914171734946,True,0.03930058919563348,320,0.1351681659980386,0.09516145799716469,4295
development,False,CU,global_onehot,ridge,8,outer_0,machine02,1.4537277719187796,0.7232227177832196,True,0.1016099403713102,320,0.1351681659980386,0.09516145799716469,4295
development,False,CU,global_onehot,ridge,8,outer_0,machine03,1.2630973623970498,1.2715114905813942,True,0.020713431190973852,320,0.1351681659980386,0.09516145799716469,4295
development,False,CU,global_onehot,ridge,8,outer_0,machine04,3.602015509714116,1.9971283344571817,True,0.03620520391739819,320,0.1351681659980386,0.09516145799716469,4295
development,False,CU,global_onehot,ridge,8,outer_0,machine05,0.6331467649883288,0.7481815755851583,True,0.061470559706863624,320,0.1351681659980386,0.09516145799716469,4295
development,False,CU,global_onehot,ridge,8,outer_0,machine06,0.07073578608717515,1.2976442248520756,True,0.04379194964351649,320,0.1351681659980386,0.09516145799716469,4295
development,False,CU,global_onehot,ridge,8,outer_0,machine07,1.023160342919775,0.7075624235730559,True,0.08524362959114669,320,0.1351681659980386,0.09516145799716469,4295
development,False,CU,global_residual,ridge,8,outer_0,machine01,3.7355226543267577,1.4295566357033689,True,0.037843690473864766,2168,0.20082149999871035,16.010794958998304,4295
development,False,CU,global_residual,ridge,8,outer_0,machine02,1.2350851408585735,0.6144490388915221,True,0.08632766735307473,2168,0.20082149999871035,16.010794958998304,4295
development,False,CU,global_residual,ridge,8,outer_0,machine03,0.880027559734365,0.8858898668801171,True,0.014431500569461546,2168,0.20082149999871035,16.010794958998304,4295
development,False,CU,global_residual,ridge,8,outer_0,machine04,3.3156129553027096,1.838333166881312,True,0.03332646481786786,2168,0.20082149999871035,16.010794958998304,4295
development,False,CU,global_residual,ridge,8,outer_0,machine05,0.604154694380344,0.7139220100840092,True,0.05865579557020001,2168,0.20082149999871035,16.010794958998304,4295
development,False,CU,global_residual,ridge,8,outer_0,machine06,0.05812927558411727,1.0663784617251986,True,0.03598736156061873,2168,0.20082149999871035,16.010794958998304,4295
development,False,CU,global_residual,ridge,8,outer_0,machine07,0.9486101567012465,0.6560075418737945,True,0.07903255182221332,2168,0.20082149999871035,16.010794958998304,4295
development,False,CU,global_embed,ridge,8,outer_0,machine01,4.400649427725643,1.6840956869911503,True,0.04458193142904491,3208,0.6075194170007308,0.09058983400245779,4295
development,False,CU,global_embed,ridge,8,outer_0,machine02,1.2126764638032013,0.603300827627372,True,0.08476138762493075,3208,0.6075194170007308,0.09058983400245779,4295
development,False,CU,global_embed,ridge,8,outer_0,machine03,0.9627578822459215,0.9691712977694342,True,0.015788188417734897,3208,0.6075194170007308,0.09058983400245779,4295
development,False,CU,global_embed,ridge,8,outer_0,machine04,4.152368922717968,2.302270383987791,True,0.04173701173185759,3208,0.6075194170007308,0.09058983400245779,4295
development,False,CU,global_embed,ridge,8,outer_0,machine05,0.6160864590552048,0.7280216264567049,True,0.059814219325026896,3208,0.6075194170007308,0.09058983400245779,4295
