hierarchy,method,model,horizon,top_mae_mean,top_mae_std,top_mase_mean,top_mase_std,bottom_mae_macro_mean,bottom_mae_macro_std,worst_child_mae_mean,worst_child_mae_max,coherence_error_mean,coherence_error_max,adjustment_mae_mean,infer_seconds_total_mean,outer_fold_count
bond0_transmitted_acamas,mint,lightgbm,1,49.00192949419781,5.434396105385991,1.5460058736765117,0.2410134307775939,12.25068854009074,1.3581693302521176,49.001833315128806,55.13226910657817,0.0,0.0,6.898870408034941,0.0744214720010253,3
bond0_transmitted_acamas,mint,lightgbm,8,48.12791754869437,5.433527815476038,1.5338624528784681,0.2387010705279895,12.032115907285066,1.3579439287973931,48.12754289594334,54.23346974092252,0.0,0.0,6.744992183122284,0.66338801399858,3
bond0_transmitted_acamas,mint,persistence,1,48.05180036940428,8.235347448037245,1.5211226214371474,0.3573398022055889,12.01402432489491,2.0588779320182615,48.05147673002616,55.26376486684997,0.0,0.0,0.004548099398566651,0.00036401433195957605,3
bond0_transmitted_acamas,mint,persistence,8,47.52866227405777,8.38885694803312,1.5196058287799479,0.360527468542822,11.883242100444898,2.097253819126386,47.528343193439476,54.780597819808136,0.0,0.0,0.0045376924347267115,0.0008019023310528913,3
bond0_transmitted_acamas,mint,ridge,1,48.69343832547443,6.094196901515137,1.5298225715050944,0.1818160586355617,12.173634849942188,1.5234917832215802,48.688168938396906,55.71556632340336,0.0,0.0,0.004263415499907739,0.0013811109990153152,3
bond0_transmitted_acamas,mint,ridge,8,48.35223007679965,6.2161457606651735,1.5341793449370578,0.17952166195586897,12.088333286253942,1.5539841455367893,48.346965235426715,55.519796590217055,0.0,0.0,0.004242093454648699,0.007391262998377594,3
bond0_transmitted_acamas,ols,lightgbm,1,49.03832860568869,5.453966196716811,1.547094289625627,0.24093661517330456,13.93800626064215,1.5676560957264056,49.229321702579,55.304470276617565,0.0,0.0,4.348438905721099,0.07441162533602134,3
bond0_transmitted_acamas,ols,lightgbm,8,48.334847466253684,5.313715277521064,1.5409875731908909,0.24175189139680137,13.608159949910812,1.5583529169992392,48.18492299722777,54.37660658825636,0.0,0.0,4.165141889094724,0.6633766393303328,3
bond0_transmitted_acamas,ols,persistence,1,48.05170131013093,8.235367912155226,1.5211194493320708,0.3573397571554115,12.014628347358297,2.0589119242744633,48.05157070359991,55.2638459319333,0.0,0.0,0.0029107800046041855,0.0003447363330148316,3
bond0_transmitted_acamas,ols,persistence,8,47.52856617337262,8.388879673395136,1.5196027229059774,0.36052755561368155,11.883842326890745,2.0972852919692375,47.52843413676365,54.78067574455932,0.0,0.0,0.0029041220044857597,0.0007262223322565357,3
