family,method,base_model,horizon,mae_macro,mae_weighted,mae_worst_machine,mae_std_fold_machine,mase_macro,train_seconds_mean,infer_seconds_mean,n_parameters_mean,n
CU,global_pooled,ridge,16,1.793285105190876,1.7809597057590254,4.9125695482889675,1.4739844176386634,1.2445025647871044,0.28866179133304587,0.0984774166669619,528.0,21
CU,global_residual,ridge,1,1.5270581772725984,1.5192243337127898,4.2136182932190085,1.2479361148823527,1.0231707497639253,0.2491242083342513,2.0990172363320503,271.0,21
CU,global_residual,ridge,4,1.5125196670859336,1.5044125732528264,4.134869776133692,1.2221074774875191,1.0171668943337613,0.2925459443334451,8.166521625332583,1084.0,21
CU,global_residual,ridge,8,1.5179700489060892,1.5092191931044863,4.090238969579087,1.2289735588218567,1.0195423210249352,0.36709099999886047,15.774444235999303,2168.0,21
CU,global_residual,ridge,16,1.5295556547067644,1.5171831461724756,4.1830304071383955,1.255595718813626,1.0232681798485612,0.6073483750005835,28.804251860999404,4336.0,21
CU,local,ridge,1,1.5270583356164766,1.5192244956178909,4.213618744786,1.2479358604980375,1.023172938231529,0.001410519953510846,0.00016313319065375254,33.0,21
CU,local,ridge,4,1.5125198154241093,1.504412725613127,4.134870268572278,1.2221071959705005,1.0171691349252572,0.004818976143204575,0.0005719862858227099,132.0,21
CU,local,ridge,8,1.5179701735305042,1.5092193230806494,4.090239433296455,1.2289732519798917,1.019544571558797,0.008658107238131506,0.0011078868100455673,264.0,21
CU,local,ridge,16,1.529555815754417,1.517183313016697,4.183030800598856,1.2555954365709472,1.0232705263269632,0.016436380905014675,0.002309868952406326,528.0,21
UM,global_embed,ridge,1,4.622071274723759e+16,4.621561545212004e+16,1.84109599235699e+17,6.090641024126109e+16,272914587.2361205,1.1184586529986216,0.09141577733316808,2753.0,21
UM,global_embed,ridge,4,1.0603010976852502e+16,1.0602178048556166e+16,4.734803974275405e+16,1.3718295419022182e+16,53815548.45153061,3.2389432363343076,0.10156552766663178,2948.0,21
UM,global_embed,ridge,8,1.2049019027414332e+16,1.2048041998260918e+16,7.530808746184278e+16,2.061629382498098e+16,57430435.17217851,1.3113933056653575,0.1072699863325397,3208.0,21
UM,global_embed,ridge,16,1.0113869770805414e+16,1.0112914249947102e+16,5.52663178604242e+16,1.5931289634677308e+16,44094415.91582722,1.3163572776672179,0.10471220799930354,3728.0,21
UM,global_onehot,ridge,1,425482446.1698125,425475703.8974552,1112826476.3559043,284548945.02399427,3.724454827614676,0.2049256946653865,0.08357990299919038,40.0,21
UM,global_onehot,ridge,4,425564211.6315413,425557474.44263196,1112727938.7180488,284562928.854307,3.724869839266192,0.2643407220008764,0.11255569466569189,160.0,21
UM,global_onehot,ridge,8,425591594.91208977,425584872.0334122,1112480884.0910506,284551671.9655113,3.725014272268493,0.3481898196672167,0.10990012533390352,320.0,21
UM,global_onehot,ridge,16,425618546.4453711,425611868.6321395,1112104671.150656,284607392.08203644,3.7251907659922177,0.42774013866680133,0.1185172083338936,640.0,21
UM,global_pooled,ridge,1,613295647.9632202,613281947.422097,1260545765.2360733,377730262.49416983,4.900271650246933,0.1878397363325348,0.08228559733349054,33.0,21
UM,global_pooled,ridge,4,613279442.4915868,613265755.6017841,1260422537.6693366,377650980.781726,4.900496003988022,0.23653661133357673,0.0954458616664245,132.0,21
UM,global_pooled,ridge,8,613290379.1284211,613276707.6816858,1260129094.6734362,377594137.28866243,4.900855232553183,0.27321156966718263,0.10727445833375289,264.0,21
UM,global_pooled,ridge,16,613296935.6140484,613283288.6068856,1259629698.6804457,377538014.48744804,4.901738170308299,0.3397120143320838,0.11047469466575421,528.0,21
UM,global_residual,ridge,1,221326800.50993615,221327131.1281602,624311043.0919845,185942783.42610076,1.1809241461041466,0.23148383366666772,2.0113177503335464,271.0,21
UM,global_residual,ridge,4,221333642.83620876,221333981.87395182,624523500.3293978,185915963.43270758,1.1809430454638732,0.3303634860009576,8.901032860999598,1084.0,21
UM,global_residual,ridge,8,221301976.2712067,221302332.07068953,624820134.8466763,185845691.84559077,1.1807905173747777,0.4562512916648605,17.367946013998637,2168.0,21
UM,global_residual,ridge,16,221150633.24914655,221151033.27109554,625552604.2462194,185626520.13093948,1.1802085768190795,0.6806024303320252,33.26353511100024,4336.0,21
UM,local,ridge,1,221326800.50993648,221327131.12816057,624311043.0919858,185942783.42610064,1.1809241461041546,0.0013847876666875979,0.00017915276146682335,33.0,21
UM,local,ridge,4,221333642.83620775,221333981.87395087,624523500.329396,185915963.43270758,1.1809430454638687,0.0042465913330878334,0.0005458114762967895,132.0,21
UM,local,ridge,8,221301976.27120617,221302332.07068896,624820134.8466765,185845691.84559077,1.1807905173747766,0.009329269809573555,0.001358672619105727,264.0,21
UM,local,ridge,16,221150633.2491461,221151033.27109504,625552604.2462171,185626520.13093966,1.180208576819061,0.017718037666262326,0.002464906857529145,528.0,21
