experiment_stage,eligible_for_final_claims,target,horizon,outer_fold,method,mae,rmse,r2,mase,mase_valid,peak_recall,peak_precision,beats_best_constituent,best_constituent_mae,train_seconds,is_oracle
development,False,machine06_CU,1,outer_0,lightgbm,0.05788068966744936,0.1295988316936248,0.3287668596953387,1.0618181663360142,True,0.6860940695296524,0.5953859804791481,False,0.05788068966744936,4.697523625000031,False
development,False,machine06_CU,1,outer_0,static_router,0.05788068966744936,0.1295988316936248,0.3287668596953387,1.0618181663360142,True,0.6860940695296524,0.5953859804791481,False,0.05788068966744936,4.697523625000031,False
development,False,machine06_CU,1,outer_0,regime_router,0.06197747275064704,0.1347515215576364,0.27433099624213997,1.13697343359821,True,0.65439672801636,0.6445115810674723,False,0.05788068966744936,4.697523625000031,False
development,False,machine06_CU,1,outer_0,constrained_mixture,0.05684404876758262,0.12548604147165382,0.3706937334750825,1.0428010442911737,True,0.6942740286298569,0.6229357798165137,True,0.05788068966744936,4.697523625000031,False
development,False,machine06_CU,1,outer_0,ens_mean,0.05814780630553906,0.1259259143654743,0.36627411943566524,1.0667184068218105,True,0.696319018404908,0.6529242569511026,False,0.05788068966744936,4.697523625000031,False
development,False,machine06_CU,1,outer_0,ens_inverse_mae,0.05747647023951784,0.1252298102326552,0.3732610835260418,1.0544027824795048,True,0.6983640081799591,0.6413145539906103,True,0.05788068966744936,4.697523625000031,False
development,False,machine06_CU,1,outer_0,ens_stacking,0.05704981843383047,0.12716318460651216,0.35375974271196153,1.0465758778489318,True,0.7157464212678937,0.594732370433305,True,0.05788068966744936,4.697523625000031,False
development,False,machine06_CU,1,outer_0,oracle_upper_bound,0.03588367704222731,0.1007488457000316,0.5943500978243859,0.6582841423846942,True,0.8077709611451943,0.8342133051742344,False,0.05788068966744936,4.697523625000031,True
development,False,machine06_CU,4,outer_0,persistence,0.07301508064748229,0.15294116228463153,0.06010002758532651,1.339457762051962,True,0.6783505154639176,0.6783505154639176,False,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,ewma,0.0625519404076211,0.1299845831255233,0.3210831999138066,1.1475120121405902,True,0.7,0.5940507436570429,False,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,ridge,0.05978526459642988,0.12819447622692062,0.3396540953467503,1.0967574918754772,True,0.6195876288659794,0.6525515743756786,False,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,lightgbm,0.0579997918899461,0.12895456248113435,0.331800280691672,1.0640030902583903,True,0.6804123711340206,0.5784399649430324,False,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,static_router,0.0579997918899461,0.12895456248113435,0.331800280691672,1.0640030902583903,True,0.6804123711340206,0.5784399649430324,False,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,regime_router,0.05984352792489323,0.13066582722103914,0.3139481990768116,1.0978263295301256,True,0.6752577319587629,0.5869175627240143,False,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,constrained_mixture,0.056881770817914144,0.12498248493193619,0.37233028489333353,1.0434930532935471,True,0.6958762886597938,0.6175663311985361,True,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,ens_mean,0.05817874298872052,0.12551566815211734,0.3669635039909285,1.067285938625543,True,0.7,0.6503831417624522,False,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,ens_inverse_mae,0.05751031397489684,0.12479347872592247,0.37422725100227305,1.0550236440008265,True,0.7,0.6448243114909782,True,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,ens_stacking,0.05679599814194262,0.12667797087796867,0.3551851053515389,1.0419195581253817,True,0.6865979381443299,0.5989208633093526,True,0.0579997918899461,7.752635832999658,False
development,False,machine06_CU,4,outer_0,oracle_upper_bound,0.035864577495242536,0.10006302166289752,0.597672154987984,0.6579337622134533,True,0.8092783505154639,0.8211297071129707,False,0.0579997918899461,7.752635832999658,True
development,False,machine06_CU,8,outer_0,persistence,0.07317571266767056,0.15337193598486876,0.06093875323130693,1.3424045478990403,True,0.6794208893485005,0.6801242236024845,False,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,ewma,0.0627325252208186,0.1304015906717441,0.3211592614213037,1.150824830911741,True,0.7001034126163392,0.5959507042253521,False,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,ridge,0.05993112114956406,0.12857235269218592,0.3400708668769138,1.0994332225671266,True,0.6204756980351603,0.6578947368421053,False,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,lightgbm,0.05760614496104658,0.1293543859150832,0.3320184974860081,1.056781658333004,True,0.6928645294725957,0.6052393857271906,False,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,static_router,0.05760614496104658,0.1293543859150832,0.3320184974860081,1.056781658333004,True,0.6928645294725957,0.6052393857271906,False,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,regime_router,0.05870851042006322,0.12891591869369734,0.3365392811626746,1.07700449391168,True,0.6690796277145812,0.6167778836987607,False,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,constrained_mixture,0.05678399059863412,0.12539441794258047,0.3722907523008294,1.0416992803835081,True,0.704239917269907,0.6352611940298507,True,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,ens_mean,0.05826685338790189,0.12598023642360995,0.3664119795287565,1.0689023192013696,True,0.7104446742502585,0.6593090211132437,False,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,ens_inverse_mae,0.057571744426724664,0.12526638769924955,0.37357190566479415,1.0561505823647572,True,0.7104446742502585,0.6567877629063098,True,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,ens_stacking,0.05695355982867964,0.1280718792528394,0.34519847304298357,1.0448100188689757,True,0.6918304033092038,0.6148897058823529,True,0.05760614496104658,12.440429041998868,False
development,False,machine06_CU,8,outer_0,oracle_upper_bound,0.035959112480584185,0.10052372223217272,0.5965968899778094,0.659668001479896,True,0.8035160289555325,0.819620253164557,False,0.05760614496104658,12.440429041998868,True
development,False,machine06_CU,16,outer_0,persistence,0.07333817641423845,0.1540378866112054,0.06064929027606669,1.3453849366689032,True,0.6841552990556139,0.6841552990556139,False,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,ewma,0.06302961114836796,0.1310054997242748,0.32055904575268845,1.1562748564150152,True,0.7030430220356768,0.5971479500891266,False,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,ridge,0.060102048835854585,0.12914477854674564,0.33972269706379443,1.1025688818599897,True,0.6243441762854145,0.6581858407079646,False,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,lightgbm,0.058091019937052,0.129817150223313,0.33282954281992305,1.0656766639191906,True,0.70199370409234,0.5941385435168739,False,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,static_router,0.058091019937052,0.129817150223313,0.33282954281992305,1.0656766639191906,True,0.70199370409234,0.5941385435168739,False,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,regime_router,0.05874718164717192,0.1300705574331979,0.3302223246719922,1.0777139155114304,True,0.7040923399790137,0.5985727029438002,False,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,constrained_mixture,0.05700347156992988,0.1257628193435847,0.3738517164159445,1.045725647101422,True,0.7072402938090241,0.62756052141527,True,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,ens_mean,0.058479310392105514,0.12647584507142862,0.3667315601754332,1.072799831617425,True,0.7114375655823715,0.6544401544401545,False,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,ens_inverse_mae,0.0577840720325412,0.1257277515582393,0.3742008589109581,1.0600457209742997,True,0.7124868835257083,0.6516314779270633,True,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,ens_stacking,0.05733659528867558,0.1284423131310751,0.34688613839042126,1.051836783963022,True,0.7030430220356768,0.6068840579710145,True,0.058091019937052,22.221537416997307,False
development,False,machine06_CU,16,outer_0,oracle_upper_bound,0.03600459268157455,0.10073219863067685,0.5982931003240124,0.6605023333425196,True,0.8121720881427072,0.822529224229543,False,0.058091019937052,22.221537416997307,True
development,False,cluster_UM,1,outer_0,persistence,1294154012.0869985,4459823017.849389,0.36741881096646944,1.4945747471212496,True,0.7839135654261705,0.7848557692307693,False,1294154012.0869985,5.639973500001361,False
development,False,cluster_UM,1,outer_0,ewma,1480285066.42041,4238905646.6019435,0.42853646489843156,1.7095312135569223,True,0.758703481392557,0.5841035120147874,False,1294154012.0869985,5.639973500001361,False
