experiment_stage,eligible_for_final_claims,target,horizon,outer_fold,method,mae,mase,beats_best_constituent,train_seconds,best_constituent_mae,weights,stacking_accepted
development,False,averageRttWithGoogleDns,1,outer_1,lightgbm,0.2777674196860344,0.9843020560485202,False,0.560602667996136,,,
development,False,averageRttWithGoogleDns,1,outer_1,ens_mean,0.22812582537076134,0.8083911324229928,False,0.560602667996136,0.22476448439208066,0.3333;0.3333;0.3333,True
development,False,averageRttWithGoogleDns,1,outer_1,ens_inverse_mae,0.22714974613215047,0.8049322789602039,False,0.560602667996136,0.22476448439208066,0.3657;0.3273;0.3070,True
development,False,averageRttWithGoogleDns,1,outer_1,ens_nonnegative,0.2595901574299382,0.9198887543292896,False,0.560602667996136,0.22476448439208066,0.2030;0.0000;0.7970,True
development,False,averageRttWithGoogleDns,1,outer_1,ens_stacking,0.25349629736691215,0.8982944327343079,False,0.560602667996136,0.22476448439208066,0.2861;0.0000;0.7139,True
development,False,averageRttWithGoogleDns,8,outer_1,persistence,0.2249588757756418,0.7971686679546918,False,4.614899333999347,,,
development,False,averageRttWithGoogleDns,8,outer_1,ridge,0.25330841502115825,0.8976286491826234,False,4.614899333999347,,,
development,False,averageRttWithGoogleDns,8,outer_1,lightgbm,0.2764362946142242,0.9795850552335164,False,4.614899333999347,,,
development,False,averageRttWithGoogleDns,8,outer_1,ens_mean,0.22770431230336924,0.8068974504809049,False,4.614899333999347,0.2249588757756418,0.3333;0.3333;0.3333,True
development,False,averageRttWithGoogleDns,8,outer_1,ens_inverse_mae,0.22688857968830684,0.804006804446538,False,4.614899333999347,0.2249588757756418,0.3585;0.3337;0.3078,True
development,False,averageRttWithGoogleDns,8,outer_1,ens_nonnegative,0.2764362946142242,0.9795850552335164,False,4.614899333999347,0.2249588757756418,0.0000;0.0000;1.0000,True
development,False,averageRttWithGoogleDns,8,outer_1,ens_stacking,0.26082487988817304,0.9242641409590951,False,4.614899333999347,0.2249588757756418,0.1730;0.0000;0.8270,True
development,False,cluster_mean_CU,1,outer_2,persistence,1.341430523059793,1.141877730141291,False,0.5429440830012027,,,
development,False,cluster_mean_CU,1,outer_2,ridge,1.3009527738415996,1.1074214988240922,False,0.5429440830012027,,,
development,False,cluster_mean_CU,1,outer_2,lightgbm,1.090395081497911,0.9281866181022956,False,0.5429440830012027,,,
development,False,cluster_mean_CU,1,outer_2,ens_mean,1.1558031258467405,0.9838644843280168,False,0.5429440830012027,1.090395081497911,0.3333;0.3333;0.3333,True
development,False,cluster_mean_CU,1,outer_2,ens_inverse_mae,1.141877353012975,0.972010325949682,False,0.5429440830012027,1.090395081497911,0.3016;0.3077;0.3906,True
development,False,cluster_mean_CU,1,outer_2,ens_nonnegative,1.090395081497911,0.9281866181022956,False,0.5429440830012027,1.090395081497911,0.0000;0.0000;1.0000,True
development,False,cluster_mean_CU,1,outer_2,ens_stacking,1.0832360580912186,0.9220925794941567,True,0.5429440830012027,1.090395081497911,0.0719;0.0000;0.9281,True
development,False,cluster_mean_CU,8,outer_2,persistence,1.342198790256855,1.1425317090004588,False,4.681206125002063,,,
development,False,cluster_mean_CU,8,outer_2,ridge,1.3018172984994685,1.1081574157702243,False,4.681206125002063,,,
development,False,cluster_mean_CU,8,outer_2,lightgbm,1.0948288310869339,0.9319607978527161,False,4.681206125002063,,,
development,False,cluster_mean_CU,8,outer_2,ens_mean,1.156698824190073,0.984626937525252,False,4.681206125002063,1.0948288310869339,0.3333;0.3333;0.3333,True
development,False,cluster_mean_CU,8,outer_2,ens_inverse_mae,1.1433345187589419,0.9732507219939354,False,4.681206125002063,1.0948288310869339,0.3016;0.3075;0.3909,True
development,False,cluster_mean_CU,8,outer_2,ens_nonnegative,1.0948288310869339,0.9319607978527161,False,4.681206125002063,1.0948288310869339,0.0000;0.0000;1.0000,True
development,False,cluster_mean_CU,8,outer_2,ens_stacking,1.087436261206223,0.9256679554205622,True,4.681206125002063,1.0948288310869339,0.0646;0.0179;0.9175,True
development,False,cluster_UM,1,outer_2,persistence,1042314122.8689455,0.9889313939551116,False,0.5439058330011903,,,
