experiment_stage,eligible_for_final_claims,hierarchy,method,model,horizon,context,outer_fold,top_mae,top_mase,bottom_mae_macro,bottom_mase_macro,worst_child_mae,coherence_error,coherent,adjustment_mae,train_seconds_total,infer_seconds_total,n_test,top_metric_scale,top_mae_vs_weighted_mean,bond_agg_rel_error,bond_host
development,False,cpu_core_weighted,wls,persistence,8,32,outer_2,1.3947854189268687,1.280564213638971,1.841135034343923,1.2548853484169575,3.7102481124826645,0.0,True,0.15898066027466276,0.00036008400275022723,0.0006915440026205033,4341,weighted_mean_CU,1.4251750603575752,,
development,False,cpu_core_weighted,mint,persistence,8,32,outer_2,1.3890200336732537,1.2774897905648097,1.841720046588382,1.2551731418780074,3.716927704695812,0.0,True,0.15626711419339076,0.00036008400275022723,0.0006915440026205033,4341,weighted_mean_CU,1.4217534505362048,,
development,False,cpu_core_weighted,bottom_up_nn,persistence,8,32,outer_2,1.424997347078381,1.2980135639427366,1.841860739576773,1.255016348122497,3.7000608397882333,0.0,True,0.16534487584991583,0.00036008400275022723,0.0006915440026205033,4341,weighted_mean_CU,1.4445949212341347,,
development,False,bond0_transmitted_acamas,independent,persistence,8,32,outer_2,54.78055694831715,1.3773225801525357,13.69633767822619,1.092125244930175,54.78072825405894,0.007647691753141339,False,0.0,0.00022528899717144668,0.0007044160010991618,7952,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,bottom_up,persistence,8,32,outer_2,54.78084241108459,1.3773297574128138,13.69633767822619,1.092125244930175,54.78072825405894,0.0,True,0.007647691753141339,0.00022528899717144668,0.0008507080019626301,7952,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,top_down,persistence,8,32,outer_2,54.78055694831715,1.3773225801525357,13.69627306571881,1.091871751410404,54.780471719934646,9.994010425846394e-13,True,0.0019119229385263564,0.00022528899717144668,0.0009110829996643588,7952,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,ols,persistence,8,32,outer_2,54.78060979316215,1.3773239088063924,13.696955132163948,1.5291351269107483,54.78067574455932,0.0,True,0.0030590767012505884,0.00022528899717144668,0.0007617500014021061,7952,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,wls,persistence,8,32,outer_2,54.780692134858654,1.377325979086145,13.696305069478477,1.0921244257268747,54.780597819064326,0.0,True,0.004779816135411668,0.00022528899717144668,0.0007204990033642389,7952,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,mint,persistence,8,32,outer_2,54.78069213565623,1.3773259791061983,13.69630506966958,1.0921244291408576,54.780597819808136,0.0,True,0.004779829105550006,0.00022528899717144668,0.0009550819995638449,7952,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,bottom_up_nn,persistence,8,32,outer_2,54.78084241108459,1.3773297574128138,13.69633767822619,1.092125244930175,54.78072825405894,0.0,True,0.007647691753141339,0.00022528899717144668,0.0009246660010830965,7952,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,ols_nn,persistence,8,32,outer_2,54.78081488482327,1.377329065332569,13.696445791454817,1.1736948878426556,54.78067574455932,0.0,True,0.004587098828650887,0.00022528899717144668,0.0007489579984394368,7952,,,0.00017352694631481117,acamas
development,False,memory_um,independent,ridge,1,32,outer_2,1062872941.5920458,1.0074495381955202,224063327.55073184,1.1193767455615904,624311043.0919858,427789448.31166357,False,0.0,0.011653834004391683,0.002108665998093784,8279,,,,
development,False,memory_um,bottom_up,ridge,1,32,outer_2,1104382836.436448,1.046794903718607,224063327.55073184,1.1193767455615904,624311043.0919858,0.0,True,427789448.31166357,0.011653834004391683,0.0023234579966810998,8279,,,,
development,False,memory_um,top_down,ridge,1,32,outer_2,1062872941.5920458,1.0074495381955202,249590471.79625064,4.478006676913067,596222978.0695771,9.230102140959053e-06,True,61112778.330237634,0.011653834004391683,0.0023990829977265093,8279,,,,
development,False,memory_um,ols,ridge,1,32,outer_2,1055723115.8212552,1.000672539375537,240764679.24915925,2.523734923328337,599088967.2190056,0.0,True,106947362.07794178,0.011653834004391683,0.0022295819981081877,8279,,,,
development,False,memory_um,wls,ridge,1,32,outer_2,1063609034.760056,1.0081472478587936,222852884.5840256,1.1153650321601383,597631222.4171891,0.0,True,304707356.53571296,0.011653834004391683,0.002256957995996345,8279,,,,
development,False,memory_um,mint,ridge,1,32,outer_2,1063028098.595265,1.007596604552301,221996840.72351202,1.1128673317557927,594671676.187193,0.0,True,301984992.3852872,0.011653834004391683,0.002286081999045564,8279,,,,
development,False,memory_um,bottom_up_nn,ridge,1,32,outer_2,1104382836.436448,1.046794903718607,224063327.55073184,1.1193767455615904,624311043.0919858,0.0,True,427789448.31166357,0.011653834004391683,0.0023847489974286873,8279,,,,
development,False,memory_um,ols_nn,ridge,1,32,outer_2,1055723115.8212552,1.000672539375537,240764679.24915925,2.523734923328337,599088967.2190056,0.0,True,106947362.07794178,0.011653834004391683,0.0022212069961824454,8279,,,,
development,False,disk_ud,independent,ridge,1,32,outer_2,1786927458.8985488,1.2035787183916276,351548493.66384506,1.868469970426775,1165432595.256641,660729091.0202527,False,0.0,0.011762501999328379,0.002233583996712696,8279,,,,
development,False,disk_ud,bottom_up,ridge,1,32,outer_2,1813130401.741398,1.2212276185793973,351548493.66384506,1.868469970426775,1165432595.256641,0.0,True,660729091.0202527,0.011762501999328379,0.0024592509980720934,8279,,,,
development,False,disk_ud,top_down,ridge,1,32,outer_2,1786927458.8985488,1.2035787183916276,406138309.207541,4.710461393404984,1154922093.7094562,7.97828796880662e-05,True,94389870.14575034,0.011762501999328379,0.0025107919973379467,8279,,,,
development,False,disk_ud,ols,ridge,1,32,outer_2,1771255943.0555525,1.193023223897635,394758939.6355797,6.058388693709884,1154275438.8824327,0.0,True,165182272.75489277,0.011762501999328379,0.002353417996346252,8279,,,,
development,False,disk_ud,wls,ridge,1,32,outer_2,1754040503.167309,1.1814278247816508,350293635.19910556,1.8594706968405694,1152890261.4659271,0.0,True,355975037.1662389,0.011762501999328379,0.0023276259962585755,8279,,,,
development,False,disk_ud,mint,ridge,1,32,outer_2,1755402601.0994751,1.182345261063329,351097416.6420584,1.8649098506997777,1160228968.8916447,0.0,True,294170009.49524915,0.011762501999328379,0.002362583993090084,8279,,,,
development,False,disk_ud,bottom_up_nn,ridge,1,32,outer_2,1813130401.741398,1.2212276185793973,351548493.66384506,1.868469970426775,1165432595.256641,0.0,True,660729091.0202527,0.011762501999328379,0.0025204589946952183,8279,,,,
development,False,disk_ud,ols_nn,ridge,1,32,outer_2,1771255943.0555525,1.193023223897635,394758939.6355797,6.058388693709884,1154275438.8824327,0.0,True,165182272.75489277,0.011762501999328379,0.002339958995435154,8279,,,,
development,False,cpu_core_weighted,independent,ridge,1,32,outer_2,1.3045601758001182,1.1107467752494307,1.7729855729443837,1.1391741630708405,4.213618744786,124.39209622767343,False,0.0,0.011366584003553726,0.0017990419946727343,4852,cluster_mean_CU,,,
development,False,cpu_core_weighted,bottom_up,ridge,1,32,outer_2,1.2257970411752157,1.1622093205188857,1.7729855729443837,1.1391741630708405,4.213618744786,0.0,True,0.5270851535070908,0.011366584003553726,0.0017990419946727343,4852,weighted_mean_CU,1.3059606181011503,,
development,False,cpu_core_weighted,top_down,ridge,1,32,outer_2,1.3045601758001182,1.2295801709831495,1.9461241490205088,1.3942901018545921,4.390879388958425,1.022475133781102e-12,True,0.5905666573566858,0.011366584003553726,0.0017990419946727343,4852,weighted_mean_CU,1.381664431485669,,
development,False,cpu_core_weighted,ols,ridge,1,32,outer_2,1.280125981046735,1.2094803022339224,1.9617126941222902,2.0951771408271735,4.253655963644012,0.0,True,0.5625901950974991,0.011366584003553726,0.0017990419946727343,4852,weighted_mean_CU,1.359078451015496,,
development,False,cpu_core_weighted,wls,ridge,1,32,outer_2,1.222650735032127,1.162789419009944,1.7985904219807192,1.1496640665862585,4.307375359556907,0.0,True,0.5115281071062228,0.011366584003553726,0.0017990419946727343,4852,weighted_mean_CU,1.3066124677899857,,
development,False,cpu_core_weighted,mint,ridge,1,32,outer_2,1.2189314362108477,1.1590400325716383,1.7877163027396346,1.1452411938613334,4.289100503329107,0.0,True,0.5179336216646834,0.011366584003553726,0.0017990419946727343,4852,weighted_mean_CU,1.3023993273995065,,
