base_model,horizon,reconciliation_method,nonnegative,mean_cluster_mae,std_cluster_mae,mean_rmse,mean_r2,mean_mase,mase_valid_all,coherence_before,coherence_after,rel_vs_ind,rel_vs_pers,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved,machines_degraded,adj_magnitude,wall_train
lightgbm,8,ols,False,1334869751.805214,104364960.51736175,3386144684.408877,0.48901333885051307,1.3967442137096981,True,1119933885.527624,0.0,0.9690205073177874,1.291262199133475,379744312.2106975,362026456.80727047,833234832.8505095,136313222.65504816,1.0,6.0,139991735.690953,10.83182991766777
lightgbm,8,ols,True,1334869751.805214,104364960.51736175,3386144684.408877,0.48901333885051307,1.3967442137096981,True,1119933885.527624,0.0,0.9690205073177874,1.291262199133475,379744312.2106975,362026456.80727047,833234832.8505095,136313222.65504816,1.0,6.0,139991735.690953,10.83182991766777
lightgbm,8,wls,False,1364959093.3925555,230720565.2654194,3255084130.8472333,0.5277465432289229,1.4367479911342647,True,1119933885.527624,0.0,0.9851107129403761,1.3081667991288777,345651930.6389504,316963261.77825564,860295691.0402538,10688923.572950186,4.0,3.0,139991735.690953,10.83182991766777
lightgbm,8,wls,True,1364959093.3925555,230720565.2654194,3255084130.8472333,0.5277465432289229,1.4367479911342647,True,1119933885.527624,0.0,0.9851107129403761,1.3081667991288777,345651930.6389504,316963261.77825564,860295691.0402538,10688923.572950186,4.0,3.0,139991735.690953,10.83182991766777
lightgbm,16,bottom_up,False,1546926332.6273165,507241049.527305,3323145732.7996955,0.5087567921871107,1.6450829715660111,True,1030054598.2062894,0.0,1.049018918189385,1.4603289254355165,328978081.7706476,299707391.7836838,885975103.6571912,10310985.08218181,0.0,0.0,128756824.77578618,21.433962417333532
lightgbm,16,independent,False,1449913003.3757193,250490343.54542702,3494810298.0061646,0.45679156980040175,1.5264132735377955,True,1030054598.2062894,1030054598.2062894,1.0,1.3862280453392615,328978081.7706476,299707391.7836838,885975103.6571912,10310985.08218181,0.0,0.0,0.0,21.433962417333532
lightgbm,16,mint,False,1459765802.3652656,394563598.15745384,3296511850.7129593,0.5163557633838982,1.546795099107215,True,1030054598.2062894,0.0,0.9962282203176341,1.3865299260329733,339498585.1226536,309235529.6538451,884106814.599706,10335124.209866194,3.3333333333333335,3.6666666666666665,130853830.79977094,21.433962417333532
lightgbm,16,wls,False,1443892562.7683022,361572082.42035913,3300264064.3827224,0.515314515568417,1.5280745954702901,True,1030054598.2062894,0.0,0.9875712416465213,1.374590003673364,341661917.51053625,311941922.978054,885711120.1058382,10309276.172575112,3.3333333333333335,3.6666666666666665,128756824.77578616,21.433962417333532
persistence,1,bottom_up,False,1060130265.5337276,225643808.76669642,3793024865.9364967,0.3562438709169021,1.114499118139063,True,0.0,0.0,1.0,1.0,192241533.99799538,160383173.0444527,383844238.92720366,5497692.293719244,0.0,0.0,0.0,0.00018820900004353335
persistence,1,independent,False,1060130265.5337276,225643808.76669642,3793024865.9364967,0.3562438709169021,1.114499118139063,True,0.0,0.0,1.0,1.0,192241533.99799538,160383173.0444527,383844238.92720366,5497692.293719244,0.0,0.0,0.0,0.00018820900004353335
persistence,1,mint,False,1060130265.5355287,225643808.76785854,3793024865.936477,0.35624387091690674,1.1144991181408994,True,0.0,0.0,1.0000000000015619,1.0000000000015619,192241533.99402347,160383173.04048267,383844238.9205658,5497692.293719242,3.3333333333333335,3.6666666666666665,0.048771365444350644,0.00018820900004353335
persistence,1,wls,False,1060130265.5332527,225643808.76642227,3793024865.936504,0.3562438709169002,1.1144991181385877,True,0.0,0.0,0.9999999999995861,0.9999999999995861,192241533.99862027,160383173.04509017,383844238.92640513,5497692.293719398,3.0,4.0,0.01506111190367663,0.00018820900004353335
persistence,8,bottom_up,False,1059679844.4118851,224018468.0300289,3793753633.86451,0.3556739479038386,1.1133630070860703,True,0.0,0.0,1.0,1.0,192197141.4006243,160338275.62642193,383805441.91339016,5497786.523145687,0.0,0.0,0.0,0.0003009729998666
persistence,8,bottom_up,True,1059679844.4118851,224018468.0300289,3793753633.86451,0.3556739479038386,1.1133630070860703,True,0.0,0.0,1.0,1.0,192197141.4006243,160338275.62642193,383805441.91339016,5497786.523145687,0.0,0.0,0.0,0.0003009729998666
persistence,8,independent,False,1059679844.4118851,224018468.0300289,3793753633.86451,0.3556739479038386,1.1133630070860703,True,0.0,0.0,1.0,1.0,192197141.4006243,160338275.62642193,383805441.91339016,5497786.523145687,0.0,0.0,0.0,0.0003009729998666
persistence,8,independent,True,1059679844.4118851,224018468.0300289,3793753633.86451,0.3556739479038386,1.1133630070860703,True,0.0,0.0,1.0,1.0,192197141.4006243,160338275.62642193,383805441.91339016,5497786.523145687,0.0,0.0,0.0,0.0003009729998666
persistence,8,mint,False,1059679844.4119927,224018468.02979106,3793753633.8645043,0.35567394790384066,1.113363007086155,True,0.0,0.0,1.0000000000001315,1.0000000000001315,192197141.40109026,160338275.62703246,383805441.9221292,5497786.523145815,4.0,3.0,0.018546616823102713,0.0003009729998666
persistence,8,mint,True,1059679844.4119927,224018468.02979106,3793753633.8645043,0.35567394790384066,1.113363007086155,True,0.0,0.0,1.0000000000001315,1.0000000000001315,192197141.40109026,160338275.62703246,383805441.9221292,5497786.523145815,4.0,3.0,0.018546616823102713,0.0003009729998666
persistence,8,ols,False,1059679844.4118867,224018468.03002957,3793753633.864512,0.3556739479038378,1.113363007086072,True,0.0,0.0,1.0000000000000016,1.0000000000000016,192197141.40062347,160338275.6264212,383805441.9133895,5497786.52314557,4.666666666666667,2.3333333333333335,2.349792736105597e-05,0.0003009729998666
persistence,8,ols,True,1059679844.4118867,224018468.03002957,3793753633.864512,0.3556739479038378,1.113363007086072,True,0.0,0.0,1.0000000000000016,1.0000000000000016,192197141.40062347,160338275.6264212,383805441.9133895,5497786.52314557,4.666666666666667,2.3333333333333335,2.349792736105597e-05,0.0003009729998666
persistence,8,wls,False,1059679844.4117746,224018468.02970132,3793753633.864511,0.35567394790383844,1.1133630070859464,True,0.0,0.0,0.999999999999939,0.999999999999939,192197141.40166172,160338275.62751862,383805441.91688126,5497786.523145767,2.6666666666666665,4.333333333333333,0.012698402228850075,0.0003009729998666
persistence,8,wls,True,1059679844.4117746,224018468.02970132,3793753633.864511,0.35567394790383844,1.1133630070859464,True,0.0,0.0,0.999999999999939,0.999999999999939,192197141.40166172,160338275.62751862,383805441.91688126,5497786.523145767,2.6666666666666665,4.333333333333333,0.012698402228850075,0.0003009729998666
persistence,16,bottom_up,False,1058049629.858864,220579749.35824892,3788234009.2125077,0.3560648171365098,1.1115011364248557,True,0.0,0.0,1.0,1.0,191973124.7246809,160124369.66989312,383603348.95737815,5498924.430663855,0.0,0.0,0.0,0.0004644170012397333
