run_id,base_run_id,fold,horizon,base_model,seed,reconciliation_method,nonnegative,top_mae,top_rmse,top_r2,top_mase,mase_valid,mase_invalid_reason,coherence_before,coherence_after,is_coherent_after,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,adj_magnitude,ind_top_mae,wall_train_sec_sum,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,pers_ind_mae,same_ind_mae,rel_mae_vs_independent,rel_mae_vs_pers_ind
base__memory_um__f0__h8__lightgbm__s0__ols__nn0,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,ols,False,1440844663.2613654,4067255978.3168516,0.4724967282733755,1.6583781658733292,True,,1792691829.1344185,0.0,True,567332226.1989976,548586254.3916887,1079187099.7341795,209206820.3750965,2,5,224086478.64180237,1526324191.3500135,9.930978084000344,841945910.9564407,491413720.55106604,580211950.226969,547332617.2218348,209206820.3750965,222027464.3273966,1079187099.7341795,1291570370.298706,1526324191.3500135,0.9439964795335894,1.1155758109626936
base__memory_um__f0__h8__lightgbm__s0__ols__nn1,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,ols,True,1440844663.2613654,4067255978.3168516,0.4724967282733755,1.6583781658733292,True,,1792691829.1344185,0.0,True,567332226.1989976,548586254.3916887,1079187099.7341795,209206820.3750965,2,5,224086478.64180237,1526324191.3500135,9.930978084000344,841945910.9564407,491413720.55106604,580211950.226969,547332617.2218348,209206820.3750965,222027464.3273966,1079187099.7341795,1291570370.298706,1526324191.3500135,0.9439964795335894,1.1155758109626936
base__memory_um__f0__h8__persistence__s0__independent__nn0,base__memory_um__f0__h8__persistence__s0,0,8,persistence,0,independent,False,1291570370.298706,4459098467.509135,0.36596056447304637,1.4865669814427231,True,,0.0,0.0,True,228173977.45051223,187733491.3794842,427958992.2302576,5846095.6265570205,0,0,0.0,1291570370.298706,0.0002297510000062,426663790.3688475,161642103.9351796,417612361.4966743,427958992.2302576,65407610.78340791,5846095.6265570205,92086887.71266174,1291570370.298706,1291570370.298706,1.0,1.0
base__memory_um__f0__h8__persistence__s0__independent__nn1,base__memory_um__f0__h8__persistence__s0,0,8,persistence,0,independent,True,1291570370.298706,4459098467.509135,0.36596056447304637,1.4865669814427231,True,,0.0,0.0,True,228173977.45051223,187733491.3794842,427958992.2302576,5846095.6265570205,0,0,0.0,1291570370.298706,0.0002297510000062,426663790.3688475,161642103.9351796,417612361.4966743,427958992.2302576,65407610.78340791,5846095.6265570205,92086887.71266174,1291570370.298706,1291570370.298706,1.0,1.0
base__memory_um__f0__h8__persistence__s0__bottom_up__nn0,base__memory_um__f0__h8__persistence__s0,0,8,persistence,0,bottom_up,False,1291570370.298706,4459098467.509135,0.36596056447304637,1.4865669814427231,True,,0.0,0.0,True,228173977.45051223,187733491.3794842,427958992.2302576,5846095.6265570205,0,0,0.0,1291570370.298706,0.0002297510000062,426663790.3688475,161642103.9351796,417612361.4966743,427958992.2302576,65407610.78340791,5846095.6265570205,92086887.71266174,1291570370.298706,1291570370.298706,1.0,1.0
base__memory_um__f0__h8__persistence__s0__bottom_up__nn1,base__memory_um__f0__h8__persistence__s0,0,8,persistence,0,bottom_up,True,1291570370.298706,4459098467.509135,0.36596056447304637,1.4865669814427231,True,,0.0,0.0,True,228173977.45051223,187733491.3794842,427958992.2302576,5846095.6265570205,0,0,0.0,1291570370.298706,0.0002297510000062,426663790.3688475,161642103.9351796,417612361.4966743,427958992.2302576,65407610.78340791,5846095.6265570205,92086887.71266174,1291570370.298706,1291570370.298706,1.0,1.0
base__memory_um__f0__h8__persistence__s0__wls__nn0,base__memory_um__f0__h8__persistence__s0,0,8,persistence,0,wls,False,1291570370.298315,4459098467.509141,0.3659605644730448,1.486566981442273,True,,0.0,0.0,True,228173977.45110172,187733491.38009408,427958992.2302296,5846095.626556834,2,5,0.008185665370158293,1291570370.298706,0.0002297510000062,426663790.3726682,161642103.93536878,417612361.4967632,427958992.2302296,65407610.78343041,5846095.626556834,92086887.7126949,1291570370.298706,1291570370.298706,0.9999999999996972,0.9999999999996972
base__memory_um__f0__h8__persistence__s0__wls__nn1,base__memory_um__f0__h8__persistence__s0,0,8,persistence,0,wls,True,1291570370.298315,4459098467.509141,0.3659605644730448,1.486566981442273,True,,0.0,0.0,True,228173977.45110172,187733491.38009408,427958992.2302296,5846095.626556834,2,5,0.008185665370158293,1291570370.298706,0.0002297510000062,426663790.3726682,161642103.93536878,417612361.4967632,427958992.2302296,65407610.78343041,5846095.626556834,92086887.7126949,1291570370.298706,1291570370.298706,0.9999999999996972,0.9999999999996972
base__memory_um__f0__h8__persistence__s0__mint__nn0,base__memory_um__f0__h8__persistence__s0,0,8,persistence,0,mint,False,1291570370.2984016,4459098467.509136,0.36596056447304603,1.4865669814423725,True,,0.0,0.0,True,228173977.45096022,187733491.37995985,427958992.2301779,5846095.626557174,4,3,0.006660671977440929,1291570370.298706,0.0002297510000062,426663790.3720701,161642103.93517458,417612361.4966733,427958992.2301779,65407610.783408955,5846095.626557174,92086887.71265996,1291570370.298706,1291570370.298706,0.9999999999997643,0.9999999999997643
base__memory_um__f0__h8__persistence__s0__mint__nn1,base__memory_um__f0__h8__persistence__s0,0,8,persistence,0,mint,True,1291570370.2984016,4459098467.509136,0.36596056447304603,1.4865669814423725,True,,0.0,0.0,True,228173977.45096022,187733491.37995985,427958992.2301779,5846095.626557174,4,3,0.006660671977440929,1291570370.298706,0.0002297510000062,426663790.3720701,161642103.93517458,417612361.4966733,427958992.2301779,65407610.783408955,5846095.626557174,92086887.71265996,1291570370.298706,1291570370.298706,0.9999999999997643,0.9999999999997643
base__memory_um__f0__h8__persistence__s0__ols__nn0,base__memory_um__f0__h8__persistence__s0,0,8,persistence,0,ols,False,1291570370.298708,4459098467.509138,0.3659605644730456,1.4865669814427254,True,,0.0,0.0,True,228173977.4505115,187733491.37948352,427958992.2302577,5846095.626556955,5,2,2.3614871543730195e-05,1291570370.298706,0.0002297510000062,426663790.3688501,161642103.93517905,417612361.4966689,427958992.2302577,65407610.783407,5846095.626556955,92086887.71266074,1291570370.298706,1291570370.298706,1.0000000000000016,1.0000000000000016
