horizon,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_ridge,mae_vs_ewma,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,weighted_bottom_mae,worst_machine_mae,base_model,reconciliation_method,unit,seed_mean,seed_std,seed_min,seed_max,seed_cv,stability_class,identical_hashes,fold_consistency,strongest_observed_note,seed_aware_claim
1,1488193766.9964402,3510058846.6710534,1.570992121892015,0.45352690038989474,0.41441928453045646,0.3900690232448465,0.4260541466523373,0.0,995930585.9808592,995930585.9808592,325984565.6064082,325984565.6064082,840881289.8489653,lightgbm,independent,memory_bytes,1488193766.9964402,0.0,1263368437.7287288,1848635679.4026904,0.0,seed_invariant,True,315322579.6875179,,negative_baseline
8,1379283139.5443852,3449229034.940361,1.4450779115219257,0.47013974938423325,0.3299137393286267,0.30904653075710553,0.34103604858419817,0.0,1119933885.527624,1119933885.527624,331543839.57434577,331543839.5743458,862604650.1596025,lightgbm,independent,memory_bytes,1379283139.544385,0.0,1262294522.4928114,1526324191.3500135,0.0,seed_invariant,True,134555855.07586053,,negative_baseline
16,1449913003.3757193,3494810298.0061646,1.5264132735377955,0.45679156980040175,0.3862280453392617,0.3615204719468825,0.39758109018851107,0.0,1030054598.2062894,1030054598.2062894,328978081.7706476,328978081.7706476,885975103.6571912,lightgbm,independent,memory_bytes,1449913003.3757193,0.0,1266339742.2184117,1735274052.5911322,0.0,seed_invariant,True,250490343.54542702,,negative_baseline
1,1058097901.6477107,3358990752.9165573,1.1120321713794603,0.49490166340778496,-0.002178537887446077,-0.02067407767220751,0.0058452895387803225,0.0,385378030.6272404,385378030.6272404,223620488.52937987,223620488.52937987,497938892.1559424,dlinear,independent,memory_bytes,1070806689.5242167,10389767.347790115,835042020.9050137,1342112238.0998075,0.008305333486155633,practically_seed_stable,False,226335539.9487512,,conditional
8,1078226408.7703092,3367810236.7376,1.1347879015849853,0.4924935470114398,0.013466880770971404,-0.006173710143417718,0.02156147411874848,0.0,373885678.2245867,373885678.2245867,222170256.6183162,222170256.61831626,489979504.5601778,dlinear,independent,memory_bytes,1110727057.2329988,42584032.64008067,836114125.5450646,1600707736.3900597,0.031137005467937,practically_seed_stable,False,259116168.55692443,,conditional
16,1084207826.3120816,3367792424.7378316,1.1406770962330144,0.4912619878020681,0.02129907557363311,0.0007210355237939429,0.029394541965760922,0.0,385324950.22665375,385324950.22665375,223070179.39180374,223070179.39180374,499596452.50323266,dlinear,independent,memory_bytes,1091812239.0432281,9504709.34921672,846438532.3283072,1393497020.5925777,0.008010860811283467,practically_seed_stable,False,252907769.37316668,,conditional
1,1060632667.7894378,3369928082.6415734,1.1138654076317127,0.4914872067354414,-0.0028856219228350264,-0.021858544092286703,0.005071205936875441,-0.0009062322666911921,385378030.6272404,0.0,223620488.52937987,223620488.52937987,497938892.1559424,dlinear,bottom_up,memory_bytes,1063902733.3720245,10206305.613410993,789788087.818767,1337857115.53044,0.008838040792539066,practically_seed_stable,False,248667598.78963533,,conditional
8,1050702256.1338776,3367421270.7683144,1.1009002815323883,0.4918187632151268,-0.00953778138365585,-0.028436001114866327,-0.0016304515733671597,-0.022066253258653967,373885678.2245867,0.0,222170256.6183162,222170256.61831626,489979504.5601778,dlinear,bottom_up,memory_bytes,1072415013.5672512,29188391.046189696,798545078.7047428,1380891951.8403738,0.024414834511546565,moderately_seed_sensitive,False,230513677.2466136,,conditional
16,1054990368.9334902,3366146853.0118356,1.104837222158549,0.49090612340976514,-0.003464130034826688,-0.023230047863549427,0.004432391975754457,-0.023656082337047784,385324950.22665375,0.0,223070179.39180374,223070179.39180374,499596452.50323266,dlinear,bottom_up,memory_bytes,1076893301.1765118,25597979.94898146,794251346.0221783,1400298306.5383697,0.02068721164585643,practically_seed_stable,False,225648334.85137704,,conditional
1,1036811493.7713679,3350692451.666025,1.0896207005613583,0.4974226557990538,-0.024876456605710483,-0.04334602291722228,-0.017079904817639924,-0.0228592447235336,385378030.6272404,0.0,222873145.9494954,222873145.9494954,484275381.6552394,dlinear,wls,memory_bytes,1043572225.9762634,9244932.481040644,784987446.2757449,1316841627.8783777,0.0081810706306561,practically_seed_stable,False,240022733.26884523,,conditional
8,1041649745.8011246,3353792332.691485,1.0937424038027181,0.4963431536820419,-0.019927451911648148,-0.03884326454189667,-0.01210992723398636,-0.032675223658520595,373885678.2245867,0.0,223195527.10091308,223195527.10091308,484022524.34323615,dlinear,wls,memory_bytes,1064719992.6242895,31635509.489686746,794256307.6040021,1438352225.063982,0.0253834392985843,moderately_seed_sensitive,False,239850394.95386076,,conditional
16,1044916143.4172401,3352802070.2638087,1.0967597588953968,0.49538194821286,-0.014904583812738915,-0.03468668361366217,-0.007107629672644951,-0.03520069099425121,385324950.22665375,0.0,223938956.99174738,223938956.99174738,492349577.92394,dlinear,wls,memory_bytes,1059513658.5352682,17094175.77717976,791043489.7628727,1367547069.698006,0.014217613772837166,practically_seed_stable,False,234671174.71441895,,conditional
1,1037228513.9174322,3351193189.0613804,1.0901566547955346,0.49731790327422504,-0.024594902458318604,-0.04308338051206634,-0.01679691517418819,-0.022573503352508545,385378030.6272404,0.0,222409627.19932315,222409627.19932315,482485999.6344025,dlinear,mint,memory_bytes,1043504620.5100476,9305775.186603216,785173797.7174767,1317886610.2539024,0.0082270037569268,practically_seed_stable,False,240954848.47186747,,conditional
8,1038913631.0179077,3353177199.4322987,1.0906964102009649,0.4965319916094788,-0.022123896667295345,-0.04094476118650008,-0.014319292812860603,-0.034791811271366054,373885678.2245867,0.0,222429952.75708017,222429952.75708017,482620930.5281513,dlinear,mint,memory_bytes,1060136754.6049652,29158015.314219143,794415111.9192388,1416321050.0157015,0.023659842186353766,moderately_seed_sensitive,False,236461822.9952736,,conditional
