horizon,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_ridge,mae_vs_ewma,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,weighted_bottom_mae,worst_machine_mae,base_model,reconciliation_method,unit,seed_mean,seed_std,seed_min,seed_max,seed_cv,stability_class,identical_hashes,fold_consistency,best_observed_note
8,1.1302619356093533,2.7927246690988032,0.9566775126700646,0.5414421264230516,-0.14314080575937202,-0.09549774583257686,-0.14237152638417766,-0.09549774583257686,121.02390566609495,0.0,53.70591122240157,58.36955475247182,124.22288430904526,ridge,bottom_up,cpu_weighted_mean_pct,1.1302619356093533,0.0,1.1302619356093533,1.1302619356093533,0.0,deterministic,True,0.1843111894571743,bottom-preserving alternative
16,1.1407408068996978,2.8216065033687143,0.9660398668010161,0.5373733975622873,-0.143311136708224,-0.09558844970598594,-0.1424618208569529,-0.09558844970598594,120.91612680330746,0.0,54.13062849751236,58.83506238296142,126.87678871618606,ridge,bottom_up,cpu_weighted_mean_pct,1.1407408068996978,0.0,1.1407408068996978,1.1407408068996978,0.0,deterministic,True,0.19732729300533894,bottom-preserving alternative
1,1.0348402390577973,2.552428595548313,0.8775164537475172,0.6153035768976297,-0.21719493804198278,-0.17525467886380885,-0.21619607829020873,0.0,157.03696349193052,157.03696349193052,43.99556175213467,47.82691981374837,96.28718724708604,lightgbm,independent,cpu_weighted_mean_pct,1.0348402390577973,0.0,0.845825083496615,1.1492168649705437,0.0,seed_invariant,True,0.16489337720946037,
8,1.0279394020858876,2.532885862610086,0.871363003248605,0.6192487548686574,-0.21932432475473193,-0.17574718605809672,-0.21856034967148,0.0,158.18196279610467,158.18196279610467,44.34722920528586,48.22441508522658,97.39887428914251,lightgbm,independent,cpu_weighted_mean_pct,1.0279394020858874,0.0,0.8619293246865777,1.132114434314775,0.0,seed_invariant,True,0.14531922782144627,
16,1.045654517507056,2.572429547348847,0.8869461763179415,0.6123992376677129,-0.21315828876064133,-0.16922717542103982,-0.21231895643598164,0.0,162.3961407986088,162.3961407986088,44.85498690667953,48.78363601735438,100.11360700919884,lightgbm,independent,cpu_weighted_mean_pct,1.045654517507056,0.0,0.8648501103571508,1.1549701444181844,0.0,seed_invariant,True,0.1577193482611278,
1,0.9356848042908728,2.2417014131905044,0.7938633035012707,0.7049434050463373,-0.29103112853279733,-0.25299065371700696,-0.2900801802537218,-0.09414810693894397,157.03696349193052,0.0,43.99556175213467,47.82691981374837,96.28718724708604,lightgbm,bottom_up,cpu_weighted_mean_pct,0.9356848042908729,3.7007434154171876e-17,0.7805449359194851,1.0205550544242874,4.74123044697958e-17,seed_invariant,True,0.1345532559310816,
8,0.9372385460468027,2.231254316737377,0.7947560164245785,0.7057505153626863,-0.28761459713447096,-0.247810886893391,-0.28689218869793903,-0.08744220284360547,158.18196279610467,0.0,44.34722920528586,48.22441508522658,97.39887428914251,lightgbm,bottom_up,cpu_weighted_mean_pct,0.9372385460468027,0.0,0.794109324195644,1.021055775499171,0.0,seed_invariant,True,0.12455764637930364,
16,0.9522354458629669,2.262700195399573,0.8084568273526543,0.701377029851051,-0.28247021694241875,-0.24235157659800807,-0.2816697274746344,-0.08806629104217818,162.3961407986088,0.0,44.85498690667953,48.78363601735438,100.11360700919884,lightgbm,bottom_up,cpu_weighted_mean_pct,0.9522354458629669,0.0,0.7993938475030506,1.0307048936504906,0.0,seed_invariant,True,0.13238055976248075,
1,0.9299214185956997,2.239824371008514,0.7889301302493248,0.7048660241474064,-0.29557188315824934,-0.2577809833038684,-0.2946337495595839,-0.09997308212784617,157.03696349193052,0.0,45.44268513476187,49.43787264112032,101.10349311120434,lightgbm,wls,cpu_weighted_mean_pct,0.9299214185956997,3.7007434154171876e-17,0.7733649699892713,1.0165011232696677,4.7852483096933235e-17,seed_invariant,True,0.1358357676627881,
8,0.9284787745431416,2.2292147697484257,0.7873095153659389,0.7058049350224441,-0.29423196789330947,-0.25480000272321235,-0.293514758023845,-0.09591606766753348,158.18196279610467,0.0,45.70257665138677,49.738819404741925,102.4974137057536,lightgbm,wls,cpu_weighted_mean_pct,0.9284787745431414,0.0,0.7873944212939675,1.0116825627701151,0.0,seed_invariant,True,0.12283693441784117,
16,0.9427537715405695,2.257558816777627,0.8002703144508985,0.701973881542413,-0.28979482118701055,-0.25009616051867545,-0.28900889739293806,-0.09737955540967265,162.3961407986088,0.0,46.34387691682037,50.442569382533996,106.11925738940472,lightgbm,wls,cpu_weighted_mean_pct,0.9427537715405695,0.0,0.7892731254510011,1.020968838113624,0.0,seed_invariant,True,0.13292631948386924,
1,0.9273484322256736,2.2349568500216503,0.7868084428615642,0.7060974176921423,-0.29738171263609886,-0.259680024626226,-0.2964404130655551,-0.10226337390817984,157.03696349193052,0.0,45.114197113985746,49.04815424261236,100.59890299079092,lightgbm,mint,cpu_weighted_mean_pct,0.9273484322256738,0.0,0.7730862362246635,1.0112159355198145,0.0,seed_invariant,True,0.1337647113127026,best observed in frozen outer evaluation
8,0.9259295504667829,2.2224224132971844,0.7850683859464113,0.7073762122744696,-0.29602510968582707,-0.2567022035071857,-0.2953044549571256,-0.09820252663678591,158.18196279610467,0.0,45.40057588395107,49.37531699268183,102.17317427346283,lightgbm,mint,cpu_weighted_mean_pct,0.9259295504667829,0.0,0.7877895503581098,1.0098630269075288,0.0,seed_invariant,True,0.12055255141558599,best observed in frozen outer evaluation
16,0.940144392127082,2.251494437431154,0.7980389697581041,0.7032428833267735,-0.29155727618460753,-0.2519511197548061,-0.29076855326930645,-0.09959930245335137,162.3961407986088,0.0,45.96003143664168,49.99051075721141,104.84895407649036,lightgbm,mint,cpu_weighted_mean_pct,0.940144392127082,0.0,0.7901883349375972,1.0172490640950174,0.0,seed_invariant,True,0.12988316645315812,best observed in frozen outer evaluation
