hierarchy,model,horizon,fold,method,mean_mae,std_mae,cv,min_mae,max_mae,best_seed,worst_seed,identical_hashes,max_pred_abs_diff,stability_class,seed0_mae,seed1_mae,seed2_mae,prediction_hash_relation,direction_agreement
cpu_core_weighted,dlinear,8,1,independent,1.0367289285531516,0.0023415178683386,0.0022585632597389,1.033701682753594,1.039404831988524,0,2,False,373.5534712372819,practically_seed_stable,1.033701682753594,1.0370802709173363,1.039404831988524,distinct,all_agree
cpu_core_weighted,dlinear,8,1,bottom_up,0.9370650703516455,0.0022286999896766,0.0023783833803988,0.9348743317307808,0.9401228753138297,2,1,False,373.5534712372819,practically_seed_stable,0.9361980040103264,0.9401228753138297,0.9348743317307808,distinct,all_agree
cpu_core_weighted,dlinear,8,1,wls,0.9554366678459428,0.0011425906614297,0.0011958832017675,0.9542072313783913,0.9569594800223096,1,2,False,373.5534712372819,practically_seed_stable,0.9551432921371276,0.9542072313783913,0.9569594800223096,distinct,all_agree
cpu_core_weighted,dlinear,8,1,mint,0.954160451349292,0.0007646334846169,0.0008013678239709,0.953539357043862,0.9552376000585656,1,2,False,373.5534712372819,practically_seed_stable,0.9537043969454486,0.953539357043862,0.9552376000585656,distinct,all_agree
cpu_core_weighted,dlinear,8,2,independent,1.393826992809066,0.0051082749442581,0.0036649275488366,1.386602939663177,1.397477768165588,0,2,False,1466.0218637038506,practically_seed_stable,1.386602939663177,1.3974002705984336,1.397477768165588,distinct,all_agree
cpu_core_weighted,dlinear,8,2,bottom_up,1.332976855156657,0.0047219620828874,0.0035424186583738,1.32637457986404,1.337145667620345,1,2,False,1466.0218637038506,practically_seed_stable,1.3354103179855858,1.32637457986404,1.337145667620345,distinct,all_agree
cpu_core_weighted,dlinear,8,2,wls,1.3274848885825026,0.0076848420952385,0.0057890241624102,1.3172025973847217,1.3356741586598475,1,2,False,1466.0218637038506,practically_seed_stable,1.329577909702938,1.3172025973847217,1.3356741586598475,distinct,all_agree
cpu_core_weighted,dlinear,8,2,mint,1.325632006888493,0.0075587536754522,0.0057019999790092,1.3153741356553086,1.3333655910441014,1,2,False,1466.0218637038506,practically_seed_stable,1.3281562939660692,1.3153741356553086,1.3333655910441014,distinct,all_agree
cpu_core_weighted,dlinear,16,0,independent,1.3197717382403331,0.0068165516653193,0.0051649474434177,1.3105642612208253,1.3268482970246676,0,2,False,833.1830779911536,practically_seed_stable,1.3105642612208253,1.3219026564755074,1.3268482970246676,distinct,all_agree
cpu_core_weighted,dlinear,16,0,bottom_up,1.2356502898545203,0.0211344730705178,0.0171039275788994,1.2198480014346502,1.265522203019458,0,2,False,833.1830779911536,moderately_seed_sensitive,1.2198480014346502,1.2215806651094536,1.265522203019458,distinct,all_agree
cpu_core_weighted,dlinear,16,0,wls,1.2439130981458584,0.0154034349958891,0.0123830475126028,1.2311344015701304,1.2655807774904178,0,2,False,833.1830779911536,moderately_seed_sensitive,1.2311344015701304,1.235024115377027,1.2655807774904178,distinct,all_agree
cpu_core_weighted,dlinear,16,0,mint,1.2361615961419463,0.0180674073488518,0.0146157326074844,1.2221808184484957,1.2616735994911592,0,2,False,833.1830779911536,moderately_seed_sensitive,1.2221808184484957,1.2246303704861847,1.2616735994911592,distinct,all_agree
cpu_core_weighted,dlinear,16,1,independent,1.0334223746323536,0.0034613697475601,0.003349424042412,1.0286942821379106,1.0368843629622826,2,0,False,424.17983323323006,practically_seed_stable,1.0368843629622826,1.034688478796868,1.0286942821379106,distinct,all_agree
cpu_core_weighted,dlinear,16,1,bottom_up,0.9355642557177742,0.0062497817151982,0.0066802271217634,0.92917724026084,0.944048716327916,0,2,False,424.17983323323006,practically_seed_stable,0.92917724026084,0.9334668105645668,0.944048716327916,distinct,all_agree
cpu_core_weighted,dlinear,16,1,wls,0.9495109361100448,0.0018807016192903,0.0019807055903907,0.9469075135657572,0.9512840295659024,0,2,False,424.17983323323006,practically_seed_stable,0.9469075135657572,0.9503412651984748,0.9512840295659024,distinct,all_agree
cpu_core_weighted,dlinear,16,1,mint,0.9478770138211662,0.0023772515641656,0.0025079746945041,0.9445418468941472,0.9499113174445812,0,2,False,424.17983323323006,practically_seed_stable,0.9445418468941472,0.94917787712477,0.9499113174445812,distinct,all_agree
cpu_core_weighted,dlinear,16,2,independent,1.3970669077235114,0.0080283446493784,0.0057465713381333,1.386207757726186,1.4053671312056175,0,2,False,406.29629677986213,practically_seed_stable,1.386207757726186,1.3996258342387302,1.4053671312056175,distinct,all_agree
cpu_core_weighted,dlinear,16,2,bottom_up,1.3328984573319802,0.0063248287777183,0.0047451692534617,1.3255570504160183,1.3409944288012663,0,1,False,406.29629677986213,practically_seed_stable,1.3255570504160183,1.3409944288012663,1.3321438927786555,distinct,all_agree
cpu_core_weighted,dlinear,16,2,wls,1.3279285180285576,0.005470445616818,0.0041195331996781,1.3202023555469584,1.3321357981229187,0,1,False,406.29629677986213,practically_seed_stable,1.3202023555469584,1.3321357981229187,1.3314474004157957,distinct,all_agree
