hierarchy,unit,base_model,horizon,fold,method_a,method_b,npz_path,correction_family,in_holm_family,effect_class,tradeoff_class,coherence_before,coherence_after,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,ci_low,ci_high,p_value_holm,holm_rank,family_size,alpha,reject_holm_0.05,evidence_layer,family,model_a,model_b,bootstrap_rng_seed,mae_a_report,mae_b_report,abs_ci_low,abs_ci_high
memory_um,memory_level,persistence,16,2,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h16__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8264,32,5000,0,-0.0008356864316188,-0.04150390625,1043733133.2584704,1043733133.2576348,-8.006705976746376e-13,-1.4268111037197372e-12,-1.896663927930565e-13,0.9962,0.0076,False,False,191170063.50656897,191170063.50865775,1.0926475283403363e-11,1338190444.5459826,1338190444.5606046,1.0926675718926259e-11,452192737.76573086,452192737.7744467,1.9274674863821633e-11,1.0,6.0,-0.0015335989136894,-0.0001893118297949,,,0.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,1,0,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,465104157.5826315,0.0,8276,32,5000,0,-95293358.03805548,-114708280.18115234,1358694507.6124406,1263401149.574385,-0.0701359705983571,-0.0906324452156693,-0.0522992248813427,1.0,0.0,False,False,261733944.41832015,261733944.41832015,0.0,1832137610.928241,1832137610.928241,0.0,559235518.7529912,559235518.7529912,0.0,0.0,0.0,-116743464.64935352,-74331113.77435558,0.0,1.0,27.0,0.05,True,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,1,0,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,465104157.5826315,0.0,8276,32,5000,0,-86210717.44397233,-90491829.18976592,1358694507.6124406,1272483790.1684682,-0.0634511414898303,-0.0777992029495897,-0.0512902020780322,1.0,0.0,False,False,261733944.41832015,262021246.00642988,0.0010976856240339,1832137610.928241,1834148722.045009,0.0010976856240338,559235518.7529912,545227534.6865388,-0.0250484520326749,3.0,4.0,-100411744.3516566,-72430106.38855357,0.0,18.0,27.0,0.05,True,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,1,0,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,465104157.5826315,0.0,8276,32,5000,0,-89277176.44040298,-94759401.04060364,1358694507.6124406,1269417331.1720374,-0.0657080572124228,-0.0811585275110659,-0.052560358575561,1.0,0.0,False,False,261733944.41832015,261697154.5817311,-0.0001405619613872,1832137610.928241,1831880082.0721176,-0.0001405619613871,559235518.7529912,545639721.5498854,-0.0243113978765553,3.0,4.0,-104781445.33232364,-74461853.80764301,0.0,17.0,27.0,0.05,True,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,1,1,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,301581705.2888302,0.0,8276,32,5000,0,-42353317.92880735,-24010812.059944153,834422178.6472346,792068860.7184273,-0.0507576608252078,-0.0679950506712684,-0.0346693492824937,1.0,0.0,False,False,178183129.56075743,178183129.56075743,0.0,1247281906.925302,1247281906.925302,0.0,323324236.2392898,323324236.2392898,0.0,0.0,0.0,-54719629.68405352,-29507642.41579168,0.0,16.0,27.0,0.05,True,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,1,1,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,301581705.2888302,0.0,8276,32,5000,0,-47401350.98729179,-28780802.85640717,834422178.6472346,787020827.6599429,-0.0568073958246638,-0.0697137678595451,-0.0450953322298293,1.0,0.0,False,False,178183129.56075743,177628446.42540503,-0.0031129946854102,1247281906.925302,1243399124.9778352,-0.0031129946854102,323324236.2392898,333659702.0682708,0.0319662576155651,3.0,4.0,-56539039.76685872,-38419100.72763793,0.0,15.0,27.0,0.05,True,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,1,1,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,301581705.2888302,0.0,8276,32,5000,0,-47174094.16847809,-28950418.164222717,834422178.6472346,787248084.4787565,-0.0565350435015482,-0.0692537573465269,-0.044991126427357,1.0,0.0,False,False,178183129.56075743,177520776.71471253,-0.0037172590226565,1247281906.925302,1242645437.002988,-0.0037172590226562,323324236.2392898,332717766.907755,0.0290529741219681,4.0,3.0,-56171245.010516845,-38301109.757500336,0.0,14.0,27.0,0.05,True,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,1,2,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,memory_ridge,True,modest_degradation,accuracy_costly_coherence,427789448.3116636,0.0,8279,32,5000,0,41509894.84440204,33942748.47314453,1062872941.5920458,1104382836.436448,0.0390544280694789,0.0184614831543869,0.0598223113692385,0.0,0.0,False,False,224063327.55073223,224063327.55073223,0.0,1568443292.8551257,1568443292.8551257,0.0,624311043.091988,624311043.091988,0.0,0.0,0.0,19247439.25287456,64021466.54903416,0.0,13.0,27.0,0.05,True,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,1,2,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,memory_ridge,True,accuracy_neutral,coherence_only,427789448.3116636,0.0,8279,32,5000,0,736093.168010057,10883609.504394531,1062872941.5920458,1063609034.760056,0.0006925504820053,-0.0131328921513749,0.0140617439555875,0.482,0.964,True,True,224063327.55073223,222852884.58402556,-0.0054022359657788,1568443292.8551257,1559970192.0881786,-0.0054022359657791,624311043.091988,597631222.4171896,-0.0427348209999022,3.0,4.0,-13657458.923187284,15012171.24748356,1.0,24.0,27.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,1,2,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,memory_ridge,True,accuracy_neutral,coherence_only,427789448.3116636,0.0,8279,32,5000,0,155157.00321908476,10054617.54624939,1062872941.5920458,1063028098.595265,0.0001459788815271,-0.0134944591586714,0.0133524131194026,0.5122,0.9756,True,True,224063327.55073223,221996840.72351244,-0.0092227802282901,1568443292.8551257,1553977885.064587,-0.0092227802282901,624311043.091988,594671676.1871946,-0.0474753205677738,3.0,4.0,-14057626.562836075,14294008.058854874,1.0,25.0,27.0,0.05,False,final-analysis-freeze-v1,,,,,,,,
memory_um,memory_level,ridge,8,0,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,464923296.3696819,0.0,8269,32,5000,0,-95690047.0932594,-115166473.11401369,1357156730.239117,1261466683.145857,-0.070507735003016,-0.0908807395038219,-0.0524412359699666,1.0,0.0,False,False,261400373.59635028,261400373.59635028,0.0,1829802615.174452,1829802615.174452,0.0,557653013.2877678,557653013.2877678,0.0,0.0,0.0,-117129622.43052045,-74051141.4374306,0.0,12.0,27.0,0.05,True,final-analysis-freeze-v1,,,,,,,,
