hierarchy,base_model,method,threshold,high_load_mae,precision,recall,f1,false_alarms_per_day,signed_bias,operational_class,lightgbm_seed_invariant,dlinear_peak_bias_all_seeds
cpu_core_weighted,ridge,bottom_up,q95,7.339100115963136,0.6699875501465585,0.5683506703733912,0.6141600392078919,38.31451750753772,-5.571628472910688,operationally_harmful,False,False
cpu_core_weighted,ridge,independent,q90,4.814660224036587,0.5667229158864429,0.698253216295694,0.6254948593000904,133.46274131182687,-2.931232214576232,n/a,False,False
cpu_core_weighted,ridge,independent,q95,7.435904530482499,0.6367192782532279,0.5727205610876234,0.6019338496723348,44.752881188546844,-5.3134474070893845,n/a,False,False
cpu_core_weighted,ridge,mint,q90,4.738670888859853,0.603680290148049,0.680891695229838,0.6395019333865589,112.00617452605164,-3.063900378267175,operationally_harmful,False,False
cpu_core_weighted,ridge,mint,q95,7.338168865368939,0.6664245583575242,0.5728869494522324,0.6155893182373245,39.09212464898198,-5.5020072124563075,operationally_harmful,False,False
cpu_core_weighted,ridge,wls,q90,4.7406055224513794,0.6003102355921383,0.6871993149957862,0.6405628532562962,114.80180495333363,-3.040925226362029,operationally_harmful,False,False
cpu_core_weighted,ridge,wls,q95,7.347207191740285,0.6671017409858171,0.5699906456119926,0.6141784271468423,38.81704481908272,-5.471616739201871,operationally_harmful,False,False
memory_um,dlinear,bottom_up,q90,3173489308.3432407,0.785162402307475,0.8696627998645305,0.8215719678164218,79.41985544637936,-2264391025.850543,operationally_harmful,False,True
memory_um,dlinear,bottom_up,q95,8132607855.468475,0.8106072676362984,0.6242915785271891,0.693704147749555,23.831546590679398,-7436206584.339569,operationally_harmful,False,True
memory_um,dlinear,independent,q90,3200168524.1706624,0.7980706740945327,0.8309094547901403,0.8083533283867106,66.01944903474875,-2077514953.6065068,n/a,False,True
memory_um,dlinear,independent,q95,7908507174.363103,0.7614198169417055,0.6496117170610358,0.6951119477069755,30.25502746570758,-6963131710.861919,n/a,False,True
memory_um,dlinear,mint,q90,3148807475.2569394,0.7961023315788918,0.8591772325078039,0.8227487815769007,71.18258647377945,-2199416150.880122,coherence_only,False,True
memory_um,dlinear,mint,q95,8019546139.71043,0.8047511658863507,0.6399175192538571,0.703891128114122,24.764800058152623,-7275653486.477555,operationally_harmful,False,True
memory_um,dlinear,wls,q90,3150959819.3772345,0.7958314211501233,0.8590593840010042,0.8225740287369159,71.26514240195034,-2203363120.0648746,coherence_only,False,True
memory_um,dlinear,wls,q95,8018686055.919186,0.8050719310865158,0.6398654729130475,0.7038480972757607,24.764956081410308,-7274186291.472782,operationally_harmful,False,True
memory_um,lightgbm,bottom_up,q90,3146826813.8994064,0.7006862800851699,0.9332101588614782,0.7871609932267771,182.2964115488932,-1862331377.4503024,operational_improvement,True,False
memory_um,lightgbm,bottom_up,q95,6824712485.218579,0.8138443356372169,0.7239379639482737,0.7583961931032646,24.37948151201683,-6005879682.383986,recall_focused_tradeoff,True,False
memory_um,lightgbm,independent,q90,3212753974.0054703,0.7001767617561939,0.9113446737684561,0.7812046172636635,166.75211290553165,-1691087919.157638,n/a,True,False
memory_um,lightgbm,independent,q95,7650966137.568481,0.7675833336887484,0.6982408260923315,0.7304302172492463,26.135961130735964,-6847344736.330503,n/a,True,False
memory_um,lightgbm,mint,q90,3048913291.654684,0.7060848192909559,0.9448044898738617,0.7969857986723403,176.0078984691871,-1816044120.7025614,operational_improvement,True,False
memory_um,lightgbm,mint,q95,6937495543.188353,0.8483051367988143,0.7235930891982169,0.7751023781069395,18.42241687695153,-6287119923.470782,operational_improvement,True,False
memory_um,lightgbm,wls,q90,3025580438.360972,0.703983758634426,0.9445035604946513,0.7953040757257087,177.13303270015348,-1793996692.4668365,operational_improvement,True,False
memory_um,lightgbm,wls,q95,6932014414.995346,0.8459604442327026,0.7232906896159376,0.774207571410201,18.39455322621078,-6302817271.998539,operational_improvement,True,False
