base_model,horizon,reconciliation_method,fold,mae_machine01_UD,mae_machine02_UD,mae_machine03_UD,mae_machine04_UD,mae_machine05_UD,mae_machine06_UD,mae_machine07_UD,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
lightgbm,8,independent,0,12231250026.28817,1873545451.2550023,28562121740.82122,47559010789.91258,2907443283.8711014,18551807.364136316,9403783742.183638,14650815263.099407,18004748538.963226,47559010789.91258,18551807.364136316,0,0,4449179814.664111
lightgbm,8,bottom_up,0,12231250026.28817,1873545451.2550023,28562121740.82122,47559010789.91258,2907443283.8711014,18551807.364136316,9403783742.183638,14650815263.099407,18004748538.963226,47559010789.91258,18551807.364136316,0,0,43004622472.60053
lightgbm,8,top_down,0,10157134926.67556,8516962478.911766,28851383021.813164,42234712430.94997,3570469099.4073734,974840897.5542942,10087843012.365816,14913335123.953993,18604297017.77084,42234712430.94997,974840897.5542942,2,5,4449179814.664111
lightgbm,8,wls,0,12321016057.795698,1874287498.4460924,28576889096.17886,45987921974.540855,2907969185.506344,18768422.401894826,9410796945.310677,14442521311.45435,17745577892.12672,45987921974.540855,18768422.401894826,1,6,28879511764.0786
lightgbm,8,mint,0,10940873064.587534,1874617099.928712,28555863951.684967,48343022437.34083,2905522356.3808823,18591702.134752396,9404692555.054285,14577597595.301712,17999239895.937576,48343022437.34083,18591702.134752396,3,4,34526854607.50546
persistence,8,independent,0,909633993.9455799,21521623.350828394,202814320.2263877,868765846.089249,19156156.354577336,4575569.824646269,22781029.66936752,292749791.3515194,304293568.0660312,909633993.9455799,4575569.824646269,0,0,1849506840.3956947
persistence,8,bottom_up,0,909633993.9455799,21521623.350828394,202814320.2263877,868765846.089249,19156156.354577336,4575569.824646269,22781029.66936752,292749791.3515194,304293568.0660312,909633993.9455799,4575569.824646269,0,0,1849506840.3956947
persistence,8,top_down,0,909633993.9455799,21521623.350828424,202814320.2263877,868765846.089249,19156156.35457739,4575569.824646269,22781029.66936752,292749791.3515194,304293568.0660312,909633993.9455799,4575569.824646269,0,2,1849506840.3956947
persistence,8,wls,0,909633993.9343011,21521623.35083033,202814320.22561577,868765846.0898902,19156156.354585513,4575569.824659111,22781029.66936838,292749791.3498929,304293568.06474817,909633993.9343011,4575569.824659111,2,5,1849506840.3727534
persistence,8,mint,0,909633993.9528482,21521623.35078515,202814320.22692874,868765846.0946286,19156156.35459253,4575569.8246690435,22781029.66937078,292749791.35340333,304293568.0678696,909633993.9528482,4575569.8246690435,1,6,1849506840.4040942
ridge,8,independent,0,1160141081.6520116,114307246.35830954,428072130.7544721,1611397409.5933774,22239634.96878701,6473381.670067464,23187578.661904965,480831209.09413284,530192133.31516415,1611397409.5933774,6473381.670067464,0,0,2193351964.750705
ridge,8,bottom_up,0,1160141081.6520116,114307246.35830954,428072130.7544721,1611397409.5933774,22239634.96878701,6473381.670067464,23187578.661904965,480831209.09413284,530192133.31516415,1611397409.5933774,6473381.670067464,0,0,2567950543.7629538
ridge,8,top_down,0,1210407789.460758,336885998.81841815,585924968.6548764,1549747806.3746977,117696433.52923362,34394212.36224533,252002328.37054572,583865648.2243965,657130462.9585057,1549747806.3746977,34394212.36224533,1,6,2193351964.750705
ridge,8,wls,0,1337768460.3592067,114385700.37044379,428583261.14136606,1525547243.937156,22278181.373706754,6474608.849623314,23223425.909430526,494037268.8487047,534780787.8250255,1525547243.937156,6474608.849623314,1,6,2290258401.122334
ridge,8,mint,0,1460459870.1061382,114398544.2342961,428837996.8243951,1580818383.192783,22276354.688427944,6478552.440038438,23264976.60878889,519504954.01355255,557870313.7943916,1580818383.192783,6478552.440038438,1,6,2262442828.4406447
lightgbm,1,independent,1,44262441030.79202,211160152.5087005,45596006843.33968,48861172452.56517,4966048618.475934,325746488.2248598,5520275246.151724,21391835833.151154,21881799446.64717,48861172452.56517,211160152.5087005,0,0,18083890978.96224
lightgbm,1,bottom_up,1,44262441030.79202,211160152.5087005,45596006843.33968,48861172452.56517,4966048618.475934,325746488.2248598,5520275246.151724,21391835833.151154,21881799446.64717,48861172452.56517,211160152.5087005,0,0,94122432845.91504
lightgbm,1,top_down,1,27420129899.918045,16539568664.483488,41892775178.92655,39759007474.421524,10548447038.551743,2045545026.7102296,18333626690.220257,22362728567.60455,24322345477.159695,41892775178.92655,2045545026.7102296,3,4,18083890978.96224
lightgbm,1,wls,1,25087600788.290833,203656139.55529013,44265690298.468285,15989957359.087957,5105448260.3242035,325777919.78229403,5804017429.897189,13826021170.772291,15824578608.07149,44265690298.468285,203656139.55529013,4,3,23095279690.320396
lightgbm,1,mint,1,31150402327.511086,249286307.37523833,45203892460.23331,25677464483.103493,4963712211.418595,325435051.21600366,5379791982.858408,16135712117.673733,17725112905.607803,45203892460.23331,249286307.37523833,6,1,17555182589.959538
persistence,1,independent,1,260464576.1546641,19303459.63460609,202794375.980667,735652275.5340744,18995084.18753021,4383742.020299662,26855856.564523924,181207052.8680522,148032072.2609138,735652275.5340744,4383742.020299662,0,0,1145989203.1474142
persistence,1,bottom_up,1,260464576.1546641,19303459.63460609,202794375.980667,735652275.5340744,18995084.18753021,4383742.020299662,26855856.564523924,181207052.8680522,148032072.2609138,735652275.5340744,4383742.020299662,0,0,1145989203.1474142
persistence,1,top_down,1,260464576.15466416,19303459.634606063,202794375.98066723,735652275.5340747,18995084.18753021,4383742.020299662,26855856.564523924,181207052.86805227,148032072.26091385,735652275.5340747,4383742.020299662,1,3,1145989203.1474142
persistence,1,wls,1,260464576.26065382,19303459.634204082,202794375.9807545,735652275.5614505,18995084.187565945,4383742.0203236835,26855856.564528782,181207052.88706875,148032072.28331193,735652275.5614505,4383742.0203236835,1,6,1145989203.0952287
persistence,1,mint,1,260464576.32382718,19303459.634836394,202794375.98063293,735652275.6705084,18995084.18753262,4383742.020525348,26855856.564523224,181207052.91176945,148032072.30285522,735652275.6705084,4383742.020525348,2,5,1145989203.3319764
ridge,1,independent,1,450718161.5130239,21964873.472476047,396436185.80362844,1248709160.4885256,21684985.348035213,6544961.549730066,27168139.47788461,310460923.950472,255415638.41666982,1248709160.4885256,6544961.549730066,0,0,1279428400.7528424
ridge,1,bottom_up,1,450718161.5130239,21964873.472476047,396436185.80362844,1248709160.4885256,21684985.348035213,6544961.549730066,27168139.47788461,310460923.950472,255415638.41666982,1248709160.4885256,6544961.549730066,0,0,1656815160.1890473
ridge,1,top_down,1,540019413.568009,198883559.52496487,482430632.2413191,1221622379.3939183,78183610.51590577,22481654.80853591,157382798.81416395,385857721.2666882,360839596.4154891,1221622379.3939183,22481654.80853591,1,6,1279428400.7528424
ridge,1,wls,1,490578197.2572749,22135482.529574197,396387989.3187899,1118122971.0513027,21686136.475743495,6545196.303808879,27164011.250132598,297517140.5980895,254755908.60820135,1118122971.0513027,6545196.303808879,3,4,1397710404.0770745
ridge,1,mint,1,496718216.94795996,22368180.061452482,396399337.28761524,1090556477.9686372,21694030.651810024,6544526.821643586,27158207.611568965,294491282.47866964,254223351.28501537,1090556477.9686372,6544526.821643586,4,3,1338232393.5124042
lightgbm,8,independent,1,45134773971.99689,183047830.82804057,45876980225.39038,22654724930.38357,4965700350.566383,323124586.2319272,5517072634.447251,17807917789.977776,20397993175.748077,45876980225.39038,183047830.82804057,0,0,18077746876.05507
lightgbm,8,bottom_up,1,45134773971.99689,183047830.82804057,45876980225.39038,22654724930.38357,4965700350.566383,323124586.2319272,5517072634.447251,17807917789.977776,20397993175.748077,45876980225.39038,183047830.82804057,0,0,43981392728.86042
lightgbm,8,top_down,1,42628602234.81385,6325634895.767106,43223665505.66518,23026463148.303783,5806045179.775424,748638038.9523972,7785161610.016351,18506315801.899155,21449516043.30085,43223665505.66518,748638038.9523972,2,5,18077746876.05507
lightgbm,8,wls,1,40012584740.99428,182341481.19312194,44853042331.44752,25130675483.507202,4996131405.348421,323131407.6364553,5579084560.257165,17296713058.62631,19383367827.39992,44853042331.44752,182341481.19312194,3,4,20300018473.594658
lightgbm,8,mint,1,39891115112.04898,217586339.44756478,45777282658.26294,25858180768.54071,4972038659.552811,323377347.1846935,5486088763.2648,17503667092.614643,19566265162.43721,45777282658.26294,217586339.44756478,3,4,19777902161.688183
persistence,8,independent,1,260680255.34212118,19314432.154795017,202957528.65110654,736274221.7264482,18990007.55593179,4383387.72378764,26869942.28661265,181352825.06297186,148148770.58089188,736274221.7264482,4383387.72378764,0,0,1146936385.5092514
persistence,8,bottom_up,1,260680255.34212118,19314432.154795017,202957528.65110654,736274221.7264482,18990007.55593179,4383387.72378764,26869942.28661265,181352825.06297186,148148770.58089188,736274221.7264482,4383387.72378764,0,0,1146936385.5092514
persistence,8,top_down,1,260680255.34212124,19314432.154794987,202957528.65110675,736274221.7264484,18990007.55593179,4383387.72378764,26869942.28661265,181352825.06297192,148148770.58089194,736274221.7264484,4383387.72378764,1,3,1146936385.5092514
persistence,8,wls,1,260680255.40946957,19314432.15463384,202957528.65126085,736274221.7355452,18990007.555950247,4383387.723791753,26869942.286615312,181352825.07389525,148148770.59462363,736274221.7355452,4383387.723791753,1,6,1146936385.5070114
persistence,8,mint,1,260680255.66781718,19314432.15475811,202957528.6511999,736274221.7386197,18990007.55593804,4383387.7239929745,26869942.28660209,181352825.1112754,148148770.64528307,736274221.7386197,4383387.7239929745,2,5,1146936385.6429186
ridge,8,independent,1,451007417.3878842,21985172.323125646,396606540.1474798,1149942873.2286425,21678146.381086156,6547456.380360323,27179815.817977805,296421060.2380795,249104572.59599468,1149942873.2286425,6547456.380360323,0,0,1279285563.5138888
ridge,8,bottom_up,1,451007417.3878842,21985172.323125646,396606540.1474798,1149942873.2286425,21678146.381086156,6547456.380360323,27179815.817977805,296421060.2380795,249104572.59599468,1149942873.2286425,6547456.380360323,0,0,1566434317.7987077
ridge,8,top_down,1,521460549.5217623,177442491.57750043,473380773.12853295,1129736011.417642,71687622.74509814,20445546.879511837,140826070.82516372,362139866.5850302,340509842.76126516,1129736011.417642,20445546.879511837,1,6,1279285563.5138888
ridge,8,wls,1,480894732.9061358,22128083.4272277,396559833.2227121,1059968503.1831696,21678959.4930707,6547658.281227097,27176506.099939547,287850610.9447832,249126856.40797767,1059968503.1831696,6547658.281227097,3,4,1355230405.93415
ridge,8,mint,1,485555001.26524746,22331167.09993464,396571696.796995,1046722167.7574106,21685691.767307527,6547130.452295117,27172324.213577766,286655025.62182397,249227888.08997977,1046722167.7574106,6547130.452295117,4,3,1312941060.8049736
lightgbm,1,independent,2,16712194461.088768,246264316.130381,20369080262.314747,22164990595.255592,6332824145.093097,261930497.3634,15549803936.547054,11662441173.399006,11942012518.868404,22164990595.255592,246264316.130381,0,0,4597961917.660613
lightgbm,1,bottom_up,2,16712194461.088768,246264316.130381,20369080262.314747,22164990595.255592,6332824145.093097,261930497.3634,15549803936.547054,11662441173.399006,11942012518.868404,22164990595.255592,246264316.130381,0,0,34093606891.08089
lightgbm,1,top_down,2,9148473688.236643,8155404533.836588,16278987466.736565,21027918244.945923,9521214825.295925,1148781064.5890043,22474357740.23336,12536448223.410574,13405476433.187193,22474357740.23336,1148781064.5890043,3,4,4597961917.660613
lightgbm,1,wls,2,9424243222.29286,253460897.06689957,13186112009.69876,21907011200.34269,6333371081.515791,262018853.60571986,15550527182.348553,9559534920.981611,9520842098.381027,21907011200.34269,253460897.06689957,3,4,14683576595.957306
lightgbm,1,mint,2,10158723051.270502,316764312.27100337,25063263126.837677,21918301092.095936,6341000011.042695,255857331.01557672,15540080736.483189,11370569951.573795,10877219486.727343,25063263126.837677,255857331.01557672,4,3,18952387884.97485
