hierarchy,seed,fold,horizon,reconciliation_method,top_mae_report,pct_vs_independent,coherence_error_before,coherence_error_after,bottom_mae_mean_native,worst_machine_mae_native,improved_machine_count,degraded_machine_count
cpu_core_weighted,2,1,16,bottom_up,0.9440487163279161,-8.228447195611677,106.0223651684782,0.0,44.72407949534523,94.29263305859165,0,0
cpu_core_weighted,2,1,16,wls,0.9512840295659024,-7.525097972852368,106.0223651684782,0.0,45.21263226449172,95.5970846415178,2,5
cpu_core_weighted,2,1,16,mint,0.9499113174445812,-7.658540157295002,106.0223651684782,0.0,45.11151981300561,95.8166420802188,1,6
cpu_core_weighted,0,2,1,bottom_up,1.3226841038486563,-5.125840226808098,124.60568283901921,0.0,63.22569521497911,150.7585682201692,0,0
cpu_core_weighted,0,2,1,wls,1.3213183017515375,-5.223807175986339,124.60568283901921,0.0,64.20429717889296,155.44017998861773,2,5
cpu_core_weighted,0,2,1,mint,1.3182733206679043,-5.442219131641046,124.60568283901921,0.0,63.84487173325194,154.6600122395186,1,6
cpu_core_weighted,1,2,1,bottom_up,1.3220225604466844,-4.545843047074949,138.2509999715413,0.0,63.320797789015785,155.12240017625268,0,0
cpu_core_weighted,1,2,1,wls,1.3070506415492051,-5.626862342119043,138.2509999715413,0.0,63.93613534200709,156.94329709469804,0,7
cpu_core_weighted,1,2,1,mint,1.3069356149588696,-5.635167621118164,138.2509999715413,0.0,63.5074648047771,155.73398879600268,2,5
cpu_core_weighted,2,2,1,bottom_up,1.295761435674019,-6.087936371465641,126.33134156577192,0.0,62.20662377799312,149.13282731333496,0,0
cpu_core_weighted,2,2,1,wls,1.2971269129392664,-5.98897155874104,126.33134156577192,0.0,63.52712324482182,154.75017291321132,0,7
cpu_core_weighted,2,2,1,mint,1.2929018380128785,-6.295189581903527,126.33134156577192,0.0,63.00141961150806,153.31063610239187,2,5
cpu_core_weighted,0,2,8,bottom_up,1.3354103179855858,-3.6919452723810253,116.15117033739223,0.0,63.77222898025813,156.44491276040517,0,0
cpu_core_weighted,0,2,8,wls,1.3295779097029379,-4.112570969602225,116.15117033739223,0.0,64.28056045954611,158.0577975886354,0,7
cpu_core_weighted,0,2,8,mint,1.3281562939660692,-4.21509604698409,116.15117033739223,0.0,64.04506340227724,157.44406128557924,2,5
cpu_core_weighted,1,2,8,bottom_up,1.32637457986404,-5.082701945089574,139.56526715854037,0.0,63.74874570076721,154.29408994363766,0,0
cpu_core_weighted,1,2,8,wls,1.3172025973847217,-5.739062378982329,139.56526715854037,0.0,64.08364182059152,154.94261102965615,0,7
cpu_core_weighted,1,2,8,mint,1.3153741356553086,-5.8699097652240795,139.56526715854037,0.0,63.778861879064145,154.0336212669247,4,3
cpu_core_weighted,2,2,8,bottom_up,1.337145667620345,-4.3172136201092055,112.70866205612187,0.0,64.13732381077826,157.5199886703186,0,0
cpu_core_weighted,2,2,8,wls,1.3356741586598477,-4.422511106338911,112.70866205612187,0.0,64.53738023954428,159.59354045525356,3,4
cpu_core_weighted,2,2,8,mint,1.3333655910441014,-4.587706408070035,112.70866205612187,0.0,64.3592539375932,159.04722176907308,2,5
cpu_core_weighted,0,2,16,bottom_up,1.3255570504160183,-4.3752970629491905,122.93967073314612,0.0,63.51815127561507,153.45861696885254,0,0
cpu_core_weighted,0,2,16,wls,1.3202023555469584,-4.7615807811880355,122.93967073314612,0.0,64.3336359357783,156.8675530705043,2,5
cpu_core_weighted,0,2,16,mint,1.318452391754572,-4.887821871863851,122.93967073314612,0.0,64.04428454893124,155.95752971009412,1,6
cpu_core_weighted,1,2,16,bottom_up,1.3409944288012663,-4.189077109265716,131.23143536126213,0.0,64.66712273073922,158.34828254847045,0,0
cpu_core_weighted,1,2,16,wls,1.3321357981229187,-4.822005600698276,131.23143536126213,0.0,65.15960507221355,159.57062794827934,0,7
cpu_core_weighted,1,2,16,mint,1.3307078769705418,-4.92402723515556,131.23143536126213,0.0,64.86250731432527,158.68820819986067,2,5
cpu_core_weighted,2,2,16,bottom_up,1.3321438927786557,-5.210256935790591,125.8575172185747,0.0,64.30874352456422,157.30466098154338,0,0
cpu_core_weighted,2,2,16,wls,1.3314474004157957,-5.259816395905659,125.8575172185747,0.0,65.03383213062241,159.4679244731335,1,6
cpu_core_weighted,2,2,16,mint,1.328390000944453,-5.477368052227661,125.8575172185747,0.0,64.68917082989252,158.64056879237324,3,4
memory_um,0,0,1,bottom_up,1294588434.3318505,0.4358686282181168,405896187.47104925,0.0,269954482.4285871,548074446.1739744,0,0
memory_um,0,0,1,wls,1272621477.3740215,-1.268356702913398,405896187.47104925,0.0,270074328.9517489,542870484.0337868,6,1
memory_um,0,0,1,mint,1274651157.037978,-1.1108914925960334,405896187.47104925,0.0,269953063.9497292,542670741.6845521,5,2
memory_um,1,0,1,bottom_up,1282500335.0896914,-4.408193134062444,426205990.1625042,0.0,264245860.49027228,541758771.6260396,0,0
memory_um,1,0,1,wls,1280308331.775755,-4.571575202434897,426205990.1625042,0.0,265352635.05906487,536180576.8654831,4,3
memory_um,1,0,1,mint,1279143676.6099043,-4.658383360400508,426205990.1625042,0.0,264795973.83420643,536044959.39582336,3,4
memory_um,2,0,1,bottom_up,1337857115.53044,-0.3170467006091804,456945698.1447493,0.0,276028853.1048942,582996303.4642822,0,0
memory_um,2,0,1,wls,1316841627.8783777,-1.882898427124735,456945698.1447493,0.0,276465658.71839315,572128364.1761534,5,2
memory_um,2,0,1,mint,1317886610.2539024,-1.8050373998678593,456945698.1447493,0.0,276387067.07622766,572429049.639058,5,2
memory_um,0,0,8,bottom_up,1250599025.5425317,-7.4674854192133715,411277892.719184,0.0,262265333.2811841,549070948.1062276,0,0
memory_um,0,0,8,wls,1273168433.9610877,-5.797562389596611,411277892.719184,0.0,267428650.15255406,548077883.7986716,2,5
memory_um,0,0,8,mint,1266422328.8764336,-6.296710441338027,411277892.719184,0.0,265909607.69162026,547584167.8624038,2,5
memory_um,1,0,8,bottom_up,1254704821.655651,-8.317882081859773,456630295.9656225,0.0,261477840.0220318,538458799.1598111,0,0
memory_um,1,0,8,wls,1278375137.7857482,-6.588276299572593,456630295.9656225,0.0,266933020.69205505,537366969.0456254,2,5
memory_um,1,0,8,mint,1271154575.830348,-7.115887576109092,456630295.9656225,0.0,264803860.66946608,536514221.7790895,2,5
memory_um,2,0,8,bottom_up,1380891951.8403738,-13.732412204455112,584748972.1732961,0.0,285563403.2984485,626750212.5034381,0,0
memory_um,2,0,8,wls,1438352225.063982,-10.142732969619061,584748972.1732961,0.0,294643206.0164741,624935716.3642815,2,5
memory_um,2,0,8,mint,1416321050.0157015,-11.519072606607727,584748972.1732961,0.0,290380603.96926105,624035576.6673926,2,5
memory_um,0,0,16,bottom_up,1245082125.597914,-7.76700563064765,414229236.4238867,0.0,261870716.21953335,545422081.7846897,0,0
memory_um,0,0,16,wls,1268714690.5064023,-6.016356270798218,414229236.4238867,0.0,267048263.310882,544432314.8144474,2,5
memory_um,0,0,16,mint,1262612695.8106487,-6.46837885697501,414229236.4238867,0.0,265480675.08017918,543836456.1874857,3,4
memory_um,1,0,16,bottom_up,1291864173.4255064,-4.409796674785471,402989375.0767776,0.0,269502207.8212699,545271805.048463,0,0
memory_um,1,0,16,wls,1296714082.035089,-4.05093251581633,402989375.0767776,0.0,273954613.8425022,544420786.317712,5,2
memory_um,1,0,16,mint,1293806896.8056438,-4.266046792458777,402989375.0767776,0.0,273012392.91177285,543877932.2849722,5,2
memory_um,2,0,16,bottom_up,1400298306.5383697,0.48807323196857766,529072246.86218697,0.0,289102414.74909085,648985888.4730203,0,0
memory_um,2,0,16,wls,1367547069.698006,-1.8622178957753865,529072246.86218697,0.0,295114074.12328154,647135222.6945975,4,3
