hierarchy,seed,fold,horizon,finite_pred_pct,negative_pred_pct,pct_above_100_cpu_report,y_min,y_median,y_max,p_min,p_median,p_max,y_range,p_range,pred_to_target_range_ratio,scaled_space_mae,inverse_transformed_mae,median_pred_over_target,q90_mae,q95_mae,early_stop_epoch,training_batches_completed,timeout_status
cpu_core_weighted,1,1,1,100.0,0.057023379585630106,0.0,413.86666667337215,582.4000000053396,7688.533333291612,-870.5560471422583,640.8627406012472,6768.760592654829,7274.666666618239,7639.316639797088,1.0501260043779248,unavailable_in_frozen_pack_metrics,242.64833231768654,1.1003824529453496,1123.4409077857636,1750.9840240544584,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,2,1,1,100.0,0.057023379585630106,0.0,413.86666667337215,582.4000000053396,7688.533333291612,-843.8702126662964,640.6519405298782,6856.273545538639,7274.666666618239,7700.143758204936,1.05848750342598,unavailable_in_frozen_pack_metrics,243.01432729285253,1.1000205022733593,1123.008628542686,1745.175762104834,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,0,1,8,100.0,0.020929259104227712,0.0,413.86666667337215,583.8333333361272,7688.533333291612,-478.79500712555125,647.305143063096,6454.531521160767,7274.666666618239,6933.326528286318,0.9530782434474624,unavailable_in_frozen_pack_metrics,243.9535971298482,1.1087156318469855,1122.3872786190955,1748.4732692576179,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,1,1,8,100.0,0.020929259104227712,0.0,413.86666667337215,583.8333333361272,7688.533333291612,-463.8979525600108,638.2707253885897,6466.377603863524,7274.666666618239,6930.275556423535,0.9526588466554715,unavailable_in_frozen_pack_metrics,244.75094393649138,1.093241322384588,1120.2278880668764,1739.515426111564,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,2,1,8,100.0,0.020929259104227712,0.0,413.86666667337215,583.8333333361272,7688.533333291612,-381.30262328062565,653.0902228411862,6260.994578501631,7274.666666618239,6642.297201782257,0.9130723792833314,unavailable_in_frozen_pack_metrics,245.29954034929168,1.1186244182210578,1132.3595875917188,1767.4142165939759,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,0,1,16,100.0,0.0463284688441047,0.0,413.86666667337215,583.866666664059,7688.533333291612,-699.4716642408747,640.3080640275955,6778.928906496699,7274.666666618239,7478.400570737574,1.0280059435649778,unavailable_in_frozen_pack_metrics,244.70470965909868,1.096668298750494,1092.7931980486642,1704.5617360231581,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,1,1,16,100.0,0.02316423442205235,0.0,413.86666667337215,583.866666664059,7688.533333291612,-460.7219269480696,638.953370260804,6453.2081886011565,7274.666666618239,6913.930115549226,0.9504119477082916,unavailable_in_frozen_pack_metrics,244.18648099606082,1.094348087914463,1095.3188626958442,1715.3278202735498,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,2,1,16,100.0,0.02316423442205235,0.0,413.86666667337215,583.866666664059,7688.533333291612,-360.132439950116,630.7565680003572,6365.977681555631,7274.666666618239,6726.110121505747,0.9245935834242838,unavailable_in_frozen_pack_metrics,242.7718505845469,1.0803092623941097,1098.3885396165201,1722.6435505458494,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,0,2,1,100.0,0.020610057708161583,0.0,424.80000000136596,614.6666666710128,8628.866666682687,-498.23716175032644,667.3868535284971,6663.5230792562115,8204.066666681321,7161.760241006538,0.872952467596608,unavailable_in_frozen_pack_metrics,329.0184063337407,1.085770369073392,1244.9126134783248,1905.6196944139783,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,1,2,1,100.0,0.08244023083264633,0.0,424.80000000136596,614.6666666710128,8628.866666682687,-673.8253560795853,659.4021621513739,7262.392939886269,8204.066666681321,7936.218295965855,0.9673517559525372,unavailable_in_frozen_pack_metrics,326.85567001475346,1.0727800902603766,1217.2734567145683,1845.8356287023284,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
