base_model,horizon,fold,method,outcome,rel_mae_change,top_mae_ind,top_mae_method,macro_ind,macro_method,macro_rel_change,worst_ind,worst_method,worst_rel_change,coh_ind,coh_method,coh_before
persistence,8,2,wls,tie,-2.085869389474139e-13,1043003720.7891682,1043003720.7889507,191036776.90411717,191036776.90459737,2.5136773579149794e-12,451769564.84332687,451769564.84187067,-3.2233270893593224e-12,0.0,0.0,0.0
persistence,16,0,wls,tie,-1.0386678354977094e-14,1285438902.927975,1285438902.9279616,227277894.74342436,227277894.7426948,-3.209994763786367e-12,426683283.0427309,426683283.0425798,-3.541216178616571e-13,0.0,0.0,0.0
persistence,16,1,wls,tie,2.3729647057187927e-13,844976853.3901465,844976853.390347,157471415.92404935,157471415.9286682,2.933137613266855e-11,271934026.06367266,271934026.0956686,1.1766071569827102e-10,0.0,0.0,0.0
persistence,16,2,wls,tie,-2.7731241426214243e-13,1043733133.2584704,1043733133.258181,191170063.50656894,191170063.50714126,2.993794052454425e-12,452192737.76573086,452192737.7677998,4.575342883702935e-12,0.0,0.0,0.0
ridge,1,0,wls,win,-0.06345114148983035,1358694507.6124406,1272483790.1684682,261733944.41832024,262021246.0064301,0.0010976856240345607,559235518.7529912,545227534.6865411,-0.025048452032670886,465104157.5826315,0.0,465104157.5826315
ridge,1,1,wls,win,-0.056807395824663695,834422178.6472346,787020827.6599429,178183129.56075722,177628446.42540455,-0.0031129946854117534,323324236.2392891,333659702.0682692,0.03196625761556245,301581705.2888302,0.0,301581705.2888302
ridge,1,2,wls,loss,0.0006925504820055563,1062872941.5920458,1063609034.760056,224063327.55073184,222852884.5840256,-0.005402235965777045,624311043.0919858,597631222.4171891,-0.04273482099989973,427789448.31166357,0.0,427789448.31166357
ridge,8,0,wls,win,-0.058771758067302976,1357156730.2391167,1277394243.2300913,261400373.5963501,267470159.40056887,0.023220264457585002,557653013.287769,556351577.2994949,-0.0023337737934942524,464923296.3696819,0.0,464923296.3696819
ridge,8,1,wls,win,-0.05670884939712602,835005834.3233938,787653614.2190269,178261117.22330353,177698230.19479868,-0.003157654553458975,323284304.3208599,333630435.66114074,0.03200319719206748,301967643.2167778,0.0,301967643.2167778
ridge,8,2,wls,loss,0.0007408966342761658,1063739741.8137753,1064527863.0082309,224244437.99396488,223031947.13097054,-0.00540700529226493,624820134.8466765,598099219.7586842,-0.0427657714560516,428265056.35127103,0.0,428265056.35127103
ridge,16,0,wls,win,-0.05905926091040695,1353419666.8608923,1273487701.6344788,260710830.93452504,266823319.9246361,0.02344547393064059,556011047.6539077,554703099.8890121,-0.002352377296124695,464949215.46992654,0.0,464949215.46992654
ridge,16,1,wls,win,-0.05692954711877022,835539072.0094448,787972211.0399096,178285454.22070652,177692845.99600843,-0.003323929185857662,323099011.5389217,333151279.2355276,0.03111203481783146,301682596.29424995,0.0,301682596.29424995
ridge,16,2,wls,loss,0.0007711106318048155,1065098498.0995754,1065919806.8753793,224455614.59220654,223245201.7651642,-0.005392660055492186,625552604.2462171,598803485.1918505,-0.042760782822731484,428885072.4161675,0.0,428885072.4161675
lightgbm,1,0,wls,loss,0.010932237698852616,1848635679.4026902,1868845404.0685003,506790526.9619207,522887013.1767534,0.031761616207246476,1186296378.234332,1185538040.141952,-0.0006392484258518494,1491534985.8369813,0.0,1491534985.8369813
