base_model,horizon,reconciliation_method,nonnegative,fold,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
lightgbm,8,mint,False,0,930336954.0663846,558594845.1512213,478937782.42490375,446499065.84697336,108610352.71515705,10782417.83497982,1165246761.1729977,528429739.88751686,490808386.789528,1165246761.1729977,10782417.83497982,4,3,1758572960.419478
lightgbm,8,mint,True,0,930336954.0663846,558594845.1512213,478937782.42490375,446499065.84697336,108610352.71515705,10782417.83497982,1165246761.1729977,528429739.88751686,490808386.789528,1165246761.1729977,10782417.83497982,4,3,1758572960.419478
lightgbm,8,ols,False,0,841945910.9564407,491413720.55106604,580211950.226969,547332617.2218348,209206820.3750965,222027464.3273966,1079187099.7341795,567332226.1989976,548586254.3916887,1079187099.7341795,209206820.3750965,2,5,1440844663.2613654
lightgbm,8,ols,True,0,841945910.9564407,491413720.55106604,580211950.226969,547332617.2218348,209206820.3750965,222027464.3273966,1079187099.7341795,567332226.1989976,548586254.3916887,1079187099.7341795,209206820.3750965,2,5,1440844663.2613654
persistence,8,independent,False,0,426663790.3688475,161642103.9351796,417612361.4966743,427958992.2302576,65407610.78340791,5846095.6265570205,92086887.71266174,228173977.45051223,187733491.3794842,427958992.2302576,5846095.6265570205,0,0,1291570370.298706
persistence,8,independent,True,0,426663790.3688475,161642103.9351796,417612361.4966743,427958992.2302576,65407610.78340791,5846095.6265570205,92086887.71266174,228173977.45051223,187733491.3794842,427958992.2302576,5846095.6265570205,0,0,1291570370.298706
persistence,8,bottom_up,False,0,426663790.3688475,161642103.9351796,417612361.4966743,427958992.2302576,65407610.78340791,5846095.6265570205,92086887.71266174,228173977.45051223,187733491.3794842,427958992.2302576,5846095.6265570205,0,0,1291570370.298706
persistence,8,bottom_up,True,0,426663790.3688475,161642103.9351796,417612361.4966743,427958992.2302576,65407610.78340791,5846095.6265570205,92086887.71266174,228173977.45051223,187733491.3794842,427958992.2302576,5846095.6265570205,0,0,1291570370.298706
persistence,8,wls,False,0,426663790.3726682,161642103.93536878,417612361.4967632,427958992.2302296,65407610.78343041,5846095.626556834,92086887.7126949,228173977.45110172,187733491.38009408,427958992.2302296,5846095.626556834,2,5,1291570370.298315
persistence,8,wls,True,0,426663790.3726682,161642103.93536878,417612361.4967632,427958992.2302296,65407610.78343041,5846095.626556834,92086887.7126949,228173977.45110172,187733491.38009408,427958992.2302296,5846095.626556834,2,5,1291570370.298315
persistence,8,mint,False,0,426663790.3720701,161642103.93517458,417612361.4966733,427958992.2301779,65407610.783408955,5846095.626557174,92086887.71265996,228173977.45096022,187733491.37995985,427958992.2301779,5846095.626557174,4,3,1291570370.2984016
persistence,8,mint,True,0,426663790.3720701,161642103.93517458,417612361.4966733,427958992.2301779,65407610.783408955,5846095.626557174,92086887.71265996,228173977.45096022,187733491.37995985,427958992.2301779,5846095.626557174,4,3,1291570370.2984016
persistence,8,ols,False,0,426663790.3688501,161642103.93517905,417612361.4966689,427958992.2302577,65407610.783407,5846095.626556955,92086887.71266074,228173977.4505115,187733491.37948352,427958992.2302577,5846095.626556955,5,2,1291570370.298708
persistence,8,ols,True,0,426663790.3688501,161642103.93517905,417612361.4966689,427958992.2302577,65407610.783407,5846095.626556955,92086887.71266074,228173977.4505115,187733491.37948352,427958992.2302577,5846095.626556955,5,2,1291570370.298708
ridge,8,independent,False,0,431163893.7949427,230397636.25375345,557653013.287769,437759790.78111535,60780431.19393819,5207752.958309645,106840096.90462239,261400373.5963501,217818747.40955713,557653013.287769,5207752.958309645,0,0,1357156730.2391167
ridge,8,independent,True,0,431163893.7949427,230397636.25375345,557653013.287769,437759790.78111535,60780431.19393819,5207752.958309645,106840096.90462239,261400373.5963501,217818747.40955713,557653013.287769,5207752.958309645,0,0,1261466683.1458573
ridge,8,bottom_up,False,0,431163893.7949427,230397636.25375345,557653013.287769,437759790.78111535,60780431.19393819,5207752.958309645,106840096.90462239,261400373.5963501,217818747.40955713,557653013.287769,5207752.958309645,0,0,1261466683.1458573
ridge,8,bottom_up,True,0,431163893.7949427,230397636.25375345,557653013.287769,437759790.78111535,60780431.19393819,5207752.958309645,106840096.90462239,261400373.5963501,217818747.40955713,557653013.287769,5207752.958309645,0,0,1261466683.1458573
ridge,8,wls,False,0,473654566.56299806,234322070.64924428,556351577.2994949,434037353.19286084,60855120.45087837,5208172.669663764,107862254.97884169,267470159.40056887,224369680.90469652,556351577.2994949,5208172.669663764,2,5,1277394243.2300913
ridge,8,wls,True,0,473654566.56299806,234322070.64924428,556351577.2994949,434037353.19286084,60855120.45087837,5208172.669663764,107862254.97884169,267470159.40056887,224369680.90469652,556351577.2994949,5208172.669663764,2,5,1277394243.2300913
ridge,8,mint,False,0,467316291.3261257,232429231.82581887,555259558.2555041,432923740.0273451,60796051.67316767,5211327.171196251,107195004.47570185,265875886.39355138,222876767.92479283,555259558.2555041,5211327.171196251,2,5,1273086565.0781949
ridge,8,mint,True,0,467316291.3261257,232429231.82581887,555259558.2555041,432923740.0273451,60796051.67316767,5211327.171196251,107195004.47570185,265875886.39355138,222876767.92479283,555259558.2555041,5211327.171196251,2,5,1273086565.0781949
ridge,8,ols,False,0,455883087.6727173,250188557.69855043,544439867.5625129,431531494.8241192,91338054.46748866,59038792.86299909,135426591.93077826,281120921.002738,244738298.6074246,544439867.5625129,59038792.86299909,2,5,1334852101.8108466
ridge,8,ols,True,0,455883087.6727173,250188557.69855043,544439867.5625129,431531494.8241192,91338054.46748866,59038792.86299909,135426591.93077826,281120921.002738,244738298.6074246,544439867.5625129,59038792.86299909,2,5,1334852101.8108466
lightgbm,16,independent,False,1,923669854.1910511,117493174.25663477,320447553.3175338,229216803.1465906,59005406.13249794,16365935.181800306,190412575.41186672,265230185.9482822,251893111.30323818,923669854.1910511,16365935.181800306,0,0,1348125215.317614
