fold,horizon,reconciliation_method,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
2,16,wls,280534114.12252593,116461853.83404443,600080413.7275304,363147679.84690046,56003152.34630438,4607454.501240323,167532559.43452334,226909603.9732956,191513171.42209607,600080413.7275304,4607454.501240323,4,3,1065327935.1031616
2,16,mint,278078912.02209604,116428414.82956123,596211151.2072144,363241001.0698871,56009196.54023494,4607378.905855315,167525448.23200363,226014500.40097898,190620467.1245153,596211151.2072144,4607378.905855315,5,2,1063840218.9395489
2,1,independent,262446604.97114608,88893739.79892877,616887912.2037297,363097950.176005,55539573.28858106,4591495.270878508,165431884.25619707,222412737.13792375,187615647.80681637,616887912.2037297,4591495.270878508,0,0,1048733686.1079497
2,1,bottom_up,262446604.97114608,88893739.79892877,616887912.2037297,363097950.176005,55539573.28858106,4591495.270878508,165431884.25619707,222412737.13792375,187615647.80681637,616887912.2037297,4591495.270878508,0,0,1087821698.7668452
2,1,wls,283071648.5075403,88889896.1667454,587208850.1702096,360436896.49934244,55545829.29013003,4591548.577071637,165407252.68777627,220735988.842688,186601676.11529955,587208850.1702096,4591548.577071637,4,3,1045026092.8781725
2,1,mint,279660478.71818876,88892690.57116225,583648941.2473478,360488148.1057413,55550505.73479667,4591583.08589966,165397793.57145524,219747163.00494167,185605564.0183649,583648941.2473478,4591583.08589966,4,3,1044144042.2036036
2,8,independent,267291185.6391291,118356204.63658413,604648543.99596,367805728.67494065,56429507.63417927,4594118.089569029,167352341.8718603,226639661.50603178,190606969.09167227,604648543.99596,4594118.089569029,0,0,1047041227.013701
2,8,bottom_up,267291185.6391291,118356204.63658413,604648543.99596,367805728.67494065,56429507.63417927,4594118.089569029,167352341.8718603,226639661.50603178,190606969.09167227,604648543.99596,4594118.089569029,0,0,1102962664.1543586
2,8,wls,282321533.1283737,118296655.34845456,578887060.3866627,365647897.1683627,56436852.376921386,4594127.940978094,167235675.10897702,224774257.35124716,189277168.2724499,578887060.3866627,4594127.940978094,4,3,1057524495.8382838
2,8,mint,280378671.4284435,118254486.97010532,576032849.123813,365784785.4968818,56445982.63654783,4594149.862481451,167235180.42752495,224103729.42082828,188602120.08518878,576032849.123813,4594149.862481451,4,3,1055903452.2580509
