hierarchy,base_model,horizon,method,n_folds,wins,ties,losses,mean_rel,best_fold_rel,worst_fold_rel,fold_consistency,fold_rels
memory_um,lightgbm,16,mint,3,1,0,2,-0.0037717796823659353,-0.1091526852241446,0.0926924825850403,mixed,0.0926925;0.00514486;-0.109153
memory_um,lightgbm,16,wls,3,1,0,2,-0.0124287583534788,-0.1036707549222403,0.0612851744595622,mixed,0.0612852;0.00509931;-0.103671
memory_um,persistence,1,bottom_up,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
memory_um,persistence,1,mint,3,0,1,2,1.5617888802315655e-12,-5.712399830614015e-13,3.6455383468970966e-12,mixed,1.61107e-12;-5.7124e-13;3.64554e-12
memory_um,persistence,1,wls,3,1,2,0,-4.138700828109607e-13,-1.1305457744024406e-12,2.2883500805130333e-13,mixed,-3.39899e-13;2.28835e-13;-1.13055e-12
memory_um,persistence,8,bottom_up,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
memory_um,persistence,8,mint,3,0,3,0,1.3158953955162257e-13,-2.357289486613739e-13,4.783212819150286e-13,mixed,-2.35729e-13;1.52176e-13;4.78321e-13
memory_um,persistence,8,wls,3,0,3,0,-6.089705926056581e-14,-3.0273725591593824e-13,3.286330170816547e-13,mixed,-3.02737e-13;3.28633e-13;-2.08587e-13
memory_um,persistence,16,bottom_up,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
memory_um,persistence,16,mint,3,0,3,0,-1.941641391645371e-13,-8.00642513994077e-13,2.044248429599603e-13,mixed,1.37253e-14;2.04425e-13;-8.00643e-13
memory_um,persistence,16,wls,3,0,3,0,-1.68008740150801e-14,-2.7731241426214253e-13,2.372964705718793e-13,mixed,-1.03867e-14;2.37296e-13;-2.77312e-13
memory_um,ridge,1,bottom_up,3,2,0,1,-0.027279734451361934,-0.0701359705983572,0.0390544280694791,directionally_consistent,-0.070136;-0.0507577;0.0390544
memory_um,ridge,1,mint,3,2,0,1,-0.0406990406108146,-0.065708057212423,0.0001459788815273,directionally_consistent,-0.0657081;-0.056535;0.000145979
memory_um,ridge,1,wls,3,2,0,1,-0.0398553289441628,-0.0634511414898303,0.0006925504820055,directionally_consistent,-0.0634511;-0.0568074;0.00069255
memory_um,ridge,8,bottom_up,3,2,0,1,-0.027306148912312436,-0.070507735003016,0.0391428125513155,directionally_consistent,-0.0705077;-0.0505535;0.0391428
memory_um,ridge,8,mint,3,2,0,1,-0.039404669459122306,-0.0619458042595489,0.0001884709954503,directionally_consistent,-0.0619458;-0.0564567;0.000188471
memory_um,ridge,8,wls,3,2,0,1,-0.0382465702767176,-0.0587717580673029,0.0007408966342761,directionally_consistent,-0.0587718;-0.0567088;0.000740897
memory_um,ridge,16,bottom_up,3,2,0,1,-0.02764224989439727,-0.0710322369614677,0.0391536227092744,directionally_consistent,-0.0710322;-0.0510481;0.0391536
memory_um,ridge,16,mint,3,2,0,1,-0.03947224405420187,-0.0619872421723507,0.0002272176204378,directionally_consistent,-0.0619872;-0.0566567;0.000227218
memory_um,ridge,16,wls,3,2,0,1,-0.038405899132457434,-0.0590592609104069,0.0007711106318048,directionally_consistent,-0.0590593;-0.0569295;0.000771111
