hierarchy,base_model,horizon,reconciliation_method,top_mae,coherence_after,coherence_before
disk_ud,ridge,8,bottom_up,1983094736.5554597,0.0,914334943.6199989
disk_ud,ridge,8,independent,1753682978.3988,914334943.6199989,914334943.6199989
disk_ud,ridge,8,mint,1777454796.8365314,0.0,914334943.6199989
disk_ud,ridge,8,top_down,1753682978.3988,7.409388263087512e-05,914334943.6199989
disk_ud,ridge,8,wls,1800387326.7885163,0.0,914334943.6199989
memory_um,dlinear,1,bottom_up,1060632667.7894378,0.0,385378030.6272404
memory_um,dlinear,1,independent,1058097901.6477107,385378030.6272404,385378030.6272404
memory_um,dlinear,1,mint,1037228513.9174322,0.0,385378030.6272404
memory_um,dlinear,1,wls,1036811493.7713679,0.0,385378030.6272404
memory_um,dlinear,8,bottom_up,1050702256.1338776,0.0,373885678.2245867
memory_um,dlinear,8,independent,1078226408.7703092,373885678.2245867,373885678.2245867
memory_um,dlinear,8,mint,1038913631.0179077,0.0,373885678.2245867
memory_um,dlinear,8,wls,1041649745.8011246,0.0,373885678.2245867
memory_um,dlinear,16,bottom_up,1054990368.9334902,0.0,385324950.22665375
memory_um,dlinear,16,independent,1084207826.3120816,385324950.22665375,385324950.22665375
memory_um,dlinear,16,mint,1042465539.1172558,0.0,385324950.22665375
memory_um,dlinear,16,wls,1044916143.4172401,0.0,385324950.22665375
memory_um,lightgbm,1,bottom_up,1481679445.3028095,0.0,995930585.9808592
memory_um,lightgbm,1,independent,1488193766.9964402,995930585.9808592,995930585.9808592
memory_um,lightgbm,1,mint,1406588259.4474704,0.0,995930585.9808592
memory_um,lightgbm,1,wls,1419508285.605177,0.0,995930585.9808592
memory_um,lightgbm,8,bottom_up,1505647309.952616,0.0,1119933885.527624
memory_um,lightgbm,8,independent,1442465224.7485006,559966942.763812,1119933885.527624
memory_um,lightgbm,8,mint,1411840711.6741111,0.0,1119933885.527624
memory_um,lightgbm,8,ols,1334869751.805214,0.0,1119933885.527624
memory_um,lightgbm,8,wls,1364959093.3925555,0.0,1119933885.527624
memory_um,lightgbm,16,bottom_up,1546926332.6273165,0.0,1030054598.2062894
memory_um,lightgbm,16,independent,1449913003.3757193,1030054598.2062894,1030054598.2062894
memory_um,lightgbm,16,mint,1459765802.3652656,0.0,1030054598.2062894
memory_um,lightgbm,16,wls,1443892562.7683022,0.0,1030054598.2062894
memory_um,persistence,1,bottom_up,1060130265.5337278,0.0,0.0
memory_um,persistence,1,independent,1060130265.5337278,0.0,0.0
memory_um,persistence,1,mint,1060130265.5355285,0.0,0.0
memory_um,persistence,1,wls,1060130265.5332527,0.0,0.0
memory_um,persistence,8,bottom_up,1059679844.4118851,0.0,0.0
memory_um,persistence,8,independent,1059679844.4118851,0.0,0.0
memory_um,persistence,8,mint,1059679844.4119927,0.0,0.0
memory_um,persistence,8,ols,1059679844.4118867,0.0,0.0
memory_um,persistence,8,wls,1059679844.4117748,0.0,0.0
memory_um,persistence,16,bottom_up,1058049629.858864,0.0,0.0
memory_um,persistence,16,independent,1058049629.858864,0.0,0.0
memory_um,persistence,16,mint,1058049629.8586489,0.0,0.0
memory_um,persistence,16,wls,1058049629.8588299,0.0,0.0
memory_um,ridge,1,bottom_up,1053284282.2430868,0.0,398158437.06104183
memory_um,ridge,1,independent,1085329875.9505737,398158437.06104183,398158437.06104183
memory_um,ridge,1,mint,1039897838.0820197,0.0,398158437.06104183
memory_um,ridge,1,wls,1041037884.1961557,0.0,398158437.06104183
memory_um,ridge,8,bottom_up,1053212512.2921486,0.0,398385331.9792436
memory_um,ridge,8,independent,1069256640.5421219,199192665.9896218,398385331.9792436
memory_um,ridge,8,mint,1041630324.0657748,0.0,398385331.9792436
memory_um,ridge,8,ols,1070917205.6423079,0.0,398385331.9792436
memory_um,ridge,8,wls,1043191906.8191162,0.0,398385331.9792436
memory_um,ridge,16,bottom_up,1052323521.1740385,0.0,398505628.0601147
memory_um,ridge,16,independent,1084685745.6566374,398505628.0601147,398505628.0601147
memory_um,ridge,16,mint,1041021866.8551687,0.0,398505628.0601147
memory_um,ridge,16,wls,1042459906.5165892,0.0,398505628.0601147
