hierarchy,base_model,horizon,method_b,top_rel,macro_rel,weighted_rel,worst_rel,machines_improved,machines_degraded,coh_after,tradeoff_class
cpu_core_weighted,lightgbm,16,wls,-0.09737955540967265,0.03210494553856888,0.03369334526824405,0.05801078348519534,1.0,6.0,0.0,aggregate_focused_improvement
cpu_core_weighted,persistence,1,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,1,mint,2.2243846010587997e-15,2.784364967059972e-15,2.9637480906617052e-15,7.054433307106621e-15,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,1,wls,7.792647658358922e-15,6.213456647769918e-16,3.2081234167119887e-16,1.884957679369275e-15,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,8,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,8,mint,7.161977549780937e-15,9.20741749288189e-16,8.653991055787967e-16,1.7329767098459595e-15,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,8,wls,2.1707854122918578e-14,1.621159234503744e-15,1.731166002625151e-15,7.0506748179584924e-15,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,16,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,16,mint,-1.479443434787874e-14,-1.3011909558775085e-15,-1.1953062740416221e-15,-3.043109459915974e-15,0.0,0.0,0.0,coherence_only
cpu_core_weighted,persistence,16,wls,2.9514613812444553e-14,4.251673776782284e-15,4.380879067570498e-15,1.2365789139464737e-14,0.0,0.0,0.0,coherence_only
cpu_core_weighted,ridge,1,bottom_up,-0.092210979143959,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
cpu_core_weighted,ridge,1,mint,-0.08706728224732634,0.01090321599656426,0.011181866363701762,0.018392795161924602,1.3333333333333333,5.666666666666667,0.0,pareto_improvement
cpu_core_weighted,ridge,1,wls,-0.08170130913978291,0.019669653573407515,0.020129122878166473,0.04023442662635884,0.3333333333333333,6.666666666666667,0.0,aggregate_focused_improvement
cpu_core_weighted,ridge,8,bottom_up,-0.09549774583257668,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
cpu_core_weighted,ridge,8,mint,-0.08919202515113832,0.011628594077684698,0.01192458767614088,0.020784922576242846,1.0,6.0,0.0,pareto_improvement
cpu_core_weighted,ridge,8,wls,-0.08232944185667487,0.022094281527068837,0.022599579848606253,0.04743197072550259,0.3333333333333333,6.666666666666667,0.0,aggregate_focused_improvement
cpu_core_weighted,ridge,16,bottom_up,-0.09558844970598594,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
cpu_core_weighted,ridge,16,mint,-0.08935714491454856,0.011749289667901218,0.012032930667128136,0.01927680965420377,1.0,6.0,0.0,pareto_improvement
cpu_core_weighted,ridge,16,wls,-0.08220471800743967,0.02256145167428591,0.023067492815126017,0.04128245999021974,0.6666666666666666,6.333333333333333,0.0,aggregate_focused_improvement
disk_ud,lightgbm,1,bottom_up,6.227101579399189,0.0,0.0,0.0,0.0,0.0,0.0,accuracy_costly_coherence
disk_ud,lightgbm,1,mint,2.6872251070157778,-0.08395930172127801,-0.08876295281785583,0.020358578942629088,3.6666666666666665,3.3333333333333335,0.0,accuracy_costly_coherence
disk_ud,lightgbm,1,top_down,0.0,0.04628007930518805,0.09006247763385539,-0.08176880491693325,2.6666666666666665,4.333333333333333,7.0834837862155e-05,coherence_only
disk_ud,lightgbm,1,wls,2.2081028349607883,-0.16898706514133852,-0.1555161627003727,-0.043276833841283925,2.6666666666666665,4.333333333333333,0.0,accuracy_costly_coherence
disk_ud,lightgbm,8,bottom_up,8.436542283879922,0.0,0.0,0.0,0.0,0.0,0.0,accuracy_costly_coherence
disk_ud,lightgbm,8,mint,4.0461966039279424,0.035295401361587646,0.03494222580168882,0.0698121412732044,3.0,4.0,0.0,accuracy_costly_coherence
disk_ud,lightgbm,8,top_down,0.0,0.04593432337753958,0.08359575968895128,-0.12459434041686719,2.3333333333333335,4.666666666666667,7.82520933939102e-05,coherence_only
disk_ud,lightgbm,8,wls,3.045112648727507,-0.04198476069359237,-0.04683169220476052,-0.06905250431693961,2.3333333333333335,4.666666666666667,0.0,accuracy_costly_coherence
disk_ud,persistence,1,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
disk_ud,persistence,1,mint,7.862531155381887e-11,1.267036243944653e-10,1.2892232635719638e-10,1.5709173957654406e-10,2.0,5.0,0.0,coherence_only
disk_ud,persistence,1,top_down,0.0,1.0964371756323112e-16,2.4564314097379767e-16,1.0803046812140222e-16,0.3333333333333333,2.3333333333333335,2.4583194880779764e-08,coherence_only
disk_ud,persistence,1,wls,2.141385195695265e-12,7.393101101926463e-11,8.117570647165624e-11,9.108535461166237e-11,1.0,6.0,0.0,coherence_only
disk_ud,persistence,8,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
disk_ud,persistence,8,mint,3.1751150259148996e-11,7.58807678605421e-11,1.385693465733487e-10,-2.770362495916288e-11,1.6666666666666667,5.333333333333333,0.0,coherence_only
disk_ud,persistence,8,top_down,0.0,1.470271584476568e-16,2.261912674155731e-16,1.0793921253166975e-16,0.3333333333333333,2.3333333333333335,2.4604005421856734e-08,coherence_only
disk_ud,persistence,8,wls,-4.563173628533239e-12,2.2205742821236436e-11,3.2415128010899806e-11,7.800327713997082e-12,2.0,5.0,0.0,coherence_only
disk_ud,ridge,1,bottom_up,0.15996675621444326,0.0,0.0,0.0,0.0,0.0,0.0,accuracy_costly_coherence
disk_ud,ridge,1,mint,0.01706575932812818,0.014660576277177215,0.019079252631643426,-0.04932975590858577,2.3333333333333335,4.666666666666667,0.0,accuracy_costly_coherence
disk_ud,ridge,1,top_down,0.0,0.20423172947931748,0.3055858860488181,-0.022980162842928017,1.0,6.0,8.129681847806653e-05,coherence_only
disk_ud,ridge,1,wls,0.03795928340953888,-0.00017274930084712438,0.00546611078884385,-0.05241462395048311,2.3333333333333335,4.666666666666667,0.0,accuracy_costly_coherence
disk_ud,ridge,8,bottom_up,0.13668643312152676,0.0,0.0,0.0,0.0,0.0,0.0,accuracy_costly_coherence
disk_ud,ridge,8,mint,0.013411134972663002,0.015290593554685318,0.016808586782818706,-0.03794971226961047,2.3333333333333335,4.666666666666667,0.0,accuracy_costly_coherence
disk_ud,ridge,8,top_down,0.0,0.19711203055181326,0.2902422983020019,-0.02167439256743675,1.3333333333333333,5.666666666666667,7.409388263087512e-05,coherence_only
disk_ud,ridge,8,wls,0.02841372381230123,-0.0017596510267533993,0.0015475324438501395,-0.04759623179826561,2.3333333333333335,4.666666666666667,0.0,accuracy_costly_coherence
memory_um,dlinear,1,bottom_up,-0.0009062322666911713,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
memory_um,dlinear,1,mint,-0.022573503352508583,-0.005799904405903257,-0.003721948194435744,-0.02906814042255478,4.333333333333333,2.6666666666666665,0.0,coherence_only
memory_um,dlinear,1,wls,-0.0228592447235336,-0.0036444392291792114,-0.0011008753604824797,-0.025392671605758324,4.333333333333333,2.6666666666666665,0.0,coherence_only
memory_um,dlinear,8,bottom_up,-0.02206625325865391,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
memory_um,dlinear,8,mint,-0.03479181127136602,0.000284085510772012,0.0038735522598573485,-0.008216816335388715,3.6666666666666665,3.3333333333333335,0.0,pareto_improvement
memory_um,dlinear,8,wls,-0.032675223658520595,0.0034020480292049743,0.0075543502590917876,-0.0054403773483437815,3.3333333333333335,3.6666666666666665,0.0,pareto_improvement
memory_um,dlinear,16,bottom_up,-0.02365608233704782,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
memory_um,dlinear,16,mint,-0.037083241726544,-0.0007070969027466485,0.0031482635936212794,-0.010501418209545199,4.0,3.0,0.0,pareto_improvement
memory_um,dlinear,16,wls,-0.03520069099425124,0.002632127477474685,0.007015550517382331,-0.007238754478430409,3.0,4.0,0.0,pareto_improvement
memory_um,lightgbm,1,bottom_up,-0.02135215961231178,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
memory_um,lightgbm,1,mint,-0.060978118193635945,0.034317137923067474,0.03234726765479597,0.00600958248655289,3.3333333333333335,3.6666666666666665,0.0,coherence_only
memory_um,lightgbm,1,wls,-0.053780557209614686,0.03245630101302228,0.03199300712032939,0.01277204913116873,3.6666666666666665,3.3333333333333335,0.0,aggregate_focused_improvement
memory_um,lightgbm,8,bottom_up,0.07821262514348312,0.0,0.0,0.0,0.0,0.0,0.0,accuracy_costly_coherence
memory_um,lightgbm,8,mint,0.01573705007821924,0.02738220305784811,0.025042412801345337,-0.0002329568410678213,4.0,3.0,0.0,accuracy_costly_coherence
memory_um,lightgbm,8,wls,-0.014889287059624003,0.03733449344158503,0.038276325340063005,0.002606755979985522,4.0,3.0,0.0,accuracy_costly_coherence
memory_um,lightgbm,16,bottom_up,0.049018918189384954,0.0,0.0,0.0,0.0,0.0,0.0,accuracy_costly_coherence
memory_um,lightgbm,16,mint,-0.0037717796823659305,0.027939932577207602,0.02616988035235412,0.0004917140542575188,3.3333333333333335,3.6666666666666665,0.0,accuracy_costly_coherence
memory_um,lightgbm,16,wls,-0.012428758353478758,0.03560295850270462,0.03699659725257343,0.00529944153280939,3.3333333333333335,3.6666666666666665,0.0,accuracy_costly_coherence
memory_um,persistence,1,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
memory_um,persistence,1,mint,1.5617888802315655e-12,-2.127101381503598e-11,-2.5353376034545882e-11,-1.8417398580807006e-11,3.3333333333333335,3.6666666666666665,0.0,coherence_only
memory_um,persistence,1,wls,-4.138700828109607e-13,3.0197097623841234e-12,3.681481101368927e-12,-3.3410603759849654e-12,3.0,4.0,0.0,coherence_only
memory_um,persistence,8,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
memory_um,persistence,8,mint,1.3158953955162257e-13,2.86742248045797e-12,4.492801490304126e-12,3.241491068933195e-11,4.0,3.0,0.0,coherence_only
memory_um,persistence,8,wls,-6.089705926056582e-14,6.025096253302602e-12,7.580680428262684e-12,1.3574163293505184e-11,2.6666666666666665,4.333333333333333,0.0,coherence_only
memory_um,persistence,16,bottom_up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coherence_only
memory_um,persistence,16,mint,-1.9416413916453704e-13,1.0133941977799255e-11,1.2181477600623517e-11,2.644438636503281e-11,3.6666666666666665,3.3333333333333335,0.0,coherence_only
memory_um,persistence,16,wls,-1.680087401508008e-14,9.705058473778869e-12,1.2333348930884462e-11,4.062731232137077e-11,4.0,3.0,0.0,coherence_only
memory_um,ridge,1,bottom_up,-0.027279734451361958,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
memory_um,ridge,1,mint,-0.04069904061081465,-0.004360200404110657,-0.002002039845350119,-0.014244581440784623,3.3333333333333335,3.6666666666666665,0.0,pareto_improvement
memory_um,ridge,1,wls,-0.03985532894416283,-0.0024725150090514126,0.00046914003928331195,-0.011939005139002722,3.0,4.0,0.0,pareto_improvement
memory_um,ridge,8,bottom_up,-0.027306148912312464,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
memory_um,ridge,8,mint,-0.03940466945912233,0.0013706607906305696,0.005025823914955129,-0.0075952828878485595,3.0,4.0,0.0,pareto_improvement
memory_um,ridge,8,wls,-0.03824657027671761,0.004885201537287032,0.009141256051449062,-0.004365449352492792,2.6666666666666665,4.333333333333333,0.0,aggregate_focused_improvement
memory_um,ridge,16,bottom_up,-0.027642249894397314,0.0,0.0,0.0,0.0,0.0,0.0,pareto_improvement
memory_um,ridge,16,mint,-0.03947224405420186,0.0015999136700980663,0.005280618537756773,-0.007904794313723184,3.0,4.0,0.0,pareto_improvement
memory_um,ridge,16,wls,-0.03840589913245745,0.004909628229763581,0.009147789268532035,-0.004667041767008241,2.6666666666666665,4.333333333333333,0.0,aggregate_focused_improvement
