run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent,reconciliation_method,nonnegative,coherence_error_before,coherence_error_after,is_coherent_after,top_mae,bottom_mae_mean,source_pack
base__memory_um__f0__h8__ridge__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,wls,False,464923296.3696819,0.0,True,1277394243.230091,267470159.40056887,memory_classical
base__memory_um__f0__h8__ridge__s0__wls__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,wls,True,464923296.3696819,0.0,True,1277394243.230091,267470159.40056887,memory_classical
base__memory_um__f0__h8__ridge__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,mint,False,464923296.3696819,0.0,True,1273086565.0781949,265875886.39355135,memory_classical
base__memory_um__f0__h8__ridge__s0__mint__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,mint,True,464923296.3696819,0.0,True,1273086565.0781949,265875886.39355135,memory_classical
base__memory_um__f0__h8__ridge__s0__ols__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,ols,False,464923296.3696819,0.0,True,1334852101.8108466,281120921.002738,memory_classical
base__memory_um__f0__h8__ridge__s0__ols__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117,ols,True,464923296.3696819,0.0,True,1334852101.8108466,281120921.002738,memory_classical
base__memory_um__f0__h8__lightgbm__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,independent,False,1792691829.1344185,1792691829.1344185,False,1526324191.3500135,506382941.607602,memory_classical
base__memory_um__f0__h8__lightgbm__s0__independent__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,independent,True,1792691829.1344185,0.0,True,2008866215.1720128,506382941.607602,memory_classical
base__memory_um__f0__h8__lightgbm__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,bottom_up,False,1792691829.1344185,0.0,True,2008866215.1720128,506382941.607602,memory_classical
base__memory_um__f0__h8__lightgbm__s0__bottom_up__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,bottom_up,True,1792691829.1344185,0.0,True,2008866215.1720128,506382941.607602,memory_classical
