fold,horizon,base_model,reconciliation_method,reset_threshold_train,reset_event_count,normal_period_mae,reset_near_mae,reset_mae_vs_normal_ratio
2,1,persistence,wls,32027558543.359978,28,1543685253.712198,14752721286.110994,9.556819468628198
2,1,persistence,mint,32027558543.359978,28,1543685253.7244945,14752721286.113626,9.556819468553778
2,1,ridge,independent,32027558543.359978,28,1698925276.5892644,14074465101.463547,8.284334393870001
2,1,ridge,bottom_up,32027558543.359978,28,1712058211.4144883,16636219015.730314,9.717087249028529
2,1,ridge,top_down,32027558543.359978,28,1698925276.5892644,14074465101.463547,8.284334393870001
2,1,ridge,wls,32027558543.359978,28,1659848769.7697723,15257707936.99175,9.192227758862668
2,1,ridge,mint,32027558543.359978,28,1662651533.8379388,14978141793.91742,9.008587481553041
2,8,lightgbm,independent,32029070950.40001,28,4015004233.4605627,12161599511.894943,3.0290377804689803
2,8,lightgbm,bottom_up,32029070950.40001,28,66257641438.05192,49810497205.46232,0.7517698506070883
2,8,lightgbm,top_down,32029070950.40001,28,4015004233.4605627,12161599511.894943,3.0290377804689803
2,8,lightgbm,wls,32029070950.40001,28,18422036423.67691,17348805343.603725,0.9417419955432389
2,8,lightgbm,mint,32029070950.40001,28,25635715818.403477,21727810168.418926,0.8475601119287207
2,8,persistence,independent,32029070950.40001,28,1544937606.1484716,14752721286.095238,9.549072549844755
2,8,persistence,bottom_up,32029070950.40001,28,1544937606.1484716,14752721286.095238,9.549072549844755
2,8,persistence,top_down,32029070950.40001,28,1544937606.1484716,14752721286.095238,9.549072549844755
2,8,persistence,wls,32029070950.40001,28,1544937606.149599,14752721286.095163,9.549072549837739
2,8,persistence,mint,32029070950.40001,28,1544937606.1050646,14752721286.08102,9.549072550103846
2,8,ridge,independent,32029070950.40001,28,1700338936.08756,14074439191.09831,8.27743157107445
2,8,ridge,bottom_up,32029070950.40001,28,1713716136.7461169,16635674044.914108,9.707368500655395
2,8,ridge,top_down,32029070950.40001,28,1700338936.08756,14074439191.09831,8.27743157107445
2,8,ridge,wls,32029070950.40001,28,1661393384.129101,15257225322.344315,9.183391163160385
2,8,ridge,mint,32029070950.40001,28,1664148563.5953453,14977170925.729097,8.99990016117993
