run_id,fold,horizon,base_model,reconciliation_method,top_mae,top_rmse,top_r2,top_mase,mase_valid,coherence_before,coherence_after,is_coherent_after,adj_mean,adj_max,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,ind_top_mae,normal_period_mae,reset_near_mae,reset_event_count,wall_train_sec_sum,mae_machine01_UD,mae_machine02_UD,mae_machine03_UD,mae_machine04_UD,mae_machine05_UD,mae_machine06_UD,mae_machine07_UD,pers_ind,same_ind,rel_vs_ind,rel_vs_pers
base__disk_ud__f0__h8__persistence__s0__bottom_up__nn0,0,8,persistence,bottom_up,1849506840.3956947,5752426358.91927,0.9897537894217125,1.5413881330967347,True,0.0,0.0,True,0.0,0.0,292749791.3515194,304293568.0660312,909633993.9455799,4575569.824646269,0,0,1849506840.3956947,1719499325.638835,16446753450.666666,29,0.0002250829993499,909633993.9455799,21521623.350828394,202814320.2263877,868765846.089249,19156156.354577336,4575569.824646269,22781029.66936752,1849506840.3956947,1849506840.3956947,1.0,1.0
base__disk_ud__f0__h8__persistence__s0__top_down__nn0,0,8,persistence,top_down,1849506840.3956947,5752426358.91927,0.9897537894217125,1.5413881330967347,True,0.0,7.38120162655702e-08,True,8.279632262039508e-07,3.0517578125e-05,292749791.3515194,304293568.0660312,909633993.9455799,4575569.824646269,0,2,1849506840.3956947,1719499325.638835,16446753450.666666,29,0.0002250829993499,909633993.9455799,21521623.350828424,202814320.2263877,868765846.089249,19156156.35457739,4575569.824646269,22781029.66936752,1849506840.3956947,1849506840.3956947,1.0,1.0
base__disk_ud__f0__h8__persistence__s0__wls__nn0,0,8,persistence,wls,1849506840.3727534,5752426358.919387,0.9897537894217122,1.5413881330776154,True,0.0,0.0,True,0.026984163229634733,0.12109375,292749791.3498929,304293568.06474817,909633993.9343011,4575569.824659111,2,5,1849506840.3956947,1719499325.6154287,16446753450.674131,29,0.0002250829993499,909633993.9343011,21521623.35083033,202814320.22561577,868765846.0898902,19156156.354585513,4575569.824659111,22781029.66936838,1849506840.3956947,1849506840.3956947,0.9999999999875959,0.9999999999875959
base__disk_ud__f0__h8__persistence__s0__mint__nn0,0,8,persistence,mint,1849506840.4040942,5752426358.919271,0.9897537894217125,1.541388133103735,True,0.0,0.0,True,0.010050618788368224,0.0413818359375,292749791.35340333,304293568.0678696,909633993.9528482,4575569.8246690435,1,6,1849506840.3956947,1719499325.6474025,16446753450.664356,29,0.0002250829993499,909633993.9528482,21521623.35078515,202814320.22692874,868765846.0946286,19156156.35459253,4575569.8246690435,22781029.66937078,1849506840.3956947,1849506840.3956947,1.0000000000045415,1.0000000000045415
base__disk_ud__f0__h8__ridge__s0__independent__nn0,0,8,ridge,independent,2193351964.750705,5707606178.039493,0.9899128346330018,1.8279503575384635,True,1370320529.2032237,1370320529.2032237,False,0.0,0.0,480831209.09413284,530192133.31516415,1611397409.5933774,6473381.670067464,0,0,2193351964.750705,2094626835.0905454,15197619933.495684,29,0.0366531250019761,1160141081.6520116,114307246.35830954,428072130.7544721,1611397409.5933774,22239634.96878701,6473381.670067464,23187578.661904965,1849506840.3956947,2193351964.750705,1.0,1.1859117883994663
base__disk_ud__f0__h8__ridge__s0__bottom_up__nn0,0,8,ridge,bottom_up,2567950543.7629538,5875612520.6605,0.9893102527423753,2.1401426629428855,True,1370320529.2032237,0.0,True,171290066.15040296,99633745452.77954,480831209.09413284,530192133.31516415,1611397409.5933774,6473381.670067464,0,0,2193351964.750705,2457293456.606685,16490734895.034185,29,0.0366531250019761,1160141081.6520116,114307246.35830954,428072130.7544721,1611397409.5933774,22239634.96878701,6473381.670067464,23187578.661904965,1849506840.3956947,2193351964.750705,1.170788174917848,1.3884514983537724
base__disk_ud__f0__h8__ridge__s0__top_down__nn0,0,8,ridge,top_down,2193351964.750705,5707606178.039493,0.9899128346330018,1.8279503575384635,True,1370320529.2032237,7.601161435028419e-05,True,171290066.15040302,24951728915.653778,583865648.2243965,657130462.9585057,1549747806.3746977,34394212.36224533,1,6,2193351964.750705,2094626835.0905454,15197619933.495684,29,0.0366531250019761,1210407789.460758,336885998.81841815,585924968.6548764,1549747806.3746977,117696433.52923362,34394212.36224533,252002328.37054572,1849506840.3956947,2193351964.750705,1.0,1.1859117883994663
base__disk_ud__f0__h8__ridge__s0__wls__nn0,0,8,ridge,wls,2290258401.122334,5606328056.443932,0.9902676402035139,1.9087126601055444,True,1370320529.2032237,0.0,True,171290066.15040293,53343641321.006836,494037268.8487047,534780787.8250255,1525547243.937156,6474608.849623314,1,6,2193351964.750705,2184780136.3516507,15645286662.6261,29,0.0366531250019761,1337768460.3592067,114385700.37044379,428583261.14136606,1525547243.937156,22278181.373706754,6474608.849623314,23223425.909430526,1849506840.3956947,2193351964.750705,1.0441818905168936,1.2383076131972253
base__disk_ud__f0__h8__ridge__s0__mint__nn0,0,8,ridge,mint,2262442828.4406447,5593545075.856209,0.9903119710857609,1.8855310244876557,True,1370320529.2032237,0.0,True,171401839.5866762,48685693942.74652,519504954.01355255,557870313.7943916,1580818383.192783,6478552.440038438,1,6,2193351964.750705,2157860312.9667068,15540733909.040665,29,0.0366531250019761,1460459870.1061382,114398544.2342961,428837996.8243951,1580818383.192783,22276354.688427944,6478552.440038438,23264976.60878889,1849506840.3956947,2193351964.750705,1.0315001261996695,1.223268159395725
base__disk_ud__f1__h1__lightgbm__s0__independent__nn0,1,1,lightgbm,independent,18083890978.96224,25578000825.031075,0.8873815110095409,13.6378806540079,True,77052298911.05917,77052298911.05917,False,0.0,0.0,21391835833.151154,21881799446.64717,48861172452.56517,211160152.5087005,0,0,18083890978.96224,18043645026.80027,15566070563.907484,36,1.5099101249998057,44262441030.79202,211160152.5087005,45596006843.33968,48861172452.56517,4966048618.475934,325746488.2248598,5520275246.151724,1145989203.1474142,18083890978.96224,1.0,15.780158250440357
base__disk_ud__f1__h1__lightgbm__s0__bottom_up__nn0,1,1,lightgbm,bottom_up,94122432845.91504,110854290670.7485,-1.1153465023109659,70.98198653767403,True,77052298911.05917,0.0,True,9631537363.882395,131544932938.10376,21391835833.151154,21881799446.64717,48861172452.56517,211160152.5087005,0,0,18083890978.96224,94094098499.57413,80031575928.13882,36,1.5099101249998057,44262441030.79202,211160152.5087005,45596006843.33968,48861172452.56517,4966048618.475934,325746488.2248598,5520275246.151724,1145989203.1474142,18083890978.96224,5.20476665975324,82.132041547522
base__disk_ud__f1__h1__lightgbm__s0__top_down__nn0,1,1,lightgbm,top_down,18083890978.96224,25578000825.031075,0.8873815110095409,13.6378806540079,True,77052298911.05917,5.706742859624214e-05,True,9631537363.882397,30253670348.066193,22362728567.60455,24322345477.159695,41892775178.92655,2045545026.7102296,3,4,18083890978.96224,18043645026.80027,15566070563.907484,36,1.5099101249998057,27420129899.918045,16539568664.483488,41892775178.92655,39759007474.421524,10548447038.551743,2045545026.7102296,18333626690.220257,1145989203.1474142,18083890978.96224,1.0,15.780158250440357
base__disk_ud__f1__h1__lightgbm__s0__wls__nn0,1,1,lightgbm,wls,23095279690.320396,31346666206.99407,0.8308549780499623,17.41719569388805,True,77052298911.05917,0.0,True,9631537363.882397,81948999391.86537,13826021170.772291,15824578608.07149,44265690298.468285,203656139.55529013,4,3,18083890978.96224,23053918925.712112,17713512660.51597,36,1.5099101249998057,25087600788.290833,203656139.55529013,44265690298.468285,15989957359.087957,5105448260.3242035,325777919.78229403,5804017429.897189,1145989203.1474142,18083890978.96224,1.2771189406742234,20.153138988473994
base__disk_ud__f1__h1__lightgbm__s0__mint__nn0,1,1,lightgbm,mint,17555182589.959538,24903029610.662167,0.8932468074258669,13.239157728815536,True,77052298911.05917,0.0,True,9846795441.75348,108024569891.09102,16135712117.673733,17725112905.607803,45203892460.23331,249286307.37523833,6,1,18083890978.96224,17515383404.26275,15461609366.92667,36,1.5099101249998057,31150402327.511086,249286307.37523833,45203892460.23331,25677464483.103493,4963712211.418595,325435051.21600366,5379791982.858408,1145989203.1474142,18083890978.96224,0.9707635713122929,15.318802779070623
base__disk_ud__f1__h1__persistence__s0__independent__nn0,1,1,persistence,independent,1145989203.1474142,4360937232.364377,0.9967263203878087,0.8642423249226493,True,0.0,0.0,True,0.0,0.0,181207052.8680522,148032072.2609138,735652275.5340744,4383742.020299662,0,0,1145989203.1474142,998981082.7184466,15553023652.226416,36,0.0001674590012044,260464576.1546641,19303459.63460609,202794375.980667,735652275.5340744,18995084.18753021,4383742.020299662,26855856.564523924,1145989203.1474142,1145989203.1474142,1.0,1.0
base__disk_ud__f1__h1__persistence__s0__bottom_up__nn0,1,1,persistence,bottom_up,1145989203.1474142,4360937232.364377,0.9967263203878087,0.8642423249226493,True,0.0,0.0,True,0.0,0.0,181207052.8680522,148032072.2609138,735652275.5340744,4383742.020299662,0,0,1145989203.1474142,998981082.7184466,15553023652.226416,36,0.0001674590012044,260464576.1546641,19303459.63460609,202794375.980667,735652275.5340744,18995084.18753021,4383742.020299662,26855856.564523924,1145989203.1474142,1145989203.1474142,1.0,1.0
base__disk_ud__f1__h1__persistence__s0__top_down__nn0,1,1,persistence,top_down,1145989203.1474142,4360937232.364377,0.9967263203878087,0.8642423249226493,True,0.0,0.0,True,1.5843484988242547e-06,3.0517578125e-05,181207052.86805227,148032072.26091385,735652275.5340747,4383742.020299662,1,3,1145989203.1474142,998981082.7184466,15553023652.226416,36,0.0001674590012044,260464576.15466416,19303459.634606063,202794375.98066723,735652275.5340747,18995084.18753021,4383742.020299662,26855856.564523924,1145989203.1474142,1145989203.1474142,1.0,1.0
base__disk_ud__f1__h1__persistence__s0__wls__nn0,1,1,persistence,wls,1145989203.0952287,4360937232.3654995,0.9967263203878071,0.8642423248832938,True,0.0,0.0,True,0.13374095403266564,0.7338714599609375,181207052.88706875,148032072.28331193,735652275.5614505,4383742.0203236835,1,6,1145989203.1474142,998981082.6645737,15553023652.198566,36,0.0001674590012044,260464576.26065382,19303459.634204082,202794375.9807545,735652275.5614505,18995084.187565945,4383742.0203236835,26855856.564528782,1145989203.1474142,1145989203.1474142,0.9999999999544624,0.9999999999544624
base__disk_ud__f1__h1__persistence__s0__mint__nn0,1,1,persistence,mint,1145989203.3319764,4360937232.361613,0.9967263203878128,0.864242325061836,True,0.0,0.0,True,0.2288234824429047,1.0179443359375,181207052.91176945,148032072.30285522,735652275.6705084,4383742.020525348,2,5,1145989203.1474142,998981082.9079846,15553023652.285667,36,0.0001674590012044,260464576.32382718,19303459.634836394,202794375.98063293,735652275.6705084,18995084.18753262,4383742.020525348,26855856.564523224,1145989203.1474142,1145989203.1474142,1.0000000001610505,1.0000000001610505
base__disk_ud__f1__h1__ridge__s0__independent__nn0,1,1,ridge,independent,1279428400.7528424,4013308625.6959066,0.9972274357502073,0.9648748632202142,True,804451259.9295046,804451259.9295046,False,0.0,0.0,310460923.950472,255415638.41666982,1248709160.4885256,6544961.549730066,0,0,1279428400.7528424,1157358129.3066728,15223714662.541233,36,0.0088692110002739,450718161.5130239,21964873.472476047,396436185.80362844,1248709160.4885256,21684985.348035213,6544961.549730066,27168139.47788461,1145989203.1474142,1279428400.7528424,1.0,1.116440187428418
base__disk_ud__f1__h1__ridge__s0__bottom_up__nn0,1,1,ridge,bottom_up,1656815160.1890473,4660017392.7089405,0.9962618943019639,1.2494792988243213,True,804451259.9295046,0.0,True,100556407.49118808,34957604697.68225,310460923.950472,255415638.41666982,1248709160.4885256,6544961.549730066,0,0,1279428400.7528424,1519014455.697528,17285721714.8596,36,0.0088692110002739,450718161.5130239,21964873.472476047,396436185.80362844,1248709160.4885256,21684985.348035213,6544961.549730066,27168139.47788461,1145989203.1474142,1279428400.7528424,1.2949651260001285,1.4457511079848482
base__disk_ud__f1__h1__ridge__s0__top_down__nn0,1,1,ridge,top_down,1279428400.7528424,4013308625.6959066,0.9972274357502073,0.9648748632202142,True,804451259.9295046,8.58592664406114e-05,True,100556407.49118814,9006702681.41571,385857721.2666882,360839596.4154891,1221622379.3939183,22481654.80853591,1,6,1279428400.7528424,1157358129.3066728,15223714662.541233,36,0.0088692110002739,540019413.568009,198883559.52496487,482430632.2413191,1221622379.3939183,78183610.51590577,22481654.80853591,157382798.81416395,1145989203.1474142,1279428400.7528424,1.0,1.116440187428418
