fold,horizon,series,train_ymin,train_ymed,train_ymax,eval_ymin,eval_ymed,eval_ymax,pred_ymin,pred_ymed,pred_ymax,pct_finite_all_series,pct_negative_all_series,pct_negative_top,scaled_mae_top,inverse_transformed_mae_top,pred_to_target_median_ratio,pred_to_target_range_ratio,y_mean_train,y_std_train,magnitude_alignment_ok,n_test
1,8,cluster_UM,113481224192.0,116436774912.0,181478932480.0,115408904192.0,120276398080.0,176082169856.0,116900913988.17796,120268994893.588,147850326607.9019,100.0,0.0,0.0,0.16757128733042628,836114125.5450646,0.9999384485524161,0.5100996671436381,118281867608.31409,4989602567.749979,True,8269
1,8,machine01_UM,,,,17216278528.0,18290245632.0,38466068480.0,16988816582.549978,18202383992.53929,29240436029.482304,100.0,0.0,,,315486534.9893914,0.9951962569979383,0.5765524965002875,,,True,8269
1,8,machine02_UM,,,,8486907904.0,13775020032.0,15795433472.0,10427396853.421007,13842896398.563446,15380657423.313536,100.0,0.0,,,118772129.26548038,1.004927496759044,0.6777373252383658,,,True,8269
1,8,machine03_UM,,,,15183388672.0,15867502592.0,44826574848.0,13756818316.808624,15926108136.925943,26454429890.826122,100.0,0.0,,,316219021.5783459,1.0036934321948994,0.4283484069029617,,,True,8269
1,8,machine04_UM,,,,7247716352.0,7329230848.0,37778919424.0,6555560349.083131,7389451557.135502,22881702451.552753,100.0,0.0,,,300414781.62555605,1.0082165114436168,0.5347362848417276,,,True,8269
1,8,machine05_UM,,,,7817588736.0,8821202944.0,12196769792.0,8037922790.349736,8846633249.674623,11154058749.218544,100.0,0.0,,,56390318.3805749,1.00288286142333,0.7115796124938315,,,True,8269
1,8,machine06_UM,,,,36905984000.0,36984508416.0,37046116352.0,36915955475.25753,36984941380.364174,37028181740.56408,100.0,0.0,,,4634760.402473933,1.000011706641043,0.8008590714765786,,,True,8269
1,8,machine07_UM,,,,14558277632.0,19164524544.0,20474847232.0,16715810255.94067,19186145616.643166,20015320461.404095,100.0,0.0,,,131322879.23230718,1.0011281820529137,0.5576728456745316,,,True,8269
2,16,cluster_UM,113481224192.0,119520575488.0,181478932480.0,117320785920.0,119207299072.0,179990249472.0,116271997584.25229,119309887716.17554,148451058756.82498,100.0,0.0,0.0,0.20028232511808716,1056253575.3982915,1.000860590290814,0.5134727401307992,119590649888.55254,5273823213.184293,True,8264
2,16,machine01_UM,,,,17265197056.0,18122704896.0,43426471936.0,16788556474.971786,18139323298.69294,32002185872.434635,100.0,0.0,,,263348701.24592417,1.000916993505567,0.5815324164149774,,,True,8264
2,16,machine02_UM,,,,10703691776.0,13187231744.0,15011741696.0,12242692947.169498,13190533440.206047,14154494069.246326,100.0,0.0,,,116517024.16187097,1.0002503706820463,0.4437741339071642,,,True,8264
2,16,machine03_UM,,,,14875004928.0,15657238528.0,45909262336.0,10792543208.94413,15767149199.395893,26921308879.50469,100.0,0.0,,,629540423.6563805,1.0070197992576622,0.5197084453647307,,,True,8264
2,16,machine04_UM,,,,7274340352.0,7344719872.0,24250015744.0,6881636294.348572,7397927094.237587,15982691477.272682,100.0,0.0,,,365157847.7849238,1.0072442820372804,0.5361233042434999,,,True,8264
2,16,machine05_UM,,,,7986626560.0,8753899520.0,10436030464.0,8235461834.154905,8748727411.113129,10160256746.679077,100.0,0.0,,,55994165.475802794,0.9994091651526209,0.7858217705054217,,,True,8264
2,16,machine06_UM,,,,36885041152.0,36952768512.0,37145100288.0,36898833740.32441,36952562712.59747,37089255089.82338,100.0,0.0,,,4607417.785268101,0.9999944307446826,0.7322232644000249,,,True,8264
2,16,machine07_UM,,,,16743583744.0,19109490688.0,21727277056.0,17727640853.117153,19126675093.86521,20976998691.813942,100.0,0.0,,,167554253.02975148,1.0008992602757332,0.6519979531791841,,,True,8264
2,1,cluster_UM,113481224192.0,119524771840.0,181478932480.0,117320785920.0,119204253696.0,179990249472.0,116269315747.90527,119293246242.88747,148633678680.10413,100.0,0.0,0.0,0.19891391552334292,1048733686.1079497,1.0007465551280947,0.5164295511376847,119592198251.657,5272299242.356822,True,8279
2,1,machine01_UM,,,,17265197056.0,18122485760.0,43426471936.0,16827712715.939117,18116108489.42112,32276700855.390724,100.0,0.0,,,262446604.97114608,0.9996481017745945,0.5905288717891262,,,True,8279
2,1,machine02_UM,,,,10703691776.0,13187932160.0,15011741696.0,11387433466.670208,13198755791.611635,14782853396.827648,100.0,0.0,,,88893739.79892877,1.0008207224210983,0.788157053239866,,,True,8279
2,1,machine03_UM,,,,14875004928.0,15656804352.0,45909262336.0,10997322187.263,15759404595.9417,26904234391.11532,100.0,0.0,,,616887912.2037297,1.0065530769648146,0.5125597817511123,,,True,8279
2,1,machine04_UM,,,,7274340352.0,7344824320.0,24250015744.0,6899042574.08301,7413801651.407709,15821023234.558804,100.0,0.0,,,363097950.176005,1.009391284039277,0.5255744148289021,,,True,8279
2,1,machine05_UM,,,,7986626560.0,8753602560.0,10436030464.0,8222574986.020054,8749603844.300266,10182132522.467749,100.0,0.0,,,55539573.28858106,0.9995431919975433,0.8000140496418898,,,True,8279
2,1,machine06_UM,,,,36885041152.0,36952809472.0,37145100288.0,36898506984.725876,36952434347.70376,37090437190.897446,100.0,0.0,,,4591495.270878508,0.9999898485581583,0.7380252396576824,,,True,8279
2,1,machine07_UM,,,,16743583744.0,19107807232.0,21727277056.0,17671024136.45618,19127608028.369854,21051959152.759796,100.0,0.0,,,165431884.25619707,1.0010362673293403,0.6783994930351797,,,True,8279
2,8,cluster_UM,113481224192.0,119523205120.0,181478932480.0,117320785920.0,119206520832.0,179990249472.0,116314751871.10327,119309441581.5193,149509985199.5548,100.0,0.0,0.0,0.19856340488398475,1047041227.013701,1.0008633818754291,0.5296875295718431,119591641054.87871,5273082558.316619,True,8272
2,8,machine01_UM,,,,17265197056.0,18122602496.0,43426471936.0,16828474562.605797,18134107323.456573,32348473813.23657,100.0,0.0,,,267291185.6391291,1.0006348330742847,0.5932432315252204,,,True,8272
2,8,machine02_UM,,,,10703691776.0,13187762176.0,15011741696.0,12221527603.56462,13199540586.90969,14165087817.148241,100.0,0.0,,,118356204.63658413,1.0008931318864034,0.45114616814459335,,,True,8272
2,8,machine03_UM,,,,14875004928.0,15656986624.0,45909262336.0,11221328244.881962,15751601639.81766,26957705506.515656,100.0,0.0,,,604648543.99596,1.0060429901417063,0.5070647270450613,,,True,8272
2,8,machine04_UM,,,,7274340352.0,7344766976.0,24250015744.0,6900336547.833306,7407405914.521784,16015521639.161514,100.0,0.0,,,367805728.67494065,1.0085283765606812,0.5369556663191059,,,True,8272
2,8,machine05_UM,,,,7986626560.0,8753637376.0,10436030464.0,8230878322.032443,8747464910.644676,10140546164.743591,100.0,0.0,,,56429507.63417927,0.9992948685112035,0.7796459536920655,,,True,8272
2,8,machine06_UM,,,,36885041152.0,36952799232.0,37145100288.0,36898682724.501564,36952422854.66536,37089739344.59375,100.0,0.0,,,4594118.089569029,0.9999898146461847,0.7346660572316366,,,True,8272
2,8,machine07_UM,,,,16743583744.0,19109079040.0,21727277056.0,17710839645.372993,19126474082.05943,21030414332.146423,100.0,0.0,,,167352341.8718603,1.0009103024809838,0.6660872728224232,,,True,8272
