run_id,base_run_id,fold,horizon,base_model,reconciliation_method,top_mae,top_rmse,top_r2,top_mase,mase_valid,coherence_before,coherence_after,is_coherent_after,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,adj_magnitude,ind_top_mae,wall_train_sec_sum,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,pers_ind_mae,ridge_ind_mae,ridge_wls_mae,ridge_mint_mae,dlin_ind_mae,rel_vs_dlin_ind,rel_vs_pers_ind,rel_vs_ridge_ind,rel_vs_ridge_wls,rel_vs_ridge_mint
base__memory_um__f1__h8__dlinear__s0__wls__nn0,base__memory_um__f1__h8__dlinear__s0,1,8,dlinear,wls,794256307.6040021,2848421109.4023066,0.545097374129802,0.813747359940904,True,287605532.3304146,0.0,True,177383673.798938,149715079.32075864,325102628.84437406,4634780.622343329,4,3,35950691.54130185,836114125.5450646,2.1205852510001932,325102628.84437406,118740590.86897095,310503960.9767003,294990956.66816145,56391137.03876798,4634780.622343329,131321661.57324791,844465442.1477809,835005834.3233938,787653614.2190269,787864181.2173144,836114125.5450646,0.9499376739822746,0.9405432927887744,0.9511985125799617,1.0083827373680267,1.008113233903858
base__memory_um__f1__h8__dlinear__s0__mint__nn0,base__memory_um__f1__h8__dlinear__s0,1,8,dlinear,mint,794415111.9192388,2848411744.3900943,0.5451003653740598,0.8139100613145461,True,287605532.3304146,0.0,True,177276521.15879196,149592818.38285932,324245774.5982371,4634643.192517111,5,2,35951572.220073976,836114125.5450646,2.1205852510001932,324245774.5982371,118748812.91419695,310536754.79281205,295056482.5198078,56391339.75816247,4634643.192517111,131321840.33581018,844465442.1477809,835005834.3233938,787653614.2190269,787864181.2173144,836114125.5450646,0.9501276053688937,0.9407313458544307,0.9513886960597757,1.008584354312798,1.008314796963866
base__memory_um__f2__h16__dlinear__s0__independent__nn0,base__memory_um__f2__h16__dlinear__s0,2,16,dlinear,independent,1056253575.3982915,3268584090.9624124,0.4403320156242032,1.0006503400189206,True,442752201.4274765,442752201.4274765,False,228959976.162846,192985905.78749323,629540423.6563805,4607417.785268101,0,0,0.0,1056253575.3982915,2.707794043000831,263348701.24592417,116517024.16187097,629540423.6563805,365157847.7849238,55994165.475802794,4607417.785268101,167554253.02975148,1043733133.2584704,1065098498.0995754,1065919806.8753792,1065340507.2458456,1056253575.3982915,1.0,1.0119958270374467,0.9916956762993604,0.9909315584392571,0.9914703967550751
base__memory_um__f2__h16__dlinear__s0__bottom_up__nn0,base__memory_um__f2__h16__dlinear__s0,2,16,dlinear,bottom_up,1114268869.9370599,3310106569.974992,0.42602220524723844,1.055611597011235,True,442752201.4274765,0.0,True,228959976.162846,192985905.78749323,629540423.6563805,4607417.785268101,0,0,55344025.178434566,1056253575.3982915,2.707794043000831,263348701.24592417,116517024.16187097,629540423.6563805,365157847.7849238,55994165.475802794,4607417.785268101,167554253.02975148,1043733133.2584704,1065098498.0995754,1065919806.8753792,1065340507.2458456,1056253575.3982915,1.0549255367177262,1.0675802409935777,1.0461650935807512,1.0453590061370661,1.0459274404365846
base__memory_um__f2__h16__dlinear__s0__wls__nn0,base__memory_um__f2__h16__dlinear__s0,2,16,dlinear,wls,1065327935.1031616,3276438571.1055675,0.4376389946270408,1.0092470078415203,True,442752201.4274765,0.0,True,226909603.9732956,191513171.42209607,600080413.7275304,4607454.501240323,4,3,55344025.17843456,1056253575.3982915,2.707794043000831,280534114.12252593,116461853.83404443,600080413.7275304,363147679.84690046,56003152.34630438,4607454.501240323,167532559.43452334,1043733133.2584704,1065098498.0995754,1065919806.8753792,1065340507.2458456,1056253575.3982915,1.0085910806990153,1.0206899648545922,1.0002154138833128,0.9994447314250097,0.9999881989442826
base__memory_um__f2__h16__dlinear__s0__mint__nn0,base__memory_um__f2__h16__dlinear__s0,2,16,dlinear,mint,1063840218.9395489,3275376562.2603474,0.43800349745958855,1.0078376079401667,True,442752201.4274765,0.0,True,226014500.40097898,190620467.1245153,596211151.2072144,4607378.905855315,5,2,55344694.547627985,1056253575.3982915,2.707794043000831,278078912.02209604,116428414.82956123,596211151.2072144,363241001.0698871,56009196.54023494,4607378.905855315,167525448.23200363,1043733133.2584704,1065098498.0995754,1065919806.8753792,1065340507.2458456,1056253575.3982915,1.007182596791113,1.0192645850173456,0.9988186264817088,0.9980490202711155,0.9985917288452917
base__memory_um__f2__h1__dlinear__s0__independent__nn0,base__memory_um__f2__h1__dlinear__s0,2,1,dlinear,independent,1048733686.1079497,3264757937.5174284,0.44090583834607977,0.994047572776639,True,446698754.89137936,446698754.89137936,False,222412737.13792375,187615647.80681637,616887912.2037297,4591495.270878508,0,0,0.0,1048733686.1079497,2.7709184160003133,262446604.97114608,88893739.79892877,616887912.2037297,363097950.176005,55539573.28858106,4591495.270878508,165431884.25619707,1042314122.8689456,1062872941.5920458,1063609034.760056,1063028098.595265,1048733686.1079497,1.0,1.0061589525634886,0.9866971347836578,0.986014270125618,0.9865531188627991
base__memory_um__f2__h1__dlinear__s0__bottom_up__nn0,base__memory_um__f2__h1__dlinear__s0,2,1,dlinear,bottom_up,1087821698.7668452,3299611347.436745,0.42890473258126427,1.0310973449189234,True,446698754.89137936,0.0,True,222412737.13792375,187615647.80681637,616887912.2037297,4591495.270878508,0,0,55837344.36142242,1048733686.1079497,2.7709184160003133,262446604.97114608,88893739.79892877,616887912.2037297,363097950.176005,55539573.28858106,4591495.270878508,165431884.25619707,1042314122.8689456,1062872941.5920458,1063609034.760056,1063028098.595265,1048733686.1079497,1.037271628800214,1.043660135557447,1.023472944129549,1.022764627993454,1.0233235605007465
base__memory_um__f2__h1__dlinear__s0__wls__nn0,base__memory_um__f2__h1__dlinear__s0,2,1,dlinear,wls,1045026092.8781725,3268078093.5977626,0.43976809778157266,0.9905333116255732,True,446698754.89137936,0.0,True,220735988.842688,186601676.11529955,587208850.1702096,4591548.577071637,4,3,55837344.36142242,1048733686.1079497,2.7709184160003133,283071648.5075403,88889896.1667454,587208850.1702096,360436896.49934244,55545829.29013003,4591548.577071637,165407252.68777627,1042314122.8689456,1062872941.5920458,1063609034.760056,1063028098.595265,1048733686.1079497,0.9964646952044262,1.0026018739933815,0.9832088596712782,0.9825284091479387,0.983065352890595
base__memory_um__f2__h1__dlinear__s0__mint__nn0,base__memory_um__f2__h1__dlinear__s0,2,1,dlinear,mint,1044144042.2036036,3267391148.3033133,0.4400035929017573,0.9896972553953446,True,446698754.89137936,0.0,True,219747163.00494167,185605564.0183649,583648941.2473478,4591583.08589966,4,3,55837344.361422405,1048733686.1079497,2.7709184160003133,279660478.71818876,88892690.57116225,583648941.2473478,360488148.1057413,55550505.73479667,4591583.08589966,165397793.57145524,1042314122.8689456,1062872941.5920458,1063609034.760056,1063028098.595265,1048733686.1079497,0.9956236326103158,1.001755631334651,0.9823789856194959,0.981699109428077,0.9822355999652167
base__memory_um__f2__h8__dlinear__s0__independent__nn0,base__memory_um__f2__h8__dlinear__s0,2,8,dlinear,independent,1047041227.013701,3261872960.6639767,0.442238337275768,0.9921592884362527,True,422773609.62416166,422773609.62416166,False,226639661.50603178,190606969.09167227,604648543.99596,4594118.089569029,0,0,0.0,1047041227.013701,2.6922087909988477,267291185.6391291,118356204.63658413,604648543.99596,367805728.67494065,56429507.63417927,4594118.089569029,167352341.8718603,1043003720.7891682,1063739741.8137752,1064527863.0082308,1063940225.901815,1047041227.013701,1.0,1.003871037220728,0.984302067372606,0.9835733411945511,0.9841165899392608
base__memory_um__f2__h8__dlinear__s0__bottom_up__nn0,base__memory_um__f2__h8__dlinear__s0,2,8,dlinear,bottom_up,1102962664.1543586,3298310783.4214487,0.4297074161198765,1.0451495354774816,True,422773609.62416166,0.0,True,226639661.50603178,190606969.09167227,604648543.99596,4594118.089569029,0,0,52846701.203020215,1047041227.013701,2.6922087909988477,267291185.6391291,118356204.63658413,604648543.99596,367805728.67494065,56429507.63417927,4594118.089569029,167352341.8718603,1043003720.7891682,1063739741.8137752,1064527863.0082308,1063940225.901815,1047041227.013701,1.0534090116968489,1.0574867971897777,1.0368726680021418,1.0361050212791196,1.0366772844023897
base__memory_um__f2__h8__dlinear__s0__wls__nn0,base__memory_um__f2__h8__dlinear__s0,2,8,dlinear,wls,1057524495.8382838,3267473942.2985206,0.44032122094557047,1.0020930639831327,True,422773609.62416166,0.0,True,224774257.35124716,189277168.2724499,578887060.3866627,4594127.940978094,4,3,52846701.20302018,1047041227.013701,2.6922087909988477,282321533.1283737,118296655.34845456,578887060.3866627,365647897.1683627,56436852.376921386,4594127.940978094,167235675.10897702,1043003720.7891682,1063739741.8137752,1064527863.0082308,1063940225.901815,1047041227.013701,1.0100122789381298,1.0139220740632917,0.9941571742305182,0.9934211518426992,0.9939698397453737
base__memory_um__f2__h8__dlinear__s0__mint__nn0,base__memory_um__f2__h8__dlinear__s0,2,8,dlinear,mint,1055903452.2580509,3266356713.6424665,0.4407038910328689,1.0005569893725128,True,422773609.62416166,0.0,True,224103729.42082828,188602120.08518878,576032849.123813,4594149.862481451,4,3,52846701.20302019,1047041227.013701,2.6922087909988477,280378671.4284435,118254486.97010532,576032849.123813,365784785.4968818,56445982.63654783,4594149.862481451,167235180.42752495,1043003720.7891682,1063739741.8137752,1064527863.0082308,1063940225.901815,1047041227.013701,1.0084640652303885,1.0123678671626621,0.9926332642772538,0.991898370113293,0.9924462169508141
