target,exog,n_exog,multivariate,model,horizon,mae,mase,n_parameters,train_seconds,n_test,outer_fold,experiment_stage,eligible_for_final_claims
averageRttWithGoogleDns,"minRttwithGoogleDns,maxrttWithGoogleDns",2,True,ridge,8,0.25244951465699883,0.8945850330690471,776,0.017654750001383945,8219,outer_1,development,False
averageRttWithGoogleDns,"minRttwithGoogleDns,maxrttWithGoogleDns",2,True,lightgbm,1,0.27508729682249455,0.9748047202989684,-200,0.7214842909997969,8233,outer_1,development,False
averageRttWithGoogleDns,"minRttwithGoogleDns,maxrttWithGoogleDns",2,True,lightgbm,8,0.271509271342313,0.9621255592918297,-1600,6.275870458001009,8219,outer_1,development,False
jitterWithGoogleDns,,0,False,ridge,1,0.20696962719478987,,33,0.0011105840021627955,8209,outer_1,development,False
jitterWithGoogleDns,,0,False,ridge,8,0.20386945954744945,,264,0.006826042001193855,8195,outer_1,development,False
jitterWithGoogleDns,,0,False,lightgbm,1,0.2149270456040615,,-200,0.5420990419988811,8209,outer_1,development,False
jitterWithGoogleDns,,0,False,lightgbm,8,0.21011799689676391,,-1600,4.345217833000788,8195,outer_1,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,ridge,1,0.20210043389329166,,129,0.0054342090006684884,8209,outer_1,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,ridge,8,0.19884499322503962,,1032,0.02612079100072151,8195,outer_1,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,lightgbm,1,0.23135508613121109,,-200,0.797057458999916,8209,outer_1,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,lightgbm,8,0.22791870501608646,,-1600,7.662600790998113,8195,outer_1,development,False
cluster_mean_CU,,0,False,ridge,1,1.3009527738415996,1.1074214988240922,33,0.0017129580010077916,8279,outer_2,development,False
cluster_mean_CU,,0,False,ridge,8,1.3018172984994685,1.1081574157702243,264,0.009328165997430915,8272,outer_2,development,False
cluster_mean_CU,,0,False,lightgbm,1,1.090395081497911,0.9281866181022956,-200,0.5865581250000105,8279,outer_2,development,False
cluster_mean_CU,,0,False,lightgbm,8,1.0948288310869339,0.9319607978527161,-1600,4.8314906250016065,8272,outer_2,development,False
cluster_mean_CU,cluster_UM,1,True,ridge,1,1.3186293812309444,1.1224685131683785,65,0.0028716249980789144,8279,outer_2,development,False
cluster_mean_CU,cluster_UM,1,True,ridge,8,1.3195781448324555,1.1232761375731541,520,0.018785666998155648,8272,outer_2,development,False
cluster_mean_CU,cluster_UM,1,True,lightgbm,1,1.0834045016536233,0.9222359651927742,-200,0.6378792920004344,8279,outer_2,development,False
cluster_mean_CU,cluster_UM,1,True,lightgbm,8,1.082729914152678,0.9216617301272084,-1600,6.106210166999517,8272,outer_2,development,False
cluster_UM,,0,False,ridge,1,1062872941.5920458,1.008437280723627,33,0.0017067919980036095,8279,outer_2,development,False
cluster_UM,,0,False,ridge,8,1063739741.8137753,1.0092596872637938,264,0.009617125000659144,8272,outer_2,development,False
cluster_UM,,0,False,lightgbm,1,1301076111.0727248,1.2344407352203022,-200,0.5678313749995141,8279,outer_2,development,False
cluster_UM,,0,False,lightgbm,8,1310303245.9898474,1.2431952970127544,-1600,4.740131000002293,8272,outer_2,development,False
