hierarchy,model,horizon,seed,outer_fold,method,top_mae,top_mase,mase_valid,coherence_error,experiment_stage,eligible_for_final_claims
memory_um,lstm,1,0,outer_1,independent,120525261792.99883,123.51250483373902,True,7.83367383480072,development,False
memory_um,lstm,1,0,outer_1,bottom_up,120525261785.16512,123.51250482571115,True,0.0,development,False
memory_um,lstm,1,0,outer_1,wls,120525261787.8177,123.51250482842948,True,0.0,development,False
memory_um,lstm,1,0,outer_1,mint,120525261787.8177,123.51250482842948,True,0.0,development,False
memory_um,lstm,1,0,outer_1,bottom_up_nn,120525261785.16512,123.51250482571115,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_1,independent,1.0752119370862752,0.9884041233644226,True,84.0573319304105,development,False
cpu_core_weighted,lstm,1,0,outer_1,bottom_up,1.0304285072100419,0.947236307772622,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_1,wls,1.0723072809447551,0.9857339761978888,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_1,mint,1.0884943728565555,1.0006141945428033,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_1,bottom_up_nn,1.0304285072100419,0.947236307772622,True,0.0,development,False
memory_um,lstm,1,1,outer_1,independent,120525261793.45555,123.51250483420706,True,5.093117892742157,development,False
memory_um,lstm,1,1,outer_1,bottom_up,120525261788.36243,123.5125048289877,True,0.0,development,False
memory_um,lstm,1,1,outer_1,wls,120525261790.08705,123.51250483075508,True,0.0,development,False
memory_um,lstm,1,1,outer_1,mint,120525261790.08705,123.51250483075508,True,0.0,development,False
memory_um,lstm,1,1,outer_1,bottom_up_nn,120525261788.36243,123.5125048289877,True,0.0,development,False
cpu_core_weighted,lstm,1,1,outer_1,independent,1.019479596856833,0.9371713635823766,True,79.08671020776617,development,False
cpu_core_weighted,lstm,1,1,outer_1,bottom_up,1.0413854877478959,0.9573086705968171,True,0.0,development,False
cpu_core_weighted,lstm,1,1,outer_1,wls,1.0518630135606997,0.9669402877309203,True,0.0,development,False
