experiment_stage,eligible_for_final_claims,resolution,factor,target,model,horizon_steps,wallclock_horizon_sec,context_steps,outer_fold,mae,mase,mase_valid,peak_recall,peak_magnitude_mae,train_seconds,infer_seconds,n_test
development,False,2x,2,cluster_UM,ridge,1,84.570332,16,outer_1,926718843.6093328,0.8318087412337819,True,0.895,7658506269.873306,0.0006785839977965225,8.983299994724803e-05,4138
development,False,2x,2,cluster_UM,persistence,8,676.562656,16,outer_1,959901106.0411522,0.8615926353835984,True,1.0,9038721689.6,2.516699896659702e-05,3.4249998861923814e-05,4131
development,False,2x,2,cluster_UM,ridge,8,676.562656,16,outer_1,927715349.0209721,0.8327031893372219,True,0.895,7657501405.570686,0.004384458999993512,0.0007769169969833456,4131
development,False,2x,2,machine01_DWT,persistence,1,84.570332,16,outer_1,4947294.663948565,0.45778825156032044,True,1.0,130316162.4478432,2.0749997929669917e-05,1.625001459615305e-06,4138
development,False,2x,2,machine01_DWT,ridge,1,84.570332,16,outer_1,6677626.860457324,0.6179011626894219,True,0.3584905660377358,119681248.45572357,0.0007439159999194089,0.00012187500033178367,4138
development,False,2x,2,machine01_DWT,persistence,8,676.562656,16,outer_1,4955656.825874081,0.4585620278860045,True,1.0,130316162.4478432,2.587499693618156e-05,3.608299812185578e-05,4131
development,False,2x,2,machine01_DWT,ridge,8,676.562656,16,outer_1,6685633.507682231,0.6186420421564688,True,0.3584905660377358,119630169.98645562,0.004944000000250526,0.0009072499997273553,4131
development,False,2x,2,machine01_tx_bond0,persistence,1,84.570332,16,outer_1,39.4319411022176,1.345550983401732,True,0.9971988795518207,256.7849797294,1.8374998035142198e-05,1.6660014807712287e-06,4138
development,False,2x,2,machine01_tx_bond0,ridge,1,84.570332,16,outer_1,42.48056993977891,1.4495804938885188,True,0.8235294117647058,282.8234592967786,0.0007083749987941701,0.00012704099935945123,4138
development,False,2x,2,machine01_tx_bond0,persistence,8,676.562656,16,outer_1,39.40122503372301,1.3445028474232879,True,1.0,257.21833491486626,2.5707999157020822e-05,3.654200190794654e-05,4131
development,False,2x,2,machine01_tx_bond0,ridge,8,676.562656,16,outer_1,42.47295213015496,1.4493205485004816,True,0.8253521126760563,287.2407832618644,0.004282792000594782,0.00116879100096412,4131
development,False,2x,2,averageRttWithGoogleDns,persistence,1,84.570332,16,outer_1,0.1998659980666989,0.7414781144880943,True,1.0,5.490527272727272,1.7708000086713582e-05,1.5839978004805744e-06,4138
development,False,2x,2,averageRttWithGoogleDns,ridge,1,84.570332,16,outer_1,0.2398260367050346,0.8897249117974427,True,0.6181818181818182,7.221239050073083,0.0006961660001252312,9.670800136518665e-05,4138
development,False,2x,2,averageRttWithGoogleDns,persistence,8,676.562656,16,outer_1,0.19459876543209878,0.7219373333634824,True,1.0,5.506292452830189,2.662499900907278e-05,3.96249997720588e-05,4131
development,False,2x,2,averageRttWithGoogleDns,ridge,8,676.562656,16,outer_1,0.23499150608380187,0.8717894015848936,True,0.6037735849056604,7.333103339590595,0.004361582999990787,0.0007333329995162785,4131
development,False,2x,2,jitterWithGoogleDns,persistence,1,84.570332,16,outer_1,0.20623791686805223,0.8380933896218953,True,1.0,2.3625718749999995,1.633300053072162e-05,1.7080019460991025e-06,4138
