target,horizon,method,mae_mean,mae_std,beat_rate,peak_recall_mean
jitterWithGoogleDns,8,ens_stacking,0.2822108482659413,0.06974886974242857,0.3333333333333333,0.16899644783420809
jitterWithGoogleDns,8,ewma,0.2641542473895468,0.07516512743663024,0.0,0.2351471791327534
jitterWithGoogleDns,8,lightgbm,0.2890543126485583,0.069014680201639,0.0,0.2154969224556292
jitterWithGoogleDns,8,persistence,0.2862515176883685,0.08114594685318796,0.0,0.1850153416304308
jitterWithGoogleDns,8,regime_router,0.2752843033563104,0.06737884164967653,0.0,0.192626157836592
jitterWithGoogleDns,8,ridge,0.26961590597962415,0.061906659964689636,0.0,0.13669654032165882
jitterWithGoogleDns,8,static_router,0.2688723958336871,0.06828567273031473,0.0,0.20334505899141064
jitterWithGoogleDns,16,constrained_mixture,0.2650603280419714,0.06274894960015139,0.0,0.14673623424638668
jitterWithGoogleDns,16,ens_inverse_mae,0.259186878295739,0.06890913705089433,0.0,0.20385900033095017
jitterWithGoogleDns,16,ens_mean,0.2596340078566489,0.06893811906766587,0.0,0.20104068440502046
jitterWithGoogleDns,16,ens_stacking,0.2771982978607598,0.06926397409196522,0.0,0.17060061036953653
jitterWithGoogleDns,16,ewma,0.2609327620714738,0.07504206394372404,0.0,0.22439603968032118
jitterWithGoogleDns,16,lightgbm,0.28389920848457345,0.0676874166708812,0.0,0.21977480186686246
jitterWithGoogleDns,16,persistence,0.282960630450974,0.08142771620374532,0.0,0.17870249758752313
jitterWithGoogleDns,16,regime_router,0.27754308160900815,0.07384775476706743,0.0,0.18514026582786647
jitterWithGoogleDns,16,ridge,0.2655729614391605,0.060929686289129835,0.0,0.11680075898205163
jitterWithGoogleDns,16,static_router,0.26567669928235477,0.06807479507553878,0.0,0.1897484889037381
machine01_CU,1,constrained_mixture,2.3046009346552037,0.6993718325614392,0.6666666666666666,0.7681102657289025
machine01_CU,1,ens_inverse_mae,2.593131018032376,0.7086481155063395,0.0,0.7167715986439024
machine01_CU,1,ens_mean,2.6493506840678744,0.6982574666799646,0.0,0.6584661977845757
machine01_CU,1,ens_stacking,2.3063570522739325,0.7013917377264736,0.3333333333333333,0.7667441455103233
machine01_CU,1,ewma,3.515077934806511,0.9483047380440444,0.0,0.554756538639196
machine01_CU,1,lightgbm,2.3098324820049836,0.7118005427711201,0.0,0.7712945677656635
machine01_CU,1,persistence,2.798035816785203,0.7543248429762122,0.0,0.6141672113716979
machine01_CU,1,regime_router,2.50343845111505,0.548399213440861,0.3333333333333333,0.6546266809597266
machine01_CU,1,ridge,3.1289985364660367,0.6571125347412657,0.0,0.5019145728205262
machine01_CU,1,static_router,2.3098324820049836,0.7118005427711201,0.0,0.7712945677656635
machine01_CU,4,constrained_mixture,2.2986976881817687,0.6798231893178833,0.6666666666666666,0.7767900928201303
machine01_CU,4,ens_inverse_mae,2.577594710367876,0.6706096893089162,0.0,0.7011110129221821
machine01_CU,4,ens_mean,2.6344033053708844,0.65757908042775,0.0,0.6510236796544366
machine01_CU,4,ens_stacking,2.297708994766215,0.6776081719584813,0.3333333333333333,0.7767900928201303
machine01_CU,4,ewma,3.4915343697271823,0.8949112400031403,0.0,0.5557996596107242
machine01_CU,4,lightgbm,2.3067634149106877,0.6938445606513849,0.0,0.7763077842032198
machine01_CU,4,persistence,2.7735875848247304,0.7073951521196751,0.0,0.6152859315748053
machine01_CU,4,regime_router,2.4797731078814462,0.6009862599801468,0.0,0.6397562664523003
machine01_CU,4,ridge,3.102345109592889,0.6325939497608454,0.0,0.5043476633845608
machine01_CU,4,static_router,2.3067634149106877,0.6938445606513849,0.0,0.7763077842032198
machine01_CU,8,constrained_mixture,2.337386468572077,0.7279874514607562,1.0,0.778060850448887
machine01_CU,8,ens_inverse_mae,2.5913020952379267,0.687262044931007,0.0,0.7123528830113032
machine01_CU,8,ens_mean,2.648119984330132,0.6660978941817877,0.0,0.6541898231485455
machine01_CU,8,ens_stacking,2.337869934351152,0.7287667013717717,0.3333333333333333,0.7792977088286026
machine01_CU,8,ewma,3.50203630001239,0.8863675357667754,0.0,0.5565495478705147
machine01_CU,8,lightgbm,2.3491681476910196,0.7483309561826825,0.0,0.7817714255880336
machine01_CU,8,persistence,2.7811249426913136,0.6963820726324007,0.0,0.6160266748558179
machine01_CU,8,regime_router,2.453465210871765,0.7053921665105444,0.3333333333333333,0.6810956352708564
machine01_CU,8,ridge,3.114557225465383,0.6312978954713319,0.0,0.505010674345961
machine01_CU,8,static_router,2.3491681476910196,0.7483309561826825,0.0,0.7817714255880336
machine01_CU,16,constrained_mixture,2.3370620665043815,0.7280143332883008,1.0,0.775395227384659
machine01_CU,16,ens_inverse_mae,2.596848012017098,0.6835461953381647,0.0,0.7078267673741729
machine01_CU,16,ens_mean,2.6573428496324136,0.6718698792118178,0.0,0.6560381708201731
machine01_CU,16,ens_stacking,2.3380580521406635,0.7294939078940664,0.3333333333333333,0.775395227384659
machine01_CU,16,ewma,3.511322510424005,0.9015073473965312,0.0,0.5572292901131065
machine01_CU,16,lightgbm,2.3386951365875848,0.7289110170571973,0.0,0.7768701536383462
machine01_CU,16,persistence,2.7918456868917705,0.7052888809753339,0.0,0.6155046156047993
machine01_CU,16,regime_router,2.5848716021891627,0.6605500481602369,0.0,0.6545292419856571
machine01_CU,16,ridge,3.1345986505577215,0.6482634707995074,0.0,0.5073138756253879
machine01_CU,16,static_router,2.3386951365875848,0.7289110170571973,0.0,0.7768701536383462
machine01_DWT,1,constrained_mixture,8922865.817611651,4456462.849459022,0.3333333333333333,0.5833631982184435
machine01_DWT,1,ens_inverse_mae,8405024.582896465,4767936.332897332,0.3333333333333333,0.48818704773344174
machine01_DWT,1,ens_mean,8534723.634798005,4843702.555814722,0.0,0.478207007813282
machine01_DWT,1,ens_stacking,8924453.357420098,4458435.752301853,0.3333333333333333,0.5833631982184435
machine01_DWT,1,ewma,8584778.7709534,5534051.508483569,0.0,0.4335092515722407
machine01_DWT,1,lightgbm,8939181.935549477,4448667.227677475,0.0,0.5774634932036943
machine01_DWT,1,persistence,8662595.563895933,5681729.518826487,0.0,0.3653788457172839
machine01_DWT,1,regime_router,7852067.481141212,4591504.60214409,1.0,0.41328303733405036
machine01_DWT,1,ridge,10266466.23473113,5371537.807211586,0.0,0.4139411769708698
machine01_DWT,1,static_router,8288104.3130930355,5020982.410331685,0.0,0.45879201936997854
machine01_DWT,4,constrained_mixture,8846534.981763469,4478032.551040043,0.3333333333333333,0.5747134377590281
machine01_DWT,4,ens_inverse_mae,8451247.907212492,4844169.521642491,0.3333333333333333,0.49361362492975375
machine01_DWT,4,ens_mean,8573508.67475856,4906605.397029687,0.0,0.485629592993626
machine01_DWT,4,ens_stacking,8848534.915111603,4478986.719250164,0.3333333333333333,0.5747134377590281
machine01_DWT,4,ewma,8619824.118598077,5550375.084572264,0.0,0.4335092515722407
machine01_DWT,4,lightgbm,8927819.808754552,4569523.819780559,0.0,0.571098249256976
machine01_DWT,4,persistence,8700878.105102733,5698199.470222346,0.0,0.3653788457172839
machine01_DWT,4,regime_router,7785708.451236687,4449404.903220133,1.0,0.4046336694032453
machine01_DWT,4,ridge,10311594.899755405,5402280.404893065,0.0,0.4159371849549017
machine01_DWT,4,static_router,8697085.12441084,4773451.2736317525,0.0,0.5365303480224082
machine01_DWT,8,constrained_mixture,8939586.293253807,4394724.45715184,0.3333333333333333,0.5781288291983715
machine01_DWT,8,ens_inverse_mae,8499741.301322527,4807476.67285354,0.3333333333333333,0.4870485839203272
machine01_DWT,8,ens_mean,8635342.927436724,4891487.63885135,0.0,0.48039522397355405
machine01_DWT,8,ens_stacking,8941341.03145899,4395695.427525257,0.3333333333333333,0.5774634932036943
machine01_DWT,8,ewma,8655895.960396983,5574284.967623586,0.0,0.4335092515722407
machine01_DWT,8,lightgbm,9032593.874710726,4479444.733541989,0.0,0.565952591702861
machine01_DWT,8,persistence,8740060.852538237,5728241.128492784,0.0,0.3653788457172839
machine01_DWT,8,regime_router,7905034.412813616,4646488.311202668,1.0,0.4179403892967915
machine01_DWT,8,ridge,10344435.246330904,5403726.191561168,0.0,0.41327584097619247
machine01_DWT,8,static_router,8363279.137770531,5068330.902394241,0.0,0.4561306753912693
machine01_DWT,16,constrained_mixture,8850691.257105898,4530582.495687866,0.3333333333333333,0.5821483853368518
machine01_DWT,16,ens_inverse_mae,8465113.3850692,4851745.01687142,0.3333333333333333,0.4901008596907858
machine01_DWT,16,ens_mean,8591512.780488128,4926655.357994269,0.0,0.48074882228263616
machine01_DWT,16,ens_stacking,8851670.41626633,4531385.057259271,0.0,0.5821483853368518
machine01_DWT,16,ewma,8667872.08386313,5595749.779517008,0.0,0.43624508665037487
machine01_DWT,16,lightgbm,8862966.3404542,4521179.609074985,0.0,0.5881543913428579
machine01_DWT,16,persistence,8774040.51906456,5747228.173584362,0.0,0.3670968399081341
machine01_DWT,16,regime_router,7925221.928718614,4631591.97075564,1.0,0.42235661318603324
machine01_DWT,16,ridge,10305684.066138184,5407019.617850715,0.0,0.42158091450706525
machine01_DWT,16,static_router,9017168.189441584,5285817.827141962,0.0,0.5173261677314559
machine01_UM,1,constrained_mixture,389299328.49842995,165632875.2314575,0.0,0.8488246960071434
machine01_UM,1,ens_inverse_mae,334970934.0792554,107548020.77135648,0.3333333333333333,0.8304877674017698
