family,base_model,horizon,outer_fold,machine,method,mae,mae_vs_local,mae_rel
CU,ridge,1,outer_1,machine07,global_onehot,1.0279869702561037,0.04694033780438034,1.0478472034372843
CU,ridge,1,outer_1,machine07,global_residual,0.9810466045926498,-2.7859073603586637e-08,0.9999999716027019
CU,ridge,1,outer_1,machine07,global_embed,0.9544687383601196,-0.026577894091603826,0.9729086332775199
CU,ridge,1,outer_2,machine01,local,2.878752198904194,0.0,1.0
CU,ridge,1,outer_2,machine01,global_pooled,3.7771254544503523,0.8983732555461583,1.312070367115352
CU,ridge,1,outer_2,machine01,global_onehot,2.9595762549533657,0.08082405604917176,1.0280760727095364
CU,ridge,1,outer_2,machine01,global_residual,2.8787520469554764,-1.5194871760826345e-07,0.9999999472171597
CU,ridge,1,outer_2,machine01,global_embed,2.7966173175872076,-0.08213488131698643,0.9714685823433322
CU,ridge,1,outer_2,machine02,local,1.2715002049370696,0.0,1.0
CU,ridge,1,outer_2,machine02,global_pooled,1.449135442212856,0.17763523727578634,1.1397052368423157
CU,ridge,1,outer_2,machine02,global_onehot,1.4024698368170692,0.13096963187999955,1.1030040194814452
CU,ridge,1,outer_2,machine02,global_residual,1.2714998450420412,-3.598950284455782e-07,0.9999997169524416
CU,ridge,1,outer_2,machine02,global_embed,1.1679778449361007,-0.10352236000096893,0.9185825062402624
CU,ridge,1,outer_2,machine03,local,2.242908077800835,0.0,1.0
CU,ridge,1,outer_2,machine03,global_pooled,2.519392562432198,0.276484484631363,1.1232705376416743
CU,ridge,1,outer_2,machine03,global_onehot,2.51710223668896,0.27419415888812493,1.1222493964875153
CU,ridge,1,outer_2,machine03,global_residual,2.2429079365419304,-1.4125890457350465e-07,0.9999999370197531
CU,ridge,1,outer_2,machine03,global_embed,2.074631923600439,-0.1682761542003961,0.9249741191509773
CU,ridge,1,outer_2,machine04,local,4.213618744786,0.0,1.0
CU,ridge,1,outer_2,machine04,global_pooled,4.923237549320016,0.7096188045340153,1.168410776464318
CU,ridge,1,outer_2,machine04,global_onehot,4.541009935537734,0.32739119075173395,1.077698342109583
CU,ridge,1,outer_2,machine04,global_residual,4.2136182932190085,-4.515669917992682e-07,0.9999998928315496
CU,ridge,1,outer_2,machine04,global_embed,4.724076729133436,0.5104579843474353,1.1211447962583432
CU,ridge,1,outer_2,machine05,local,0.49945721476044447,0.0,1.0
CU,ridge,1,outer_2,machine05,global_pooled,0.5368637342421664,0.03740651948172191,1.074894342050226
CU,ridge,1,outer_2,machine05,global_onehot,0.5418927111344481,0.04243549637400368,1.0849632263183084
CU,ridge,1,outer_2,machine05,global_residual,0.4994569650536056,-2.4970683887293177e-07,0.9999995000435843
CU,ridge,1,outer_2,machine05,global_embed,0.526905410075634,0.027448195315189494,1.0549560492951424
CU,ridge,1,outer_2,machine06,local,0.06893257949458091,0.0,1.0
CU,ridge,1,outer_2,machine06,global_pooled,0.07504240456374352,0.0061098250691626055,1.0886347952442854
CU,ridge,1,outer_2,machine06,global_onehot,0.080683953731554,0.011751374236973089,1.170476345483298
CU,ridge,1,outer_2,machine06,global_residual,0.06893257411124405,-5.383336859621224e-09,0.9999999219043173
CU,ridge,1,outer_2,machine06,global_embed,0.07932559589215998,0.010393016397579072,1.1507707454701606
CU,ridge,1,outer_2,machine07,local,1.2357299899275636,0.0,1.0
CU,ridge,1,outer_2,machine07,global_pooled,1.2684495705453909,0.032719580617827315,1.0264779368345227
CU,ridge,1,outer_2,machine07,global_onehot,1.2540388167463647,0.018308826818801194,1.0148162033518944
CU,ridge,1,outer_2,machine07,global_residual,1.2357299136758735,-7.625169007319244e-08,0.9999999382942142
CU,ridge,1,outer_2,machine07,global_embed,1.2029376281740785,-0.0327923617534851,0.973463165885124
CU,ridge,4,outer_0,machine01,local,3.7059656901823153,0.0,1.0
CU,ridge,4,outer_0,machine01,global_pooled,4.399465838658163,0.6935001484758474,1.1871307525358472
CU,ridge,4,outer_0,machine01,global_onehot,3.853668323913519,0.14770263373120374,1.0398553699842639
CU,ridge,4,outer_0,machine01,global_residual,3.7059670191367657,1.3289544504857531e-06,1.0000003585986923
CU,ridge,4,outer_0,machine01,global_embed,4.575153013252046,0.8691873230697307,1.2345373367520223
