target,horizon,outer_fold,router,selected,constituent,selected_flag
machine01_DWT,16,outer_0,static,ewma,ridge,0.0
machine01_DWT,16,outer_0,static,ewma,lightgbm,0.0
machine01_DWT,16,outer_0,regime,per_timestep,persistence,0.33078003319290183
machine01_DWT,16,outer_0,regime,per_timestep,ewma,0.46482829056555597
machine01_DWT,16,outer_0,regime,per_timestep,ridge,0.0
machine01_DWT,16,outer_0,regime,per_timestep,lightgbm,0.2043916762415422
cluster_mean_CU,1,outer_1,static,lightgbm,persistence,0.0
cluster_mean_CU,1,outer_1,static,lightgbm,ewma,0.0
cluster_mean_CU,1,outer_1,static,lightgbm,ridge,0.0
cluster_mean_CU,1,outer_1,static,lightgbm,lightgbm,1.0
cluster_mean_CU,1,outer_1,regime,per_timestep,persistence,0.153093281778637
cluster_mean_CU,1,outer_1,regime,per_timestep,ewma,0.03455775737071049
cluster_mean_CU,1,outer_1,regime,per_timestep,ridge,0.03153697438376027
cluster_mean_CU,1,outer_1,regime,per_timestep,lightgbm,0.7808119864668922
cluster_mean_CU,4,outer_1,static,lightgbm,persistence,0.0
cluster_mean_CU,4,outer_1,static,lightgbm,ewma,0.0
cluster_mean_CU,4,outer_1,static,lightgbm,ridge,0.0
cluster_mean_CU,4,outer_1,static,lightgbm,lightgbm,1.0
cluster_mean_CU,4,outer_1,regime,per_timestep,persistence,0.14795116644506226
cluster_mean_CU,4,outer_1,regime,per_timestep,ewma,0.04581167653813611
cluster_mean_CU,4,outer_1,regime,per_timestep,ridge,0.029493533180224827
cluster_mean_CU,4,outer_1,regime,per_timestep,lightgbm,0.7767436238365768
cluster_mean_CU,8,outer_1,static,lightgbm,persistence,0.0
cluster_mean_CU,8,outer_1,static,lightgbm,ewma,0.0
cluster_mean_CU,8,outer_1,static,lightgbm,ridge,0.0
cluster_mean_CU,8,outer_1,static,lightgbm,lightgbm,1.0
cluster_mean_CU,8,outer_1,regime,per_timestep,persistence,0.13919458217438627
cluster_mean_CU,8,outer_1,regime,per_timestep,ewma,0.03410327730076188
cluster_mean_CU,8,outer_1,regime,per_timestep,ridge,0.03761035191679768
cluster_mean_CU,8,outer_1,regime,per_timestep,lightgbm,0.7890917886080542
cluster_mean_CU,16,outer_1,static,lightgbm,persistence,0.0
cluster_mean_CU,16,outer_1,static,lightgbm,ewma,0.0
cluster_mean_CU,16,outer_1,static,lightgbm,ridge,0.0
cluster_mean_CU,16,outer_1,static,lightgbm,lightgbm,1.0
cluster_mean_CU,16,outer_1,regime,per_timestep,persistence,0.11596659000121051
cluster_mean_CU,16,outer_1,regime,per_timestep,ewma,0.03268369446798208
cluster_mean_CU,16,outer_1,regime,per_timestep,ridge,0.03147318726546423
cluster_mean_CU,16,outer_1,regime,per_timestep,lightgbm,0.8198765282653432
machine01_CU,1,outer_1,static,lightgbm,persistence,0.0
machine01_CU,1,outer_1,static,lightgbm,ewma,0.0
machine01_CU,1,outer_1,static,lightgbm,ridge,0.0
machine01_CU,1,outer_1,static,lightgbm,lightgbm,1.0
machine01_CU,1,outer_1,regime,per_timestep,persistence,0.1563654899961769
machine01_CU,1,outer_1,regime,per_timestep,ewma,0.12093793806550274
machine01_CU,1,outer_1,regime,per_timestep,ridge,0.030839811392889
machine01_CU,1,outer_1,regime,per_timestep,lightgbm,0.6918567605454313
machine01_CU,4,outer_1,static,lightgbm,persistence,0.0
machine01_CU,4,outer_1,static,lightgbm,ewma,0.0
machine01_CU,4,outer_1,static,lightgbm,ridge,0.0
