hierarchy,model,horizon,outer_fold,method,top_mae,top_mae_vs_indep,top_mae_rel,bottom_mae_macro,worst_child_mae,coherence_error,coherent,adjustment_mae
bond0_transmitted_acamas,ridge,1,outer_0,bottom_up,44.861307665757366,0.00514215065368262,1.0001146364294546,11.215753978890875,44.85609136103968,0.0,True,0.006747792705983842
bond0_transmitted_acamas,ridge,1,outer_0,top_down,44.85616551510368,0.0,1.0,11.214468937055585,44.85095205061138,9.988460001122549e-13,True,0.0016869748893265357
bond0_transmitted_acamas,ridge,1,outer_0,ols,44.85719394523441,0.0010284301307237342,1.0000229272858907,11.215230014262492,44.85506293090893,0.0,True,0.002699117082382356
bond0_transmitted_acamas,ridge,1,outer_0,wls,44.85873658959426,0.0025710744905751426,1.0000573181960841,11.215111209861073,44.8535202849989,0.0,True,0.004217369616582611
bond0_transmitted_acamas,ridge,1,outer_0,mint,44.858736584391885,0.0025710692882014996,1.0000573180801051,11.21511120864455,44.853520280551805,0.0,True,0.004217364498055361
bond0_transmitted_acamas,ridge,1,outer_0,bottom_up_nn,44.81841415378757,-0.03775136131611134,0.9991583908057544,11.205030600898425,44.81319784906988,0.0,True,0.06036468266823546
bond0_transmitted_acamas,ridge,1,outer_0,ols_nn,44.81442364042682,-0.041741874676866075,0.9990694283785178,11.204463012840026,44.81216499393958,0.0,True,0.056446877334671616
bond0_transmitted_acamas,ridge,1,outer_1,independent,45.498169388352686,0.0,1.0,11.376111365333605,45.49819333052866,0.006797348576731594,True,0.0
bond0_transmitted_acamas,ridge,1,outer_1,bottom_up,45.5037156647837,0.0055462764310121315,1.0001219010897706,11.376111365333605,45.49819333052866,0.0,True,0.006797348576731594
bond0_transmitted_acamas,ridge,1,outer_1,top_down,45.498169388352686,0.0,1.0,11.374725414154769,45.49265031917135,9.99157065548839e-13,True,0.0016993438373511158
bond0_transmitted_acamas,ridge,1,outer_1,ols,45.499278643638874,0.0011092552861882155,1.0000243802179538,11.375654439318238,45.49708407524245,0.0,True,0.0027189394306795264
bond0_transmitted_acamas,ridge,1,outer_1,wls,45.50094252879597,0.0027731404432813633,1.0000609505938494,11.37541808133698,45.49542019454417,0.0,True,0.00424834491261621
bond0_transmitted_acamas,ridge,1,outer_1,mint,45.500942545465364,0.002773157112677893,1.0000609509602245,11.375418085506773,45.49542021123556,0.0,True,0.004248360206819739
bond0_transmitted_acamas,ridge,1,outer_1,bottom_up_nn,45.500159714113266,0.001990325760580447,1.000043745183319,11.375222325430322,45.49463730554265,0.0,True,0.011242548093144863
bond0_transmitted_acamas,ridge,1,outer_1,ols_nn,45.4960714810453,-0.002097907307387459,0.9999538902919483,11.374654449687498,45.493527018115365,0.0,True,0.007496988129462019
bond0_transmitted_acamas,ridge,1,outer_2,independent,55.71797201188356,0.0,1.0,13.931041213016488,55.71823015275019,0.006919230729502319,True,0.0
bond0_transmitted_acamas,ridge,1,outer_2,bottom_up,55.72329967594526,0.005327664061702819,1.000095618413042,13.931041213016488,55.71823015275019,0.0,True,0.006919230729502319
bond0_transmitted_acamas,ridge,1,outer_2,top_down,55.71797201188356,0.0,1.0,13.929709866144053,55.71290515402262,9.986741799051986e-13,True,0.001729891889989294
bond0_transmitted_acamas,ridge,1,outer_2,ols,55.71903754469588,0.0010655328123192476,1.0000191236826081,13.930722146702657,55.71716461993784,0.0,True,0.0027676922917869093
bond0_transmitted_acamas,ridge,1,outer_2,wls,55.72063584607718,0.0026638341936191523,1.0000478092453373,13.930375255549865,55.71556632288639,0.0,True,0.0043245212993671175
bond0_transmitted_acamas,ridge,1,outer_2,mint,55.720635846566054,0.002663834682493871,1.0000478092541114,13.930375255675237,55.71556632340336,0.0,True,0.004324521794848115
bond0_transmitted_acamas,ridge,1,outer_2,bottom_up_nn,55.72005428260932,0.002082270725757951,1.0000373716172821,13.930224583711167,55.714975388608586,0.0,True,0.011001885957061891
bond0_transmitted_acamas,ridge,1,outer_2,ols_nn,55.71633373547633,-0.001638276407227579,0.999970596984275,13.929726695871123,55.71390944397411,0.0,True,0.0073871571320701
bond0_transmitted_acamas,ridge,8,outer_0,independent,44.52767405407328,0.0,1.0,11.133618267302518,44.52757744886495,0.006696108566248948,False,0.0
bond0_transmitted_acamas,ridge,8,outer_0,bottom_up,44.53281388963003,0.00513983555674713,1.0001154301379072,11.133618267302518,44.52757744886495,0.0,True,0.006696108566248948
bond0_transmitted_acamas,ridge,8,outer_0,top_down,44.52767405407328,0.0,1.0,11.132333809171245,44.52244049449433,9.98714705206295e-13,True,0.0016740668527098898
bond0_transmitted_acamas,ridge,8,outer_0,ols,44.52870202118462,0.0010279671113408995,1.0000230860275812,11.133096218759515,44.526549481753584,0.0,True,0.002678443426488452
bond0_transmitted_acamas,ridge,8,outer_0,wls,44.5302439715095,0.002569917436218816,1.0000577150612695,11.132975787783591,44.525007530869495,0.0,True,0.00418506751869009
