family,held_out_machine,method,horizon,mae,mase
UM,machine03,persistence_local,8,376164119.03775024,1.2429225439212699
UM,machine04,global_onehot,1,58952032941.28387,201.1979741022823
UM,machine04,global_onehot,8,58956139179.50759,201.20609936188006
UM,machine04,global_pooled,1,10409447669.180082,35.88814705598882
UM,machine04,global_pooled,8,10408837907.037094,35.886242511104776
UM,machine04,global_residual_cal0,1,58952032941.28387,201.1979741022823
UM,machine04,global_residual_cal0,8,58956139179.50759,201.20609936188006
UM,machine04,global_residual_cal1024,1,1926821121.0131996,7.416847636563232
UM,machine04,global_residual_cal1024,8,2399191554.088258,9.277007925298934
UM,machine04,global_residual_cal256,1,6698445780.1096,26.047950763392695
UM,machine04,global_residual_cal256,8,9029662331.038996,35.23422130812572
UM,machine04,global_residual_cal64,1,20327917254.662426,79.67380245203857
UM,machine04,global_residual_cal64,8,27661700755.90658,108.5405759692647
UM,machine04,global_residual_no_head,1,58952032941.28387,201.1979741022823
UM,machine04,global_residual_no_head,8,58956139179.50759,201.20609936188006
UM,machine04,persistence_local,1,335923539.39111555,1.1762105008102273
UM,machine04,persistence_local,8,335880753.01894116,1.1759206263555975
UM,machine05,global_onehot,1,43868849939.04367,707.9609091114063
UM,machine05,global_onehot,8,43872269752.34272,708.0114269743361
UM,machine05,global_pooled,1,9114724248.125078,147.5751655008664
UM,machine05,global_pooled,8,9113825722.261858,147.56083849982042
UM,machine05,global_residual_cal0,1,43868849939.04367,707.9609091114063
UM,machine05,global_residual_cal0,8,43872269752.34272,708.0114269743361
UM,machine05,global_residual_cal1024,1,112765602.82633813,1.8408026077570756
UM,machine05,global_residual_cal1024,8,113218078.33175701,1.848308089846111
UM,machine05,global_residual_cal256,1,125763102.21074946,2.0411182702686275
UM,machine05,global_residual_cal256,8,127857168.79437725,2.0744875444943474
UM,machine05,global_residual_cal64,1,289174773.4659505,4.679560610475659
UM,machine05,global_residual_cal64,8,322842307.64528066,5.228475780768854
UM,machine05,global_residual_no_head,1,43868849939.04367,707.9609091114063
UM,machine05,global_residual_no_head,8,43872269752.34272,708.0114269743361
UM,machine05,persistence_local,1,60350005.642440446,0.978172470304461
UM,machine05,persistence_local,8,60345159.43098422,0.9780978575780792
UM,machine06,global_onehot,1,48255434840.743675,8933.686220952155
UM,machine06,global_onehot,8,48264684927.24525,8935.325194287927
UM,machine06,global_pooled,1,21443447455.609947,3980.4480175272747
UM,machine06,global_pooled,8,21444904580.263214,3980.7140273419013
UM,machine06,global_residual_cal0,1,48255434840.743675,8933.686220952155
UM,machine06,global_residual_cal0,8,48264684927.24525,8935.325194287927
UM,machine06,global_residual_cal1024,1,6928060.42632636,1.291684362011084
UM,machine06,global_residual_cal1024,8,6872469.479412771,1.2811999696164402
UM,machine06,global_residual_cal256,1,11615494.31704782,2.1754413884864174
UM,machine06,global_residual_cal256,8,10289968.57727996,1.9228712091539615
UM,machine06,global_residual_cal64,1,33558816.34028026,6.307042816332232
UM,machine06,global_residual_cal64,8,28330218.047713295,5.305908737826823
UM,machine06,global_residual_no_head,1,48255434840.743675,8933.686220952155
UM,machine06,global_residual_no_head,8,48264684927.24525,8935.325194287927
UM,machine06,persistence_local,1,5497692.293719244,1.0207176830818216
UM,machine06,persistence_local,8,5497786.523145687,1.02073583277763
UM,machine07,global_onehot,1,11676196031.59416,132.23808999988964
UM,machine07,global_onehot,8,11677746491.231909,132.25422024676016
UM,machine07,global_pooled,1,2303332241.663053,26.103299772306006
UM,machine07,global_pooled,8,2304494149.2223105,26.116318276285682
UM,machine07,global_residual_cal0,1,11676196031.59416,132.23808999988964
UM,machine07,global_residual_cal0,8,11677746491.231909,132.25422024676016
UM,machine07,global_residual_cal1024,1,272421014.5650918,3.1109659076163783
UM,machine07,global_residual_cal1024,8,273086591.0732355,3.1185074740288816
UM,machine07,global_residual_cal256,1,449198152.92889184,5.119024399454901
UM,machine07,global_residual_cal256,8,481972810.4868679,5.4999686494158935
UM,machine07,global_residual_cal64,1,548744154.3085849,6.273574037524523
UM,machine07,global_residual_cal64,8,525722452.45870227,5.978222804680776
UM,machine07,global_residual_no_head,1,11676196031.59416,132.23808999988964
UM,machine07,global_residual_no_head,8,11677746491.231909,132.25422024676016
UM,machine07,persistence_local,1,129645528.38636522,1.4631030214056508
UM,machine07,persistence_local,8,129661112.94978558,1.4632713468493865
